 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F300M
  0.7902  0.7743  0.7476  0.7141  0.6778  0.6407  0.6004  0.5382  0.4658  0.3931
  0.3188  0.2430  0.1661  0.0886  0.0112 -0.1775 -0.3565 -0.5260 -0.6880 -0.8436
 -0.9929 -1.1360 -1.2735 -1.4064
  0.7640  0.7477  0.7197  0.6816  0.6371  0.5895  0.5421  0.4970  0.4473  0.3819
  0.3102  0.2361  0.1607  0.0843  0.0075 -0.1810 -0.3605 -0.5304 -0.6923 -0.8476
 -0.9967 -1.1397 -1.2767 -1.4085 -1.5359 -1.6596 -1.7801 -1.8971 -2.0105 -2.1201
  0.7285  0.7139  0.6886  0.6520  0.6063  0.5548  0.5004  0.4455  0.3927  0.3428
  0.2895  0.2255  0.1546  0.0804  0.0048 -0.1828 -0.3624 -0.5325 -0.6944 -0.8496
 -0.9988 -1.1420 -1.2790 -1.4105 -1.5371 -1.6597 -1.7787 -1.8943 -2.0066 -2.1157
 -2.2195
  0.6839  0.6709  0.6500  0.6183  0.5765  0.5266  0.4716  0.4137  0.3548  0.2971
  0.2417  0.1877  0.1313  0.0690  0.0001 -0.1836 -0.3628 -0.5329 -0.6948 -0.8498
 -0.9990 -1.1426 -1.2802 -1.4119 -1.5384 -1.6603 -1.7783 -1.8927 -2.0038 -2.1118
 -2.2170
  0.6310  0.6192  0.6017  0.5759  0.5403  0.4957  0.4440  0.3876  0.3284  0.2680
  0.2078  0.1485  0.0901  0.0328 -0.0255 -0.1879 -0.3646 -0.5345 -0.6962 -0.8508
 -0.9998 -1.1438 -1.2823 -1.4150 -1.5419 -1.6639 -1.7817 -1.8955 -2.0058 -2.1129
 -2.2169
  0.5705  0.5595  0.5450  0.5242  0.4955  0.4582  0.4129  0.3613  0.3050  0.2461
  0.1857  0.1247  0.0636  0.0029 -0.0567 -0.2051 -0.3653 -0.5328 -0.6938 -0.8478
 -0.9961 -1.1399 -1.2789 -1.4126 -1.5405 -1.6632 -1.7811 -1.8948 -2.0047 -2.1111
 -2.2142
  0.5028  0.4933  0.4810  0.4640  0.4409  0.4106  0.3729  0.3281  0.2775  0.2225
  0.1647  0.1051  0.0445 -0.0168 -0.0780 -0.2276 -0.3767 -0.5328 -0.6915 -0.8445
 -0.9919 -1.1348 -1.2737 -1.4081 -1.5371 -1.6607 -1.7794 -1.8935 -2.0036 -2.1099
 -2.2127
  0.4305  0.4214  0.4108  0.3970  0.3781  0.3536  0.3226  0.2852  0.2415  0.1926
  0.1395  0.0834  0.0253 -0.0341 -0.0945 -0.2450 -0.3918 -0.5394 -0.6908
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F300M
  0.7008  0.7242  0.7415  0.7471  0.7416  0.7189  0.6691  0.6036  0.5304  0.4536
  0.3763  0.2987  0.2212  0.1442  0.0681 -0.1170 -0.2954 -0.4686 -0.6370
  0.7613  0.7700  0.7708  0.7587  0.7343  0.6998  0.6472  0.5814  0.5090  0.4322
  0.3550  0.2773  0.1994  0.1217  0.0449 -0.1411 -0.3185 -0.4890 -0.6541 -0.8131
  0.8102  0.7985  0.7942  0.7742  0.7363  0.6874  0.6304  0.5643  0.4926  0.4172
  0.3405  0.2633  0.1856  0.1078  0.0306 -0.1567 -0.3344 -0.5038 -0.6669 -0.8241
 -0.9750
  0.8077  0.8017  0.7871  0.7698  0.7396  0.6841  0.6193  0.5509  0.4794  0.4056
  0.3299  0.2535  0.1764  0.0990  0.0218 -0.1664 -0.3449 -0.5142 -0.6764 -0.8323
 -0.9822 -1.1263
  0.7952  0.7830  0.7604  0.7334  0.7046  0.6722  0.6137  0.5421  0.4687  0.3956
  0.3212  0.2458  0.1698  0.0931  0.0163 -0.1722 -0.3515 -0.5212 -0.6830 -0.8382
 -0.9874 -1.1307 -1.2685 -1.4015
  0.7771  0.7617  0.7347  0.6982  0.6576  0.6165  0.5762  0.5284  0.4608  0.3866
  0.3134  0.2392  0.1643  0.0887  0.0127 -0.1754 -0.3553 -0.5255 -0.6873 -0.8422
 -0.9909 -1.1339 -1.2711 -1.4032 -1.5312 -1.6554 -1.7760 -1.8933 -2.0071 -2.1166
  0.7515  0.7361  0.7092  0.6710  0.6249  0.5746  0.5231  0.4732  0.4249  0.3711
  0.3044  0.2326  0.1593  0.0850  0.0100 -0.1769 -0.3570 -0.5276 -0.6896 -0.8443
 -0.9929 -1.1358 -1.2729 -1.4047 -1.5316 -1.6545 -1.7740 -1.8901 -2.0028 -2.1121
 -2.2177
  0.7185  0.7034  0.6792  0.6440  0.5987  0.5465  0.4906  0.4331  0.3763  0.3219
  0.2693  0.2134  0.1497  0.0802  0.0074 -0.1774 -0.3572 -0.5280 -0.6900 -0.8447
 -0.9932 -1.1363 -1.2737 -1.4056 -1.5323 -1.6545 -1.7730 -1.8879 -1.9995 -2.1080
 -2.2132
  0.6776  0.6635  0.6412  0.6107  0.5700  0.5207  0.4653  0.4066  0.3463  0.2860
  0.2272  0.1703  0.1139  0.0561 -0.0057 -0.1796 -0.3585 -0.5293 -0.6915 -0.8461
 -0.9945 -1.1376 -1.2756 -1.4082 -1.5353 -1.6577 -1.7758 -1.8901 -2.0009 -2.1085
 -2.2130
  0.6289  0.6139  0.5949  0.5692  0.5349  0.4918  0.4410  0.3848  0.3252  0.2640
  0.2026  0.1416  0.0816  0.0223 -0.0363 -0.1882 -0.3571 -0.5271 -0.6890 -0.8432
 -0.9912 -1.1341 -1.2723 -1.4056 -1.5336 -1.6564 -1.7747 -1.8889 -1.9992 -2.1061
 -2.2098
  0.5736  0.5588  0.5413  0.5191  0.4904  0.4542  0.4103  0.3597  0.3039  0.2448
  0.1841  0.1225  0.0609 -0.0005 -0.0614 -0.2105 -0.3630 -0.5250 -0.6860 -0.8397
 -0.9871 -1.1295 -1.2675 -1.4012 -1.5300 -1.6536 -1.7726 -1.8871 -1.9976 -2.1044
 -2.2076
  0.5115  0.4974  0.4817  0.4621  0.4376  0.4070  0.3701  0.3266  0.2769  0.2226
  0.1650  0.1053  0.0445 -0.0168 -0.0783 -0.2300 -0.3780 -0.5284 -0.6835
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F300M
  0.6559  0.6906  0.7196  0.7339  0.7346  0.7162  0.6698  0.6061  0.5329  0.4549
