 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  v   
 -2.9119 -2.7375 -2.6019 -2.4989 -2.4201 -2.3576 -2.3063 -2.2628 -2.2256 -2.1940
 -2.1678
 -8.9140 -8.3013 -7.7725 -7.3231 -6.9390 -6.6088 -6.3237 -6.0769 -5.8635 -5.6785
 -5.5151 -5.3661 -5.2252 -5.0885 -4.9527 -4.5727 -4.1320 -3.7392 -3.4225 -3.1591
 -2.9385 -2.7597 -2.6203 -2.5156 -2.4387 -2.3811 -2.3366 -2.3007 -2.2712 -2.2467
 -2.2267
 -9.8139 -9.0856 -8.4442 -7.8832 -7.4003 -6.9859 -6.6284 -6.3186 -6.0484 -5.8124
 -5.6043 -5.4184 -5.2486 -5.0894 -4.9372 -4.5722 -4.1872 -3.7980 -3.4685 -3.1986
 -2.9727 -2.7869 -2.6401 -2.5295 -2.4501 -2.3943 -2.3547 -2.3255 -2.3033 -2.2862
 -2.2731
-10.7663 -9.9639 -9.2282 -8.5726 -7.9910 -7.4837 -7.0421 -6.6566 -6.3198 -6.0247
 -5.7651 -5.5353 -5.3294 -5.1420 -4.9439 -4.5401 -4.2451 -3.8776 -3.5292
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  v   
 -7.9207 -7.9481 -7.9658 -7.9698 -7.9556 -7.9184 -7.8545 -7.7607 -7.6368 -7.4895
 -7.3211 -7.1307 -6.9178 -6.6861 -6.4419 -5.8267 -5.2323 -4.6627 -4.1231
 -7.3785 -7.4044 -7.4229 -7.4303 -7.4227 -7.3968 -7.3482 -7.2713 -7.1670 -7.0355
 -6.8767 -6.6912 -6.4807 -6.2507 -6.0104 -5.4187 -4.8684 -4.3602 -3.8954 -3.4851
 -6.9162 -6.9343 -6.9500 -6.9583 -6.9551 -6.9369 -6.8998 -6.8391 -6.7533 -6.6405
 -6.4994 -6.3299 -6.1331 -5.9147 -5.6845 -5.1204 -4.6082 -4.1464 -3.7310 -3.3679
 -3.0623
 -6.5708 -6.5651 -6.5682 -6.5716 -6.5687 -6.5549 -6.5262 -6.4781 -6.4080 -6.3134
 -6.1923 -6.0434 -5.8661 -5.6641 -5.4464 -4.9063 -4.4233 -3.9953 -3.6144 -3.2841
 -3.0065 -2.7792
 -6.4466 -6.3539 -6.3061 -6.2841 -6.2710 -6.2555 -6.2304 -6.1906 -6.1324 -6.0532
 -5.9504 -5.8221 -5.6663 -5.4835 -5.2799 -4.7589 -4.2952 -3.8917 -3.5356 -3.2280
 -2.9710 -2.7606 -2.5904 -2.4501
 -6.6530 -6.4353 -6.2738 -6.1634 -6.0923 -6.0481 -6.0156 -5.9764 -5.9239 -5.8548
 -5.7663 -5.6557 -5.5204 -5.3581 -5.1709 -4.6664 -4.2126 -3.8251 -3.4871 -3.1951
