 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
  0.0664  0.0580  0.0500  0.0277 -0.0202 -0.1856 -0.3555 -0.5183 -0.6756 -0.8292
 -0.9777 -1.1205 -1.2578 -1.3904
  0.4817  0.4306  0.3759  0.3181  0.2594  0.2041  0.1552  0.1141  0.0804  0.0531
  0.0316  0.0154  0.0039 -0.0077 -0.0373 -0.1893 -0.3590 -0.5229 -0.6807 -0.8340
 -0.9823 -1.1249 -1.2616 -1.3933 -1.5205 -1.6439 -1.7640 -1.8807 -1.9939 -2.1032
  0.4820  0.4364  0.3880  0.3355  0.2800  0.2237  0.1703  0.1232  0.0836  0.0499
  0.0206 -0.0044 -0.0253 -0.0435 -0.0649 -0.1931 -0.3607 -0.5252 -0.6835 -0.8368
 -0.9852 -1.1279 -1.2645 -1.3957 -1.5221 -1.6443 -1.7630 -1.8783 -1.9903 -2.0990
 -2.2045
  0.4709  0.4297  0.3863  0.3393  0.2888  0.2357  0.1823  0.1317  0.0864  0.0481
  0.0158 -0.0136 -0.0412 -0.0663 -0.0917 -0.2002 -0.3617 -0.5259 -0.6845 -0.8377
 -0.9854 -1.1293 -1.2664 -1.3976 -1.5236 -1.6451 -1.7628 -1.8769 -1.9876 -2.0952
 -2.1998
  0.4468  0.4119  0.3740  0.3320  0.2866  0.2383  0.1882  0.1382  0.0903  0.0469
  0.0091 -0.0238 -0.0547 -0.0849 -0.1145 -0.2174 -0.3656 -0.5282 -0.6865 -0.8394
 -0.9877 -1.1314 -1.2694 -1.4014 -1.5277 -1.6490 -1.7662 -1.8795 -1.9893 -2.0960
 -2.1997
  0.4084  0.3806  0.3495  0.3139  0.2743  0.2316  0.1865  0.1403  0.0936  0.0482
  0.0059 -0.0324 -0.0674 -0.1010 -0.1343 -0.2364 -0.3728 -0.5282 -0.6852 -0.8373
 -0.9847 -1.1282 -1.2670 -1.4000 -1.5272 -1.6489 -1.7660 -1.8789 -1.9881 -2.0939
 -2.1987
  0.3550  0.3335  0.3087  0.2805  0.2478  0.2118  0.1732  0.1325  0.0900  0.0466
  0.0034 -0.0383 -0.0777 -0.1152 -0.1518 -0.2543 -0.3852 -0.5316 -0.6846 -0.8352
 -0.9813 -1.1237 -1.2624 -1.3965 -1.5249 -1.6477 -1.7654 -1.8785 -1.9875 -2.0930
 -2.1951
  0.2857  0.2690  0.2501  0.2288  0.2036  0.1752  0.1439  0.1103  0.0743  0.0358
 -0.0044 -0.0457 -0.0870 -0.1275 -0.1670 -0.2711 -0.4028 -0.5384 -0.6847
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F322W2
  0.4634  0.4457  0.4364  0.4353  0.4438  0.4521  0.4495  0.4292  0.3941  0.3486
  0.2941  0.2319  0.1647  0.0957  0.0268 -0.1425 -0.3071 -0.4669 -0.6229
  0.4182  0.3936  0.3780  0.3718  0.3734  0.3806  0.3843  0.3680  0.3406  0.3047
  0.2602  0.2061  0.1435  0.0759  0.0067 -0.1643 -0.3294 -0.4879 -0.6418 -0.7952
  0.3880  0.3555  0.3320  0.3184  0.3145  0.3186  0.3232  0.3108  0.2886  0.2599
  0.2246  0.1808  0.1264  0.0628 -0.0053 -0.1775 -0.3441 -0.5030 -0.6561 -0.8077
 -0.9570
  0.3797  0.3352  0.3008  0.2767  0.2633  0.2599  0.2632  0.2551  0.2364  0.2125
  0.1844  0.1504  0.1068  0.0513 -0.0133 -0.1850 -0.3531 -0.5133 -0.6666 -0.8172
 -0.9651 -1.1085
