 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  0.6651  0.6485  0.6348  0.6215  0.6016  0.5136  0.3960  0.2764  0.1584  0.0418
 -0.0736 -0.1868 -0.2966 -0.4028 -0.5056 -0.6055 -0.7030 -0.7984 -0.8921 -0.9852
 -1.0785
  0.8058  0.8037  0.7964  0.7851  0.7703  0.7528  0.7332  0.7122  0.6904  0.6683
  0.6459  0.6232  0.6005  0.5791  0.5585  0.4893  0.3869  0.2700  0.1529  0.0373
 -0.0770 -0.1898 -0.3000 -0.4068 -0.5099 -0.6098 -0.7068 -0.8013 -0.8938 -0.9851
 -1.0753
  0.7646  0.7663  0.7639  0.7578  0.7480  0.7348  0.7185  0.6996  0.6786  0.6560
  0.6324  0.6077  0.5820  0.5556  0.5291  0.4604  0.3716  0.2639  0.1493  0.0352
 -0.0777 -0.1894 -0.2993 -0.4066 -0.5104 -0.6108 -0.7080 -0.8022 -0.8939 -0.9836
 -1.0732
  0.7187  0.7232  0.7242  0.7223  0.7172  0.7086  0.6965  0.6811  0.6626  0.6416
  0.6186  0.5939  0.5677  0.5401  0.5115  0.4363  0.3528  0.2541  0.1450  0.0330
 -0.0784 -0.1887 -0.2976 -0.4047 -0.5092 -0.6104 -0.7084 -0.8030 -0.8948 -0.9841
 -1.0713
  0.6703  0.6760  0.6793  0.6804  0.6789  0.6746  0.6668  0.6554  0.6404  0.6222
  0.6012  0.5779  0.5513  0.5238  0.5057  0.4170  0.3305  0.2406  0.1400
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F150W2
  1.0251  1.0348  1.0440  1.0512  1.0538  1.0489  1.0341  1.0084  0.9739  0.9333
  0.8893  0.8439  0.7986  0.7530  0.7070  0.5903  0.4713  0.3492  0.2237
  0.9951  1.0020  1.0096  1.0163  1.0195  1.0165  1.0047  0.9832  0.9533  0.9169
  0.8754  0.8306  0.7844  0.7377  0.6907  0.5722  0.4532  0.3328  0.2103  0.0868
  0.9683  0.9716  0.9764  0.9812  0.9840  0.9824  0.9737  0.9565  0.9317  0.9002
  0.8627  0.8202  0.7746  0.7275  0.6797  0.5593  0.4395  0.3199  0.1993  0.0781
 -0.0418
  0.9279  0.9277  0.9370  0.9458  0.9494  0.9484  0.9417  0.9283  0.9079  0.8812
  0.8486  0.8102  0.7668  0.7203  0.6723  0.5506  0.4296  0.3099  0.1904  0.0709
 -0.0473 -0.1630
  0.9162  0.8947  0.8835  0.8814  0.8875  0.8988  0.9047  0.8987  0.8832  0.8606
  0.8322  0.7983  0.7587  0.7143  0.6669  0.5446  0.4227  0.3026  0.1835  0.0650
 -0.0520 -0.1665 -0.2780 -0.3870
  0.9160  0.8948  0.8735  0.8548  0.8407  0.8318  0.8286  0.8313  0.8367  0.8317
  0.8129  0.7840  0.7485  0.7076  0.6622  0.5405  0.4180  0.2974  0.1784  0.0606
 -0.0558 -0.1697 -0.2803 -0.3880 -0.4932 -0.5962 -0.6976 -0.7979 -0.8968 -0.9919
  0.9160  0.8952  0.8718  0.8475  0.8244  0.8042  0.7873  0.7734  0.7632  0.7595
  0.7600  0.7527  0.7313  0.6977  0.6564  0.5375  0.4147  0.2938  0.1748  0.0574
 -0.0585 -0.1721 -0.2824 -0.3895 -0.4937 -0.5954 -0.6950 -0.7929 -0.8897 -0.9856
 -1.0784
  0.9103  0.8930  0.8712  0.8463  0.8205  0.7950  0.7713  0.7497  0.7300  0.7121
  0.6972  0.6878  0.6806  0.6665  0.6404  0.5345  0.4125  0.2913  0.1725  0.0554
 -0.0600 -0.1735 -0.2840 -0.3910 -0.4948 -0.5957 -0.6942 -0.7906 -0.8853 -0.9790
 -1.0724
  0.8946  0.8829  0.8653  0.8431  0.8181  0.7917  0.7654  0.7397  0.7150  0.6913
  0.6683  0.6465  0.6275  0.6123  0.5967  0.5237  0.4091  0.2883  0.1694  0.0527
 -0.0622 -0.1756 -0.2864 -0.3940 -0.4981 -0.5989 -0.6971 -0.7926 -0.8861 -0.9782
 -1.0690
  0.8694  0.8628  0.8509  0.8333  0.8117  0.7874  0.7616  0.7352  0.7085  0.6817
  0.6550  0.6282  0.6018  0.5766  0.5537  0.4950  0.4032  0.2872  0.1689  0.0528
 -0.0614 -0.1741 -0.2848 -0.3930 -0.4978 -0.5991 -0.6973 -0.7925 -0.8853 -0.9760
 -1.0652
  0.8370  0.8347  0.8276  0.8148  0.7977  0.7773  0.7543  0.7295  0.7033  0.6760
  0.6479  0.6189  0.5894  0.5597  0.5304  0.4620  0.3845  0.2832  0.1685  0.0532
 -0.0602 -0.1720 -0.2822 -0.3904 -0.4958 -0.5980 -0.6969 -0.7925 -0.8853 -0.9756
 -1.0639
  0.8005  0.8016  0.7976  0.7888  0.7761  0.7600  0.7408  0.7190  0.6950  0.6691
  0.6416  0.6125  0.5821  0.5507  0.5268  0.4247  0.3530  0.2763  0.1682
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =F150W2
  1.0590  1.0690  1.0777  1.0834  1.0840  1.0761  1.0568  1.0247  0.9830  0.9362
  0.8878  0.8399  0.7931  0.7471  0.7012  0.5858  0.4689  0.3494  0.2265
  1.0286  1.0367  1.0446  1.0508  1.0527  1.0475  1.0319  1.0046  0.9676  0.9241
  0.8773  0.8293  0.7815  0.7342  0.6870  0.5692  0.4517  0.3332  0.2130  0.0909
  1.0007  1.0055  1.0113  1.0165  1.0192  1.0164  1.0049  0.9826  0.9512  0.9124
