 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -6.0483 -5.6857 -5.3663 -5.0897 -4.8614 -4.6871 -4.5479 -4.3552 -4.0943 -3.8321
 -3.5806 -3.3433 -3.1258 -2.9295 -2.7520 -2.3732 -2.0590 -1.7860 -1.5488 -1.3542
 -1.1976 -1.0671
 -5.8712 -5.5352 -5.2211 -4.9422 -4.6968 -4.4733 -4.2733 -4.1007 -3.9412 -3.7375
 -3.5045 -3.2724 -3.0545 -2.8559 -2.6769 -2.3022 -2.0030 -1.7514 -1.5345 -1.3539
 -1.2078 -1.0865 -0.9814 -0.8865
 -5.7239 -5.4088 -5.1126 -4.8362 -4.5881 -4.3631 -4.1498 -3.9451 -3.7568 -3.5903
 -3.4187 -3.2225 -3.0169 -2.8200 -2.6389 -2.2618 -1.9695 -1.7311 -1.5288 -1.3595
 -1.2220 -1.1087 -1.0111 -0.9238 -0.8434 -0.7693 -0.7015 -0.6400 -0.5863 -0.5477
 -5.5807 -5.2939 -5.0208 -4.7553 -4.5081 -4.2841 -4.0763 -3.8752 -3.6776 -3.4889
 -3.3129 -3.1481 -2.9793 -2.8024 -2.6269 -2.2450 -1.9528 -1.7211 -1.5285 -1.3675
 -1.2371 -1.1309 -1.0405 -0.9600 -0.8863 -0.8161 -0.7508 -0.6926 -0.6430 -0.6031
 -0.5723
 -5.4457 -5.1842 -4.9361 -4.6875 -4.4468 -4.2223 -4.0174 -3.8245 -3.6360 -3.4489
 -3.2659 -3.0915 -2.9295 -2.7746 -2.6191 -2.2476 -1.9491 -1.7189 -1.5318 -1.3764
 -1.2509 -1.1504 -1.0669 -0.9937 -0.9267 -0.8628 -0.8028 -0.7481 -0.6997 -0.6585
 -0.6249
 -5.3237 -5.0802 -4.8508 -4.6216 -4.3936 -4.1728 -3.9669 -3.7768 -3.5971 -3.4205
 -3.2443 -3.0700 -2.9028 -2.7466 -2.5998 -2.2546 -1.9547 -1.7208 -1.5357 -1.3837
 -1.2609 -1.1645 -1.0871 -1.0212 -0.9618 -0.9064 -0.8543 -0.8062 -0.7620 -0.7213
 -0.6839
 -5.2195 -4.9835 -4.7663 -4.5580 -4.3469 -4.1370 -3.9329 -3.7412 -3.5637 -3.3953
 -3.2301 -3.0649 -2.9009 -2.7429 -2.5942 -2.2612 -1.9705 -1.7315 -1.5445 -1.3937
 -1.2717 -1.1763 -1.1026 -1.0429 -0.9911 -0.9435 -0.8989 -0.8564 -0.8163 -0.7790
 -0.7448
 -5.1323 -4.8945 -4.6833 -4.4882 -4.2931 -4.0996 -3.9062 -3.7169 -3.5375 -3.3702
 -3.2117 -3.0569 -2.9025 -2.7492 -2.6007 -2.2671 -1.9838 -1.7458 -1.5550 -1.4035
 -1.2816 -1.1858 -1.1130 -1.0573 -1.0120 -0.9722 -0.9357 -0.9009 -0.8676 -0.8360
 -0.8067
 -5.0563 -4.8132 -4.6019 -4.4098 -4.2286 -4.0508 -3.8724 -3.6947 -3.5198 -3.3516
 -3.1935 -3.0436 -2.8982 -2.7541 -2.6113 -2.2781 -1.9953 -1.7594 -1.5665
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = BX   
 -7.2297 -6.9347 -6.4968 -6.0392 -5.5931 -5.2042 -4.8988 -4.6271 -4.3707 -4.1320
 -3.9057 -3.6936 -3.4978 -3.3176 -3.1502 -2.7680 -2.4078 -2.0587 -1.7399
 -6.5536 -6.3841 -6.2100 -5.8604 -5.4596 -5.0667 -4.7270 -4.4413 -4.1787 -3.9356
 -3.7054 -3.4903 -3.2928 -3.1129 -2.9481 -2.5829 -2.2546 -1.9481 -1.6674 -1.4267
 -6.2611 -5.9119 -5.7108 -5.5971 -5.3396 -4.9879 -4.6365 -4.3274 -4.0576 -3.8108
 -3.5779 -3.3596 -3.1587 -2.9764 -2.8109 -2.4533 -2.1451 -1.8680 -1.6175 -1.3992
 -1.2187
 -6.1100 -5.7222 -5.4097 -5.1825 -5.0442 -4.8809 -4.5922 -4.2782 -3.9929 -3.7403
 -3.5056 -3.2844 -3.0796 -2.8933 -2.7249 -2.3678 -2.0709 -1.8134 -1.5853 -1.3851
 -1.2173 -1.0782
 -6.0075 -5.6240 -5.2869 -5.0007 -4.7670 -4.5812 -4.4374 -4.2396 -3.9728 -3.7104
 -3.4735 -3.2505 -3.0418 -2.8507 -2.6778 -2.3156 -2.0235 -1.7781 -1.5658 -1.3804
 -1.2234 -1.0930 -0.9824 -0.8861
 -5.9299 -5.5616 -5.2199 -4.9174 -4.6544 -4.4254 -4.2249 -4.0510 -3.8937 -3.6949
 -3.4665 -3.2451 -3.0343 -2.8385 -2.6602 -2.2883 -1.9956 -1.7569 -1.5554 -1.3815
 -1.2339 -1.1113 -1.0078 -0.9174 -0.8367 -0.7632 -0.6951 -0.6306 -0.5732 -0.5377
 -5.8671 -5.5179 -5.1831 -4.8749 -4.6015 -4.3622 -4.1454 -3.9418 -3.7536 -3.5867
 -3.4244 -3.2409 -3.0427 -2.8476 -2.6650 -2.2803 -1.9824 -1.7458 -1.5510 -1.3859
 -1.2462 -1.1304 -1.0337 -0.9500 -0.8748 -0.8061 -0.7430 -0.6851 -0.6317 -0.5860
 -0.5605
 -5.8089 -5.4832 -5.1613 -4.8550 -4.5743 -4.3249 -4.1036 -3.8994 -3.7040 -3.5170
 -3.3437 -3.1836 -3.0242 -2.8552 -2.6815 -2.2884 -1.9811 -1.7426 -1.5508 -1.3916
 -1.2582 -1.1483 -1.0577 -0.9807 -0.9121 -0.8493 -0.7903 -0.7360 -0.6875 -0.6460
 -0.6119
 -5.7565 -5.4470 -5.1428 -4.8450 -4.5627 -4.3054 -4.0762 -3.8704 -3.6786 -3.4931
 -3.3132 -3.1418 -2.9803 -2.8280 -2.6779 -2.3058 -1.9879 -1.7437 -1.5522 -1.3962
 -1.2672 -1.1618 -1.0767 -1.0062 -0.9447 -0.8887 -0.8371 -0.7898 -0.7465 -0.7069
 -0.6707
 -5.7136 -5.4161 -5.1266 -4.8440 -4.5679 -4.3070 -4.0691 -3.8561 -3.6636 -3.4833
 -3.3085 -3.1375 -2.9714 -2.8131 -2.6651 -2.3232 -2.0100 -1.7554 -1.5600 -1.4043
 -1.2772 -1.1742 -1.0924 -1.0272 -0.9725 -0.9239 -0.8795 -0.8378 -0.7990 -0.7632
 -0.7314
 -5.6822 -5.3744 -5.1005 -4.8361 -4.5753 -4.3198 -4.0780 -3.8563 -3.6568 -3.4754
 -3.3056 -3.1411 -2.9792 -2.8203 -2.6680 -2.3301 -2.0333 -1.7755 -1.5721 -1.4137
 -1.2867 -1.1843 -1.1040 -1.0420 -0.9930 -0.9515 -0.9147 -0.8804 -0.8482 -0.8182
 -0.7905
 -5.6660 -5.3409 -5.0654 -4.8145 -4.5694 -4.3287 -4.0946 -3.8702 -3.6627 -3.4744
 -3.3028 -3.1423 -2.9873 -2.8347 -2.6843 -2.3401 -2.0497 -1.7981 -1.5890
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = BX   
 -7.2440 -6.8282 -6.3306 -5.8618 -5.4278 -5.0538 -4.7551 -4.4937 -4.2512 -4.0222
 -3.8070 -3.6052 -3.4182 -3.2464 -3.0877 -2.7296 -2.3972 -2.0743 -1.7673
 -6.6290 -6.4985 -6.1760 -5.7513 -5.3327 -4.9403 -4.6144 -4.3381 -4.0877 -3.8545
 -3.6352 -3.4300 -3.2406 -3.0676 -2.9095 -2.5626 -2.2534 -1.9637 -1.6937 -1.4531
 -6.2585 -5.9715 -5.8608 -5.6423 -5.2781 -4.9008 -4.5474 -4.2494 -3.9902 -3.7526
 -3.5303 -3.3216 -3.1285 -2.9523 -2.7922 -2.4479 -2.1522 -1.8850 -1.6414 -1.4232
 -1.2373
 -6.1267 -5.7359 -5.4551 -5.3024 -5.1675 -4.8772 -4.5390 -4.2188 -3.9435 -3.6992
 -3.4744 -3.2627 -3.0656 -2.8849 -2.7209 -2.3733 -2.0842 -1.8312 -1.6064 -1.4061
 -1.2333 -1.0886
 -6.0592 -5.6523 -5.3065 -5.0365 -4.8392 -4.7041 -4.5147 -4.2293 -3.9402 -3.6829
 -3.4539 -3.2397 -3.0387 -2.8532 -2.6841 -2.3285 -2.0406 -1.7962 -1.5844 -1.3981
 -1.2366 -1.1006 -0.9858 -0.8865
 -6.0211 -5.6180 -5.2546 -4.9434 -4.6873 -4.4734 -4.2982 -4.1473 -3.9462 -3.6966
 -3.4590 -3.2425 -3.0384 -2.8480 -2.6733 -2.3061 -2.0150 -1.7748 -1.5717 -1.3961
 -1.2445 -1.1163 -1.0085 -0.9153 -0.8328 -0.7578 -0.6882 -0.6250 -0.5708 -0.5317
 -6.0006 -5.6085 -5.2420 -4.9134 -4.6305 -4.3894 -4.1771 -3.9847 -3.8161 -3.6569
 -3.4673 -3.2598 -3.0565 -2.8631 -2.6829 -2.3015 -2.0031 -1.7635 -1.5655 -1.3979
 -1.2545 -1.1333 -1.0320 -0.9454 -0.8687 -0.7993 -0.7366 -0.6787 -0.6248 -0.5788
 -0.5530
 -5.9853 -5.6123 -5.2506 -4.9151 -4.6156 -4.3565 -4.1312 -3.9269 -3.7355 -3.5572
 -3.3956 -3.2384 -3.0677 -2.8866 -2.7073 -2.3121 -2.0031 -1.7601 -1.5643 -1.4017
 -1.2647 -1.1497 -1.0543 -0.9740 -0.9038 -0.8404 -0.7815 -0.7276 -0.6795 -0.6380
 -0.6034
 -5.9731 -5.6153 -5.2663 -4.9318 -4.6235 -4.3493 -4.1103 -3.8995 -3.7057 -3.5208
 -3.3450 -3.1812 -3.0274 -2.8762 -2.7196 -2.3327 -2.0112 -1.7615 -1.5650 -1.4051
 -1.2726 -1.1625 -1.0724 -0.9982 -0.9347 -0.8780 -0.8265 -0.7788 -0.7352 -0.6964
 -0.6621
 -5.9641 -5.6187 -5.2875 -4.9628 -4.6530 -4.3686 -4.1156 -3.8932 -3.6952 -3.5119
 -3.3362 -3.1671 -3.0058 -2.8527 -2.7076 -2.3583 -2.0345 -1.7741 -1.5730 -1.4128
 -1.2821 -1.1748 -1.0882 -1.0188 -0.9616 -0.9119 -0.8672 -0.8260 -0.7878 -0.7530
 -0.7219
 -5.9612 -5.6132 -5.2982 -4.9909 -4.6906 -4.4042 -4.1408 -3.9053 -3.6970 -3.5100
 -3.3366 -3.1704 -3.0090 -2.8527 -2.7031 -2.3673 -2.0627 -1.7958 -1.5861 -1.4226
 -1.2914 -1.1852 -1.1003 -1.0340 -0.9818 -0.9388 -0.9014 -0.8673 -0.8357 -0.8064
 -0.7792
 -5.9729 -5.6048 -5.2935 -5.0042 -4.7212 -4.4441 -4.1797 -3.9350 -3.7146 -3.5180
 -3.3408 -3.1765 -3.0194 -2.8660 -2.7161 -2.3740 -2.0821 -1.8228 -1.6053
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = BX   
 -7.1966 -6.6770 -6.1576 -5.6991 -5.2974 -4.9401 -4.6460 -4.3850 -4.1499 -3.9313
 -3.7261 -3.5336 -3.3547 -3.1899 -3.0381 -2.6992 -2.3894 -2.0892 -1.7955
 -6.7686 -6.5201 -6.0882 -5.6328 -5.2180 -4.8435 -4.5282 -4.2569 -4.0115 -3.7888
 -3.5795 -3.3836 -3.2019 -3.0352 -2.8827 -2.5505 -2.2570 -1.9815 -1.7215 -1.4837
 -6.2772 -6.1138 -5.9598 -5.6023 -5.1972 -4.8165 -4.4758 -4.1872 -3.9336 -3.7051
 -3.4926 -3.2933 -3.1080 -2.9378 -2.7825 -2.4495 -2.1646 -1.9056 -1.6674 -1.4508
 -1.2608
 -6.1310 -5.7601 -5.5594 -5.4560 -5.1858 -4.8283 -4.4802 -4.1675 -3.9003 -3.6645
 -3.4488 -3.2463 -3.0571 -2.8825 -2.7229 -2.3839 -2.1021 -1.8534 -1.6304 -1.4303
 -1.2539 -1.1035
 -6.0920 -5.6670 -5.3306 -5.1022 -4.9731 -4.8051 -4.5076 -4.1928 -3.9051 -3.6568
 -3.4361 -3.2306 -3.0378 -2.8586 -2.6938 -2.3449 -2.0618 -1.8188 -1.6062 -1.4189
 -1.2540 -1.1124 -0.9925 -0.8896
 -6.0915 -5.6548 -5.2744 -4.9658 -4.7294 -4.5533 -4.4138 -4.2118 -3.9424 -3.6788
 -3.4466 -3.2378 -3.0417 -2.8581 -2.6879 -2.3263 -2.0380 -1.7973 -1.5916 -1.4137
 -1.2587 -1.1252 -1.0120 -0.9151 -0.8300 -0.7537 -0.6840 -0.6191 -0.5618 -0.5255
 -6.1146 -5.6774 -5.2803 -4.9369 -4.6514 -4.4194 -4.2229 -4.0562 -3.9014 -3.7062
 -3.4769 -3.2618 -3.0630 -2.8756 -2.7004 -2.3244 -2.0274 -1.7857 -1.5840 -1.4128
 -1.2659 -1.1397 -1.0329 -0.9422 -0.8632 -0.7926 -0.7287 -0.6705 -0.6170 -0.5710
 -0.5445
 -6.1453 -5.7195 -5.3177 -4.9547 -4.6406 -4.3771 -4.1550 -3.9575 -3.7775 -3.6150
 -3.4580 -3.2811 -3.0928 -2.9062 -2.7278 -2.3372 -2.0285 -1.7824 -1.5820 -1.4150
 -1.2741 -1.1542 -1.0533 -0.9685 -0.8957 -0.8311 -0.7731 -0.7206 -0.6725 -0.6289
 -0.5938
 -6.1784 -5.7621 -5.3676 -4.9970 -4.6645 -4.3765 -4.1321 -3.9212 -3.7301 -3.5509
 -3.3837 -3.2290 -3.0784 -2.9205 -2.7556 -2.3602 -2.0380 -1.7844 -1.5824 -1.4176
 -1.2806 -1.1658 -1.0701 -0.9910 -0.9245 -0.8664 -0.8145 -0.7672 -0.7242 -0.6856
 -0.6520
 -6.2103 -5.8106 -5.4278 -5.0597 -4.7175 -4.4113 -4.1454 -3.9169 -3.7173 -3.5346
 -3.3617 -3.1976 -3.0436 -2.8975 -2.7547 -2.3936 -2.0625 -1.7981 -1.5910 -1.4252
 -1.2896 -1.1776 -1.0857 -1.0111 -0.9502 -0.8986 -0.8533 -0.8123 -0.7747 -0.7408
 -0.7106
 -6.2406 -5.8444 -5.4793 -5.1250 -4.7845 -4.4687 -4.1857 -3.9382 -3.7234 -3.5338
 -3.3599 -3.1950 -3.0371 -2.8862 -2.7421 -2.4090 -2.0952 -1.8210 -1.6053 -1.4356
 -1.2991 -1.1880 -1.0981 -1.0267 -0.9703 -0.9246 -0.8861 -0.8519 -0.8208 -0.7924
 -0.7657
 -6.2809 -5.8683 -5.5123 -5.1766 -4.8502 -4.5372 -4.2457 -3.9829 -3.7511 -3.5479
 -3.3673 -3.2018 -3.0450 -2.8939 -2.7477 -2.4124 -2.1187 -1.8516 -1.6263
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = BX   
 -7.0762 -6.5098 -5.9933 -5.5585 -5.1828 -4.8479 -4.5642 -4.3013 -4.0664 -3.8597
 -3.6632 -3.4788 -3.3074 -3.1489 -3.0027 -2.6787 -2.3867 -2.1046 -1.8271
 -6.6969 -6.4686 -5.9811 -5.5195 -5.1147 -4.7606 -4.4601 -4.1922 -3.9514 -3.7382
 -3.5379 -3.3504 -3.1762 -3.0155 -2.8679 -2.5471 -2.2664 -2.0027 -1.7515 -1.5171
 -6.3684 -6.2680 -5.9591 -5.5340 -5.1163 -4.7378 -4.4152 -4.1352 -3.8880 -3.6683
 -3.4649 -3.2743 -3.0967 -2.9326 -2.7820 -2.4582 -2.1825 -1.9307 -1.6967 -1.4818
 -1.2894
 -6.1318 -5.8281 -5.7304 -5.5144 -5.1477 -4.7701 -4.4234 -4.1232 -3.8643 -3.6360
 -3.4291 -3.2355 -3.0543 -2.8861 -2.7312 -2.4002 -2.1251 -1.8806 -1.6586 -1.4581
 -1.2792 -1.1235
 -6.1031 -5.6753 -5.3775 -5.2340 -5.1031 -4.8072 -4.4703 -4.1520 -3.8743 -3.6336
 -3.4208 -3.2240 -3.0392 -2.8667 -2.7070 -2.3654 -2.0872 -1.8466 -1.6329 -1.4434
 -1.2758 -1.1293 -1.0036 -0.8964
 -6.1356 -5.6697 -5.2848 -4.9979 -4.8084 -4.6849 -4.4922 -4.2056 -3.9170 -3.6586
 -3.4339 -3.2330 -3.0449 -2.8683 -2.7036 -2.3492 -2.0646 -1.8248 -1.6167 -1.4353
 -1.2771 -1.1388 -1.0198 -0.9181 -0.8303 -0.7523 -0.6805 -0.6131 -0.5558 -0.5190
 -6.2016 -5.7188 -5.2969 -4.9471 -4.6740 -4.4654 -4.3038 -4.1587 -3.9573 -3.7081
 -3.4688 -3.2582 -3.0667 -2.8865 -2.7174 -2.3490 -2.0547 -1.8127 -1.6077 -1.4322
 -1.2812 -1.1503 -1.0378 -0.9418 -0.8593 -0.7866 -0.7224 -0.6635 -0.6083 -0.5626
 -0.5356
 -6.2853 -5.7987 -5.3573 -4.9730 -4.6537 -4.3944 -4.1842 -4.0034 -3.8443 -3.6895
 -3.5052 -3.2974 -3.1013 -2.9182 -2.7452 -2.3633 -2.0566 -1.8094 -1.6048 -1.4329
 -1.2870 -1.1624 -1.0557 -0.9655 -0.8888 -0.8219 -0.7630 -0.7092 -0.6607 -0.6186
 -0.5834
 -6.3666 -5.8885 -5.4412 -5.0363 -4.6843 -4.3893 -4.1468 -3.9424 -3.7599 -3.5920
 -3.4369 -3.2853 -3.1221 -2.9512 -2.7803 -2.3877 -2.0674 -1.8118 -1.6051 -1.4345
 -1.2921 -1.1721 -1.0708 -0.9861 -0.9151 -0.8545 -0.8016 -0.7541 -0.7114 -0.6736
 -0.6404
 -6.4460 -5.9816 -5.5416 -5.1299 -4.7574 -4.4335 -4.1600 -3.9312 -3.7351 -3.5575
 -3.3911 -3.2351 -3.0888 -2.9464 -2.8006 -2.4266 -2.0933 -1.8267 -1.6142 -1.4422
 -1.3007 -1.1833 -1.0858 -1.0054 -0.9396 -0.8849 -0.8381 -0.7968 -0.7598 -0.7260
 -0.6973
 -6.5179 -6.0623 -5.6370 -5.2320 -4.8527 -4.5101 -4.2107 -3.9553 -3.7387 -3.5508
 -3.3801 -3.2195 -3.0673 -2.9236 -2.7860 -2.4534 -2.1293 -1.8507 -1.6297 -1.4534
 -1.3107 -1.1938 -1.0984 -1.0212 -0.9595 -0.9101 -0.8694 -0.8346 -0.8037 -0.7762
 -0.7501
 -6.5925 -6.1259 -5.7142 -5.3252 -4.9536 -4.6056 -4.2898 -4.0117 -3.7718 -3.5657
 -3.3853 -3.2217 -3.0681 -2.9216 -2.7812 -2.4564 -2.1590 -1.8838 -1.6523
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = BX   
 -6.9201 -6.3458 -5.8502 -5.4418 -5.0798 -4.7610 -4.4925 -4.2418 -4.0088 -3.8084
 -3.6196 -3.4420 -3.2769 -3.1236 -2.9821 -2.6691 -2.3829 -2.1136 -1.8596
 -6.7671 -6.3777 -5.8704 -5.4179 -5.0305 -4.6899 -4.4062 -4.1467 -3.9099 -3.7041
 -3.5115 -3.3313 -3.1635 -3.0081 -2.8648 -2.5529 -2.2820 -2.0283 -1.7847 -1.5536
 -6.5380 -6.3279 -5.9107 -5.4573 -5.0421 -4.6766 -4.3666 -4.0983 -3.8569 -3.6442
 -3.4487 -3.2657 -3.0950 -2.9365 -2.7903 -2.4742 -2.2059 -1.9607 -1.7305 -1.5167
 -1.3228
 -6.2639 -5.9812 -5.8477 -5.4990 -5.0951 -4.7146 -4.3769 -4.0888 -3.8384 -3.6167
 -3.4178 -3.2319 -3.0581 -2.8959 -2.7457 -2.4221 -2.1529 -1.9129 -1.6921 -1.4906
 -1.3094 -1.1492
 -6.0995 -5.6947 -5.4860 -5.3958 -5.1292 -4.7749 -4.4287 -4.1172 -3.8492 -3.6162
 -3.4110 -3.2219 -3.0446 -2.8787 -2.7242 -2.3902 -2.1169 -1.8795 -1.6656 -1.4733
 -1.3026 -1.1515 -1.0202 -0.9080
 -6.1506 -5.6708 -5.3003 -5.0642 -4.9495 -4.7843 -4.4891 -4.1778 -3.8904 -3.6412
 -3.4237 -3.2304 -3.0498 -2.8802 -2.7213 -2.3752 -2.0947 -1.8573 -1.6481 -1.4629
 -1.3004 -1.1577 -1.0330 -0.9256 -0.8326 -0.7517 -0.6775 -0.6074 -0.5500 -0.5126
 -6.2515 -5.7348 -5.3000 -4.9582 -4.7137 -4.5515 -4.4241 -4.2222 -3.9548 -3.6916
 -3.4585 -3.2547 -3.0705 -2.8972 -2.7343 -2.3755 -2.0849 -1.8445 -1.6377 -1.4576
 -1.3016 -1.1659 -1.0478 -0.9459 -0.8585 -0.7827 -0.7147 -0.6536 -0.5991 -0.5536
 -0.5263
 -6.3843 -5.8454 -5.3737 -4.9770 -4.6603 -4.4190 -4.2328 -4.0815 -3.9341 -3.7413
 -3.5137 -3.2963 -3.1041 -2.9278 -2.7611 -2.3901 -2.0871 -1.8405 -1.6335 -1.4566
 -1.3050 -1.1751 -1.0629 -0.9667 -0.8847 -0.8145 -0.7535 -0.6999 -0.6512 -0.6069
 -0.5720
 -6.5340 -5.9769 -5.4856 -5.0539 -4.6901 -4.3961 -4.1634 -3.9724 -3.8057 -3.6543
 -3.5033 -3.3322 -3.1447 -2.9657 -2.7964 -2.4150 -2.0988 -1.8432 -1.6331 -1.4571
 -1.3085 -1.1827 -1.0758 -0.9850 -0.9085 -0.8440 -0.7888 -0.7406 -0.6979 -0.6602
 -0.6272
 -6.6633 -6.1194 -5.6243 -5.1736 -4.7770 -4.4415 -4.1669 -3.9437 -3.7559 -3.5874
 -3.4314 -3.2850 -3.1414 -2.9914 -2.8361 -2.4551 -2.1259 -1.8589 -1.6426 -1.4646
 -1.3166 -1.1929 -1.0896 -1.0032 -0.9315 -0.8723 -0.8228 -0.7804 -0.7433 -0.7107
 -0.6825
 -6.7777 -6.2524 -5.7648 -5.3115 -4.8973 -4.5322 -4.2213 -3.9632 -3.7497 -3.5672
 -3.4026 -3.2490 -3.1043 -2.9676 -2.8339 -2.4946 -2.1638 -1.8843 -1.6592 -1.4767
 -1.3270 -1.2036 -1.1020 -1.0187 -0.9510 -0.8965 -0.8525 -0.8160 -0.7847 -0.7576
 -0.7328
 -6.8772 -6.3760 -5.8873 -5.4469 -5.0317 -4.6522 -4.3151 -4.0255 -3.7818 -3.5766
 -3.3999 -3.2409 -3.0923 -2.9519 -2.7898 -2.5335 -2.2125 -1.9194 -1.6829
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = BX   
 -6.7730 -6.2009 -5.7306 -5.3522 -5.0023 -4.7003 -4.4362 -4.1951 -3.9683 -3.7750
 -3.5921 -3.4205 -3.2607 -3.1125 -2.9750 -2.6705 -2.3938 -2.1355 -1.8937
 -6.8123 -6.2727 -5.7662 -5.3304 -4.9636 -4.6391 -4.3611 -4.1125 -3.8812 -3.6830
 -3.4971 -3.3233 -3.1614 -3.0112 -2.8718 -2.5673 -2.3040 -2.0585 -1.8217 -1.5941
 -6.4880 -6.3184 -5.8283 -5.3823 -4.9796 -4.6287 -4.3296 -4.0708 -3.8346 -3.6300
 -3.4414 -3.2653 -3.1010 -2.9480 -2.8060 -2.4971 -2.2349 -1.9955 -1.7692 -1.5563
 -1.3611
