 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -5.3154 -4.7090 -4.1835 -3.7469 -3.3942 -3.1122 -2.8861 -2.7029 -2.5529 -2.4280
 -2.3224 -2.2327 -2.1538 -2.0765 -1.9964 -1.7937 -1.6211 -1.4937 -1.4044 -1.3432
 -1.2986 -1.2717 -1.2473 -1.2254 -1.2049 -1.1855 -1.1680 -1.1515 -1.1394 -1.1354
 -1.1420
 -5.3029 -4.7170 -4.1941 -3.7541 -3.3930 -3.1029 -2.8703 -2.6821 -2.5279 -2.3998
 -2.2911 -2.1965 -2.1127 -2.0376 -1.9676 -1.7895 -1.6228 -1.4937 -1.4025 -1.3411
 -1.3012 -1.2754 -1.2567 -1.2407 -1.2256 -1.2107 -1.1964 -1.1830 -1.1715 -1.1634
 -1.1615
 -5.2573 -4.7072 -4.2107 -3.7775 -3.4158 -3.1207 -2.8824 -2.6883 -2.5287 -2.3954
 -2.2820 -2.1837 -2.0962 -2.0169 -1.9442 -1.7793 -1.6245 -1.4957 -1.4016 -1.3379
 -1.2974 -1.2736 -1.2596 -1.2498 -1.2409 -1.2318 -1.2225 -1.2130 -1.2039 -1.1962
 -1.1890
 -5.1847 -4.6811 -4.2197 -3.8025 -3.4471 -3.1510 -2.9078 -2.7083 -2.5431 -2.4043
 -2.2855 -2.1825 -2.0913 -2.0091 -1.9336 -1.7676 -1.6220 -1.4972 -1.4012 -1.3343
 -1.2918 -1.2678 -1.2562 -1.2513 -1.2488 -1.2463 -1.2432 -1.2390 -1.2342 -1.2294
 -1.2255
 -5.0905 -4.6416 -4.2213 -3.8315 -3.4871 -3.1923 -2.9450 -2.7391 -2.5670 -2.4218
 -2.2972 -2.1890 -2.0936 -2.0082 -1.9358 -1.7544 -1.6153 -1.4982 -1.4013
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  V   
 -7.4094 -7.0417 -6.7108 -6.4051 -6.1314 -5.7835 -5.2455 -4.5061 -3.8254 -3.2985
 -2.9196 -2.6476 -2.4447 -2.2831 -2.1472 -1.8788 -1.6775 -1.5170 -1.3878
 -7.0780 -6.6594 -6.2856 -5.9479 -5.6261 -5.2746 -4.8027 -4.1889 -3.6247 -3.1685
 -2.8229 -2.5662 -2.3712 -2.2158 -2.0852 -1.8279 -1.6381 -1.4932 -1.3792 -1.2894
 -6.8647 -6.3987 -5.9780 -5.5990 -5.2504 -4.9043 -4.4969 -3.9861 -3.5023 -3.0956
 -2.7741 -2.5267 -2.3354 -2.1824 -2.0543 -1.8023 -1.6189 -1.4820 -1.3768 -1.2944
 -1.2296
 -6.6761 -6.1978 -5.7509 -5.3393 -4.9619 -4.6099 -4.2542 -3.8315 -3.4126 -3.0472
 -2.7474 -2.5091 -2.3208 -2.1690 -2.0421 -1.7926 -1.6112 -1.4783 -1.3784 -1.3013
 -1.2410 -1.1925
 -6.2815 -5.8685 -5.4836 -5.1072 -4.7350 -4.3789 -4.0419 -3.6937 -3.3335 -3.0061
 -2.7281 -2.5005 -2.3163 -2.1662 -2.0404 -1.7923 -1.6107 -1.4789 -1.3820 -1.3087
 -1.2523 -1.2074 -1.1700 -1.1381
 -5.9364 -5.4580 -5.0567 -4.7141 -4.4078 -4.1195 -3.8319 -3.5412 -3.2438 -2.9592
 -2.7067 -2.4925 -2.3147 -2.1676 -2.0435 -1.7971 -1.6144 -1.4818 -1.3862 -1.3156
 -1.2625 -1.2213 -1.1874 -1.1582 -1.1327 -1.1110 -1.0940 -1.0837 -1.0823 -1.0865
 -5.8117 -5.2658 -4.7983 -4.4060 -4.0759 -3.7894 -3.5326 -3.2978 -3.0741 -2.8615
 -2.6603 -2.4748 -2.3102 -2.1689 -2.0474 -1.8042 -1.6205 -1.4860 -1.3899 -1.3209
 -1.2705 -1.2330 -1.2033 -1.1778 -1.1551 -1.1350 -1.1179 -1.1050 -1.0984 -1.1012
 -1.1105
 -5.8274 -5.2340 -4.7124 -4.2689 -3.8983 -3.5893 -3.3264 -3.0963 -2.8889 -2.7028
 -2.5431 -2.4062 -2.2810 -2.1614 -2.0489 -1.8118 -1.6279 -1.4908 -1.3930 -1.3241
 -1.2756 -1.2414 -1.2160 -1.1952 -1.1766 -1.1594 -1.1443 -1.1314 -1.1229 -1.1190
 -1.1247
 -5.8955 -5.2807 -4.7248 -4.2403 -3.8316 -3.4937 -3.2147 -2.9807 -2.7801 -2.6050
 -2.4519 -2.3210 -2.2117 -2.1177 -2.0290 -1.8158 -1.6338 -1.4947 -1.3943 -1.3244
 -1.2769 -1.2452 -1.2240 -1.2083 -1.1948 -1.1820 -1.1702 -1.1593 -1.1504 -1.1448
 -1.1450
 -5.9595 -5.3552 -4.7879 -4.2808 -3.8438 -3.4785 -3.1785 -2.9328 -2.7288 -2.5568
 -2.4092 -2.2816 -2.1714 -2.0765 -1.9942 -1.8121 -1.6410 -1.5007 -1.3971 -1.3245
