 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  Hp  
 -2.7137 -2.6463 -2.5803 -2.5087 -2.4280 -2.2411 -2.0971 -1.9897 -1.9102 -1.8486
 -1.7984 -1.7557 -1.7185 -1.6853 -1.6557 -1.6298
 -3.9510 -3.7042 -3.4905 -3.3087 -3.1553 -3.0268 -2.9210 -2.8348 -2.7639 -2.7030
 -2.6474 -2.5901 -2.5289 -2.4667 -2.3966 -2.2236 -2.0865 -1.9855 -1.9130 -1.8583
 -1.8138 -1.7756 -1.7417 -1.7112 -1.6833 -1.6580 -1.6360 -1.6197 -1.6117 -1.6133
 -3.8507 -3.6326 -3.4426 -3.2786 -3.1364 -3.0124 -2.9044 -2.8113 -2.7322 -2.6637
 -2.6015 -2.5423 -2.4834 -2.4270 -2.3669 -2.2094 -2.0782 -1.9807 -1.9124 -1.8638
 -1.8256 -1.7929 -1.7637 -1.7368 -1.7117 -1.6882 -1.6672 -1.6488 -1.6367 -1.6344
 -1.6420
 -3.7333 -3.5424 -3.3762 -3.2322 -3.1055 -2.9920 -2.8887 -2.7950 -2.7113 -2.6377
 -2.5718 -2.5104 -2.4512 -2.3936 -2.3385 -2.1957 -2.0711 -1.9755 -1.9087 -1.8637
 -1.8314 -1.8051 -1.7816 -1.7597 -1.7388 -1.7186 -1.6996 -1.6825 -1.6684 -1.6601
 -1.6634
 -3.6037 -3.4385 -3.2936 -3.1679 -3.0573 -2.9567 -2.8629 -2.7744 -2.6917 -2.6158
 -2.5472 -2.4846 -2.4256 -2.3685 -2.3142 -2.1802 -2.0628 -1.9698 -1.9029 -1.8589
 -1.8303 -1.8099 -1.7930 -1.7774 -1.7620 -1.7465 -1.7312 -1.7165 -1.7032 -1.6930
 -1.6892
 -3.4744 -3.3328 -3.2055 -3.0943 -2.9971 -2.9091 -2.8263 -2.7462 -2.6689 -2.5949
