 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
  0.4815  0.4406  0.4006  0.3612  0.3197  0.2756  0.2287  0.1802  0.1318  0.0856
  0.0430  0.0040 -0.0322 -0.0679 -0.1050 -0.2110 -0.3403 -0.4932 -0.6508 -0.8027
 -0.9484 -1.0890 -1.2248 -1.3565 -1.4838 -1.6065 -1.7247 -1.8387 -1.9488 -2.0554
 -2.1542
  0.4667  0.4238  0.3867  0.3494  0.3114  0.2708  0.2273  0.1815  0.1341  0.0866
  0.0405 -0.0034 -0.0444 -0.0833 -0.1216 -0.2311 -0.3530 -0.4912 -0.6472
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =F322W2
  0.5404  0.5322  0.5301  0.5348  0.5485  0.5602  0.5572  0.5294  0.4741  0.4070
  0.3341  0.2595  0.1855  0.1130  0.0426 -0.1263 -0.2878 -0.4443 -0.5984
  0.4857  0.4713  0.4655  0.4680  0.4774  0.4915  0.4998  0.4804  0.4382  0.3806
  0.3137  0.2424  0.1694  0.0969  0.0256 -0.1461 -0.3097 -0.4663 -0.6170 -0.7647
  0.4422  0.4209  0.4087  0.4061  0.4124  0.4260  0.4391  0.4306  0.4005  0.3538
  0.2952  0.2292  0.1593  0.0878  0.0165 -0.1571 -0.3228 -0.4806 -0.6312 -0.7778
 -0.9239
  0.4106  0.3810  0.3606  0.3502  0.3502  0.3600  0.3752  0.3766  0.3573  0.3218
  0.2731  0.2149  0.1503  0.0818  0.0115 -0.1627 -0.3301 -0.4895 -0.6410 -0.7873
 -0.9320 -1.0744
  0.4002  0.3582  0.3262  0.3048  0.2948  0.2964  0.3082  0.3175  0.3080  0.2826
  0.2442  0.1953  0.1383  0.0752  0.0080 -0.1650 -0.3335 -0.4945 -0.6474 -0.7941
 -0.9379 -1.0790 -1.2162 -1.3493
  0.4433  0.3788  0.3239  0.2821  0.2547  0.2420  0.2435  0.2536  0.2527  0.2362
  0.2073  0.1680  0.1202  0.0648  0.0030 -0.1656 -0.3346 -0.4968 -0.6511 -0.7986
 -0.9420 -1.0822 -1.2184 -1.3505 -1.4787 -1.6033 -1.7247 -1.8430 -1.9575 -2.0671
  0.4959  0.4365  0.3743  0.3138  0.2607  0.2203  0.1974  0.1943  0.1950  0.1846
  0.1631  0.1323  0.0936  0.0473 -0.0064 -0.1657 -0.3341 -0.4972 -0.6528 -0.8013
 -0.9447 -1.0844 -1.2199 -1.3513 -1.4785 -1.6020 -1.7221 -1.8389 -1.9526 -2.0626
 -2.1681
  0.5148  0.4644  0.4108  0.3541  0.2974  0.2450  0.2019  0.1724  0.1579  0.1423
  0.1203  0.0927  0.0599  0.0215 -0.0233 -0.1670 -0.3327 -0.4963 -0.6530 -0.8024
 -0.9462 -1.0856 -1.2207 -1.3516 -1.4782 -1.6009 -1.7200 -1.8357 -1.9482 -2.0575
 -2.1633
  0.5124  0.4674  0.4208  0.3711  0.3186  0.2655  0.2159  0.1743  0.1436  0.1197
  0.0935  0.0626  0.0285 -0.0082 -0.0482 -0.1734 -0.3331 -0.4966 -0.6542 -0.8048
 -0.9492 -1.0887 -1.2236 -1.3542 -1.4807 -1.6030 -1.7215 -1.8364 -1.9480 -2.0564
 -2.1618
  0.5013  0.4590  0.4165  0.3725  0.3255  0.2761  0.2258  0.1783  0.1368  0.1024
  0.0717  0.0401  0.0057 -0.0315 -0.0712 -0.1851 -0.3318 -0.4937 -0.6516 -0.8029
