 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -8.3889 -8.0442 -7.7398 -7.4765 -7.2385 -6.9732 -6.5549 -5.8971 -5.2288 -4.6652
 -4.2433 -3.9423 -3.7273 -3.5677 -3.4413 -3.2016 -3.0228 -2.8831 -2.7710 -2.6798
 -8.1638 -7.7878 -7.4458 -7.1439 -6.8761 -6.6072 -6.2451 -5.6982 -5.1268 -4.6211
 -4.2208 -3.9225 -3.7045 -3.5425 -3.4157 -3.1788 -3.0046 -2.8708 -2.7655 -2.6809
 -2.6122
 -7.9869 -7.5947 -7.2252 -6.8872 -6.5825 -6.2975 -5.9856 -5.5389 -5.0487 -4.5959
 -4.2185 -3.9241 -3.7018 -3.5348 -3.4052 -3.1679 -2.9957 -2.8650 -2.7642 -2.6841
 -2.6197 -2.5673
 -7.7513 -7.3820 -7.0236 -6.6796 -6.3533 -6.0450 -5.7460 -5.3889 -4.9727 -4.5708
 -4.2205 -3.9346 -3.7105 -3.5382 -3.4043 -3.1643 -2.9925 -2.8634 -2.7651 -2.6885
 -2.6276 -2.5786 -2.5384 -2.5040
 -7.3785 -7.0015 -6.6847 -6.3997 -6.1198 -5.8312 -5.5337 -5.2308 -4.8859 -4.5354
 -4.2163 -3.9446 -3.7231 -3.5477 -3.4096 -3.1650 -2.9926 -2.8638 -2.7670 -2.6929
 -2.6350 -2.5894 -2.5526 -2.5217 -2.4953 -2.4729 -2.4549 -2.4421 -2.4361 -2.4372
 -7.1847 -6.7228 -6.3363 -6.0191 -5.7495 -5.5044 -5.2659 -5.0164 -4.7481 -4.4657
 -4.1916 -3.9447 -3.7335 -3.5591 -3.4183 -3.1682 -2.9946 -2.8654 -2.7690 -2.6965
 -2.6412 -2.5987 -2.5656 -2.5384 -2.5151 -2.4949 -2.4781 -2.4647 -2.4564 -2.4553
 -2.4615
 -7.1684 -6.6428 -6.1854 -5.7999 -5.4800 -5.2087 -4.9667 -4.7388 -4.5129 -4.2912
 -4.0865 -3.8975 -3.7225 -3.5644 -3.4273 -3.1732 -2.9977 -2.8673 -2.7705 -2.6988
 -2.6454 -2.6057 -2.5762 -2.5531 -2.5339 -2.5171 -2.5026 -2.4904 -2.4812 -2.4775
 -2.4811
 -7.2517 -6.6871 -6.1770 -5.7328 -5.3574 -5.0436 -4.7782 -4.5453 -4.3315 -4.1295
 -3.9437 -3.7827 -3.6470 -3.5280 -3.4171 -3.1769 -2.9996 -2.8679 -2.7703 -2.6986
 -2.6466 -2.6092 -2.5830 -2.5643 -2.5498 -2.5373 -2.5264 -2.5168 -2.5092 -2.5046
 -2.5047
 -7.3715 -6.7941 -6.2551 -5.7706 -5.3493 -4.9930 -4.6958 -4.4457 -4.2302 -4.0391
 -3.8667 -3.7134 -3.5814 -3.4711 -3.3779 -3.1773 -3.0039 -2.8704 -2.7711 -2.6983
 -2.6464 -2.6103 -2.5865 -2.5716 -2.5617 -2.5542 -2.5480 -2.5424 -2.5376 -2.5347
 -2.5337
 -7.4503 -6.8899 -6.3532 -5.8503 -5.4024 -5.0142 -4.6871 -4.4146 -4.1869 -3.9936
