 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  0.7971  0.8161  0.8550  0.8902  0.9277  0.9605  0.9785  0.9900  1.0007  1.0148
  1.0255  1.0313  1.0311  1.0254  1.0152  0.9753  0.9186  0.8484  0.7666
  0.8937  0.8300  0.8442  0.8791  0.9093  0.9387  0.9581  0.9707  0.9818  0.9947
  1.0039  1.0079  1.0059  0.9985  0.9870  0.9448  0.8885  0.8208  0.7423  0.6557
  0.9673  0.9436  0.8845  0.8749  0.9019  0.9254  0.9454  0.9584  0.9686  0.9799
  0.9881  0.9912  0.9884  0.9801  0.9676  0.9235  0.8668  0.8000  0.7237  0.6395
  0.5517
  1.0019  0.9965  0.9843  0.9465  0.9103  0.9217  0.9388  0.9518  0.9605  0.9694
  0.9766  0.9793  0.9762  0.9676  0.9546  0.9090  0.8514  0.7848  0.7095  0.6270
  0.5406  0.4534
  1.0387  1.0267  1.0217  1.0139  0.9948  0.9593  0.9420  0.9496  0.9572  0.9630
  0.9687  0.9709  0.9679  0.9594  0.9462  0.8994  0.8409  0.7740  0.6991  0.6175
  0.5318  0.4455  0.3595  0.2738
  1.0828  1.0602  1.0484  1.0417  1.0341  1.0222  1.0014  0.9739  0.9611  0.9618
  0.9641  0.9654  0.9625  0.9542  0.9410  0.8936  0.8342  0.7667  0.6918  0.6107
  0.5253  0.4389  0.3534  0.2686  0.1842  0.0994  0.0137 -0.0729 -0.1601 -0.2466
  1.1341  1.1011  1.0795  1.0661  1.0565  1.0471  1.0362  1.0222  1.0026  0.9810
  0.9681  0.9636  0.9596  0.9514  0.9385  0.8906  0.8304  0.7624  0.6875  0.6064
  0.5210  0.4340  0.3481  0.2635  0.1799  0.0967  0.0136 -0.0700 -0.1548 -0.2411
 -0.3250
  1.1905  1.1489  1.1177  1.0955  1.0798  1.0668  1.0547  1.0424  1.0291  1.0140
  0.9956  0.9774  0.9638  0.9519  0.9383  0.8902  0.8291  0.7606  0.6855  0.6046
  0.5191  0.4314  0.3443  0.2589  0.1752  0.0928  0.0113 -0.0700 -0.1520 -0.2353
 -0.3203
  1.2490  1.2016  1.1623  1.1316  1.1081  1.0895  1.0733  1.0583  1.0435  1.0289
  1.0135  0.9965  0.9787  0.9605  0.9425  0.8916  0.8295  0.7603  0.6849  0.6041
  0.5186  0.4301  0.3414  0.2543  0.1695  0.0866  0.0050 -0.0755 -0.1555 -0.2360
 -0.3170
  1.3063  1.2563  1.2116  1.1738  1.1428  1.1174  1.0960  1.0768  1.0586  1.0411
  1.0240  1.0066  0.9887  0.9699  0.9495  0.8949  0.8327  0.7629  0.6874  0.6068
  0.5217  0.4330  0.3430  0.2541  0.1675  0.0833  0.0011 -0.0793 -0.1584 -0.2369
 -0.3153
  1.3600  1.3095  1.2623  1.2199  1.1829  1.1511  1.1236  1.0995  1.0773  1.0562
  1.0358  1.0158  0.9959  0.9758  0.9549  0.8976  0.8361  0.7669  0.6913  0.6110
  0.5264  0.4380  0.3474  0.2568  0.1681  0.0820 -0.0017 -0.0830 -0.1624 -0.2403
 -0.3172
  1.4102  1.3600  1.3120  1.2672  1.2264  1.1896  1.1567  1.1273  1.1005  1.0755
  1.0516  1.0282  1.0053  0.9827  0.9601  0.9006  0.8380  0.7707  0.6960
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  J   
  0.7941  0.8321  0.8704  0.9031  0.9344  0.9655  0.9839  0.9958  1.0037  1.0153
  1.0245  1.0300  1.0304  1.0254  1.0158  0.9769  0.9214  0.8528  0.7734
  0.8359  0.8197  0.8559  0.8911  0.9189  0.9454  0.9639  0.9757  0.9854  0.9962
  1.0043  1.0083  1.0071  1.0007  0.9898  0.9483  0.8924  0.8256  0.7490  0.6641
  0.9449  0.8900  0.8543  0.8824  0.9118  0.9339  0.9517  0.9634  0.9724  0.9821
  0.9892  0.9924  0.9906  0.9835  0.9718  0.9286  0.8720  0.8057  0.7308  0.6484
  0.5609
  0.9825  0.9783  0.9474  0.8982  0.9072  0.9296  0.9454  0.9567  0.9644  0.9716
  0.9780  0.9807  0.9787  0.9715  0.9595  0.9151  0.8577  0.7913  0.7171  0.6362
  0.5504  0.4628
  1.0127  1.0090  1.0068  0.9918  0.9539  0.9322  0.9438  0.9544  0.9606  0.9650
  0.9699  0.9721  0.9701  0.9630  0.9512  0.9061  0.8478  0.7810  0.7071  0.6270
  0.5423  0.4557  0.3691  0.2827
  1.0501  1.0365  1.0320  1.0289  1.0200  0.9996  0.9693  0.9573  0.9607  0.9630
  0.9647  0.9660  0.9640  0.9572  0.9457  0.9004  0.8414  0.7741  0.7001  0.6203
  0.5362  0.4500  0.3639  0.2785  0.1933  0.1077  0.0212 -0.0667 -0.1552 -0.2411
  1.0956  1.0711  1.0575  1.0505  1.0449  1.0366  1.0237  1.0036  0.9802  0.9676
  0.9641  0.9626  0.9599  0.9534  0.9423  0.8972  0.8376  0.7699  0.6958  0.6161
  0.5322  0.4459  0.3596  0.2743  0.1899  0.1059  0.0219 -0.0628 -0.1487 -0.2354
 -0.3200
  1.1479  1.1136  1.0899  1.0748  1.0646  1.0558  1.0458  1.0339  1.0190  1.0004
  0.9809  0.9670  0.9591  0.9516  0.9407  0.8961  0.8362  0.7681  0.6938  0.6143
  0.5304  0.4438  0.3567  0.2707  0.1862  0.1028  0.0199 -0.0625 -0.1453 -0.2292
 -0.3145
  1.2041  1.1621  1.1297  1.1058  1.0884  1.0747  1.0623  1.0498  1.0364  1.0220
  1.0061  0.9881  0.9708  0.9562  0.9420  0.8967  0.8362  0.7676  0.6931  0.6135
  0.5296  0.4426  0.3544  0.2670  0.1815  0.0977  0.0151 -0.0665 -0.1476 -0.2288
 -0.3110
  1.2611  1.2146  1.1753  1.1436  1.1186  1.0985  1.0814  1.0657  1.0502  1.0346
  1.0188  1.0023  0.9847  0.9670  0.9488  0.8994  0.8389  0.7699  0.6953  0.6160
  0.5324  0.4453  0.3562  0.2673  0.1802  0.0952  0.0121 -0.0693 -0.1496 -0.2291
 -0.3086
  1.3159  1.2673  1.2239  1.1863  1.1547  1.1282  1.1054  1.0853  1.0663  1.0479
  1.0297  1.0115  0.9931  0.9743  0.9550  0.9020  0.8424  0.7738  0.6991  0.6199
  0.5367  0.4498  0.3604  0.2703  0.1813  0.0945  0.0101 -0.0722 -0.1526 -0.2316
 -0.3093
  1.3684  1.3190  1.2729  1.2316  1.1950  1.1631  1.1349  1.1097  1.0865  1.0647
  1.0434  1.0224  1.0016  0.9808  0.9599  0.9042  0.8440  0.7779  0.7039
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  J   
  0.8139  0.8534  0.8884  0.9170  0.9443  0.9714  0.9885  1.0023  1.0097  1.0179
  1.0252  1.0299  1.0304  1.0261  1.0172  0.9796  0.9254  0.8579  0.7801
  0.8531  0.8323  0.8716  0.9042  0.9304  0.9537  0.9700  0.9821  0.9906  0.9996
  1.0061  1.0096  1.0089  1.0033  0.9932  0.9529  0.8978  0.8317  0.7564  0.6733
  0.9092  0.8429  0.8596  0.8945  0.9220  0.9440  0.9589  0.9699  0.9777  0.9859
  0.9917  0.9944  0.9931  0.9870  0.9764  0.9347  0.8787  0.8128  0.7388  0.6579
  0.5713
  0.9693  0.9532  0.8942  0.8890  0.9166  0.9382  0.9531  0.9627  0.9694  0.9755
  0.9807  0.9829  0.9813  0.9753  0.9646  0.9221  0.8654  0.7992  0.7257  0.6461
  0.5614  0.4737
  0.9950  0.9970  0.9899  0.9524  0.9206  0.9356  0.9511  0.9603  0.9651  0.9685
  0.9725  0.9741  0.9724  0.9665  0.9561  0.9134  0.8561  0.7896  0.7162  0.6373
  0.5538  0.4674  0.3802  0.2931
  1.0246  1.0200  1.0209  1.0170  0.9984  0.9645  0.9527  0.9606  0.9650  0.9660
  0.9669  0.9677  0.9657  0.9601  0.9500  0.9077  0.8498  0.7830  0.7095  0.6308
  0.5481  0.4624  0.3760  0.2898  0.2038  0.1174  0.0298 -0.0592 -0.1483 -0.2345
  1.0635  1.0477  1.0419  1.0400  1.0358  1.0247  1.0041  0.9793  0.9687  0.9677
  0.9654  0.9636  0.9610  0.9554  0.9458  0.9042  0.8460  0.7788  0.7052  0.6267
  0.5442  0.4589  0.3726  0.2867  0.2015  0.1165  0.0314 -0.0543 -0.1412 -0.2285
 -0.3132
  1.1092  1.0833  1.0681  1.0598  1.0542  1.0477  1.0378  1.0236  1.0045  0.9843
  0.9709  0.9635  0.9584  0.9524  0.9431  0.9025  0.8443  0.7768  0.7032  0.6247
  0.5424  0.4571  0.3704  0.2841  0.1989  0.1146  0.0307 -0.0530 -0.1371 -0.2218
 -0.3075
  1.1608  1.1263  1.1017  1.0853  1.0738  1.0644  1.0546  1.0432  1.0298  1.0141
  0.9962  0.9779  0.9632  0.9526  0.9421  0.9022  0.8440  0.7762  0.7023  0.6238
  0.5413  0.4558  0.3685  0.2812  0.1951  0.1105  0.0269 -0.0557 -0.1379 -0.2204
 -0.3036
  1.2151  1.1744  1.1421  1.1176  1.0991  1.0842  1.0709  1.0579  1.0440  1.0293
  1.0137  0.9968  0.9788  0.9619  0.9465  0.9038  0.8461  0.7782  0.7043  0.6260
  0.5436  0.4580  0.3703  0.2819  0.1945  0.1089  0.0250 -0.0575 -0.1389 -0.2206
 -0.3005
  1.2694  1.2248  1.1867  1.1556  1.1303  1.1095  1.0913  1.0746  1.0582  1.0417
  1.0249  1.0077  0.9899  0.9716  0.9537  0.9062  0.8494  0.7816  0.7078  0.6297
  0.5476  0.4621  0.3742  0.2849  0.1961  0.1090  0.0239 -0.0593 -0.1408 -0.2211
 -0.2999
  1.3224  1.2751  1.2333  1.1971  1.1663  1.1400  1.1168  1.0958  1.0758  1.0564
  1.0372  1.0179  0.9985  0.9789  0.9592  0.9080  0.8512  0.7859  0.7125
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  J   
  0.8398  0.8751  0.9052  0.9292  0.9562  0.9816  0.9960  1.0075  1.0163  1.0231
  1.0282  1.0315  1.0316  1.0276  1.0193  0.9830  0.9303  0.8645  0.7878
  0.8252  0.8515  0.8879  0.9169  0.9404  0.9634  0.9770  0.9887  0.9976  1.0050
  1.0098  1.0123  1.0113  1.0063  0.9969  0.9582  0.9042  0.8391  0.7647  0.6831
  0.8562  0.8376  0.8736  0.9071  0.9320  0.9524  0.9670  0.9768  0.9839  0.9915
  0.9957  0.9976  0.9962  0.9908  0.9811  0.9413  0.8864  0.8212  0.7478  0.6681
  0.5827
  0.9239  0.9062  0.8702  0.8987  0.9267  0.9463  0.9606  0.9695  0.9754  0.9808
  0.9848  0.9861  0.9844  0.9790  0.9695  0.9294  0.8739  0.8085  0.7354  0.6568
  0.5732  0.4859
  0.9844  0.9863  0.9584  0.9100  0.9226  0.9442  0.9580  0.9663  0.9707  0.9732
  0.9763  0.9771  0.9752  0.9699  0.9607  0.9209  0.8651  0.7994  0.7265  0.6484
  0.5660  0.4802  0.3927  0.3050
  1.0072  1.0100  1.0121  0.9989  0.9609  0.9450  0.9580  0.9666  0.9699  0.9702
  0.9702  0.9703  0.9680  0.9628  0.9539  0.9149  0.8589  0.7930  0.7201  0.6423
  0.5606  0.4758  0.3893  0.3024  0.2156  0.1284  0.0399 -0.0503 -0.1400 -0.2267
  1.0369  1.0314  1.0322  1.0324  1.0250  1.0042  0.9766  0.9692  0.9721  0.9712
  0.9682  0.9657  0.9628  0.9574  0.9489  0.9109  0.8549  0.7888  0.7160  0.6383
  0.5569  0.4727  0.3867  0.3003  0.2144  0.1286  0.0423 -0.0447 -0.1324 -0.2202
 -0.3052
  1.0763  1.0594  1.0528  1.0501  1.0473  1.0403  1.0273  1.0077  0.9871  0.9763
  0.9710  0.9647  0.9596  0.9536  0.9453  0.9086  0.8529  0.7866  0.7137  0.6361
  0.5550  0.4709  0.3850  0.2986  0.2128  0.1278  0.0430 -0.0416 -0.1268 -0.2130
 -0.2992
  1.1180  1.0953  1.0797  1.0705  1.0640  1.0574  1.0486  1.0368  1.0216  1.0035
  0.9854  0.9711  0.9604  0.9520  0.9432  0.9074  0.8522  0.7857  0.7125  0.6349
  0.5536  0.4694  0.3832  0.2963  0.2100  0.1248  0.0404 -0.0434 -0.1268 -0.2104
 -0.2948
  1.1699  1.1376  1.1135  1.0968  1.0846  1.0741  1.0637  1.0522  1.0389  1.0241
  1.0077  0.9901  0.9724  0.9568  0.9441  0.9078  0.8537  0.7873  0.7143  0.6367
  0.5555  0.4712  0.3848  0.2974  0.2102  0.1243  0.0396 -0.0438 -0.1264 -0.2085
 -0.2904
  1.2248  1.1842  1.1526  1.1290  1.1106  1.0953  1.0811  1.0671  1.0524  1.0370
  1.0208  1.0038  0.9862  0.9679  0.9508  0.9094  0.8563  0.7904  0.7175  0.6402
  0.5591  0.4748  0.3883  0.3003  0.2122  0.1251  0.0395 -0.0445 -0.1271 -0.2086
 -0.2888
  1.2826  1.2352  1.1965  1.1653  1.1413  1.1211  1.1028  1.0854  1.0679  1.0503
  1.0324  1.0141  0.9956  0.9767  0.9633  0.9122  0.8600  0.7950  0.7221
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  J   
  0.8642  0.8972  0.9224  0.9406  0.9674  0.9902  1.0062  1.0162  1.0247  1.0296
  1.0330  1.0348  1.0341  1.0299  1.0219  0.9869  0.9356  0.8713  0.7962
  0.8362  0.8737  0.9053  0.9304  0.9506  0.9718  0.9871  0.9970  1.0062  1.0119
  1.0151  1.0163  1.0148  1.0098  1.0010  0.9638  0.9111  0.8472  0.7739  0.6934
  0.8805  0.8524  0.8910  0.9199  0.9414  0.9604  0.9751  0.9846  0.9912  0.9983
  1.0013  1.0019  1.0000  0.9948  0.9858  0.9479  0.8944  0.8304  0.7578  0.6789
  0.5947
  0.9307  0.8629  0.8776  0.9110  0.9365  0.9536  0.9676  0.9766  0.9820  0.9873
  0.9903  0.9904  0.9882  0.9830  0.9742  0.9366  0.8828  0.8184  0.7462  0.6682
  0.5857  0.4992
  0.9779  0.9683  0.9098  0.9054  0.9320  0.9521  0.9647  0.9726  0.9766  0.9787
  0.9815  0.9812  0.9786  0.9734  0.9650  0.9282  0.8743  0.8099  0.7378  0.6603
  0.5788  0.4938  0.4064  0.3178
  0.9969  1.0034  1.0001  0.9632  0.9342  0.9506  0.9650  0.9722  0.9750  0.9751
  0.9746  0.9740  0.9710  0.9657  0.9575  0.9218  0.8682  0.8037  0.7318  0.6546
  0.5737  0.4898  0.4036  0.3163  0.2289  0.1406  0.0507 -0.0401 -0.1303 -0.2175
  1.0188  1.0214  1.0257  1.0241  1.0057  0.9729  0.9664  0.9745  0.9769  0.9753
  0.9720  0.9689  0.9654  0.9597  0.9516  0.9170  0.8640  0.7995  0.7276  0.6507
  0.5702  0.4868  0.4014  0.3149  0.2284  0.1421  0.0553 -0.0328 -0.1222 -0.2105
 -0.2960
  1.0498  1.0426  1.0428  1.0437  1.0410  1.0302  1.0095  0.9881  0.9811  0.9792
  0.9738  0.9673  0.9617  0.9555  0.9473  0.9138  0.8614  0.7969  0.7251  0.6484
  0.5682  0.4851  0.4000  0.3139  0.2278  0.1422  0.0564 -0.0297 -0.1161 -0.2027
 -0.2895
  1.0822  1.0708  1.0637  1.0605  1.0574  1.0520  1.0423  1.0280  1.0097  0.9923
  0.9805  0.9711  0.9614  0.9532  0.9445  0.9117  0.8601  0.7956  0.7236  0.6468
  0.5665  0.4834  0.3983  0.3121  0.2259  0.1403  0.0553 -0.0293 -0.1138 -0.1987
 -0.2844
  1.1264  1.1055  1.0907  1.0815  1.0745  1.0672  1.0584  1.0474  1.0337  1.0180
  1.0007  0.9836  0.9684  0.9550  0.9438  0.9110  0.8608  0.7967  0.7248  0.6482
  0.5680  0.4848  0.3997  0.3133  0.2267  0.1408  0.0557 -0.0285 -0.1121 -0.1955
 -0.2786
  1.1745  1.1460  1.1239  1.1076  1.0958  1.0851  1.0738  1.0616  1.0479  1.0329
  1.0168  0.9997  0.9821  0.9645  0.9482  0.9115  0.8626  0.7994  0.7277  0.6512
  0.5712  0.4881  0.4028  0.3161  0.2290  0.1423  0.0565 -0.0281 -0.1115 -0.1942
 -0.2760
  1.2267  1.1924  1.1633  1.1382  1.1212  1.1067  1.0925  1.0777  1.0621  1.0456
  1.0286  1.0109  0.9928  0.9743  0.9577  0.9132  0.8655  0.8037  0.7323
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value =  J   
  0.8971  0.9195  0.9379  0.9527  0.9804  1.0007  1.0151  1.0257  1.0331  1.0376
  1.0397  1.0399  1.0380  1.0329  1.0246  0.9910  0.9382  0.8760  0.8031
  0.8642  0.8965  0.9224  0.9425  0.9617  0.9818  0.9959  1.0052  1.0148  1.0200
  1.0221  1.0219  1.0194  1.0141  1.0055  0.9695  0.9181  0.8556  0.7836  0.7039
  0.8376  0.8730  0.9068  0.9328  0.9499  0.9690  0.9834  0.9924  0.9998  1.0064
  1.0083  1.0077  1.0049  0.9994  0.9907  0.9545  0.9025  0.8398  0.7684  0.6904
  0.6071
  0.9216  0.8591  0.8921  0.9235  0.9461  0.9613  0.9752  0.9838  0.9891  0.9950
  0.9970  0.9961  0.9930  0.9874  0.9790  0.9434  0.8914  0.8286  0.7575  0.6803
  0.5986  0.5130
  0.9709  0.9283  0.8891  0.9153  0.9416  0.9594  0.9705  0.9788  0.9830  0.9849
  0.9877  0.9866  0.9831  0.9775  0.9693  0.9348  0.8832  0.8204  0.7496  0.6729
  0.5921  0.5079  0.4210  0.3321
  0.9915  0.9970  0.9743  0.9257  0.9380  0.9583  0.9710  0.9775  0.9802  0.9804
  0.9799  0.9789  0.9751  0.9693  0.9612  0.9279  0.8770  0.8144  0.7437  0.6674
  0.5873  0.5041  0.4184  0.3310  0.2429  0.1543  0.0638 -0.0286 -0.1191 -0.2070
