 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  o   
 -1.8570 -1.8256 -1.7906 -1.7492 -1.7043 -1.6064 -1.5373 -1.4945 -1.4740 -1.4690
 -1.4718 -1.4784 -1.4874 -1.4987
 -2.2711 -2.1772 -2.0927 -2.0187 -1.9558 -1.9048 -1.8650 -1.8358 -1.8180 -1.8124
 -1.8081 -1.7941 -1.7692 -1.7366 -1.6986 -1.6072 -1.5407 -1.4995 -1.4802 -1.4773
 -1.4829 -1.4919 -1.5027 -1.5149 -1.5285 -1.5432 -1.5606 -1.5825 -1.6095 -1.6400
 -2.2424 -2.1613 -2.0849 -2.0152 -1.9528 -1.8981 -1.8516 -1.8132 -1.7825 -1.7586
 -1.7426 -1.7338 -1.7248 -1.7087 -1.6837 -1.6047 -1.5411 -1.5011 -1.4826 -1.4815
 -1.4905 -1.5030 -1.5165 -1.5307 -1.5456 -1.5612 -1.5782 -1.5972 -1.6200 -1.6497
 -1.6839
 -2.1902 -2.1249 -2.0613 -2.0008 -1.9441 -1.8919 -1.8446 -1.8025 -1.7662 -1.7354
 -1.7092 -1.6879 -1.6727 -1.6612 -1.6477 -1.5956 -1.5380 -1.4992 -1.4811 -1.4810
 -1.4930 -1.5098 -1.5272 -1.5446 -1.5619 -1.5791 -1.5969 -1.6155 -1.6356 -1.6607
 -1.6935
 -2.1164 -2.0671 -2.0179 -1.9694 -1.9220 -1.8765 -1.8330 -1.7920 -1.7543 -1.7204
 -1.6905 -1.6642 -1.6416 -1.6233 -1.6082 -1.5709 -1.5292 -1.4937 -1.4761 -1.4761
 -1.4901 -1.5111 -1.5334 -1.5552 -1.5761 -1.5961 -1.6159 -1.6356 -1.6560 -1.6791
 -1.7052
 -2.0308 -1.9949 -1.9586 -1.9223 -1.8857 -1.8490 -1.8124 -1.7761 -1.7408 -1.7073
 -1.6763 -1.6484 -1.6234 -1.6014 -1.5823 -1.5443 -1.5121 -1.4848 -1.4685 -1.4679
 -1.4820 -1.5056 -1.5327 -1.5596 -1.5853 -1.6094 -1.6325 -1.6546 -1.6764 -1.6987
 -1.7217
 -1.9412 -1.9141 -1.8876 -1.8614 -1.8351 -1.8079 -1.7795 -1.7500 -1.7198 -1.6897
 -1.6604 -1.6330 -1.6078 -1.5851 -1.5647 -1.5233 -1.4931 -1.4714 -1.4587 -1.4580
 -1.4712 -1.4954 -1.5255 -1.5572 -1.5881 -1.6173 -1.6449 -1.6707 -1.6954 -1.7195
 -1.7437
 -1.8519 -1.8308 -1.8108 -1.7917 -1.7733 -1.7546 -1.7345 -1.7126 -1.6890 -1.6643
 -1.6390 -1.6141 -1.5902 -1.5676 -1.5554 -1.5079 -1.4722 -1.4535 -1.4467
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  o   
 -2.7451 -2.6760 -2.6192 -2.5681 -2.5181 -2.4585 -2.3784 -2.2765 -2.1746 -2.0781
 -1.9891 -1.9081 -1.8346 -1.7696 -1.7119 -1.5938 -1.5059 -1.4458 -1.4120
 -2.6192 -2.5424 -2.4827 -2.4335 -2.3888 -2.3408 -2.2779 -2.2002 -2.1198 -2.0406
 -1.9639 -1.8908 -1.8228 -1.7612 -1.7062 -1.5940 -1.5123 -1.4576 -1.4269 -1.4139
 -2.5297 -2.4454 -2.3795 -2.3276 -2.2839 -2.2426 -2.1943 -2.1348 -2.0712 -2.0066
 -1.9421 -1.8779 -1.8154 -1.7569 -1.7040 -1.5964 -1.5191 -1.4680 -1.4393 -1.4276
 -1.4263
 -2.4325 -2.3450 -2.2875 -2.2420 -2.1999 -2.1608 -2.1210 -2.0749 -2.0243 -1.9719
 -1.9186 -1.8643 -1.8088 -1.7543 -1.7036 -1.5998 -1.5257 -1.4770 -1.4498 -1.4392
 -1.4392 -1.4446
 -2.4027 -2.2862 -2.1977 -2.1345 -2.0942 -2.0714 -2.0503 -2.0196 -1.9805 -1.9373
 -1.8924 -1.8467 -1.7996 -1.7508 -1.7031 -1.6028 -1.5311 -1.4842 -1.4584 -1.4488
 -1.4502 -1.4572 -1.4672 -1.4797
 -2.3992 -2.2793 -2.1775 -2.0942 -2.0290 -1.9802 -1.9461 -1.9254 -1.9132 -1.8945
 -1.8641 -1.8262 -1.7857 -1.7438 -1.7006 -1.6044 -1.5349 -1.4894 -1.4646 -1.4561
 -1.4591 -1.4683 -1.4801 -1.4937 -1.5089 -1.5260 -1.5454 -1.5689 -1.5972 -1.6278
 -2.3975 -2.2794 -2.1751 -2.0850 -2.0095 -1.9477 -1.8983 -1.8592 -1.8297 -1.8110
 -1.8006 -1.7872 -1.7636 -1.7310 -1.6940 -1.6041 -1.5366 -1.4922 -1.4682 -1.4606
 -1.4653 -1.4770 -1.4916 -1.5072 -1.5238 -1.5414 -1.5605 -1.5818 -1.6066 -1.6371
 -1.6711
 -2.3830 -2.2736 -2.1736 -2.0839 -2.0054 -1.9382 -1.8816 -1.8345 -1.7953 -1.7632
 -1.7380 -1.7209 -1.7097 -1.6961 -1.6753 -1.6010 -1.5360 -1.4926 -1.4689 -1.4619
 -1.4678 -1.4822 -1.5001 -1.5189 -1.5380 -1.5572 -1.5771 -1.5981 -1.6209 -1.6474
 -1.6806
 -2.3461 -2.2503 -2.1602 -2.0767 -2.0010 -1.9340 -1.8752 -1.8240 -1.7800 -1.7422
 -1.7098 -1.6826 -1.6609 -1.6451 -1.6322 -1.5884 -1.5318 -1.4898 -1.4665 -1.4597
 -1.4665 -1.4832 -1.5048 -1.5277 -1.5503 -1.5723 -1.5943 -1.6162 -1.6390 -1.6642
 -1.6920
 -2.2887 -2.2089 -2.1310 -2.0580 -1.9895 -1.9266 -1.8698 -1.8187 -1.7730 -1.7324
 -1.6965 -1.6649 -1.6375 -1.6142 -1.5954 -1.5601 -1.5222 -1.4848 -1.4618 -1.4545
 -1.4612 -1.4790 -1.5038 -1.5310 -1.5580 -1.5840 -1.6091 -1.6334 -1.6575 -1.6822
 -1.7084
 -2.2170 -2.1504 -2.0851 -2.0233 -1.9644 -1.9089 -1.8573 -1.8095 -1.7655 -1.7250
 -1.6880 -1.6544 -1.6244 -1.5980 -1.5749 -1.5326 -1.5023 -1.4751 -1.4546 -1.4471
 -1.4530 -1.4709 -1.4975 -1.5285 -1.5601 -1.5908 -1.6201 -1.6480 -1.6748 -1.7012
 -1.7276
 -2.1382 -2.0825 -2.0280 -1.9756 -1.9258 -1.8787 -1.8342 -1.7919 -1.7519 -1.7141
 -1.6785 -1.6453 -1.6147 -1.5869 -1.5707 -1.5059 -1.4721 -1.4607 -1.4449
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  o   
 -2.9436 -2.8694 -2.8041 -2.7408 -2.6747 -2.5927 -2.4817 -2.3422 -2.2088 -2.0910
 -1.9895 -1.9031 -1.8287 -1.7638 -1.7067 -1.5909 -1.5044 -1.4431 -1.4053
 -2.7924 -2.7112 -2.6450 -2.5870 -2.5304 -2.4661 -2.3784 -2.2701 -2.1618 -2.0613
