 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -7.0124 -6.4957 -6.0118 -5.5631 -5.1450 -4.7402 -4.3128 -3.8870 -3.5210 -3.2234
 -2.9862 -2.7954 -2.6366 -2.4999 -2.3799 -2.1354 -1.9475 -1.7961 -1.6701 -1.5660
 -6.6866 -6.1649 -5.6712 -5.2149 -4.8002 -4.4226 -4.0584 -3.7039 -3.3922 -3.1308
 -2.9157 -2.7378 -2.5863 -2.4540 -2.3367 -2.0973 -1.9168 -1.7751 -1.6595 -1.5642
 -1.4860
 -6.1882 -5.7017 -5.2869 -4.9017 -4.5319 -4.1855 -3.8651 -3.5642 -3.2937 -3.0609
 -2.8647 -2.6990 -2.5554 -2.4275 -2.3125 -2.0761 -1.8989 -1.7626 -1.6540 -1.5655
 -1.4930 -1.4326
 -5.8540 -5.3023 -4.8413 -4.4622 -4.1573 -3.9102 -3.6765 -3.4380 -3.2089 -3.0028
 -2.8233 -2.6687 -2.5337 -2.4118 -2.2999 -2.0654 -1.8892 -1.7558 -1.6517 -1.5685
 -1.5011 -1.4452 -1.3976 -1.3563
 -5.7125 -5.0985 -4.5933 -4.1900 -3.8683 -3.6106 -3.4026 -3.2322 -3.0850 -2.9372
 -2.7866 -2.6442 -2.5160 -2.4005 -2.2930 -2.0612 -1.8847 -1.7524 -1.6511 -1.5719
 -1.5090 -1.4578 -1.4142 -1.3763 -1.3428 -1.3132 -1.2878 -1.2677 -1.2545 -1.2503
 -5.6801 -5.0379 -4.5034 -4.0755 -3.7387 -3.4713 -3.2552 -3.0771 -2.9293 -2.8098
 -2.7096 -2.6089 -2.5003 -2.3913 -2.2881 -2.0607 -1.8834 -1.7506 -1.6507 -1.5744
 -1.5153 -1.4686 -1.4298 -1.3960 -1.3658 -1.3387 -1.3150 -1.2949 -1.2795 -1.2721
 -1.2744
 -5.6811 -5.0365 -4.4886 -4.0441 -3.6924 -3.4153 -3.1935 -3.0124 -2.8613 -2.7339
 -2.6259 -2.5355 -2.4552 -2.3715 -2.2817 -2.0619 -1.8840 -1.7499 -1.6500 -1.5752
 -1.5190 -1.4764 -1.4425 -1.4136 -1.3878 -1.3643 -1.3432 -1.3245 -1.3091 -1.2987
 -1.2974
 -5.6611 -5.0383 -4.4968 -4.0489 -3.6892 -3.4038 -3.1754 -2.9891 -2.8342 -2.7029
 -2.5897 -2.4909 -2.4044 -2.3279 -2.2546 -2.0606 -1.8840 -1.7482 -1.6476 -1.5732
 -1.5188 -1.4795 -1.4503 -1.4268 -1.4062 -1.3874 -1.3702 -1.3544 -1.3407 -1.3307
 -1.3244
