 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -0.3740 -0.3302 -0.2986 -0.2745 -0.2542 -0.2358 -0.2186 -0.2021 -0.1865 -0.1726
 -0.1597
 -4.3787 -3.8900 -3.4415 -3.0348 -2.6856 -2.3911 -2.1459 -1.9418 -1.7702 -1.6238
 -1.4973 -1.3867 -1.2885 -1.2000 -1.1187 -0.9376 -0.7734 -0.6297 -0.5174 -0.4335
 -0.3718 -0.3277 -0.2976 -0.2770 -0.2618 -0.2493 -0.2381 -0.2273 -0.2167 -0.2068
 -0.1979
 -4.2607 -3.8326 -3.4305 -3.0561 -2.7230 -2.4346 -2.1891 -1.9812 -1.8043 -1.6521
 -1.5193 -1.4022 -1.2981 -1.2044 -1.1230 -0.9260 -0.7733 -0.6345 -0.5189
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.2997 -5.9996 -5.7164 -5.4464 -5.2042 -4.8888 -4.3886 -3.6900 -3.0357 -2.5224
 -2.1500 -1.8816 -1.6815 -1.5224 -1.3882 -1.1182 -0.9058 -0.7260 -0.5717
 -5.9130 -5.5847 -5.2736 -4.9807 -4.6941 -4.3761 -3.9418 -3.3655 -2.8267 -2.3848
 -2.0463 -1.7926 -1.5991 -1.4447 -1.3144 -1.0529 -0.8500 -0.6854 -0.5475 -0.4308
 -5.6237 -5.2730 -4.9346 -4.6141 -4.3085 -3.9979 -3.6254 -3.1496 -2.6914 -2.3005
 -1.9873 -1.7434 -1.5530 -1.3999 -1.2709 -1.0131 -0.8162 -0.6599 -0.5318 -0.4243
 -0.3342
 -5.3897 -5.0271 -4.6730 -4.3320 -4.0070 -3.6945 -3.3718 -2.9811 -2.5877 -2.2392
 -1.9493 -1.7156 -1.5284 -1.3758 -1.2471 -0.9905 -0.7962 -0.6445 -0.5227 -0.4221
 -0.3381 -0.2677
 -5.1054 -4.7454 -4.4143 -4.0919 -3.7699 -3.4563 -3.1523 -2.8320 -2.4958 -2.1859
 -1.9189 -1.6970 -1.5148 -1.3640 -1.2358 -0.9791 -0.7853 -0.6360 -0.5182 -0.4226
 -0.3438 -0.2783 -0.2226 -0.1742
 -4.8844 -4.4440 -4.0717 -3.7541 -3.4724 -3.2092 -2.9464 -2.6776 -2.3993 -2.1300
 -1.8882 -1.6805 -1.5053 -1.3581 -1.2315 -0.9750 -0.7805 -0.6318 -0.5163 -0.4244
 -0.3500 -0.2890 -0.2377 -0.1933 -0.1538 -0.1187 -0.0881 -0.0618 -0.0421 -0.0324
 -4.8234 -4.3132 -3.8722 -3.4998 -3.1859 -2.9141 -2.6713 -2.4495 -2.2375 -2.0342
 -1.8393 -1.6578 -1.4951 -1.3537 -1.2301 -0.9756 -0.7796 -0.6304 -0.5159 -0.4264
 -0.3554 -0.2986 -0.2518 -0.2118 -0.1762 -0.1441 -0.1156 -0.0907 -0.0701 -0.0566
 -0.0531
 -4.8802 -4.3180 -3.8213 -3.3962 -3.0391 -2.7406 -2.4866 -2.2644 -2.0640 -1.8838
 -1.7279 -1.5924 -1.4662 -1.3441 -1.2283 -0.9792 -0.7817 -0.6307 -0.5160 -0.4277
 -0.3592 -0.3058 -0.2634 -0.2282 -0.1972 -0.1690 -0.1437 -0.1210 -0.1019 -0.0865
 -0.0787
 -4.9907 -4.3965 -3.8608 -3.3924 -2.9955 -2.6659 -2.3926 -2.1629 -1.9654 -1.7926
 -1.6410 -1.5105 -1.4002 -1.3035 -1.2103 -0.9815 -0.7840 -0.6309 -0.5151 -0.4271
 -0.3601 -0.3092 -0.2707 -0.2403 -0.2145 -0.1913 -0.1702 -0.1508 -0.1336 -0.1193
 -0.1095
 -5.0953 -4.5039 -3.9502 -3.4553 -3.0280 -2.6693 -2.3731 -2.1290 -1.9252 -1.7524
 -1.6036 -1.4743 -1.3619 -1.2642 -1.1781 -0.9807 -0.7903 -0.6347 -0.5164 -0.4274
 -0.3604 -0.3107 -0.2746 -0.2482 -0.2275 -0.2097 -0.1938 -0.1789 -0.1653 -0.1535
 -0.1441
 -5.1449 -4.5737 -4.0368 -3.5372 -3.0955 -2.7173 -2.4018 -2.1414 -1.9262 -1.7465
 -1.5941 -1.4631 -1.3490 -1.2485 -1.1590 -0.9696 -0.7956 -0.6401 -0.5189 -0.4277
 -0.3597 -0.3101 -0.2750 -0.2511 -0.2346 -0.2221 -0.2118 -0.2023 -0.1935 -0.1856
 -0.1788
 -5.1304 -4.6037 -4.0910 -3.6112 -3.1719 -2.7877 -2.4608 -2.1867 -1.9591 -1.7694
 -1.6092 -1.4722 -1.3533 -1.2489 -1.1530 -0.9482 -0.7999 -0.6471 -0.5226
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.4408 -6.1783 -5.9373 -5.7183 -5.4768 -5.1520 -4.6913 -4.0523 -3.2820 -2.6593
 -2.2157 -1.9056 -1.6825 -1.5128 -1.3744 -1.1039 -0.8936 -0.7196 -0.5700
 -6.0602 -5.7732 -5.5087 -5.2697 -5.0427 -4.7808 -4.3732 -3.7394 -3.0924 -2.5451
 -2.1320 -1.8327 -1.6138 -1.4466 -1.3108 -1.0466 -0.8446 -0.6817 -0.5456 -0.4299
