 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  H   
  1.2167  1.0933  0.9695  0.8471  0.7274  0.6108  0.4969  0.3858  0.2772  0.1711
  0.0671
  1.8491  1.8875  1.9196  1.9441  1.9609  1.9701  1.9729  1.9702  1.9629  1.9519
  1.9382  1.9216  1.9020  1.8792  1.8536  1.7784  1.6840  1.5705  1.4482  1.3266
  1.2075  1.0887  0.9689  0.8491  0.7308  0.6151  0.5023  0.3925  0.2852  0.1804
  0.0759
  1.7283  1.7704  1.8094  1.8431  1.8699  1.8891  1.9008  1.9060  1.9054  1.9000
  1.8905  1.8778  1.8619  1.8424  1.8190  1.7444  1.6534  1.5488  1.4332  1.3145
  1.1973  1.0815  0.9658  0.8496  0.7338  0.6196  0.5078  0.3988  0.2926  0.1890
  0.0876
  1.6094  1.6506  1.6908  1.7294  1.7636  1.7919  1.8127  1.8266  1.8339  1.8355
  1.8322  1.8247  1.8131  1.7959  1.7902  1.7187  1.6235  1.5256  1.4180
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  H   
  2.5306  2.5555  2.5747  2.5857  2.5863  2.5764  2.5561  2.5259  2.4872  2.4419
  2.3915  2.3375  2.2812  2.2229  2.1631  2.0100  1.8547  1.6992  1.5440
  2.4773  2.5035  2.5242  2.5386  2.5445  2.5403  2.5258  2.5015  2.4681  2.4270
  2.3792  2.3262  2.2698  2.2110  2.1508  1.9976  1.8438  1.6906  1.5391  1.3904
  2.3433  2.3758  2.4398  2.4829  2.4986  2.4998  2.4904  2.4713  2.4434  2.4075
  2.3641  2.3141  2.2588  2.2003  2.1399  1.9864  1.8335  1.6823  1.5334  1.3874
  1.2447
  2.3119  2.2951  2.2950  2.3152  2.3596  2.4177  2.4435  2.4380  2.4157  2.3838
  2.3447  2.2989  2.2467  2.1895  2.1296  1.9762  1.8239  1.6744  1.5276  1.3838
  1.2434  1.1063
  2.3106  2.2831  2.2602  2.2461  2.2407  2.2521  2.2846  2.3255  2.3555  2.3504
  2.3209  2.2796  2.2316  2.1774  2.1189  1.9664  1.8147  1.6666  1.5219  1.3802
  1.2417  1.1065  0.9746  0.8459
  2.3066  2.2803  2.2532  2.2283  2.2085  2.1952  2.1884  2.1888  2.2031  2.2339
  2.2528  2.2423  2.2085  2.1613  2.1064  1.9564  1.8054  1.6584  1.5157  1.3764
  1.2398  1.1062  0.9760  0.8489  0.7250  0.6041  0.4859  0.3701  0.2573  0.1499
  2.2871  2.2679  2.2447  2.2199  2.1954  2.1731  2.1541  2.1386  2.1265  2.1203
  2.1263  2.1407  2.1422  2.1223  2.0841  1.9455  1.7958  1.6498  1.5087  1.3718
  1.2376  1.1058  0.9770  0.8514  0.7288  0.6093  0.4926  0.3787  0.2672  0.1584
  0.0543
  2.2447  2.2368  2.2222  2.2033  2.1818  2.1590  2.1361  2.1139  2.0929  2.0733
  2.0563  2.0452  2.0422  2.0398  2.0254  1.9281  1.7854  1.6406  1.5008  1.3661
  1.2347  1.1051  0.9779  0.8536  0.7324  0.6141  0.4987  0.3861  0.2761  0.1685
  0.0630
  2.1787  2.1837  2.1803  2.1707  2.1562  2.1383  2.1176  2.0951  2.0713  2.0468
  2.0224  1.9988  1.9777  1.9614  1.9482  1.8852  1.7684  1.6285  1.4902  1.3571
  1.2283  1.1015  0.9762  0.8530  0.7327  0.6155  0.5012  0.3896  0.2808  0.1744
  0.0701
  2.0908  2.1084  2.1176  2.1192  2.1143  2.1042  2.0896  2.0712  2.0496  2.0254
  1.9994  1.9722  1.9446  1.9177  1.8930  1.8322  1.7388  1.6150  1.4807  1.3492
  1.2225  1.0990  0.9768  0.8556  0.7366  0.6204  0.5071  0.3968  0.2891  0.1839
  0.0791
  1.9886  2.0157  2.0360  2.0489  2.0547  2.0540  2.0474  2.0358  2.0194  1.9991
  1.9754  1.9491  1.9206  1.8908  1.8607  1.7865  1.7026  1.5941  1.4693  1.3408
  1.2156  1.0943  0.9753  0.8572  0.7403  0.6254  0.5130  0.4035  0.2969  0.1928
  0.0911
  1.8807  1.9127  1.9398  1.9620  1.9778  1.9870  1.9895  1.9860  1.9767  1.9624
  1.9437  1.9211  1.8914  1.8618  1.8513  1.7481  1.6598  1.5658  1.4560
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  H   
  2.6024  2.6207  2.6309  2.6319  2.6220  2.6009  2.5691  2.5273  2.4783  2.4249
  2.3693  2.3130  2.2566  2.1996  2.1419  1.9958  1.8479  1.6971  1.5446
  2.5529  2.5740  2.5893  2.5963  2.5930  2.5785  2.5525  2.5162  2.4716  2.4212
  2.3669  2.3104  2.2529  2.1946  2.1357  1.9869  1.8384  1.6895  1.5401  1.3923
  2.4995  2.5236  2.5424  2.5541  2.5566  2.5484  2.5291  2.4992  2.4604  2.4145
  2.3632  2.3080  2.2504  2.1915  2.1316  1.9804  1.8307  1.6825  1.5352  1.3901
  1.2477
  2.3721  2.4056  2.4606  2.4992  2.5135  2.5124  2.4992  2.4757  2.4429  2.4025
  2.3557  2.3036  2.2475  2.1889  2.1287  1.9760  1.8248  1.6767  1.5308  1.3875
  1.2473  1.1102
  2.3355  2.3153  2.3171  2.3385  2.3775  2.4248  2.4492  2.4436  2.4197  2.3851
  2.3431  2.2952  2.2423  2.1853  2.1257  1.9726  1.8205  1.6722  1.5272  1.3853
  1.2466  1.1112  0.9792  0.8502
  2.3379  2.3090  2.2856  2.2712  2.2670  2.2730  2.2892  2.3154  2.3439  2.3464
  2.3220  2.2814  2.2329  2.1792  2.1215  1.9694  1.8169  1.6685  1.5241  1.3834
  1.2461  1.1120  0.9814  0.8540  0.7297  0.6084  0.4898  0.3740  0.2615  0.1545
  2.3457  2.3146  2.2837  2.2556  2.2325  2.2156  2.2039  2.1962  2.1959  2.2100
  2.2308  2.2334  2.2099  2.1670  2.1143  1.9658  1.8135  1.6650  1.5212  1.3815
  1.2456  1.1128  0.9835  0.8573  0.7343  0.6144  0.4974  0.3831  0.2715  0.1629
  0.0592
  2.3451  2.3179  2.2875  2.2560  2.2254  2.1975  2.1730  2.1517  2.1329  2.1173
  2.1092  2.1138  2.1224  2.1163  2.0893  1.9604  1.8099  1.6616  1.5182  1.3795
  1.2449  1.1136  0.9854  0.8605  0.7387  0.6199  0.5040  0.3909  0.2807  0.1729
  0.0678
  2.3254  2.3069  2.2825  2.2539  2.2233  2.1922  2.1619  2.1331  2.1057  2.0797
  2.0556  2.0352  2.0225  2.0186  2.0137  1.9413  1.8032  1.6559  1.5129  1.3750
  1.2417  1.1118  0.9848  0.8608  0.7399  0.6221  0.5072  0.3951  0.2858  0.1791
  0.0748
  2.2819  2.2747  2.2604  2.2394  2.2140  2.1853  2.1553  2.1246  2.0935  2.0625
  2.0318  2.0019  1.9742  1.9507  1.9336  1.8898  1.7898  1.6512  1.5094  1.3723
  1.2402  1.1121  0.9871  0.8645  0.7446  0.6278  0.5139  0.4029  0.2947  0.1890
  0.0858
  2.2153  2.2203  2.2174  2.2063  2.1892  2.1674  2.1420  2.1139  2.0838  2.0519
  2.0189  1.9852  1.9516  1.9191  1.8891  1.8287  1.7540  1.6401  1.5047  1.3689
  1.2377  1.1110  0.9881  0.8676  0.7494  0.6336  0.5205  0.4104  0.3031  0.1984
  0.0963
  2.1315  2.1474  2.1547  2.1542  2.1471  2.1341  2.1160  2.0938  2.0679  2.0389
  2.0073  1.9735  1.9383  1.9024  1.8802  1.7580  1.6958  1.6226  1.4988
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  H   
  2.6442  2.6571  2.6614  2.6560  2.6398  2.6127  2.5748  2.5269  2.4723  2.4145
  2.3561  2.2981  2.2409  2.1841  2.1272  1.9844  1.8410  1.6946  1.5445
  2.5966  2.6144  2.6249  2.6265  2.6174  2.5971  2.5651  2.5225  2.4719  2.4163
  2.3584  2.2998  2.2414  2.1830  2.1245  1.9781  1.8330  1.6870  1.5402  1.3934
  2.5469  2.5668  2.5817  2.5891  2.5869  2.5738  2.5490  2.5129  2.4678  2.4161
  2.3602  2.3021  2.2431  2.1838  2.1241  1.9744  1.8269  1.6813  1.5359  1.3916
  1.2496
  2.4616  2.5045  2.5308  2.5452  2.5495  2.5428  2.5251  2.4962  2.4574  2.4110
  2.3589  2.3028  2.2445  2.1850  2.1247  1.9728  1.8230  1.6766  1.5321  1.3896
  1.2497  1.1127
  2.3956  2.4018  2.3933  2.4408  2.4833  2.4994  2.4929  2.4719  2.4400  2.3995
  2.3524  2.3000  2.2439  2.1853  2.1251  1.9722  1.8208  1.6734  1.5293  1.3879
  1.2495  1.1142  0.9821  0.8530
  2.3619  2.3238  2.3114  2.3125  2.3252  2.3490  2.3825  2.4066  2.4044  2.3789
  2.3395  2.2921  2.2396  2.1833  2.1243  1.9719  1.8195  1.6713  1.5273  1.3868
  1.2496  1.1155  0.9848  0.8572  0.7328  0.6113  0.4926  0.3767  0.2643  0.1577
  2.3553  2.3241  2.2960  2.2740  2.2598  2.2526  2.2496  2.2518  2.2646  2.2838
  2.2889  2.2686  2.2282  2.1773  2.1212  1.9710  1.8184  1.6697  1.5258  1.3860
  1.2499  1.1170  0.9875  0.8611  0.7379  0.6177  0.5004  0.3861  0.2744  0.1660
  0.0627
  2.3653  2.3336  2.3011  2.2697  2.2414  2.2175  2.1979  2.1809  2.1658  2.1556
  2.1562  2.1664  2.1684  2.1491  2.1095  1.9689  1.8173  1.6684  1.5245  1.3853
  1.2501  1.1184  0.9901  0.8649  0.7428  0.6238  0.5076  0.3943  0.2838  0.1760
  0.0711
  2.3653  2.3382  2.3072  2.2742  2.2407  2.2085  2.1786  2.1512  2.1254  2.1010
  2.0790  2.0629  2.0569  2.0572  2.0496  1.9596  1.8137  1.6652  1.5212  1.3824
  1.2481  1.1175  0.9901  0.8657  0.7446  0.6265  0.5112  0.3988  0.2893  0.1824
  0.0781
  2.3463  2.3274  2.3034  2.2739  2.2416  2.2078  2.1740  2.1408  2.1087  2.0774
  2.0471  2.0181  1.9925  1.9729  1.9608  1.9182  1.8082  1.6635  1.5201  1.3818
  1.2484  1.1191  0.9932  0.8700  0.7498  0.6326  0.5184  0.4071  0.2986  0.1926
  0.0892
  2.3036  2.2959  2.2809  2.2598  2.2330  2.2027  2.1701  2.1362  2.1018  2.0672
  2.0325  1.9981  1.9644  1.9328  1.9047  1.8529  1.7786  1.6585  1.5183  1.3807
  1.2479  1.1197  0.9954  0.8740  0.7551  0.6390  0.5255  0.4150  0.3074  0.2024
  0.1000
  2.2394  2.2429  2.2387  2.2274  2.2092  2.1857  2.1581  2.1276  2.0948  2.0604
  2.0248  1.9882  1.9511  1.9143  1.8813  1.7637  1.7249  1.6502  1.5158
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  H   
  2.6851  2.6921  2.6901  2.6782  2.6555  2.6220  2.5778  2.5238  2.4640  2.4022
  2.3409  2.2810  2.2226  2.1654  2.1088  1.9691  1.8304  1.6894  1.5431
  2.6409  2.6543  2.6593  2.6548  2.6393  2.6127  2.5745  2.5256  2.4692  2.4089
  2.3476  2.2868  2.2272  2.1684  2.1101  1.9659  1.8244  1.6831  1.5391  1.3939
  2.5926  2.6097  2.6204  2.6228  2.6151  2.5964  2.5656  2.5233  2.4719  2.4146
  2.3546  2.2937  2.2331  2.1732  2.1135  1.9653  1.8204  1.6780  1.5353  1.3925
  1.2512
  2.5381  2.5593  2.5751  2.5834  2.5826  2.5714  2.5487  2.5139  2.4689  2.4164
  2.3591  2.2993  2.2388  2.1782  2.1177  1.9666  1.8185  1.6744  1.5321  1.3910
  1.2518  1.1151
  2.4132  2.4520  2.4991  2.5294  2.5409  2.5381  2.5229  2.4961  2.4584  2.4118
  2.3590  2.3019  2.2426  2.1822  2.1215  1.9689  1.8184  1.6725  1.5300  1.3898
  1.2521  1.1171  0.9851  0.8560
  2.3619  2.3510  2.3579  2.3812  2.4173  2.4545  2.4723  2.4645  2.4382  2.3995
  2.3525  2.2997  2.2431  2.1841  2.1239  1.9710  1.8192  1.6718  1.5290  1.3894
  1.2527  1.1190  0.9884  0.8608  0.7362  0.6146  0.4958  0.3799  0.2677  0.1613
  2.3613  2.3336  2.3128  2.3025  2.3024  2.3087  2.3203  2.3378  2.3540  2.3539
  2.3306  2.2895  2.2386  2.1828  2.1242  1.9725  1.8202  1.6718  1.5285  1.3893
  1.2536  1.1211  0.9917  0.8652  0.7419  0.6215  0.5041  0.3896  0.2778  0.1696
  0.0667
  2.3734  2.3408  2.3099  2.2830  2.2618  2.2466  2.2351  2.2249  2.2168  2.2155
  2.2222  2.2247  2.2084  2.1711  2.1202  1.9731  1.8211  1.6722  1.5285  1.3895
  1.2546  1.1231  0.9948  0.8696  0.7474  0.6281  0.5116  0.3982  0.2875  0.1797
  0.0750
  2.3853  2.3531  2.3194  2.2859  2.2541  2.2253  2.1997  2.1766  2.1541  2.1323
  2.1140  2.1038  2.1026  2.1000  2.0828  1.9695  1.8198  1.6708  1.5267  1.3878
  1.2534  1.1227  0.9954  0.8711  0.7498  0.6315  0.5159  0.4032  0.2934  0.1863
  0.0819
  2.3866  2.3587  2.3276  2.2936  2.2585  2.2234  2.1895  2.1574  2.1267  2.0968
  2.0676  2.0402  2.0175  2.0025  1.9938  1.9430  1.8189  1.6715  1.5275  1.3888
  1.2550  1.1253  0.9991  0.8758  0.7555  0.6382  0.5237  0.4121  0.3032  0.1969
  0.0933
  2.3686  2.3491  2.3240  2.2947  2.2612  2.2256  2.1889  2.1525  2.1167  2.0814
  2.0468  2.0126  1.9797  1.9496  1.9242  1.8788  1.7998  1.6706  1.5280  1.3895
  1.2562  1.1273  1.0023  0.8805  0.7614  0.6450  0.5313  0.4205  0.3125  0.2072
  0.1044
  2.3277  2.3189  2.3031  2.2810  2.2538  2.2219  2.1871  2.1507  2.1134  2.0758
  2.0381  2.0003  1.9628  1.9261  1.8740  1.7769  1.7625  1.6681  1.5282
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  H   
  2.7278  2.7298  2.7225  2.7052  2.6771  2.6381  2.5886  2.5297  2.4661  2.4015
  2.3378  2.2760  2.2162  2.1581  2.1012  1.9626  1.8272  1.6905  1.5478
  2.6877  2.6970  2.6971  2.6871  2.6661  2.6339  2.5902  2.5361  2.4752  2.4116
  2.3478  2.2852  2.2243  2.1649  2.1064  1.9632  1.8241  1.6862  1.5449  1.4006
  2.6409  2.6554  2.6624  2.6601  2.6473  2.6233  2.5872  2.5394  2.4829  2.4216
  2.3585  2.2955  2.2337  2.1731  2.1133  1.9660  1.8228  1.6827  1.5421  1.4000
  1.2585
  2.5903  2.6081  2.6203  2.6246  2.6197  2.6039  2.5764  2.5365  2.4861  2.4287
  2.3675  2.3050  2.2427  2.1812  2.1204  1.9701  1.8231  1.6805  1.5397  1.3991
  1.2597  1.1224
  2.5113  2.5462  2.5684  2.5808  2.5834  2.5754  2.5563  2.5251  2.4822  2.4303
  2.3726  2.3119  2.2500  2.1883  2.1270  1.9747  1.8249  1.6799  1.5383  1.3986
  1.2606  1.1251  0.9924  0.8626
  2.3917  2.4052  2.4409  2.4864  2.5201  2.5320  2.5250  2.5034  2.4692  2.4244
  2.3720  2.3146  2.2545  2.1934  2.1320  1.9790  1.8276  1.6806  1.5381  1.3987
  1.2618  1.1276  0.9964  0.8681  0.7430  0.6208  0.5014  0.3849  0.2726  0.1663
  2.3699  2.3497  2.3425  2.3500  2.3684  2.3945  2.4223  2.4379  2.4321  2.4048
  2.3625  2.3112  2.2548  2.1956  2.1351  1.9825  1.8304  1.6821  1.5387  1.3995
  1.2634  1.1304  1.0004  0.8733  0.7493  0.6283  0.5103  0.3952  0.2830  0.1747
  0.0719
  2.3766  2.3461  2.3201  2.3018  2.2924  2.2900  2.2903  2.2924  2.2971  2.3033
  2.3020  2.2825  2.2438  2.1925  2.1353  1.9848  1.8328  1.6839  1.5399  1.4006
  1.2652  1.1331  1.0043  0.8784  0.7556  0.6356  0.5185  0.4045  0.2933  0.1850
  0.0803
  2.3922  2.3581  2.3252  2.2948  2.2687  2.2476  2.2304  2.2145  2.1979  2.1821
  2.1714  2.1676  2.1646  2.1501  2.1177  1.9839  1.8331  1.6839  1.5393  1.3998
  1.2647  1.1334  1.0054  0.8806  0.7587  0.6398  0.5235  0.4101  0.2997  0.1921
  0.0874
  2.4060  2.3727  2.3383  2.3034  2.2693  2.2371  2.2074  2.1799  2.1533  2.1263
  2.0997  2.0757  2.0581  2.0480  2.0396  1.9713  1.8342  1.6860  1.5415  1.4020
  1.2674  1.1367  1.0098  0.8860  0.7652  0.6472  0.5321  0.4197  0.3102  0.2034
  0.0992
  2.4085  2.3799  2.3479  2.3135  2.2772  2.2402  2.2036  2.1682  2.1339  2.1004
  2.0672  2.0343  2.0031  1.9760  1.9549  1.9133  1.8250  1.6871  1.5434  1.4041
  1.2698  1.1399  1.0139  0.8913  0.7716  0.6547  0.5404  0.4290  0.3203  0.2143
  0.1109
  2.3921  2.3717  2.3459  2.3154  2.2817  2.2448  2.2063  2.1674  2.1286  2.0904
  2.0528  2.0153  1.9785  1.9428  1.8636  1.8099  1.8055  1.6872  1.5450
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  H   
  2.7555  2.7509  2.7367  2.7122  2.6771  2.6311  2.5746  2.5095  2.4413  2.3732
  2.3066  2.2422  2.1803  2.1209  2.0635  1.9269  1.7970  1.6679  1.5331
  2.7221  2.7251  2.7183  2.7011  2.6729  2.6334  2.5823  2.5213  2.4551  2.3876
  2.3207  2.2555  2.1925  2.1316  2.0726  1.9308  1.7961  1.6646  1.5302  1.3912
  2.6795  2.6892  2.6902  2.6812  2.6613  2.6299  2.5864  2.5315  2.4689  2.4028
  2.3361  2.2703  2.2063  2.1442  2.0836  1.9372  1.7974  1.6626  1.5277  1.3904
  1.2523
  2.6317  2.6458  2.6531  2.6518  2.6405  2.6180  2.5834  2.5364  2.4792  2.4160
  2.3505  2.2847  2.2200  2.1568  2.0951  1.9449  1.8004  1.6620  1.5260  1.3897
  1.2535  1.1186
  2.5502  2.5949  2.6082  2.6136  2.6099  2.5960  2.5708  2.5329  2.4830  2.4247
  2.3617  2.2969  2.2321  2.1683  2.1057  1.9529  1.8048  1.6629  1.5254  1.3895
  1.2546  1.1214  0.9906  0.8621
  2.4548  2.4988  2.5381  2.5604  2.5682  2.5636  2.5473  2.5191  2.4781  2.4265
  2.3678  2.3053  2.2414  2.1776  2.1146  1.9603  1.8099  1.6652  1.5259  1.3899
  1.2559  1.1241  0.9948  0.8679  0.7438  0.6224  0.5036  0.3875  0.2759  0.1703
  2.3859  2.3806  2.3949  2.4243  2.4607  2.4895  2.4993  2.4885  2.4607  2.4187
  2.3668  2.3085  2.2469  2.1841  2.1212  1.9663  1.8147  1.6681  1.5273  1.3910
  1.2577  1.1270  0.9989  0.8734  0.7505  0.6303  0.5129  0.3981  0.2862  0.1785
  0.0763
  2.3801  2.3544  2.3374  2.3325  2.3383  2.3498  2.3641  2.3778  2.3831  2.3737
  2.3457  2.3012  2.2466  2.1870  2.1254  1.9710  1.8189  1.6711  1.5291  1.3923
  1.2595  1.1298  1.0030  0.8789  0.7572  0.6381  0.5216  0.4078  0.2969  0.1888
  0.0846
  2.3926  2.3597  2.3301  2.3059  2.2890  2.2787  2.2717  2.2645  2.2560  2.2477
  2.2402  2.2296  2.2086  2.1719  2.1218  1.9730  1.8210  1.6723  1.5291  1.3917
  1.2590  1.1299  1.0041  0.8811  0.7607  0.6427  0.5270  0.4140  0.3038  0.1964
  0.0918
  2.4110  2.3761  2.3413  2.3085  2.2785  2.2524  2.2301  2.2097  2.1884  2.1651
  2.1415  2.1207  2.1046  2.0906  2.0716  1.9713  1.8245  1.6760  1.5322  1.3943
  1.2616  1.1332  1.0083  0.8864  0.7672  0.6504  0.5360  0.4241  0.3147  0.2080
  0.1039
  2.4268  2.3927  2.3575  2.3212  2.2852  2.2503  2.2172  2.1859  2.1556  2.1250
  2.0933  2.0612  2.0310  2.0051  1.9843  1.9302  1.8236  1.6794  1.5356  1.3973
  1.2646  1.1365  1.0124  0.8915  0.7735  0.6579  0.5445  0.4336  0.3253  0.2194
  0.1160
  2.4307  2.4015  2.3686  2.3333  2.2961  2.2576  2.2190  2.1808  2.1434  2.1066
  2.0699  2.0330  1.9961  1.9606  1.8599  1.8497  1.8183  1.6825  1.5393
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  H   
  2.7822  2.7724  2.7526  2.7210  2.6784  2.6264  2.5664  2.4994  2.4278  2.3571
  2.2881  2.2214  2.1574  2.0962  2.0378  1.9011  1.7745  1.6507  1.5233
  2.7552  2.7529  2.7405  2.7173  2.6833  2.6378  2.5810  2.5148  2.4448  2.3745
  2.3052  2.2378  2.1728  2.1104  2.0502  1.9083  1.7762  1.6494  1.5207  1.3865
  2.7175  2.7228  2.7185  2.7037  2.6779  2.6404  2.5907  2.5299  2.4626  2.3932
  2.3240  2.2561  2.1902  2.1265  2.0649  1.9181  1.7804  1.6493  1.5191  1.3860
  1.2513
  2.6723  2.6836  2.6867  2.6803  2.6634  2.6349  2.5941  2.5409  2.4782  2.4109
  2.3423  2.2742  2.2075  2.1428  2.0799  1.9292  1.7863  1.6506  1.5184  1.3858
  1.2521  1.1190
  2.6214  2.6370  2.6461  2.6471  2.6385  2.6192  2.5882  2.5443  2.4884  2.4250
  2.3581  2.2905  2.2235  2.1580  2.0941  1.9404  1.7933  1.6534  1.5188  1.3860
  1.2535  1.1220  0.9924  0.8648
  2.5479  2.5760  2.5940  2.6034  2.6032  2.5926  2.5710  2.5373  2.4905  2.4331
  2.3696  2.3034  2.2368  2.1710  2.1064  1.9506  1.8008  1.6575  1.5204  1.3870
  1.2552  1.1249  0.9968  0.8709  0.7475  0.6265  0.5080  0.3920  0.2810  0.1757
  2.4181  2.4444  2.4812  2.5219  2.5453  2.5502  2.5403  2.5176  2.4816  2.4328
  2.3748  2.3117  2.2465  2.1810  2.1162  1.9592  1.8078  1.6621  1.5228  1.3886
  1.2573  1.1281  1.0012  0.8767  0.7546  0.6349  0.5177  0.4032  0.2913  0.1840
  0.0822
  2.3872  2.3705  2.3687  2.3826  2.4062  2.4334  2.4549  2.4610  2.4477  2.4163
