 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -0.5320 -0.4993 -0.4772 -0.4607 -0.4465 -0.4330 -0.4205 -0.4090 -0.3995 -0.3932
 -0.3928
 -5.2114 -4.6096 -4.0453 -3.5410 -3.1066 -2.7433 -2.4449 -2.2003 -1.9971 -1.8257
 -1.6786 -1.5513 -1.4412 -1.3461 -1.2633 -1.0793 -0.9050 -0.7614 -0.6552 -0.5810
 -0.5315 -0.4998 -0.4807 -0.4690 -0.4603 -0.4524 -0.4446 -0.4368 -0.4297 -0.4241
 -0.4212
 -5.2325 -4.6539 -4.1099 -3.6037 -3.1567 -2.7751 -2.4585 -2.1991 -1.9864 -1.8103
 -1.6619 -1.5350 -1.4249 -1.3283 -1.2426 -1.0648 -0.9078 -0.7683 -0.6592 -0.5813
 -0.5293 -0.4971 -0.4794 -0.4712 -0.4677 -0.4657 -0.4637 -0.4611 -0.4581 -0.4553
 -0.4534
 -5.2120 -4.6757 -4.1549 -3.6677 -3.2221 -2.8336 -2.5048 -2.2315 -2.0069 -1.8217
 -1.6670 -1.5359 -1.4230 -1.3242 -1.2360 -1.0389 -0.9051 -0.7752 -0.6639
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  V   
 -6.8218 -6.5008 -6.2202 -5.9733 -5.6997 -5.3372 -4.8353 -4.1537 -3.3458 -2.7065
 -2.2564 -1.9432 -1.7173 -1.5443 -1.4028 -1.1295 -0.9262 -0.7675 -0.6391
 -6.4951 -6.1263 -5.8077 -5.5321 -5.2767 -4.9847 -4.5353 -3.8510 -3.1678 -2.6017
 -2.1805 -1.8777 -1.6567 -1.4874 -1.3496 -1.0847 -0.8915 -0.7450 -0.6297 -0.5377
 -6.2875 -5.8692 -5.5022 -5.1835 -4.8992 -4.6088 -4.2218 -3.6532 -3.0669 -2.5562
 -2.1551 -1.8556 -1.6331 -1.4628 -1.3256 -1.0635 -0.8745 -0.7343 -0.6266 -0.5416
 -0.4742
 -6.1419 -5.6899 -5.2811 -4.9175 -4.5941 -4.2910 -3.9589 -3.4952 -2.9913 -2.5319
 -2.1525 -1.8568 -1.6314 -1.4579 -1.3190 -1.0570 -0.8685 -0.7309 -0.6277 -0.5475
 -0.4844 -0.4339
 -5.9001 -5.4855 -5.0864 -4.7094 -4.3580 -4.0309 -3.7157 -3.3451 -2.9176 -2.5086
 -2.1553 -1.8679 -1.6415 -1.4645 -1.3230 -1.0593 -0.8696 -0.7319 -0.6310 -0.5542
 -0.4945 -0.4473 -0.4087 -0.3753
 -5.4579 -5.0598 -4.7240 -4.4194 -4.1192 -3.8112 -3.4984 -3.1847 -2.8314 -2.4747
 -2.1521 -1.8787 -1.6555 -1.4769 -1.3330 -1.0668 -0.8751 -0.7357 -0.6351 -0.5605
 -0.5037 -0.4598 -0.4245 -0.3947 -0.3692 -0.3477 -0.3314 -0.3218 -0.3204 -0.3247
 -5.2299 -4.7479 -4.3450 -4.0132 -3.7296 -3.4712 -3.2214 -2.9644 -2.6914 -2.4051
 -2.1281 -1.8794 -1.6669 -1.4905 -1.3455 -1.0768 -0.8834 -0.7413 -0.6395 -0.5658
 -0.5113 -0.4704 -0.4387 -0.4126 -0.3900 -0.3703 -0.3540 -0.3417 -0.3359 -0.3389
 -0.3481
 -5.1947 -4.6504 -4.1780 -3.7796 -3.4481 -3.1663 -2.9152 -2.6809 -2.4520 -2.2287
 -2.0229 -1.8331 -1.6568 -1.4971 -1.3571 -1.0881 -0.8934 -0.7483 -0.6438 -0.5697
 -0.5165 -0.4783 -0.4503 -0.4283 -0.4097 -0.3931 -0.3786 -0.3667 -0.3582 -0.3562
 -0.3634
 -5.2623 -4.6804 -4.1566 -3.7017 -3.3172 -2.9956 -2.7235 -2.4856 -2.2689 -2.0657
 -1.8797 -1.7185 -1.5823 -1.4619 -1.3487 -1.0970 -0.9020 -0.7547 -0.6471 -0.5713
 -0.5188 -0.4825 -0.4578 -0.4404 -0.4265 -0.4142 -0.4031 -0.3931 -0.3852 -0.3807
 -0.3819
 -5.3704 -4.7762 -4.2241 -3.7298 -3.3013 -2.9392 -2.6373 -2.3838 -2.1661 -1.9740
 -1.8016 -1.6485 -1.5164 -1.4051 -1.3100 -1.1007 -0.9128 -0.7636 -0.6526 -0.5736
 -0.5198 -0.4843 -0.4619 -0.4483 -0.4393 -0.4321 -0.4255 -0.4193 -0.4137 -0.4101
 -0.4087
 -5.4460 -4.8681 -4.3175 -3.8041 -3.3486 -2.9551 -2.6241 -2.3490 -2.1198 -1.9261
 -1.7591 -1.6132 -1.4855 -1.3746 -1.2788 -1.0869 -0.9197 -0.7727 -0.6587 -0.5760
 -0.5196 -0.4833 -0.4620 -0.4511 -0.4465 -0.4445 -0.4434 -0.4421 -0.4405 -0.4393
 -0.4438
 -5.4891 -4.9271 -4.3937 -3.8899 -3.4246 -3.0138 -2.6611 -2.3651 -2.1200 -1.9164
 -1.7454 -1.5996 -1.4735 -1.3635 -1.2551 -1.0556 -0.9227 -0.7820 -0.6654
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  V   
 -6.9119 -6.6311 -6.4022 -6.2103 -5.9988 -5.6882 -5.2080 -4.5015 -3.6156 -2.8745
 -2.3498 -1.9886 -1.7350 -1.5468 -1.3980 -1.1188 -0.9159 -0.7586 -0.6295
 -6.5919 -6.2688 -6.0013 -5.7840 -5.5910 -5.3592 -4.9535 -4.2385 -3.4668 -2.7937
 -2.2931 -1.9387 -1.6869 -1.5003 -1.3535 -1.0807 -0.8850 -0.7376 -0.6221 -0.5290
 -6.3870 -6.0126 -5.6957 -5.4343 -5.2135 -4.9855 -4.6436 -4.0566 -3.3899 -2.7765
 -2.2912 -1.9342 -1.6760 -1.4848 -1.3361 -1.0638 -0.8705 -0.7279 -0.6188 -0.5324
 -0.4633
 -6.2602 -5.8419 -5.4742 -5.1611 -4.8973 -4.6561 -4.3701 -3.9018 -3.3333 -2.7792
 -2.3144 -1.9554 -1.6880 -1.4888 -1.3355 -1.0601 -0.8663 -0.7250 -0.6196 -0.5376
 -0.4725 -0.4206
 -6.1208 -5.6967 -5.3065 -4.9562 -4.6476 -4.3736 -4.1053 -3.7432 -3.2682 -2.7786
 -2.3422 -1.9877 -1.7137 -1.5058 -1.3458 -1.0647 -0.8688 -0.7266 -0.6226 -0.5436
 -0.4817 -0.4327 -0.3932 -0.3601
 -5.7459 -5.3998 -5.0725 -4.7537 -4.4438 -4.1465 -3.8629 -3.5654 -3.1814 -2.7590
 -2.3608 -2.0198 -1.7450 -1.5302 -1.3633 -1.0742 -0.8758 -0.7312 -0.6268 -0.5495
 -0.4901 -0.4438 -0.4072 -0.3774 -0.3525 -0.3321 -0.3170 -0.3091 -0.3088 -0.3138
 -5.3800 -4.9682 -4.6378 -4.3670 -4.1257 -3.8883 -3.6352 -3.3620 -3.0586 -2.7097
 -2.3591 -2.0424 -1.7746 -1.5577 -1.3851 -1.0868 -0.8856 -0.7381 -0.6317 -0.5547
 -0.4972 -0.4534 -0.4199 -0.3932 -0.3711 -0.3525 -0.3377 -0.3270 -0.3230 -0.3270
 -0.3368
 -5.2614 -4.7727 -4.3588 -4.0208 -3.7452 -3.5094 -3.2905 -3.0711 -2.8314 -2.5694
 -2.2972 -2.0325 -1.7906 -1.5819 -1.4084 -1.1013 -0.8970 -0.7466 -0.6373 -0.5591
 -0.5027 -0.4610 -0.4304 -0.4073 -0.3888 -0.3732 -0.3602 -0.3498 -0.3434 -0.3430
 -0.3513
 -5.2952 -4.7541 -4.2757 -3.8673 -3.5273 -3.2451 -3.0025 -2.7808 -2.5638 -2.3403
 -2.1200 -1.9180 -1.7360 -1.5698 -1.4177 -1.1149 -0.9076 -0.7549 -0.6423 -0.5619
 -0.5055 -0.4655 -0.4376 -0.4181 -0.4038 -0.3921 -0.3824 -0.3753 -0.3708 -0.3686
 -0.3685
 -5.4178 -4.8456 -4.3235 -3.8605 -3.4630 -3.1278 -2.8464 -2.6045 -2.3873 -2.1821
 -1.9841 -1.8003 -1.6392 -1.5026 -1.3839 -1.1276 -0.9209 -0.7657 -0.6498 -0.5660
 -0.5078 -0.4683 -0.4422 -0.4258 -0.4155 -0.4083 -0.4029 -0.3982 -0.3945 -0.3929
 -0.3934
 -5.5377 -4.9700 -4.4284 -3.9342 -3.4940 -3.1141 -2.7919 -2.5207 -2.2890 -2.0856
 -1.9015 -1.7328 -1.5813 -1.4496 -1.3375 -1.1181 -0.9324 -0.7769 -0.6581 -0.5705
 -0.5095 -0.4690 -0.4437 -0.4294 -0.4225 -0.4199 -0.4193 -0.4192 -0.4193 -0.4200
 -0.4260
 -5.6177 -5.0699 -4.5396 -4.0369 -3.5737 -3.1645 -2.8096 -2.5087 -2.2556 -2.0413
 -1.8569 -1.6951 -1.5518 -1.4252 -1.2785 -1.0864 -0.9421 -0.7885 -0.6672
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  V   
 -6.9392 -6.7077 -6.6591 -6.6530 -6.5526 -6.2472 -5.6478 -4.7654 -3.8695 -3.0699
 -2.4721 -2.0593 -1.7718 -1.5630 -1.4026 -1.1136 -0.9079 -0.7508 -0.6220
 -6.6259 -6.3520 -6.1383 -5.9780 -5.8467 -5.6654 -5.2997 -4.5666 -3.7501 -3.0058
 -2.4313 -2.0229 -1.7350 -1.5260 -1.3661 -1.0808 -0.8809 -0.7314 -0.6148 -0.5205
 -6.4203 -6.0927 -5.8282 -5.6249 -5.4637 -5.2925 -4.9971 -4.4135 -3.7012 -3.0114
 -2.4499 -2.0348 -1.7364 -1.5195 -1.3553 -1.0676 -0.8685 -0.7225 -0.6114 -0.5232
 -0.4523
 -6.2980 -5.9193 -5.5979 -5.3385 -5.1342 -4.9532 -4.7172 -4.2697 -3.6660 -3.0403
 -2.4964 -2.0745 -1.7625 -1.5335 -1.3612 -1.0666 -0.8658 -0.7201 -0.6118 -0.5277
 -0.4606 -0.4068
 -6.2087 -5.8009 -5.4371 -5.1249 -4.8667 -4.6516 -4.4382 -4.1070 -3.6140 -3.0623
 -2.5489 -2.1275 -1.8040 -1.5615 -1.3789 -1.0734 -0.8696 -0.7222 -0.6146 -0.5330
 -0.4689 -0.4178 -0.3769 -0.3431
 -5.9141 -5.6272 -5.2772 -4.9533 -4.6617 -4.4040 -4.1724 -3.9130 -3.5281 -3.0590
 -2.5905 -2.1814 -1.8528 -1.5989 -1.4052 -1.0854 -0.8779 -0.7276 -0.6189 -0.5385
 -0.4766 -0.4280 -0.3895 -0.3587 -0.3333 -0.3136 -0.3004 -0.2944 -0.2952 -0.3013
 -5.5446 -5.2082 -4.9326 -4.6838 -4.4402 -4.1939 -3.9452 -3.6976 -3.4009 -3.0189
 -2.6080 -2.2254 -1.9011 -1.6409 -1.4376 -1.1012 -0.8892 -0.7357 -0.6244 -0.5437
 -0.4834 -0.4369 -0.4009 -0.3728 -0.3504 -0.3324 -0.3185 -0.3099 -0.3078 -0.3130
 -0.3239
 -5.3124 -4.8836 -4.5350 -4.2621 -4.0432 -3.8520 -3.6638 -3.4564 -3.2133 -2.9208
 -2.5849 -2.2466 -1.9406 -1.6822 -1.4730 -1.1201 -0.9023 -0.7457 -0.6311 -0.5487
 -0.4888 -0.4441 -0.4105 -0.3853 -0.3661 -0.3508 -0.3389 -0.3301 -0.3257 -0.3274
 -0.3369
 -5.2821 -4.7886 -4.3632 -4.0101 -3.7259 -3.4960 -3.2984 -3.1132 -2.9159 -2.6885
 -2.4371 -2.1805 -1.9319 -1.7025 -1.5018 -1.1393 -0.9147 -0.7556 -0.6377 -0.5526
 -0.4922 -0.4487 -0.4174 -0.3950 -0.3792 -0.3675 -0.3586 -0.3515 -0.3473 -0.3474
 -0.3528
 -5.3820 -4.8431 -4.3654 -3.9464 -3.5933 -3.3014 -3.0590 -2.8483 -2.6511 -2.4503
 -2.2371 -2.0241 -1.8273 -1.6509 -1.4922 -1.1621 -0.9307 -0.7683 -0.6472 -0.5585
 -0.4958 -0.4524 -0.4225 -0.4025 -0.3899 -0.3820 -0.3769 -0.3736 -0.3717 -0.3708
 -0.3751
 -5.5278 -4.9782 -4.4632 -3.9981 -3.5906 -3.2423 -2.9490 -2.7009 -2.4848 -2.2864
 -2.0938 -1.9049 -1.7272 -1.5694 -1.4334 -1.1629 -0.9470 -0.7814 -0.6575 -0.5651
 -0.4993 -0.4545 -0.4251 -0.4069 -0.3969 -0.3925 -0.3917 -0.3925 -0.3942 -0.3969
 -0.4038
 -5.6504 -5.1137 -4.5953 -4.1063 -3.6643 -3.2738 -2.9364 -2.6493 -2.4050 -2.1935
 -2.0041 -1.8295 -1.6674 -1.5201 -1.3254 -1.1417 -0.9636 -0.7949 -0.6686
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  V   
 -6.9168 -6.7406 -6.7596 -6.8038 -6.7253 -6.4218 -5.8176 -4.9199 -4.0892 -3.2820
 -2.6225 -2.1545 -1.8287 -1.5947 -1.4191 -1.1141 -0.9040 -0.7453 -0.6159
 -6.6089 -6.3898 -6.2342 -6.1300 -6.0463 -5.9179 -5.5814 -4.8194 -4.0033 -3.2277
 -2.5926 -2.1297 -1.8021 -1.5663 -1.3897 -1.0863 -0.8800 -0.7273 -0.6087 -0.5129
 -6.4000 -6.1252 -5.9178 -5.7733 -5.6677 -5.5470 -5.2934 -4.7213 -3.9790 -3.2483
 -2.6268 -2.1564 -1.8156 -1.5693 -1.3856 -1.0763 -0.8696 -0.7191 -0.6052 -0.5148
 -0.4417
