 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -2.3191 -2.1874 -2.0876 -2.0123 -1.9477 -1.8920 -1.8431 -1.7950 -1.7490 -1.7078
 -1.6702 -1.6336 -1.5949 -1.5522 -1.5088 -1.4179 -1.3557 -1.3194 -1.3062 -1.3112
 -1.3275 -1.3502
 -2.2763 -2.1255 -2.0059 -1.9137 -1.8453 -1.7978 -1.7650 -1.7321 -1.6978 -1.6647
 -1.6341 -1.6055 -1.5770 -1.5448 -1.5080 -1.4242 -1.3658 -1.3316 -1.3189 -1.3237
 -1.3400 -1.3624 -1.3889 -1.4193
 -2.2718 -2.1143 -1.9793 -1.8681 -1.7811 -1.7160 -1.6718 -1.6460 -1.6305 -1.6166
 -1.5985 -1.5763 -1.5531 -1.5294 -1.5015 -1.4265 -1.3719 -1.3397 -1.3279 -1.3330
 -1.3502 -1.3734 -1.3998 -1.4291 -1.4613 -1.4967 -1.5358 -1.5804 -1.6303 -1.6808
 -2.2723 -2.1150 -1.9770 -1.8602 -1.7645 -1.6892 -1.6323 -1.5905 -1.5609 -1.5429
 -1.5347 -1.5294 -1.5202 -1.5057 -1.4866 -1.4244 -1.3737 -1.3436 -1.3328 -1.3387
 -1.3571 -1.3821 -1.4099 -1.4395 -1.4709 -1.5044 -1.5408 -1.5805 -1.6249 -1.6752
 -1.7274
 -2.2644 -2.1132 -1.9777 -1.8605 -1.7626 -1.6828 -1.6192 -1.5696 -1.5319 -1.5036
 -1.4830 -1.4700 -1.4637 -1.4598 -1.4539 -1.4165 -1.3712 -1.3434 -1.3335 -1.3401
 -1.3570 -1.3872 -1.4175 -1.4488 -1.4808 -1.5140 -1.5489 -1.5854 -1.6253 -1.6703
 -1.7216
 -2.2325 -2.0963 -1.9674 -1.8549 -1.7591 -1.6794 -1.6141 -1.5607 -1.5179 -1.4842
 -1.4578 -1.4371 -1.4214 -1.4112 -1.4059 -1.3920 -1.3631 -1.3386 -1.3300 -1.3370
 -1.3577 -1.3877 -1.4215 -1.4559 -1.4902 -1.5245 -1.5595 -1.5954 -1.6330 -1.6733
 -1.7182
 -2.1829 -2.0587 -1.9425 -1.8378 -1.7471 -1.6708 -1.6073 -1.5542 -1.5100 -1.4732
 -1.4431 -1.4186 -1.3986 -1.3825 -1.3706 -1.3559 -1.3437 -1.3293 -1.3227 -1.3297
 -1.3503 -1.3818 -1.4190 -1.4575 -1.4953 -1.5323 -1.5689 -1.6053 -1.6422 -1.6804
 -1.7204
 -2.1282 -2.0095 -1.9019 -1.8051 -1.7212 -1.6500 -1.5905 -1.5406 -1.4982 -1.4621
 -1.4310 -1.4046 -1.3824 -1.3639 -1.3488 -1.3257 -1.3162 -1.3119 -1.3114 -1.3194
 -1.3395 -1.3711 -1.4105 -1.4530 -1.4952 -1.5361 -1.5757 -1.6143 -1.6522 -1.6902
 -1.7290
 -2.0792 -1.9591 -1.8537 -1.7618 -1.6832 -1.6169 -1.5617 -1.5158 -1.4773 -1.4441
 -1.4151 -1.3895 -1.3672 -1.3480 -1.3405 -1.3014 -1.2806 -1.2864 -1.2961
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  i   
 -3.2132 -3.1100 -3.0143 -2.9177 -2.8173 -2.6895 -2.5091 -2.2777 -2.0675 -1.9068
 -1.7877 -1.6947 -1.6184 -1.5537 -1.4976 -1.3863 -1.3063 -1.2574 -1.2363
 -2.9865 -2.8758 -2.7799 -2.6905 -2.5987 -2.4929 -2.3520 -2.1699 -2.0029 -1.8692
 -1.7653 -1.6814 -1.6108 -1.5506 -1.4983 -1.3953 -1.3236 -1.2790 -1.2595 -1.2611
 -2.8184 -2.6961 -2.5939 -2.5049 -2.4216 -2.3347 -2.2271 -2.0862 -1.9507 -1.8377
 -1.7468 -1.6715 -1.6066 -1.5500 -1.5006 -1.4039 -1.3375 -1.2964 -1.2780 -1.2785
 -1.2934
 -2.6945 -2.5620 -2.4511 -2.3569 -2.2743 -2.1972 -2.1154 -2.0095 -1.9004 -1.8050
 -1.7261 -1.6597 -1.6014 -1.5490 -1.5025 -1.4109 -1.3485 -1.3102 -1.2930 -1.2930
 -1.3066 -1.3291
 -2.5655 -2.4343 -2.3281 -2.2364 -2.1541 -2.0800 -2.0104 -1.9332 -1.8476 -1.7684
 -1.7006 -1.6430 -1.5921 -1.5453 -1.5023 -1.4156 -1.3566 -1.3206 -1.3046 -1.3047
 -1.3176 -1.3395 -1.3668 -1.3986
 -2.4940 -2.3343 -2.2041 -2.1016 -2.0226 -1.9610 -1.9068 -1.8519 -1.7899 -1.7271
 -1.6701 -1.6206 -1.5769 -1.5368 -1.4986 -1.4175 -1.3617 -1.3279 -1.3130 -1.3136
 -1.3265 -1.3484 -1.3756 -1.4064 -1.4404 -1.4779 -1.5195 -1.5661 -1.6175 -1.6682
 -2.4724 -2.2992 -2.1507 -2.0268 -1.9268 -1.8476 -1.7859 -1.7388 -1.7000 -1.6646
 -1.6288 -1.5923 -1.5561 -1.5221 -1.4898 -1.4163 -1.3637 -1.3319 -1.3182 -1.3195
 -1.3328 -1.3553 -1.3833 -1.4144 -1.4478 -1.4836 -1.5222 -1.5644 -1.6110 -1.6625
 -1.7142
 -2.4723 -2.2929 -2.1355 -2.0003 -1.8868 -1.7946 -1.7212 -1.6630 -1.6161 -1.5789
 -1.5519 -1.5331 -1.5164 -1.4969 -1.4736 -1.4115 -1.3624 -1.3328 -1.3201 -1.3220
 -1.3360 -1.3594 -1.3890 -1.4216 -1.4556 -1.4911 -1.5284 -1.5678 -1.6106 -1.6568
 -1.7083
 -2.4783 -2.2967 -2.1357 -1.9946 -1.8738 -1.7733 -1.6917 -1.6264 -1.5744 -1.5325
 -1.4987 -1.4727 -1.4548 -1.4434 -1.4340 -1.3998 -1.3571 -1.3299 -1.3186 -1.3212
 -1.3359 -1.3604 -1.3919 -1.4269 -1.4630 -1.4996 -1.5370 -1.5754 -1.6155 -1.6582
 -1.7049
 -2.4800 -2.3034 -2.1423 -1.9992 -1.8747 -1.7694 -1.6825 -1.6118 -1.5549 -1.5092
 -1.4722 -1.4421 -1.4180 -1.3995 -1.3869 -1.3697 -1.3471 -1.3236 -1.3138 -1.3169
 -1.3318 -1.3569 -1.3901 -1.4278 -1.4668 -1.5057 -1.5445 -1.5832 -1.6226 -1.6633
 -1.7062
 -2.4733 -2.3005 -2.1436 -2.0018 -1.8766 -1.7693 -1.6796 -1.6060 -1.5459 -1.4969
 -1.4570 -1.4243 -1.3974 -1.3754 -1.3577 -1.3328 -1.3227 -1.3125 -1.3055 -1.3094
 -1.3244 -1.3498 -1.3838 -1.4238 -1.4661 -1.5083 -1.5498 -1.5904 -1.6307 -1.6711
 -1.7123
