 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  o   
 -1.8307 -1.7164 -1.6076 -1.5032 -1.4062 -1.3163 -1.2349 -1.1625 -1.0988 -1.0427
 -0.9928 -0.9479 -0.9073 -0.8712 -0.8398 -0.7813 -0.7310 -0.6810 -0.6434 -0.6210
 -0.6116 -0.6135 -0.6244 -0.6422 -0.6639 -0.6869 -0.7097 -0.7317 -0.7529 -0.7739
 -0.7969
 -1.8012 -1.6921 -1.5929 -1.4971 -1.4039 -1.3159 -1.2341 -1.1594 -1.0928 -1.0337
 -0.9813 -0.9348 -0.8932 -0.8559 -0.8187 -0.7363 -0.7121 -0.6746 -0.6376
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  o   
 -2.7773 -2.7574 -2.7293 -2.6843 -2.5879 -2.4364 -2.2353 -1.9892 -1.7216 -1.5051
 -1.3389 -1.2097 -1.1083 -1.0266 -0.9588 -0.8262 -0.7276 -0.6534 -0.5992
 -2.5642 -2.5347 -2.5046 -2.4650 -2.4044 -2.3077 -2.1527 -1.9205 -1.6858 -1.4849
 -1.3246 -1.1978 -1.0973 -1.0164 -0.9495 -0.8208 -0.7267 -0.6572 -0.6079 -0.5746
 -2.3803 -2.3376 -2.3012 -2.2636 -2.2159 -2.1462 -2.0349 -1.8571 -1.6580 -1.4751
 -1.3211 -1.1959 -1.0951 -1.0136 -0.9465 -0.8195 -0.7282 -0.6619 -0.6158 -0.5850
 -0.5660
 -2.2333 -2.1738 -2.1262 -2.0847 -2.0426 -1.9909 -1.9157 -1.7881 -1.6264 -1.4645
 -1.3204 -1.1984 -1.0975 -1.0150 -0.9472 -0.8206 -0.7310 -0.6668 -0.6229 -0.5940
 -0.5762 -0.5671
 -2.1226 -2.0470 -1.9854 -1.9345 -1.8898 -1.8453 -1.7920 -1.7076 -1.5838 -1.4469
 -1.3161 -1.2003 -1.1014 -1.0186 -0.9498 -0.8227 -0.7343 -0.6715 -0.6290 -0.6017
 -0.5852 -0.5772 -0.5753 -0.5773
 -2.0073 -1.9330 -1.8694 -1.8128 -1.7626 -1.7167 -1.6711 -1.6150 -1.5274 -1.4176
 -1.3042 -1.1980 -1.1035 -1.0221 -0.9531 -0.8251 -0.7375 -0.6756 -0.6340 -0.6078
 -0.5927 -0.5860 -0.5856 -0.5895 -0.5962 -0.6057 -0.6181 -0.6344 -0.6547 -0.6778
 -1.9311 -1.8267 -1.7440 -1.6811 -1.6330 -1.5929 -1.5541 -1.5122 -1.4551 -1.3743
 -1.2813 -1.1882 -1.1013 -1.0235 -0.9556 -0.8271 -0.7399 -0.6788 -0.6377 -0.6124
 -0.5986 -0.5933 -0.5947 -0.6005 -0.6092 -0.6198 -0.6324 -0.6474 -0.6659 -0.6889
 -0.7150
 -1.9067 -1.7864 -1.6813 -1.5937 -1.5234 -1.4678 -1.4227 -1.3843 -1.3455 -1.2959
 -1.2337 -1.1633 -1.0903 -1.0201 -0.9558 -0.8284 -0.7412 -0.6806 -0.6400 -0.6151
 -0.6024 -0.5986 -0.6019 -0.6102 -0.6214 -0.6340 -0.6480 -0.6633 -0.6808 -0.7016
 -0.7274
 -1.8993 -1.7729 -1.6583 -1.5567 -1.4692 -1.3964 -1.3361 -1.2845 -1.2375 -1.1897
 -1.1400 -1.0914 -1.0441 -0.9958 -0.9455 -0.8274 -0.7405 -0.6804 -0.6401 -0.6156
 -0.6038 -0.6016 -0.6069 -0.6178 -0.6319 -0.6475 -0.6639 -0.6816 -0.7005 -0.7207
 -0.7418
 -1.9018 -1.7731 -1.6551 -1.5472 -1.4503 -1.3652 -1.2922 -1.2297 -1.1748 -1.1235
 -1.0728 -1.0236 -0.9789 -0.9401 -0.9057 -0.8214 -0.7394 -0.6793 -0.6392 -0.6147
 -0.6031 -0.6020 -0.6089 -0.6220 -0.6392 -0.6581 -0.6778 -0.6973 -0.7171 -0.7379
 -0.7598
 -1.9012 -1.7761 -1.6581 -1.5490 -1.4482 -1.3566 -1.2751 -1.2035 -1.1409 -1.0853
 -1.0340 -0.9855 -0.9400 -0.8990 -0.8634 -0.7953 -0.7338 -0.6766 -0.6365 -0.6119
 -0.6003 -0.5996 -0.6077 -0.6227 -0.6425 -0.6649 -0.6883 -0.7114 -0.7341 -0.7567
 -0.7814
 -1.8883 -1.7706 -1.6584 -1.5520 -1.4510 -1.3578 -1.2721 -1.1949 -1.1264 -1.0658
 -1.0118 -0.9629 -0.9181 -0.8770 -0.8186 -0.7491 -0.7237 -0.6723 -0.6320
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  o   
 -2.9569 -2.9608 -2.9737 -2.9606 -2.8866 -2.7242 -2.4511 -2.0915 -1.7856 -1.5446
 -1.3606 -1.2204 -1.1114 -1.0247 -0.9539 -0.8198 -0.7212 -0.6475 -0.5930
 -2.7408 -2.7374 -2.7251 -2.7008 -2.6460 -2.5377 -2.3467 -2.0536 -1.7673 -1.5340
 -1.3527 -1.2129 -1.1038 -1.0172 -0.9466 -0.8148 -0.7201 -0.6504 -0.6003 -0.5658
 -2.5436 -2.5225 -2.5048 -2.4811 -2.4396 -2.3638 -2.2295 -2.0075 -1.7574 -1.5363
 -1.3575 -1.2166 -1.1055 -1.0171 -0.9455 -0.8140 -0.7213 -0.6541 -0.6070 -0.5751
 -0.5549
 -2.3763 -2.3366 -2.3061 -2.2780 -2.2435 -2.1909 -2.1024 -1.9463 -1.7415 -1.5400
 -1.3670 -1.2259 -1.1127 -1.0218 -0.9483 -0.8155 -0.7238 -0.6583 -0.6131 -0.5831
 -0.5642 -0.5539
 -2.2446 -2.1847 -2.1379 -2.0996 -2.0639 -2.0228 -1.9645 -1.8639 -1.7094 -1.5360
 -1.3744 -1.2364 -1.1224 -1.0294 -0.9537 -0.8183 -0.7271 -0.6625 -0.6184 -0.5899
 -0.5723 -0.5630 -0.5602 -0.5619
 -2.1140 -2.0649 -2.0040 -1.9530 -1.9094 -1.8686 -1.8240 -1.7611 -1.6558 -1.5174
 -1.3742 -1.2437 -1.1317 -1.0379 -0.9604 -0.8217 -0.7304 -0.6665 -0.6230 -0.5954
 -0.5790 -0.5709 -0.5692 -0.5726 -0.5794 -0.5895 -0.6033 -0.6210 -0.6423 -0.6662
 -2.0080 -1.9286 -1.8698 -1.8219 -1.7776 -1.7349 -1.6926 -1.6467 -1.5801 -1.4797
 -1.3614 -1.2441 -1.1377 -1.0454 -0.9673 -0.8253 -0.7334 -0.6698 -0.6266 -0.5996
 -0.5843 -0.5774 -0.5772 -0.5821 -0.5906 -0.6017 -0.6154 -0.6320 -0.6521 -0.6761
 -0.7030
 -1.9559 -1.8463 -1.7556 -1.6853 -1.6321 -1.5909 -1.5558 -1.5207 -1.4791 -1.4162
 -1.3297 -1.2325 -1.1370 -1.0497 -0.9730 -0.8287 -0.7355 -0.6722 -0.6293 -0.6024
 -0.5879 -0.5823 -0.5836 -0.5904 -0.6010 -0.6140 -0.6290 -0.6457 -0.6649 -0.6874
 -0.7142
 -1.9386 -1.8170 -1.7083 -1.6148 -1.5381 -1.4769 -1.4274 -1.3858 -1.3466 -1.3032
 -1.2481 -1.1837 -1.1138 -1.0420 -0.9728 -0.8306 -0.7359 -0.6726 -0.6301 -0.6034
 -0.5895 -0.5852 -0.5882 -0.5970 -0.6099 -0.6255 -0.6427 -0.6608 -0.6804 -0.7024
 -0.7274
 -1.9378 -1.8109 -1.6950 -1.5899 -1.4975 -1.4190 -1.3537 -1.2987 -1.2501 -1.2030
 -1.1527 -1.0992 -1.0468 -0.9971 -0.9488 -0.8316 -0.7366 -0.6726 -0.6300 -0.6033
 -0.5895 -0.5861 -0.5905 -0.6010 -0.6163 -0.6346 -0.6546 -0.6754 -0.6969 -0.7189
 -0.7432
 -1.9442 -1.8159 -1.6963 -1.5862 -1.4859 -1.3964 -1.3185 -1.2515 -1.1936 -1.1413
 -1.0907 -1.0395 -0.9891 -0.9423 -0.9007 -0.8141 -0.7353 -0.6712 -0.6284 -0.6016
 -0.5877 -0.5846 -0.5900 -0.6022 -0.6195 -0.6405 -0.6637 -0.6876 -0.7118 -0.7362
 -0.7617
 -1.9460 -1.8217 -1.7030 -1.5910 -1.4878 -1.3930 -1.3074 -1.2314 -1.1647 -1.1060
 -1.0527 -1.0027 -0.9546 -0.9089 -0.8285 -0.7781 -0.7320 -0.6684 -0.6253
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  o   
 -3.0979 -3.1268 -3.1459 -3.1217 -3.0339 -2.8541 -2.5699 -2.1598 -1.8449 -1.5872
 -1.3865 -1.2345 -1.1176 -1.0252 -0.9507 -0.8127 -0.7140 -0.6404 -0.5857
 -2.8832 -2.9034 -2.9195 -2.9181 -2.8785 -2.7675 -2.5375 -2.1744 -1.8472 -1.5853
 -1.3842 -1.2312 -1.1132 -1.0203 -0.9454 -0.8087 -0.7128 -0.6423 -0.5916 -0.5561
 -2.6801 -2.6850 -2.6914 -2.6887 -2.6615 -2.5870 -2.4315 -2.1617 -1.8573 -1.5990
