 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F390M
 -2.9385 -2.6769 -2.4664 -2.3078 -2.1934 -2.1108 -2.0494 -2.0017 -1.9637 -1.9333
 -1.9078
-12.5335-11.9239-11.1282-10.2317 -9.3383 -8.5317 -7.8424 -7.2757 -6.8171 -6.4484
 -6.1476 -5.8946 -5.6717 -5.4658 -5.2708 -4.8356 -4.4589 -4.0764 -3.6769
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F390M
-12.1826-11.5244-10.8218-10.0272 -9.2483 -8.6249 -8.2121 -7.8971 -7.6416 -7.4224
 -7.2075 -6.9978 -6.7940 -6.5951 -6.3992 -5.9120 -5.4129 -4.8811 -4.3032
-11.1993-10.9479-10.4662 -9.8823 -9.1551 -8.4711 -7.9828 -7.6298 -7.3473 -7.1076
 -6.8798 -6.6611 -6.4503 -6.2458 -6.0459 -5.5577 -5.0708 -4.5704 -4.0535 -3.5391
-10.4632-10.2781 -9.9802 -9.6180 -9.1125 -8.4517 -7.8767 -7.4569 -7.1407 -6.8771
 -6.6373 -6.4099 -6.1926 -5.9837 -5.7810 -5.2932 -4.8177 -4.3434 -3.8709 -3.4116
 -2.9892
-10.0303 -9.5146 -9.3672 -9.1908 -8.9097 -8.4739 -7.9004 -7.3955 -7.0234 -6.7291
 -6.4758 -6.2389 -6.0143 -5.7998 -5.5934 -5.1034 -4.6357 -4.1805 -3.7405 -3.3215
 -2.9338 -2.6080
-10.0590 -9.2507 -8.7818 -8.6010 -8.5051 -8.2965 -7.9386 -7.4504 -7.0028 -6.6627
 -6.3873 -6.1400 -5.9070 -5.6857 -5.4737 -4.9769 -4.5117 -4.0690 -3.6516 -3.2617
 -2.9019 -2.5925 -2.3519 -2.1637
-10.3486 -9.3418 -8.6375 -8.2006 -7.9711 -7.8696 -7.7416 -7.4743 -7.0815 -6.6796
 -6.3639 -6.1022 -5.8606 -5.6318 -5.4132 -4.9049 -4.4369 -4.0006 -3.5978 -3.2280
 -2.8898 -2.5941 -2.3602 -2.1813 -2.0374 -1.9167 -1.8109 -1.7140 -1.6256 -1.5525
-10.8251 -9.6779 -8.7787 -8.1481 -7.7332 -7.4730 -7.3144 -7.2022 -7.0380 -6.7567
 -6.4109 -6.1158 -5.8638 -5.6278 -5.4028 -4.8798 -4.4040 -3.9688 -3.5744 -3.2178
 -2.8949 -2.6104 -2.3808 -2.2061 -2.0704 -1.9590 -1.8641 -1.7816 -1.7081 -1.6419
 -1.5859
-11.3673-10.1887 -9.1434 -8.3339 -7.7556 -7.3551 -7.0798 -6.8800 -6.7271 -6.5921
 -6.4199 -6.1693 -5.9054 -5.6629 -5.4319 -4.8944 -4.4070 -3.9679 -3.5767 -3.2276
 -2.9144 -2.6388 -2.4116 -2.2384 -2.1070 -2.0027 -1.9166 -1.8432 -1.7802 -1.7262
 -1.6800
-11.8502-10.7427 -9.6503 -8.7057 -7.9693 -7.4294 -7.0429 -6.7613 -6.5421 -6.3595
 -6.2028 -6.0574 -5.8880 -5.6923 -5.4804 -4.9372 -4.4363 -3.9884 -3.5961 -3.2499
 -2.9420 -2.6718 -2.4470 -2.2738 -2.1446 -2.0456 -1.9667 -1.9009 -1.8457 -1.7998
 -1.7621
-12.2432-11.2656-10.2115 -9.2129 -8.3572 -7.6805 -7.1701 -6.7914 -6.5057 -6.2769
 -6.0809 -5.9075 -5.7516 -5.5991 -5.4464 -5.0017 -4.4980 -4.0391 -3.6407 -3.2929
 -2.9856 -2.7166 -2.4915 -2.3158 -2.1857 -2.0893 -2.0156 -1.9569 -1.9090 -1.8678
 -1.8377
-12.5230-11.7034-10.7379 -9.7522 -8.8440 -8.0685 -7.4420 -6.9559 -6.5836 -6.2945
 -6.0598 -5.8575 -5.6760 -5.5086 -5.3517 -4.9868 -4.5689 -4.1096 -3.7016 -3.3482
 -3.0380 -2.7668 -2.5390 -2.3593 -2.2259 -2.1297 -2.0594 -2.0062 -1.9647 -1.9320
 -1.9047
-12.6984-12.0292-11.1852-10.2620 -9.3568 -8.5330 -7.8247 -7.2417 -6.7767 -6.4102
 -6.1185 -5.8788 -5.6722 -5.4854 -5.3108 -4.9251 -4.5723 -4.1845 -3.7774
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value = F390M
-12.3385-11.5397-10.6553 -9.7876 -9.0314 -8.4808 -8.1270 -7.8533 -7.6153 -7.4176
 -7.2237 -7.0316 -6.8433 -6.6580 -6.4753 -6.0205 -5.5454 -5.0486 -4.5346
-11.5063-11.0804-10.4635 -9.7089 -8.9336 -8.2979 -7.8784 -7.5676 -7.3123 -7.0993
 -6.8953 -6.6972 -6.5046 -6.3161 -6.1305 -5.6746 -5.2185 -4.7499 -4.2628 -3.7623
-10.7862-10.4875-10.0924 -9.6045 -8.9460 -8.2562 -7.7336 -7.3693 -7.0889 -6.8553
 -6.6424 -6.4386 -6.2422 -6.0516 -5.8651 -5.4110 -4.9635 -4.5139 -4.0611 -3.6127
 -3.1838
-10.2189 -9.7432 -9.5777 -9.2964 -8.9001 -8.3272 -7.7274 -7.2738 -6.9472 -6.6867
 -6.4627 -6.2518 -6.0505 -5.8565 -5.6681 -5.2146 -4.7743 -4.3401 -3.9137 -3.5025
 -3.1120 -2.7595
-10.0080 -9.2521 -8.9179 -8.8160 -8.6259 -8.3067 -7.8229 -7.3016 -6.8963 -6.5958
 -6.3517 -6.1318 -5.9238 -5.7249 -5.5329 -5.0760 -4.6392 -4.2161 -3.8094 -3.4250
 -3.0643 -2.7352 -2.4613 -2.2469
-10.2853 -9.2757 -8.6164 -8.2667 -8.1414 -8.0328 -7.7930 -7.4054 -6.9549 -6.5860
 -6.3045 -6.0713 -5.8556 -5.6506 -5.4537 -4.9890 -4.5513 -4.1345 -3.7412 -3.3756
 -3.0371 -2.7277 -2.4640 -2.2572 -2.0948 -1.9609 -1.8446 -1.7388 -1.6433 -1.5638
-10.8043 -9.5972 -8.7042 -8.1109 -7.7538 -7.5684 -7.4705 -7.3238 -7.0434 -6.6712
 -6.3293 -6.0635 -5.8376 -5.6260 -5.4238 -4.9487 -4.5059 -4.0903 -3.7049 -3.3514
 -3.0282 -2.7342 -2.4796 -2.2770 -2.1210 -1.9966 -1.8925 -1.8028 -1.7231 -1.6514
 -1.5903
-11.4127-10.1457 -9.0552 -8.2538 -7.7053 -7.3467 -7.1183 -6.9711 -6.8540 -6.6873
 -6.4229 -6.1151 -5.8621 -5.6425 -5.4347 -4.9488 -4.4981 -4.0792 -3.6966 -3.3500
 -3.0359 -2.7530 -2.5059 -2.3060 -2.1533 -2.0353 -1.9401 -1.8602 -1.7923 -1.7342
 -1.6834
-12.1858-10.7813 -9.5987 -8.6165 -7.8876 -7.3723 -7.0160 -6.7660 -6.5808 -6.4345
 -6.3011 -6.1404 -5.9160 -5.6866 -5.4737 -4.9784 -4.5183 -4.0925 -3.7079 -3.3638
 -3.0549 -2.7781 -2.5370 -2.3396 -2.1886 -2.0747 -1.9861 -1.9145 -1.8547 -1.8051
 -1.7649
-12.5842-11.3736-10.2343 -9.1604 -8.2729 -7.5989 -7.1073 -6.7522 -6.4906 -6.2859
 -6.1158 -5.9691 -5.8329 -5.6772 -5.5068 -5.0376 -4.5704 -4.1371 -3.7472 -3.4014
 -3.0928 -2.8177 -2.5788 -2.3818 -2.2300 -2.1173 -2.0328 -1.9673 -1.9148 -1.8723
 -1.8380
-12.6860-11.7949-10.8180 -9.7654 -8.7962 -7.9913 -7.3636 -6.8907 -6.5371 -6.2678
 -6.0528 -5.8711 -5.7121 -5.5686 -5.4266 -5.0694 -4.6408 -4.2013 -3.8043 -3.4536
 -3.1423 -2.8657 -2.6256 -2.4269 -2.2726 -2.1587 -2.0762 -2.0151 -1.9685 -1.9325
 -1.9033
-12.4909-12.0452-11.2322-10.3101 -9.3574 -8.4904 -7.7560 -7.1690 -6.7132 -6.3611
 -6.0861 -5.8639 -5.6754 -5.5090 -5.2331 -5.0738 -4.7295 -4.2851 -3.8792
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value = F390M
-12.5658-11.3983-10.4021 -9.5607 -8.8534 -8.3733 -8.0546 -7.8166 -7.6041 -7.4289
 -7.2541 -7.0798 -6.9069 -6.7359 -6.5662 -6.1412 -5.6985 -5.2375 -4.7622
-11.7909-11.1347-10.3486 -9.4815 -8.7319 -8.1613 -7.7827 -7.5154 -7.2894 -7.1031
 -6.9223 -6.7451 -6.5708 -6.3987 -6.2275 -5.8024 -5.3739 -4.9338 -4.4756 -3.9971
-10.8355-10.6575-10.1586 -9.5017 -8.7458 -8.0832 -7.6135 -7.2942 -7.0462 -6.8436
 -6.6567 -6.4767 -6.3014 -6.1294 -5.9592 -5.5384 -5.1170 -4.6905 -4.2582 -3.8246
 -3.3998
-10.2097-10.0250 -9.7460 -9.3646 -8.8073 -8.1451 -7.5707 -7.1684 -6.8810 -6.6523
 -6.4567 -6.2716 -6.0937 -5.9206 -5.7506 -5.3340 -4.9204 -4.5066 -4.0951 -3.6937
 -3.3074 -2.9428
