 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F322W2
 -4.8989 -5.0426
 -3.3869 -3.4519 -3.5128 -3.5698 -3.6234 -3.6716 -3.7071 -3.7318 -3.7526 -3.7718
 -3.7900 -3.8100 -3.8389 -3.8854 -3.9468 -4.1186 -4.2881 -4.4497 -4.6046 -4.7565
 -4.9047 -5.0476 -5.1852 -5.3182
 -3.3689 -3.4227 -3.4795 -3.5382 -3.5950 -3.6478 -3.6953 -3.7363 -3.7701 -3.7971
 -3.8208 -3.8437 -3.8687 -3.9031 -3.9544 -4.1204 -4.2905 -4.4534 -4.6092 -4.7609
 -4.9087 -5.0514 -5.1883 -5.3204 -5.4480 -5.5719 -5.6925 -5.8098 -5.9234 -6.0328
 -3.3650 -3.4141 -3.4661 -3.5213 -3.5783 -3.6342 -3.6859 -3.7310 -3.7697 -3.8042
 -3.8355 -3.8639 -3.8927 -3.9254 -3.9675 -4.1213 -4.2909 -4.4548 -4.6117 -4.7635
 -4.9111 -5.0538 -5.1906 -5.3222 -5.4490 -5.5717 -5.6909 -5.8067 -5.9192 -6.0284
 -6.1341
 -3.3715 -3.4162 -3.4636 -3.5146 -3.5682 -3.6231 -3.6768 -3.7269 -3.7714 -3.8101
 -3.8449 -3.8785 -3.9117 -3.9460 -3.9855 -4.1232 -4.2903 -4.4545 -4.6122 -4.7642
 -4.9119 -5.0547 -5.1919 -5.3234 -5.4499 -5.5718 -5.6900 -5.8047 -5.9160 -6.0241
 -6.1291
 -3.3897 -3.4288 -3.4712 -3.5173 -3.5666 -3.6181 -3.6705 -3.7220 -3.7707 -3.8151
 -3.8551 -3.8923 -3.9291 -3.9672 -4.0079 -4.1328 -4.2915 -4.4555 -4.6136 -4.7658
 -4.9134 -5.0566 -5.1945 -5.3266 -5.4533 -5.5751 -5.6928 -5.8067 -5.9171 -6.0243
 -6.1285
 -3.4215 -3.4545 -3.4901 -3.5304 -3.5742 -3.6206 -3.6692 -3.7187 -3.7681 -3.8160
 -3.8609 -3.9030 -3.9434 -3.9841 -4.0272 -4.1493 -4.2936 -4.4535 -4.6113 -4.7633
 -4.9104 -5.0534 -5.1918 -5.3250 -5.4524 -5.5745 -5.6921 -5.8055 -5.9153 -6.0217
 -6.1249
 -3.4676 -3.4944 -3.5236 -3.5572 -3.5942 -3.6345 -3.6775 -3.7227 -3.7696 -3.8172
 -3.8644 -3.9103 -3.9547 -3.9983 -4.0429 -4.1661 -4.3040 -4.4537 -4.6090 -4.7603
 -4.9066 -5.0489 -5.1873 -5.3213 -5.4498 -5.5729 -5.6911 -5.8046 -5.9142 -6.0202
 -6.1229
 -3.5256 -3.5473 -3.5715 -3.5989 -3.6295 -3.6630 -3.6993 -3.7384 -3.7805 -3.8248
 -3.8707 -3.9174 -3.9640 -4.0104 -4.0550 -4.1832 -4.3227 -4.4561 -4.6067
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =F322W2
 -3.4149 -3.4395 -3.4550 -3.4618 -3.4598 -3.4579 -3.4653 -3.4881 -3.5248 -3.5730
 -3.6312 -3.6968 -3.7660 -3.8356 -3.9046 -4.0742 -4.2391 -4.3992 -4.5543
 -3.4512 -3.4836 -3.5064 -3.5193 -3.5239 -3.5232 -3.5277 -3.5453 -3.5732 -3.6111
 -3.6595 -3.7186 -3.7852 -3.8548 -3.9247 -4.0960 -4.2612 -4.4191 -4.5730 -4.7258
 -3.4691 -3.5111 -3.5431 -3.5649 -3.5766 -3.5805 -3.5852 -3.5997 -3.6215 -3.6508
 -3.6888 -3.7382 -3.7987 -3.8662 -3.9361 -4.1091 -4.2756 -4.4343 -4.5867 -4.7379
 -4.8873
 -3.4488 -3.5097 -3.5587 -3.5948 -3.6185 -3.6315 -3.6390 -3.6521 -3.6705 -3.6938
 -3.7229 -3.7613 -3.8122 -3.8745 -3.9427 -4.1163 -4.2843 -4.4441 -4.5968 -4.7469
 -4.8950 -5.0386
 -3.4136 -3.4706 -3.5245 -3.5826 -3.6307 -3.6642 -3.6834 -3.6994 -3.7178 -3.7385
 -3.7621 -3.7912 -3.8305 -3.8837 -3.9474 -4.1198 -4.2889 -4.4501 -4.6037 -4.7534
 -4.9006 -5.0434 -5.1810 -5.3142
 -3.3804 -3.4277 -3.4863 -3.5454 -3.6012 -3.6506 -3.6920 -3.7246 -3.7511 -3.7751
 -3.7993 -3.8254 -3.8562 -3.8979 -3.9534 -4.1210 -4.2908 -4.4533 -4.6081 -4.7579
 -4.9045 -5.0467 -5.1837 -5.3159 -5.4438 -5.5682 -5.6891 -5.8067 -5.9206 -6.0300
 -3.3612 -3.4124 -3.4662 -3.5224 -3.5794 -3.6335 -3.6816 -3.7227 -3.7590 -3.7924
 -3.8227 -3.8517 -3.8827 -3.9187 -3.9642 -4.1212 -4.2907 -4.4542 -4.6103 -4.7605
 -4.9068 -5.0488 -5.1856 -5.3172 -5.4443 -5.5674 -5.6870 -5.8032 -5.9161 -6.0255
 -6.1310
 -3.3621 -3.4094 -3.4586 -3.5110 -3.5658 -3.6212 -3.6741 -3.7220 -3.7638 -3.8007
 -3.8352 -3.8692 -3.9030 -3.9390 -3.9803 -4.1220 -4.2895 -4.4535 -4.6106 -4.7614
 -4.9077 -5.0496 -5.1865 -5.3181 -5.4447 -5.5670 -5.6856 -5.8007 -5.9124 -6.0210
 -6.1261
 -3.3712 -3.4146 -3.4600 -3.5083 -3.5597 -3.6133 -3.6671 -3.7189 -3.7666 -3.8093
 -3.8478 -3.8844 -3.9214 -3.9600 -4.0011 -4.1281 -4.2898 -4.4540 -4.6118 -4.7633
 -4.9096 -5.0516 -5.1888 -5.3209 -5.4477 -5.5699 -5.6879 -5.8022 -5.9131 -6.0208
 -6.1253
 -3.3890 -3.4286 -3.4689 -3.5128 -3.5600 -3.6100 -3.6618 -3.7137 -3.7643 -3.8121
 -3.8560 -3.8969 -3.9367 -3.9774 -4.0206 -4.1421 -4.2889 -4.4511 -4.6091 -4.7608
 -4.9070 -5.0489 -5.1864 -5.3191 -5.4465 -5.5689 -5.6868 -5.8006 -5.9108 -6.0176
 -6.1213
 -3.4193 -3.4531 -3.4889 -3.5271 -3.5692 -3.6146 -3.6625 -3.7117 -3.7617 -3.8112
 -3.8591 -3.9047 -3.9484 -3.9917 -4.0363 -4.1589 -4.2967 -4.4490 -4.6060 -4.7575
 -4.9035 -5.0449 -5.1823 -5.3155 -5.4438 -5.5670 -5.6853 -5.7992 -5.9092 -6.0156
 -6.1188
 -3.4632 -3.4912 -3.5212 -3.5540 -3.5904 -3.6300 -3.6725 -3.7174 -3.7642 -3.8122
 -3.8607 -3.9088 -3.9560 -4.0025 -4.0482 -4.1785 -4.3132 -4.4477 -4.6025
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =F322W2
 -3.3882 -3.4087 -3.4204 -3.4241 -3.4194 -3.4160 -3.4249 -3.4532 -3.5000 -3.5595
 -3.6268 -3.6977 -3.7694 -3.8402 -3.9096 -4.0779 -4.2413 -4.4000 -4.5541
 -3.4298 -3.4577 -3.4759 -3.4846 -3.4856 -3.4816 -3.4844 -3.5048 -3.5406 -3.5900
 -3.6496 -3.7163 -3.7865 -3.8576 -3.9281 -4.0992 -4.2634 -4.4212 -4.5731 -4.7228
 -3.4564 -3.4926 -3.5192 -3.5353 -3.5416 -3.5401 -3.5411 -3.5557 -3.5827 -3.6218
 -3.6719 -3.7313 -3.7977 -3.8676 -3.9382 -4.1113 -4.2772 -4.4355 -4.5868 -4.7351
 -4.8831
 -3.4612 -3.5099 -3.5478 -3.5745 -3.5900 -3.5952 -3.5964 -3.6073 -3.6279 -3.6582
 -3.6983 -3.7484 -3.8079 -3.8742 -3.9438 -4.1177 -4.2853 -4.4448 -4.5965 -4.7442
