 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  K   
  1.5028  1.3654  1.2321  1.1032  0.9791  0.8598  0.7447  0.6335  0.5257  0.4209
  0.3170
  2.3525  2.4036  2.4407  2.4646  2.4753  2.4757  2.4672  2.4520  2.4317  2.4080
  2.3825  2.3558  2.3277  2.2973  2.2642  2.1729  2.0647  1.9332  1.7879  1.6427
  1.5021  1.3662  1.2342  1.1056  0.9811  0.8613  0.7459  0.6348  0.5274  0.4233
  0.3223
  2.1717  2.2357  2.2875  2.3280  2.3571  2.3756  2.3845  2.3848  2.3773  2.3634
  2.3446  2.3220  2.2965  2.2681  2.2488  2.1346  2.0243  1.9148  1.7820
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  K   
  3.0423  3.0573  3.0708  3.0796  3.0797  3.0678  3.0412  2.9987  2.9430  2.8785
  2.8088  2.7368  2.6642  2.5921  2.5207  2.3453  2.1736  2.0055  1.8423
  2.9638  2.9766  2.9913  3.0042  3.0107  3.0072  2.9901  2.9574  2.9112  2.8545
  2.7903  2.7210  2.6494  2.5772  2.5055  2.3300  2.1598  1.9945  1.8343  1.6788
  2.8953  2.9014  2.9133  2.9270  2.9381  2.9416  2.9334  2.9105  2.8743  2.8270
  2.7704  2.7066  2.6378  2.5666  2.4949  2.3189  2.1491  1.9853  1.8271  1.6738
  1.5249
  2.8413  2.8359  2.8409  2.8516  2.8633  2.8713  2.8707  2.8572  2.8308  2.7933
  2.7459  2.6899  2.6266  2.5581  2.4874  2.3112  2.1413  1.9781  1.8211  1.6693
  1.5223  1.3798
  2.8210  2.7905  2.7790  2.7815  2.7907  2.7998  2.8036  2.7981  2.7806  2.7524
  2.7146  2.6678  2.6125  2.5495  2.4814  2.3062  2.1361  1.9730  1.8164  1.6656
  1.5199  1.3790  1.2427  1.1104
  2.8343  2.7867  2.7483  2.7254  2.7191  2.7253  2.7341  2.7357  2.7265  2.7062
  2.6766  2.6385  2.5923  2.5375  2.4747  2.3029  2.1327  1.9695  1.8131  1.6628
  1.5179  1.3780  1.2430  1.1124  0.9856  0.8621  0.7417  0.6243  0.5105  0.4016
  2.8430  2.7950  2.7491  2.7088  2.6786  2.6606  2.6527  2.6511  2.6512  2.6467
  2.6316  2.6038  2.5657  2.5192  2.4644  2.3003  2.1308  1.9675  1.8111  1.6610
  1.5165  1.3772  1.2429  1.1134  0.9880  0.8663  0.7477  0.6322  0.5197  0.4104
  0.3056
  2.8411  2.7975  2.7527  2.7086  2.6679  2.6335  2.6073  2.5883  2.5733  2.5603
  2.5497  2.5390  2.5209  2.4899  2.4462  2.2972  2.1296  1.9665  1.8101  1.6601
  1.5159  1.3768  1.2429  1.1139  0.9894  0.8689  0.7518  0.6380  0.5271  0.4190
  0.3121
  2.8192  2.7863  2.7482  2.7072  2.6654  2.6249  2.5880  2.5564  2.5299  2.5065
  2.4844  2.4631  2.4439  2.4250  2.3999  2.2876  2.1266  1.9639  1.8075  1.6576
  1.5136  1.3747  1.2408  1.1117  0.9874  0.8675  0.7513  0.6386  0.5290  0.4222
  0.3182
  2.7621  2.7478  2.7244  2.6933  2.6573  2.6187  2.5797  2.5421  2.5075  2.4762
  2.4474  2.4194  2.3912  2.3631  2.3363  2.2550  2.1234  1.9640  1.8080  1.6584
  1.5148  1.3764  1.2427  1.1135  0.9890  0.8692  0.7534  0.6415  0.5329  0.4274
  0.3246
  2.6595  2.6690  2.6663  2.6527  2.6299  2.6002  2.5663  2.5304  2.4941  2.4587
  2.4249  2.3923  2.3599  2.3267  2.2926  2.2072  2.1016  1.9620  1.8085  1.6595
  1.5163  1.3785  1.2453  1.1162  0.9914  0.8712  0.7553  0.6435  0.5354  0.4306
  0.3288
  2.5187  2.5491  2.5686  2.5753  2.5711  2.5567  2.5344  2.5068  2.4756  2.4423
  2.4081  2.3734  2.3385  2.3028  2.2688  2.1442  2.0612  1.9579  1.8090
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  K   
  3.1018  3.1167  3.1280  3.1325  3.1261  3.1066  3.0724  3.0224  2.9578  2.8864
  2.8122  2.7375  2.6636  2.5909  2.5194  2.3450  2.1749  2.0081  1.8451
  3.0209  3.0361  3.0508  3.0613  3.0637  3.0547  3.0308  2.9895  2.9338  2.8684
  2.7976  2.7244  2.6508  2.5777  2.5057  2.3306  2.1614  1.9970  1.8372  1.6821
  2.9457  2.9569  2.9714  2.9853  2.9943  2.9941  2.9808  2.9506  2.9053  2.8482
  2.7831  2.7133  2.6412  2.5685  2.4963  2.3203  2.1512  1.9880  1.8302  1.6774
  1.5287
  2.8813  2.8841  2.8942  2.9076  2.9200  2.9268  2.9231  2.9043  2.8699  2.8226
  2.7655  2.7013  2.6327  2.5616  2.4899  2.3135  2.1440  1.9812  1.8246  1.6733
  1.5265  1.3840
  2.8369  2.8231  2.8234  2.8323  2.8444  2.8545  2.8580  2.8498  2.8264  2.7896
  2.7419  2.6855  2.6226  2.5551  2.4850  2.3091  2.1393  1.9765  1.8203  1.6700
  1.5245  1.3836  1.2472  1.1145
  2.8357  2.7945  2.7701  2.7638  2.7701  2.7810  2.7886  2.7880  2.7748  2.7484
  2.7107  2.6634  2.6082  2.5466  2.4801  2.3065  2.1364  1.9735  1.8174  1.6675
  1.5229  1.3832  1.2480  1.1171  0.9900  0.8662  0.7454  0.6277  0.5139  0.4053
  2.8479  2.7995  2.7565  2.7243  2.7069  2.7030  2.7081  2.7139  2.7125  2.6985
  2.6716  2.6337  2.5872  2.5333  2.4728  2.3047  2.1350  1.9718  1.8156  1.6659
  1.5218  1.3828  1.2485  1.1187  0.9930  0.8709  0.7519  0.6360  0.5232  0.4141
  0.3096
  2.8533  2.8060  2.7598  2.7172  2.6815  2.6561  2.6407  2.6317  2.6246  2.6167
  2.6055  2.5863  2.5552  2.5122  2.4600  2.3028  2.1345  1.9713  1.8150  1.6653
  1.5214  1.3827  1.2490  1.1199  0.9950  0.8741  0.7566  0.6423  0.5309  0.4227
  0.3178
  2.8490  2.8062  2.7621  2.7181  2.6761  2.6385  2.6074  2.5831  2.5629  2.5436
  2.5236  2.5037  2.4842  2.4606  2.4276  2.2968  2.1326  1.9695  1.8130  1.6631
  1.5192  1.3807  1.2471  1.1180  0.9935  0.8732  0.7566  0.6434  0.5334  0.4263
  0.3221
  2.8246  2.7930  2.7565  2.7165  2.6752  2.6340  2.5950  2.5598  2.5288  2.5009
  2.4739  2.4462  2.4181  2.3907  2.3641  2.2751  2.1321  1.9707  1.8143  1.6645
  1.5208  1.3824  1.2490  1.1200  0.9955  0.8754  0.7593  0.6469  0.5379  0.4319
  0.3287
  2.7651  2.7519  2.7297  2.7009  2.6663  2.6284  2.5890  2.5498  2.5123  2.4771
  2.4440  2.4117  2.3790  2.3454  2.3115  2.2276  2.1183  1.9713  1.8160  1.6664
  1.5229  1.3848  1.2516  1.1227  0.9981  0.8777  0.7616  0.6494  0.5409  0.4356
  0.3376
  2.6705  2.6709  2.6693  2.6572  2.6366  2.6086  2.5754  2.5392  2.5015  2.4637
  2.4266  2.3902  2.3542  2.3177  2.2698  2.1543  2.0912  1.9713  1.8181
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  K   
  3.1613  3.1759  3.1835  3.1834  3.1707  3.1433  3.1005  3.0418  2.9693  2.8926
  2.8151  2.7383  2.6631  2.5896  2.5177  2.3439  2.1755  2.0102  1.8480
  3.0800  3.0966  3.1103  3.1176  3.1152  3.0998  3.0679  3.0171  2.9522  2.8797
  2.8041  2.7279  2.6525  2.5785  2.5060  2.3308  2.1626  1.9993  1.8401  1.6855
  2.9999  3.0153  3.0313  3.0442  3.0500  3.0450  3.0251  2.9867  2.9318  2.8659
  2.7940  2.7196  2.6449  2.5709  2.4980  2.3218  2.1532  1.9908  1.8335  1.6812
  1.5328
  2.9270  2.9365  2.9508  2.9659  2.9775  2.9815  2.9732  2.9480  2.9049  2.8481
  2.7823  2.7116  2.6388  2.5655  2.4927  2.3159  2.1467  1.9845  1.8282  1.6774
  1.5311  1.3886
  2.8668  2.8654  2.8734  2.8866  2.9003  2.9103  2.9118  2.8994  2.8693  2.8236
  2.7663  2.7014  2.6322  2.5609  2.4890  2.3122  2.1426  1.9802  1.8244  1.6745
  1.5295  1.3888  1.2522  1.1194
  2.8391  2.8135  2.8055  2.8105  2.8224  2.8348  2.8424  2.8405  2.8234  2.7900
  2.7431  2.6863  2.6229  2.5554  2.4856  2.3101  2.1402  1.9775  1.8218  1.6724
  1.5283  1.3888  1.2537  1.1226  0.9951  0.8709  0.7498  0.6316  0.5174  0.4086
  2.8489  2.8029  2.7680  2.7497  2.7476  2.7559  2.7667  2.7722  2.7668  2.7460
  2.7108  2.6639  2.6085  2.5468  2.4810  2.3089  2.1391  1.9762  1.8204  1.6711
  1.5275  1.3888  1.2547  1.1248  0.9988  0.8762  0.7568  0.6406  0.5272  0.4176
  0.3129
  2.8577  2.8095  2.7645  2.7266  2.7004  2.6874  2.6844  2.6868  2.6877  2.6810
  2.6622  2.6299  2.5856  2.5324  2.4728  2.3079  2.1390  1.9760  1.8199  1.6706
  1.5272  1.3890  1.2556  1.1264  1.0014  0.8801  0.7622  0.6474  0.5356  0.4268
  0.3213
  2.8605  2.8139  2.7678  2.7240  2.6851  2.6541  2.6324  2.6182  2.6067  2.5938
  2.5777  2.5581  2.5328  2.4983  2.4529  2.3039  2.1376  1.9745  1.8181  1.6685
  1.5250  1.3869  1.2538  1.1251  1.0005  0.8799  0.7628  0.6491  0.5385  0.4309
  0.3262
  2.8543  2.8130  2.7697  2.7260  2.6834  2.6437  2.6090  2.5803  2.5566  2.5344
  2.5108  2.4844  2.4567  2.4288  2.3989  2.2926  2.1384  1.9764  1.8200  1.6702
  1.5267  1.3887  1.2557  1.1272  1.0029  0.8827  0.7662  0.6534  0.5438  0.4372
  0.3335
  2.8286  2.7979  2.7627  2.7238  2.6830  2.6418  2.6016  2.5640  2.5299  2.4988
  2.4690  2.4382  2.4056  2.3716  2.3377  2.2506  2.1323  1.9782  1.8224  1.6726
  1.5291  1.3912  1.2583  1.1299  1.0056  0.8854  0.7690  0.6565  0.5475  0.4417
  0.3432
  2.7680  2.7553  2.7342  2.7063  2.6734  2.6364  2.5972  2.5574  2.5182  2.4804
  2.4444  2.4091  2.3736  2.3367  2.2693  2.1779  2.1193  1.9799  1.8253
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  K   
  3.2191  3.2309  3.2365  3.2322  3.2144  3.1802  3.1273  3.0566  2.9777  2.8973
  2.8174  2.7389  2.6624  2.5880  2.5156  2.3417  2.1748  2.0114  1.8505
  3.1390  3.1566  3.1673  3.1708  3.1634  3.1410  3.1002  3.0395  2.9664  2.8885
  2.8095  2.7312  2.6543  2.5793  2.5061  2.3306  2.1632  2.0012  1.8429  1.6888
  3.0561  3.0743  3.0906  3.1015  3.1034  3.0927  3.0653  3.0175  2.9531  2.8798
  2.8030  2.7255  2.6488  2.5735  2.4998  2.3230  2.1549  1.9933  1.8367  1.6849
  1.5372
  2.9763  2.9915  3.0088  3.0243  3.0341  3.0340  3.0200  2.9870  2.9344  2.8688
  2.7961  2.7206  2.6447  2.5696  2.4959  2.3182  2.1493  1.9876  1.8319  1.6816
  1.5358  1.3937
  2.9055  2.9128  2.9266  2.9427  2.9572  2.9655  2.9632  2.9453  2.9072  2.8522
  2.7864  2.7148  2.6410  2.5668  2.4933  2.3153  2.1458  1.9839  1.8285  1.6791
  1.5346  1.3943  1.2578  1.1250
  2.8607  2.8447  2.8489  2.8612  2.8763  2.8893  2.8959  2.8911  2.8686  2.8271
  2.7711  2.7059  2.6359  2.5638  2.4914  2.3137  2.1438  1.9816  1.8263  1.6773
  1.5337  1.3947  1.2598  1.1286  1.0007  0.8760  0.7546  0.6365  0.5222  0.4134
  2.8471  2.8093  2.7898  2.7874  2.7959  2.8091  2.8207  2.8250  2.8168  2.7905
  2.7470  2.6910  2.6273  2.5591  2.4890  2.3131  2.1430  1.9806  1.8251  1.6763
  1.5332  1.3950  1.2613  1.1315  1.0053  0.8825  0.7628  0.6460  0.5323  0.4226
  0.3179
  2.8579  2.8105  2.7696  2.7411  2.7285  2.7292  2.7375  2.7464  2.7486  2.7380
  2.7101  2.6668  2.6123  2.5505  2.4845  2.3128  2.1432  1.9805  1.8249  1.6760
  1.5331  1.3954  1.2625  1.1336  1.0086  0.8871  0.7688  0.6536  0.5413  0.4320
  0.3264
  2.8637  2.8158  2.7701  2.7290  2.6964  2.6754  2.6654  2.6622  2.6605  2.6553
  2.6415  2.6165  2.5793  2.5307  2.4732  2.3104  2.1422  1.9792  1.8231  1.6740
  1.5310  1.3934  1.2608  1.1326  1.0082  0.8875  0.7702  0.6561  0.5450  0.4369
  0.3317
  2.8654  2.8192  2.7737  2.7294  2.6884  2.6531  2.6258  2.6066  2.5920  2.5775
  2.5594  2.5362  2.5085  2.4762  2.4377  2.3061  2.1438  1.9814  1.8252  1.6757
  1.5327  1.3952  1.2628  1.1348  1.0110  0.8908  0.7742  0.6610  0.5510  0.4420
  0.3402
  2.8580  2.8173  2.7749  2.7317  2.6889  2.6480  2.6105  2.5781  2.5508  2.5267
  2.5022  2.4744  2.4427  2.4086  2.3735  2.2760  2.1427  1.9840  1.8280  1.6784
  1.5352  1.3976  1.2653  1.1375  1.0138  0.8939  0.7776  0.6648  0.5554  0.4490
  0.3519
  2.8278  2.8014  2.7667  2.7290  2.6888  2.6478  2.6070  2.5678  2.5313  2.4976
  2.4659  2.4339  2.3999  2.3630  2.2806  2.2201  2.1389  1.9870  1.8315
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  K   
  3.2746  3.2830  3.2834  3.2718  3.2463  3.2047  3.1464  3.0670  2.9835  2.9005
  2.8188  2.7389  2.6612  2.5858  2.5127  2.3382  2.1726  2.0113  1.8524
  3.1967  3.2123  3.2207  3.2196  3.2060  3.1765  3.1267  3.0567  2.9769  2.8952
  2.8139  2.7339  2.6558  2.5797  2.5058  2.3295  2.1627  2.0020  1.8452  1.6918
  3.1126  3.1321  3.1474  3.1553  3.1525  3.1356  3.1001  3.0425  2.9695  2.8905
  2.8104  2.7307  2.6524  2.5759  2.5015  2.3237  2.1558  1.9951  1.8395  1.6884
  1.5414
  3.0277  3.0471  3.0661  3.0808  3.0877  3.0829  3.0622  3.0205  2.9582  2.8848
  2.8070  2.7283  2.6503  2.5737  2.4989  2.3201  2.1513  1.9903  1.8353  1.6855
  1.5404  1.3989
  2.9482  2.9625  2.9808  2.9989  3.0128  3.0183  3.0112  2.9865  2.9394  2.8752
  2.8023  2.7259  2.6489  2.5726  2.4977  2.3181  2.1486  1.9872  1.8324  1.6835
  1.5396  1.3998  1.2637  1.1309
  2.8808  2.8842  2.8967  2.9137  2.9307  2.9434  2.9475  2.9380  2.9088  2.8584
  2.7937  2.7217  2.6469  2.5717  2.4972  2.3173  2.1472  1.9854  1.8306  1.6821
  1.5391  1.4005  1.2660  1.1351  1.0075  0.8829  0.7612  0.6423  0.5278  0.4187
  2.8472  2.8259  2.8218  2.8303  2.8456  2.8615  2.8730  2.8754  2.8630  2.8300
  2.7778  2.7134  2.6430  2.5701  2.4967  2.3173  2.1468  1.9846  1.8297  1.6814
  1.5389  1.4012  1.2679  1.1384  1.0124  0.8896  0.7696  0.6525  0.5383  0.4283
  0.3233
  2.8546  2.8103  2.7786  2.7654  2.7671  2.7778  2.7908  2.8003  2.8007  2.7856
  2.7502  2.6976  2.6346  2.5661  2.4953  2.3178  2.1472  1.9847  1.8296  1.6812
  1.5389  1.4018  1.2693  1.1409  1.0162  0.8947  0.7762  0.6607  0.5480  0.4382
  0.3322
  2.8635  2.8148  2.7711  2.7355  2.7132  2.7051  2.7073  2.7145  2.7198  2.7167
  2.6998  2.6651  2.6152  2.5551  2.4892  2.3167  2.1465  1.9836  1.8279  1.6793
  1.5369  1.3999  1.2678  1.1401  1.0163  0.8958  0.7784  0.6640  0.5525  0.4439
  0.3381
  2.8668  2.8191  2.7735  2.7306  2.6935  2.6655  2.6484  2.6403  2.6358  2.6299
  2.6182  2.5973  2.5657  2.5238  2.4726  2.3162  2.1487  1.9858  1.8300  1.6810
  1.5385  1.4016  1.2698  1.1425  1.0193  0.8996  0.7831  0.6697  0.5593  0.4517
  0.3468
  2.8671  2.8223  2.7771  2.7327  2.6904  2.6520  2.6199  2.5954  2.5772  2.5614
  2.5436  2.5209  2.4917  2.4572  2.4185  2.3010  2.1501  1.9889  1.8329  1.6837
  1.5409  1.4039  1.2722  1.1451  1.0222  0.9029  0.7869  0.6742  0.5644  0.4576
  0.3583
  2.8595  2.8196  2.7781  2.7353  2.6925  2.6508  2.6114  2.5758  2.5450  2.5182
  2.4931  2.4661  2.4348  2.3987  2.3269  2.2711  2.1507  1.9929  1.8366
 [Fe/H] =  0.25 [alpha/Fe] = 0.40 BC value =  K   
  3.3278  3.3325  3.3233  3.3004  3.2638  3.2137  3.1501  3.0735  2.9870  2.9018
  2.8188  2.7377  2.6588  2.5823  2.5084  2.3330  2.1682  2.0091  1.8523
  3.2527  3.2659  3.2718  3.2665  3.2461  3.2072  3.1477  3.0691  2.9845  2.8999
  2.8170  2.7356  2.6563  2.5793  2.5045  2.3271  2.1606  2.0014  1.8462  1.6941
  3.1682  3.1878  3.2009  3.2047  3.1964  3.1726  3.1286  3.0619  2.9817  2.8987
  2.8160  2.7348  2.6552  2.5777  2.5024  2.3234  2.1555  1.9957  1.8414  1.6912
  1.5451
  3.0796  3.1019  3.1212  3.1339  3.1369  3.1266  3.0986  3.0479  2.9767  2.8971
  2.8157  2.7348  2.6552  2.5774  2.5016  2.3213  2.1523  1.9919  1.8379  1.6890
  1.5446  1.4039
