 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  u   
 -6.5524 -6.4923 -6.4165 -6.2958 -6.1266 -5.9311 -5.7363 -5.5548 -5.3827 -5.2079
 -5.0258 -4.8416 -4.6621 -4.4916 -4.3208 -3.8149 -3.2322 -2.7168 -2.2866 -1.9348
 -1.6584 -1.4598 -1.3333 -1.2606 -1.2230 -1.2075 -1.2063 -1.2116 -1.2213 -1.2351
 -1.2525
 -6.4766 -6.4079 -6.3352 -6.2495 -6.1167 -5.9379 -5.7355 -5.5335 -5.3436 -5.1624
 -4.9806 -4.7923 -4.5991 -4.4084 -4.2265 -3.7874 -3.2902 -2.7776 -2.3364 -1.9718
 -1.6773 -1.4530 -1.2995 -1.2051 -1.1528 -1.1278 -1.1208 -1.1252 -1.1367 -1.1519
 -1.1682
 -6.4659 -6.3234 -6.2514 -6.1860 -6.0916 -5.9498 -5.7642 -5.5560 -5.3478 -5.1500
 -4.9615 -4.7750 -4.5836 -4.3874 -4.1923 -3.7421 -3.3102 -2.8455 -2.4020 -2.0258
 -1.7162 -1.4703 -1.2900 -1.1701 -1.0975 -1.0583 -1.0419 -1.0402 -1.0484 -1.0629
 -1.0804
 -6.5340 -6.3027 -6.1851 -6.1157 -6.0418 -5.9402 -5.7966 -5.6067 -5.3943 -5.1800
 -4.9753 -4.7805 -4.5899 -4.3974 -4.2013 -3.7273 -3.3068 -2.8926 -2.4717
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  u   
 -7.8184 -7.6834 -7.4878 -7.2931 -7.0814 -6.8408 -6.6286 -6.4501 -6.2832 -6.1122
 -5.9424 -5.7711 -5.5981 -5.4226 -5.2423 -4.7625 -4.2391 -3.6887 -3.1660
 -7.5106 -7.5155 -7.3978 -7.2169 -7.0282 -6.8071 -6.5694 -6.3580 -6.1653 -5.9736
 -5.7807 -5.5853 -5.3881 -5.1887 -4.9862 -4.4658 -3.9308 -3.4051 -2.9313 -2.5576
 -7.2825 -7.1861 -7.1792 -7.1069 -6.9495 -6.7702 -6.5471 -6.3033 -6.0813 -5.8675
 -5.6527 -5.4337 -5.2130 -4.9923 -4.7715 -4.2221 -3.6838 -3.1797 -2.7398 -2.3921
 -2.1487
 -7.1611 -7.0008 -6.8750 -6.8265 -6.7972 -6.6793 -6.5115 -6.2889 -6.0359 -5.7982
 -5.5657 -5.3274 -5.0869 -4.8476 -4.6114 -4.0400 -3.5001 -3.0096 -2.5903 -2.2582
 -2.0232 -1.8718
 -7.0621 -6.8997 -6.7261 -6.5830 -6.4907 -6.4499 -6.3850 -6.2415 -6.0288 -5.7668
 -5.5186 -5.2682 -5.0134 -4.7596 -4.5104 -3.9193 -3.3753 -2.8901 -2.4799 -2.1542
 -1.9193 -1.7675 -1.6760 -1.6214
 -6.9668 -6.8256 -6.6449 -6.4629 -6.3082 -6.1863 -6.0984 -6.0343 -5.9340 -5.7511
 -5.5017 -5.2476 -4.9860 -4.7230 -4.4639 -3.8537 -3.3023 -2.8159 -2.4059 -2.0786
 -1.8377 -1.6784 -1.5828 -1.5289 -1.5002 -1.4869 -1.4815 -1.4782 -1.4723 -1.4606
 -6.8670 -6.7572 -6.5956 -6.4015 -6.2126 -6.0485 -5.9054 -5.7781 -5.6681 -5.5660
