 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.3510 -0.3923 -0.4338 -0.4739 -0.5122 -0.5491 -0.5852 -0.6208 -0.6566 -0.6933
 -0.7320
 -0.2225 -0.2356 -0.2491 -0.2625 -0.2757 -0.2879 -0.2973 -0.3027 -0.3037 -0.3006
 -0.2948 -0.2880 -0.2817 -0.2768 -0.2729 -0.2647 -0.2579 -0.2608 -0.2746 -0.3002
 -0.3364 -0.3792 -0.4246 -0.4696 -0.5130 -0.5542 -0.5938 -0.6320 -0.6693 -0.7065
 -0.7444
 -0.1046 -0.1246 -0.1477 -0.1661 -0.1851 -0.2036 -0.2204 -0.2346 -0.2449 -0.2511
 -0.2534 -0.2527 -0.2504 -0.2481 -0.2488 -0.2490 -0.2437 -0.2463 -0.2617
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.1617 -1.1145 -1.0814 -1.0631 -1.0393 -1.0096 -0.9669 -0.9131 -0.8497 -0.7817
 -0.7095 -0.6357 -0.5643 -0.4979 -0.4258 -0.3077
 -1.0120 -0.9645 -0.9300 -0.9039 -0.8830 -0.8624 -0.8370 -0.8038 -0.7638 -0.7192
 -0.6687 -0.6118 -0.5508 -0.4912 -0.4326 -0.3248 -0.2574 -0.2284 -0.2257
 -0.9146 -0.8545 -0.8123 -0.7829 -0.7619 -0.7457 -0.7307 -0.7118 -0.6888 -0.6620
 -0.6293 -0.5885 -0.5395 -0.4875 -0.4383 -0.3400 -0.2783 -0.2510 -0.2490 -0.2614
 -0.2824
 -0.8695 -0.7845 -0.7283 -0.7001 -0.6759 -0.6596 -0.6480 -0.6371 -0.6247 -0.6101
 -0.5913 -0.5658 -0.5304 -0.4868 -0.4429 -0.3533 -0.2965 -0.2705 -0.2689 -0.2813
 -0.3011 -0.3264 -0.3566
 -0.8608 -0.7591 -0.6871 -0.6408 -0.6133 -0.5980 -0.5893 -0.5824 -0.5734 -0.5636
 -0.5524 -0.5381 -0.5169 -0.4844 -0.4464 -0.3647 -0.3120 -0.2869 -0.2854 -0.2980
 -0.3178 -0.3419 -0.3698 -0.4007 -0.4356
 -0.8666 -0.7704 -0.6880 -0.6258 -0.5821 -0.5531 -0.5356 -0.5270 -0.5250 -0.5252
