 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  G   
 -0.8741 -0.8008 -0.7221 -0.6433 -0.5695 -0.4148 -0.2983 -0.2118 -0.1489 -0.1026
 -0.0674
 -1.6136 -1.4622 -1.3348 -1.2340 -1.1629 -1.1166 -1.0691 -1.0118 -0.9497 -0.8878
 -0.8269 -0.7653 -0.6982 -0.6260 -0.5557 -0.4062 -0.2944 -0.2127 -0.1542 -0.1121
 -0.0802 -0.0549
 -1.6000 -1.4413 -1.2992 -1.1782 -1.0790 -1.0033 -0.9513 -0.9164 -0.8871 -0.8440
 -0.7898 -0.7328 -0.6746 -0.6116 -0.5459 -0.4014 -0.2928 -0.2143 -0.1594 -0.1211
 -0.0928 -0.0704 -0.0520 -0.0371
 -1.5845 -1.4302 -1.2875 -1.1616 -1.0543 -0.9653 -0.8930 -0.8357 -0.7933 -0.7655
 -0.7385 -0.6998 -0.6506 -0.5955 -0.5365 -0.3979 -0.2917 -0.2154 -0.1631 -0.1284
 -0.1041 -0.0853 -0.0698 -0.0569 -0.0461 -0.0371 -0.0312 -0.0297 -0.0338 -0.0451
 -1.5530 -1.4112 -1.2762 -1.1540 -1.0465 -0.9534 -0.8741 -0.8072 -0.7514 -0.7050
 -0.6682 -0.6391 -0.6085 -0.5695 -0.5219 -0.3940 -0.2899 -0.2149 -0.1643 -0.1324
 -0.1124 -0.0981 -0.0864 -0.0766 -0.0680 -0.0608 -0.0555 -0.0526 -0.0537 -0.0624
 -0.0788
 -1.5003 -1.3752 -1.2536 -1.1406 -1.0387 -0.9478 -0.8674 -0.7964 -0.7343 -0.6803
 -0.6329 -0.5915 -0.5568 -0.5254 -0.4907 -0.3862 -0.2866 -0.2125 -0.1626 -0.1325
 -0.1161 -0.1066 -0.0998 -0.0941 -0.0891 -0.0845 -0.0810 -0.0786 -0.0781 -0.0831
 -0.0967
 -1.4276 -1.3196 -1.2136 -1.1131 -1.0206 -0.9362 -0.8592 -0.7888 -0.7246 -0.6667
 -0.6146 -0.5678 -0.5256 -0.4882 -0.4540 -0.3670 -0.2795 -0.2074 -0.1579 -0.1284
 -0.1144 -0.1094 -0.1080 -0.1076 -0.1072 -0.1065 -0.1060 -0.1057 -0.1065 -0.1105
 -0.1178
 -1.3455 -1.2530 -1.1614 -1.0741 -0.9922 -0.9162 -0.8454 -0.7789 -0.7164 -0.6579
 -0.6039 -0.5545 -0.5093 -0.4680 -0.4302 -0.3458 -0.2681 -0.2013 -0.1522 -0.1222
 -0.1085 -0.1063 -0.1097 -0.1149 -0.1201 -0.1245 -0.1284 -0.1317 -0.1349 -0.1390
 -0.1439
 -1.2615 -1.1798 -1.1000 -1.0240 -0.9526 -0.8856 -0.8221 -0.7613 -0.7029 -0.6468
 -0.5935 -0.5435 -0.4972 -0.4545 -0.4151 -0.3285 -0.2548 -0.1927 -0.1455 -0.1149
 -0.1004 -0.0987 -0.1050 -0.1152 -0.1261 -0.1364 -0.1458 -0.1540 -0.1612 -0.1681
 -0.1755
 -1.1804 -1.1060 -1.0350 -0.9675 -0.9048 -0.8460 -0.7898 -0.7352 -0.6820 -0.6300
 -0.5795 -0.5310 -0.4836 -0.4404 -0.4087 -0.3151 -0.2396 -0.1816 -0.1378
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  G   
 -2.2258 -2.1278 -2.0409 -1.9572 -1.8717 -1.7679 -1.6289 -1.4535 -1.2801 -1.1230
 -0.9872 -0.8708 -0.7690 -0.6801 -0.6013 -0.4374 -0.3091 -0.2087 -0.1324
 -2.0795 -1.9703 -1.8760 -1.7890 -1.7024 -1.6068 -1.4855 -1.3410 -1.1963 -1.0615
 -0.9402 -0.8325 -0.7367 -0.6513 -0.5749 -0.4168 -0.2960 -0.2039 -0.1346 -0.0828
 -1.9718 -1.8539 -1.7509 -1.6575 -1.5680 -1.4768 -1.3729 -1.2524 -1.1300 -1.0134
 -0.9057 -0.8071 -0.7166 -0.6341 -0.5595 -0.4054 -0.2892 -0.2022 -0.1376 -0.0898
 -0.0539
 -1.8458 -1.7235 -1.6305 -1.5457 -1.4591 -1.3706 -1.2778 -1.1763 -1.0717 -0.9704
 -0.8752 -0.7864 -0.7027 -0.6240 -0.5514 -0.4001 -0.2867 -0.2029 -0.1416 -0.0970
 -0.0642 -0.0388
 -1.7929 -1.6313 -1.4992 -1.3936 -1.3120 -1.2484 -1.1839 -1.1057 -1.0186 -0.9303
 -0.8454 -0.7655 -0.6898 -0.6166 -0.5468 -0.3982 -0.2865 -0.2046 -0.1458 -0.1040
 -0.0741 -0.0516 -0.0337 -0.0196
 -1.7783 -1.6071 -1.4530 -1.3195 -1.2079 -1.1162 -1.0424 -0.9843 -0.9363 -0.8813
 -0.8151 -0.7443 -0.6751 -0.6083 -0.5428 -0.3977 -0.2871 -0.2064 -0.1493 -0.1098
 -0.0829 -0.0637 -0.0487 -0.0368 -0.0273 -0.0203 -0.0161 -0.0161 -0.0214 -0.0326
 -1.7745 -1.6011 -1.4390 -1.2932 -1.1670 -1.0602 -0.9705 -0.8951 -0.8326 -0.7843
 -0.7466 -0.7060 -0.6549 -0.5967 -0.5368 -0.3972 -0.2876 -0.2074 -0.1514 -0.1137
 -0.0894 -0.0738 -0.0626 -0.0538 -0.0466 -0.0412 -0.0378 -0.0370 -0.0399 -0.0492
 -0.0655
 -1.7625 -1.5967 -1.4363 -1.2873 -1.1547 -1.0403 -0.9429 -0.8599 -0.7887 -0.7280
 -0.6770 -0.6365 -0.6029 -0.5661 -0.5220 -0.3955 -0.2873 -0.2073 -0.1516 -0.1149
 -0.0928 -0.0806 -0.0736 -0.0689 -0.0653 -0.0625 -0.0609 -0.0608 -0.0630 -0.0692
 -0.0830
 -1.7300 -1.5776 -1.4264 -1.2821 -1.1503 -1.0341 -0.9333 -0.8460 -0.7703 -0.7043
 -0.6465 -0.5960 -0.5528 -0.5167 -0.4834 -0.3867 -0.2846 -0.2049 -0.1491 -0.1129
