 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -4.6808 -4.1715 -3.7714 -3.4664 -3.2316 -3.0434 -2.8820 -2.7337 -2.5979 -2.4772
 -2.3704 -2.2717 -2.1727 -2.0653 -1.9566 -1.7219 -1.5404 -1.3975 -1.2840 -1.1939
 -1.1208 -1.0595 -1.0066 -0.9599 -0.9192
 -4.5635 -4.0501 -3.6355 -3.3148 -3.0697 -2.8809 -2.7325 -2.6109 -2.5047 -2.4036
 -2.3004 -2.2041 -2.1141 -2.0224 -1.9229 -1.6970 -1.5225 -1.3879 -1.2828 -1.2000
 -1.1328 -1.0762 -1.0270 -0.9832 -0.9442 -0.9096
 -4.5117 -4.0007 -3.5852 -3.2541 -2.9929 -2.7877 -2.6270 -2.5009 -2.4011 -2.3209
 -2.2449 -2.1602 -2.0728 -1.9868 -1.8977 -1.6815 -1.5113 -1.3816 -1.2825 -1.2059
 -1.1446 -1.0930 -1.0480 -1.0076 -0.9709 -0.9376 -0.9082 -0.8839 -0.8669 -0.8609
 -4.4647 -3.9751 -3.5688 -3.2410 -2.9786 -2.7687 -2.6002 -2.4645 -2.3541 -2.2617
 -2.1816 -2.1090 -2.0353 -1.9584 -1.8770 -1.6715 -1.5041 -1.3771 -1.2815 -1.2096
 -1.1538 -1.1078 -1.0677 -1.0315 -0.9982 -0.9674 -0.9395 -0.9146 -0.8954 -0.8850
 -0.8860
 -4.4012 -3.9415 -3.5557 -3.2390 -2.9812 -2.7714 -2.5992 -2.4565 -2.3376 -2.2372
 -2.1494 -2.0699 -1.9957 -1.9251 -1.8544 -1.6641 -1.4994 -1.3735 -1.2795 -1.2101
 -1.1588 -1.1182 -1.0837 -1.0527 -1.0240 -0.9968 -0.9716 -0.9486 -0.9288 -0.9143
 -0.9106
 -4.3084 -3.8844 -3.5269 -3.2279 -2.9811 -2.7764 -2.6050 -2.4594 -2.3347 -2.2273
 -2.1333 -2.0490 -1.9709 -1.8972 -1.8280 -1.6542 -1.4950 -1.3694 -1.2757 -1.2073
