 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.2336 -2.2001 -2.1563 -2.1076 -2.0597 -1.9568 -1.8816 -1.8318 -1.8039 -1.7938
 -1.7962 -1.8045 -1.8147 -1.8262 -1.8388 -1.8518 -1.8666 -1.8849 -1.9081 -1.9367
 -1.9694
 -2.7945 -2.7424 -2.6820 -2.6129 -2.5380 -2.4614 -2.3879 -2.3199 -2.2589 -2.2063
 -2.1642 -2.1332 -2.1072 -2.0785 -2.0444 -1.9525 -1.8796 -1.8308 -1.8031 -1.7937
 -1.7980 -1.8098 -1.8238 -1.8386 -1.8535 -1.8690 -1.8842 -1.9008 -1.9209 -1.9464
 -1.9782
 -2.7164 -2.6693 -2.6194 -2.5630 -2.5001 -2.4333 -2.3654 -2.2996 -2.2381 -2.1820
 -2.1324 -2.0904 -2.0565 -2.0291 -2.0045 -1.9391 -1.8740 -1.8265 -1.7993 -1.7899
 -1.7953 -1.8102 -1.8288 -1.8478 -1.8665 -1.8847 -1.9031 -1.9227 -1.9436 -1.9656
 -1.9887
 -2.6458 -2.5998 -2.5538 -2.5067 -2.4549 -2.3987 -2.3397 -2.2799 -2.2217 -2.1666
 -2.1159 -2.0705 -2.0312 -1.9978 -1.9696 -1.9135 -1.8629 -1.8202 -1.7932 -1.7832
 -1.7883 -1.8050 -1.8276 -1.8515 -1.8748 -1.8971 -1.9187 -1.9396 -1.9604 -1.9818
 -2.0052
 -2.5885 -2.5339 -2.4893 -2.4468 -2.4028 -2.3558 -2.3061 -2.2543 -2.2022 -2.1509
 -2.1020 -2.0569 -2.0162 -1.9805 -1.9493 -1.8894 -1.8452 -1.8095 -1.7850 -1.7745
 -1.7787 -1.7955 -1.8205 -1.8489 -1.8773 -1.9045 -1.9305 -1.9551 -1.9786 -2.0018
 -2.0252
 -2.5458 -2.4809 -2.4311 -2.3886 -2.3480 -2.3071 -2.2650 -2.2210 -2.1761 -2.1307
 -2.0860 -2.0432 -2.0035 -1.9676 -1.9356 -1.8724 -1.8280 -1.7960 -1.7746
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  G   
 -3.5984 -3.4662 -3.2792 -3.1021 -2.9339 -2.7880 -2.6793 -2.5907 -2.5096 -2.4290
 -2.3538 -2.2825 -2.2152 -2.1519 -2.0925 -1.9630 -1.8633 -1.7932 -1.7505
 -3.3573 -3.3675 -3.2584 -3.0909 -2.9292 -2.7792 -2.6606 -2.5663 -2.4834 -2.4046
 -2.3313 -2.2621 -2.1970 -2.1358 -2.0787 -1.9563 -1.8642 -1.8006 -1.7624 -1.7429
 -3.1971 -3.1233 -3.1287 -3.0677 -2.9261 -2.7825 -2.6531 -2.5505 -2.4653 -2.3875
 -2.3161 -2.2491 -2.1861 -2.1270 -2.0719 -1.9546 -1.8673 -1.8079 -1.7723 -1.7545
 -1.7480
 -3.1313 -3.0134 -2.9248 -2.8968 -2.8801 -2.7796 -2.6556 -2.5432 -2.4526 -2.3745
 -2.3046 -2.2397 -2.1787 -2.1216 -2.0684 -1.9551 -1.8712 -1.8145 -1.7807 -1.7644
 -1.7594 -1.7603
 -3.0771 -2.9647 -2.8528 -2.7597 -2.7002 -2.6800 -2.6371 -2.5431 -2.4461 -2.3646
 -2.2948 -2.2315 -2.1725 -2.1173 -2.0659 -1.9561 -1.8747 -1.8200 -1.7877 -1.7725
 -1.7692 -1.7717 -1.7776 -1.7859
 -3.0199 -2.9223 -2.8169 -2.7130 -2.6218 -2.5495 -2.5027 -2.4769 -2.4312 -2.3573
 -2.2856 -2.2233 -2.1660 -2.1125 -2.0628 -1.9564 -1.8772 -1.8239 -1.7927 -1.7786
 -1.7769 -1.7817 -1.7895 -1.7993 -1.8112 -1.8257 -1.8431 -1.8644 -1.8901 -1.9200
 -2.9566 -2.8746 -2.7827 -2.6859 -2.5911 -2.5052 -2.4314 -2.3723 -2.3317 -2.3031
 -2.2639 -2.2117 -2.1579 -2.1066 -2.0586 -1.9554 -1.8781 -1.8259 -1.7953 -1.7821
 -1.7819 -1.7893 -1.7999 -1.8119 -1.8253 -1.8401 -1.8568 -1.8761 -1.8992 -1.9283
 -1.9613
 -2.8892 -2.8192 -2.7415 -2.6570 -2.5695 -2.4840 -2.4048 -2.3346 -2.2744 -2.2254
 -2.1895 -2.1613 -2.1304 -2.0928 -2.0510 -1.9525 -1.8771 -1.8258 -1.7956 -1.7827
 -1.7836 -1.7936 -1.8076 -1.8229 -1.8387 -1.8551 -1.8715 -1.8896 -1.9111 -1.9375
 -1.9697
 -2.8227 -2.7581 -2.6912 -2.6191 -2.5425 -2.4643 -2.3879 -2.3161 -2.2512 -2.1936
 -2.1444 -2.1044 -2.0735 -2.0477 -2.0212 -1.9449 -1.8731 -1.8228 -1.7928 -1.7801
 -1.7817 -1.7939 -1.8116 -1.8310 -1.8504 -1.8696 -1.8892 -1.9090 -1.9298 -1.9534
 -1.9799
 -2.7622 -2.6985 -2.6374 -2.5747 -2.5088 -2.4403 -2.3710 -2.3030 -2.2387 -2.1795
 -2.1262 -2.0796 -2.0401 -2.0077 -1.9810 -1.9235 -1.8662 -1.8181 -1.7881 -1.7748
 -1.7761 -1.7894 -1.8102 -1.8339 -1.8578 -1.8810 -1.9036 -1.9258 -1.9479 -1.9707
 -1.9954
 -2.7130 -2.6437 -2.5838 -2.5260 -2.4677 -2.4082 -2.3474 -2.2863 -2.2264 -2.1690
 -2.1156 -2.0672 -2.0243 -1.9873 -1.9559 -1.8964 -1.8498 -1.8099 -1.7812 -1.7674
 -1.7679 -1.7811 -1.8036 -1.8311 -1.8597 -1.8876 -1.9145 -1.9402 -1.9650 -1.9895
 -2.0140
