 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -4.4960 -3.9247 -3.4124 -2.9788 -2.6202 -2.3290 -2.0932 -1.9005 -1.7415 -1.6087
 -1.4957 -1.3972 -1.3094 -1.2300 -1.1548 -0.9583 -0.7743 -0.6305 -0.5223 -0.4410
 -0.3802 -0.3350 -0.3002 -0.2714 -0.2456 -0.2216 -0.1993 -0.1783 -0.1594 -0.1435
 -0.1325
 -4.4630 -3.9267 -3.4410 -3.0149 -2.6561 -2.3599 -2.1176 -1.9177 -1.7516 -1.6114
 -1.4917 -1.3876 -1.2949 -1.2106 -1.1328 -0.9519 -0.7772 -0.6318 -0.5218 -0.4397
 -0.3790 -0.3352 -0.3037 -0.2797 -0.2597 -0.2414 -0.2244 -0.2081 -0.1928 -0.1791
 -0.1665
 -4.3884 -3.9004 -3.4521 -3.0452 -2.6956 -2.4005 -2.1546 -1.9497 -1.7774 -1.6305
 -1.5035 -1.3926 -1.2942 -1.2056 -1.1241 -0.9429 -0.7786 -0.6348 -0.5224 -0.4384
 -0.3767 -0.3327 -0.3025 -0.2820 -0.2670 -0.2545 -0.2435 -0.2328 -0.2225 -0.2127
 -0.2041
 -4.2730 -3.8454 -3.4433 -3.0685 -2.7347 -2.4454 -2.1991 -1.9903 -1.8125 -1.6595
 -1.5261 -1.4086 -1.3041 -1.2102 -1.1287 -0.9313 -0.7785 -0.6395 -0.5241
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.3094 -6.0081 -5.7241 -5.4536 -5.2108 -4.8949 -4.3943 -3.6957 -3.0413 -2.5278
 -2.1552 -1.8866 -1.6863 -1.5270 -1.3927 -1.1225 -0.9102 -0.7307 -0.5765
 -5.9239 -5.5940 -5.2819 -4.9882 -4.7011 -4.3826 -3.9479 -3.3714 -2.8325 -2.3904
 -2.0516 -1.7977 -1.6040 -1.4494 -1.3190 -1.0574 -0.8546 -0.6901 -0.5525 -0.4362
 -5.6361 -5.2833 -4.9435 -4.6221 -4.3158 -4.0048 -3.6320 -3.1559 -2.6974 -2.3063
 -1.9928 -1.7486 -1.5581 -1.4048 -1.2756 -1.0177 -0.8208 -0.6647 -0.5369 -0.4298
 -0.3401
 -5.4027 -5.0381 -4.6825 -4.3405 -4.0147 -3.7018 -3.3787 -2.9877 -2.5939 -2.2452
