 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  R   
 -2.3126 -2.1969 -2.1007 -2.0189 -1.9477 -1.8058 -1.7041 -1.6349 -1.5918 -1.5684
 -1.5583 -1.5559
 -3.9590 -3.6953 -3.4707 -3.2814 -3.1241 -2.9909 -2.8574 -2.7093 -2.5579 -2.4159
 -2.2897 -2.1817 -2.0909 -2.0133 -1.9450 -1.8078 -1.7093 -1.6421 -1.6005 -1.5783
 -1.5697 -1.5685 -1.5720 -1.5795
 -3.9147 -3.6256 -3.3625 -3.1348 -2.9440 -2.7854 -2.6543 -2.5465 -2.4545 -2.3605
 -2.2613 -2.1652 -2.0796 -2.0059 -1.9411 -1.8087 -1.7129 -1.6472 -1.6068 -1.5859
 -1.5789 -1.5798 -1.5846 -1.5926 -1.6036 -1.6179 -1.6361 -1.6607 -1.6922 -1.7249
 -3.9039 -3.6031 -3.3208 -3.0713 -2.8612 -2.6873 -2.5431 -2.4224 -2.3225 -2.2443
 -2.1835 -2.1252 -2.0613 -1.9954 -1.9341 -1.8071 -1.7141 -1.6498 -1.6102 -1.5903
 -1.5850 -1.5885 -1.5960 -1.6057 -1.6173 -1.6312 -1.6478 -1.6680 -1.6937 -1.7272
 -1.7631
 -3.8950 -3.5980 -3.3113 -3.0518 -2.8300 -2.6466 -2.4955 -2.3702 -2.2650 -2.1773
 -2.1056 -2.0502 -2.0066 -1.9641 -1.9184 -1.8023 -1.7122 -1.6494 -1.6103 -1.5911
 -1.5872 -1.5935 -1.6045 -1.6172 -1.6309 -1.6458 -1.6624 -1.6809 -1.7027 -1.7298
 -1.7656
 -3.8688 -3.5826 -3.3027 -3.0447 -2.8202 -2.6324 -2.4774 -2.3487 -2.2408 -2.1496
 -2.0724 -2.0077 -1.9549 -1.9132 -1.8780 -1.7895 -1.7060 -1.6450 -1.6066 -1.5877
 -1.5849 -1.5938 -1.6088 -1.6257 -1.6429 -1.6603 -1.6783 -1.6971 -1.7176 -1.7417
 -1.7696
 -3.8319 -3.5580 -3.2891 -3.0412 -2.8210 -2.6326 -2.4766 -2.3464 -2.2367 -2.1428
 -2.0619 -1.9925 -1.9333 -1.8837 -1.8430 -1.7645 -1.6949 -1.6381 -1.6003 -1.5812
 -1.5784 -1.5886 -1.6071 -1.6287 -1.6506 -1.6718 -1.6927 -1.7134 -1.7344 -1.7568
 -1.7816
 -3.7891 -3.5219 -3.2648 -3.0285 -2.8169 -2.6344 -2.4802 -2.3503 -2.2401 -2.1451
 -2.0619 -1.9890 -1.9255 -1.8711 -1.8249 -1.7393 -1.6765 -1.6264 -1.5912 -1.5720
 -1.5686 -1.5791 -1.5997 -1.6255 -1.6524 -1.6785 -1.7037 -1.7277 -1.7511 -1.7746
 -1.7987
 -3.7452 -3.4821 -3.2349 -3.0090 -2.8083 -2.6337 -2.4837 -2.3555 -2.2456 -2.1503
 -2.0663 -1.9916 -1.9251 -1.8668 -1.8237 -1.7139 -1.6508 -1.6099 -1.5793
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  R   
 -4.9267 -4.7329 -4.5551 -4.3817 -4.2106 -4.0007 -3.7082 -3.3289 -2.9647 -2.6651
 -2.4399 -2.2754 -2.1513 -2.0520 -1.9684 -1.8057 -1.6864 -1.6021 -1.5463
 -4.6969 -4.4913 -4.3058 -4.1295 -3.9527 -3.7558 -3.4944 -3.1773 -2.8693 -2.6064
 -2.3992 -2.2432 -2.1248 -2.0307 -1.9518 -1.7973 -1.6861 -1.6090 -1.5592 -1.5310
 -4.5343 -4.3182 -4.1223 -3.9376 -3.7561 -3.5672 -3.3399 -3.0722 -2.8076 -2.5731
