 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1500W
 -1.9414 -2.0561 -2.1620 -2.2591 -2.3473 -2.4269 -2.5029 -2.5845 -2.6681 -2.7508
 -2.8302 -2.9059 -2.9798 -3.0546 -3.1304 -3.3176 -3.4962 -3.6672 -3.8312 -3.9900
 -4.1430
 -1.9206 -2.0415 -2.1580 -2.2670 -2.3664 -2.4554 -2.5348 -2.6148 -2.6966 -2.7778
 -2.8564 -2.9308 -3.0021 -3.0740 -3.1481 -3.3352 -3.5151 -3.6866 -3.8502 -4.0079
 -4.1605 -4.3070
 -1.9024 -2.0191 -2.1324 -2.2427 -2.3500 -2.4532 -2.5473 -2.6327 -2.7156 -2.7972
 -2.8761 -2.9508 -3.0207 -3.0894 -3.1607 -3.3460 -3.5267 -3.6987 -3.8624 -4.0194
 -4.1714 -4.3180 -4.4584 -4.5931
 -1.8947 -2.0058 -2.1142 -2.2210 -2.3258 -2.4280 -2.5271 -2.6226 -2.7142 -2.8016
 -2.8848 -2.9632 -3.0358 -3.1035 -3.1714 -3.3528 -3.5339 -3.7063 -3.8702 -4.0270
 -4.1784 -4.3250 -4.4655 -4.6002 -4.7296 -4.8544 -4.9756 -5.0934 -5.2077 -5.3177
 -1.8934 -2.0024 -2.1077 -2.2109 -2.3130 -2.4134 -2.5112 -2.6054 -2.6963 -2.7852
 -2.8728 -2.9576 -3.0376 -3.1114 -3.1810 -3.3575 -3.5382 -3.7110 -3.8754 -4.0322
 -4.1832 -4.3294 -4.4701 -4.6049 -4.7342 -4.8586 -4.9789 -5.0958 -5.2094 -5.3190
 -5.4252
 -1.8939 -2.0026 -2.1066 -2.2077 -2.3069 -2.4047 -2.5008 -2.5944 -2.6848 -2.7717
 -2.8559 -2.9389 -3.0210 -3.1010 -3.1787 -3.3616 -3.5407 -3.7140 -3.8787 -4.0357
 -4.1864 -4.3323 -4.4730 -4.6080 -4.7375 -4.8617 -4.9817 -5.0977 -5.2104 -5.3197
 -5.4250
 -1.8956 -2.0045 -2.1085 -2.2090 -2.3068 -2.4026 -2.4967 -2.5888 -2.6786 -2.7654
 -2.8487 -2.9289 -3.0070 -3.0846 -3.1635 -3.3625 -3.5447 -3.7182 -3.8835 -4.0408
