 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  0.6680  0.5832  0.4968  0.4100  0.3233  0.2362  0.1477  0.0575 -0.0321 -0.1187
  1.1427  1.1373  1.1381  1.1384  1.1309  1.1101  1.0825  1.0751  1.0780  1.0772
  1.0742  1.0718  1.0690  1.0638  1.0553  1.0175  0.9617  0.8958  0.8231  0.7455
  0.6643  0.5801  0.4942  0.4079  0.3220  0.2363  0.1501  0.0632 -0.0245 -0.1123
 -0.1972
  1.1822  1.1654  1.1589  1.1562  1.1534  1.1465  1.1335  1.1138  1.0932  1.0824
  1.0771  1.0709  1.0658  1.0600  1.0517  1.0152  0.9597  0.8936  0.8208  0.7434
  0.6623  0.5783  0.4925  0.4062  0.3204  0.2354  0.1507  0.0661 -0.0190 -0.1051
 -0.1913
  1.2242  1.2014  1.1858  1.1767  1.1702  1.1636  1.1548  1.1431  1.1279  1.1098
  1.0917  1.0773  1.0666  1.0584  1.0496  1.0140  0.9590  0.8926  0.8197  0.7421
  0.6609  0.5768  0.4907  0.4039  0.3176  0.2324  0.1481  0.0644 -0.0189 -0.1025
 -0.1869
  1.2759  1.2436  1.2196  1.2031  1.1909  1.1805  1.1701  1.1586  1.1453  1.1305
  1.1142  1.0965  1.0789  1.0633  1.0506  1.0144  0.9605  0.8943  0.8214  0.7440
  0.6628  0.5786  0.4923  0.4049  0.3178  0.2319  0.1473  0.0639 -0.0186 -0.1006
 -0.1825
  1.3303  1.2902  1.2588  1.2352  1.2170  1.2017  1.1875  1.1735  1.1589  1.1435
  1.1274  1.1104  1.0928  1.0745  1.0575  1.0161  0.9631  0.8973  0.8246  0.7474
  0.6664  0.5823  0.4958  0.4079  0.3198  0.2328  0.1472  0.0632 -0.0193 -0.1008
 -0.1809
  1.3872  1.3412  1.3026  1.2716  1.2476  1.2275  1.2093  1.1919  1.1745  1.1569
  1.1391  1.1208  1.1023  1.0834  1.0703  1.0191  0.9668  0.9016  0.8293
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  J   
  0.9690  1.0019  1.0271  1.0454  1.0723  1.0953  1.1114  1.1215  1.1302  1.1353
  1.1388  1.1407  1.1401  1.1360  1.1281  1.0933  1.0422  0.9782  0.9033
  0.9410  0.9785  1.0101  1.0353  1.0556  1.0770  1.0924  1.1024  1.1118  1.1176
  1.1209  1.1222  1.1208  1.1159  1.1073  1.0703  1.0179  0.9542  0.8810  0.8007
  0.9856  0.9574  0.9960  1.0250  1.0466  1.0657  1.0805  1.0900  1.0969  1.1041
  1.1072  1.1079  1.1060  1.1009  1.0921  1.0545  1.0012  0.9373  0.8649  0.7862
  0.7021
  1.0360  0.9681  0.9828  1.0162  1.0418  1.0590  1.0730  1.0821  1.0877  1.0931
  1.0962  1.0964  1.0943  1.0892  1.0805  1.0431  0.9895  0.9254  0.8533  0.7754
  0.6930  0.6066
  1.0834  1.0738  1.0153  1.0108  1.0374  1.0575  1.0702  1.0782  1.0823  1.0845
  1.0874  1.0872  1.0848  1.0796  1.0713  1.0347  0.9811  0.9168  0.8449  0.7675
  0.6861  0.6013  0.5140  0.4254
  1.1026  1.1091  1.1058  1.0689  1.0398  1.0562  1.0706  1.0778  1.0807  1.0810
  1.0805  1.0801  1.0772  1.0719  1.0639  1.0283  0.9750  0.9107  0.8388  0.7618
  0.6810  0.5972  0.5111  0.4239  0.3366  0.2484  0.1585  0.0677 -0.0224 -0.1096
  1.1246  1.1272  1.1316  1.1300  1.1116  1.0787  1.0721  1.0802  1.0827  1.0812
  1.0780  1.0750  1.0716  1.0660  1.0580  1.0236  0.9707  0.9064  0.8347  0.7579
  0.6775  0.5943  0.5089  0.4225  0.3360  0.2498  0.1630  0.0750 -0.0143 -0.1025
 -0.1880
  1.1557  1.1485  1.1488  1.1497  1.1471  1.1363  1.1155  1.0941  1.0871  1.0852
  1.0799  1.0734  1.0679  1.0618  1.0536  1.0203  0.9681  0.9038  0.8322  0.7557
  0.6755  0.5925  0.5075  0.4214  0.3354  0.2499  0.1642  0.0781 -0.0082 -0.0948
 -0.1815
  1.1884  1.1768  1.1697  1.1666  1.1636  1.1582  1.1485  1.1342  1.1158  1.0984
  1.0866  1.0773  1.0677  1.0596  1.0509  1.0183  0.9669  0.9025  0.8307  0.7540
  0.6738  0.5908  0.5058  0.4196  0.3335  0.2480  0.1630  0.0785 -0.0059 -0.0908
 -0.1765
  1.2324  1.2115  1.1968  1.1877  1.1808  1.1735  1.1648  1.1537  1.1401  1.1243
  1.1070  1.0900  1.0747  1.0613  1.0502  1.0176  0.9676  0.9037  0.8319  0.7554
  0.6753  0.5922  0.5072  0.4209  0.3343  0.2484  0.1634  0.0792 -0.0043 -0.0876
 -0.1707
  1.2805  1.2520  1.2300  1.2138  1.2021  1.1914  1.1802  1.1680  1.1543  1.1394
  1.1233  1.1062  1.0886  1.0710  1.0547  1.0181  0.9694  0.9063  0.8348  0.7584
  0.6785  0.5955  0.5103  0.4237  0.3366  0.2500  0.1642  0.0797 -0.0037 -0.0863
 -0.1680
  1.3326  1.2983  1.2693  1.2444  1.2275  1.2130  1.1989  1.1842  1.1686  1.1522
  1.1352  1.1175  1.0994  1.0810  1.0644  1.0198  0.9723  0.9103  0.8394
 [Fe/H] =  0.50 [alpha/Fe] =-0.40 BC value =  J   
  1.0015  1.0241  1.0426  1.0574  1.0853  1.1057  1.1203  1.1311  1.1385  1.1432
  1.1455  1.1458  1.1440  1.1390  1.1307  1.0974  1.0449  0.9829  0.9101
  0.9691  1.0013  1.0272  1.0474  1.0667  1.0869  1.1011  1.1106  1.1204  1.1257
  1.1279  1.1278  1.1254  1.1202  1.1117  1.0760  1.0248  0.9625  0.8907  0.8112
  0.9425  0.9779  1.0118  1.0378  1.0550  1.0742  1.0888  1.0978  1.1054  1.1121
  1.1141  1.1136  1.1109  1.1055  1.0969  1.0610  1.0092  0.9467  0.8755  0.7976
  0.7145
  1.0268  0.9642  0.9972  1.0286  1.0512  1.0666  1.0805  1.0893  1.0947  1.1007
  1.1029  1.1020  1.0990  1.0936  1.0853  1.0499  0.9981  0.9355  0.8645  0.7875
  0.7060  0.6204
  1.0763  1.0338  0.9944  1.0206  1.0469  1.0647  1.0760  1.0844  1.0886  1.0907
  1.0936  1.0926  1.0892  1.0837  1.0756  1.0414  0.9900  0.9273  0.8566  0.7801
  0.6994  0.6154  0.5285  0.4396
  1.0971  1.1027  1.0799  1.0312  1.0435  1.0638  1.0765  1.0831  1.0859  1.0862
  1.0858  1.0850  1.0812  1.0755  1.0675  1.0344  0.9838  0.9213  0.8508  0.7746
  0.6946  0.6115  0.5259  0.4386  0.3506  0.2620  0.1716  0.0792 -0.0112 -0.0991
  1.1139  1.1214  1.1260  1.1154  1.0776  1.0648  1.0778  1.0856  1.0870  1.0857
