 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  Hp  
 -2.1874 -2.0827 -1.9768 -1.8688 -1.7659 -1.5500 -1.3873 -1.2620 -1.1637 -1.0857
 -1.0222 -0.9687
 -3.9347 -3.5626 -3.2454 -2.9874 -2.7818 -2.6233 -2.5057 -2.4156 -2.3351 -2.2399
 -2.1368 -2.0369 -1.9410 -1.8433 -1.7455 -1.5344 -1.3758 -1.2562 -1.1646 -1.0931
 -1.0351 -0.9860 -0.9431 -0.9053
 -3.8902 -3.5193 -3.1993 -2.9360 -2.7235 -2.5527 -2.4153 -2.3047 -2.2173 -2.1500
 -2.0831 -2.0023 -1.9132 -1.8225 -1.7314 -1.5257 -1.3690 -1.2527 -1.1658 -1.0997
 -1.0473 -1.0031 -0.9643 -0.9296 -0.8980 -0.8694 -0.8450 -0.8260 -0.8141 -0.8122
 -3.8466 -3.4904 -3.1783 -2.9182 -2.7051 -2.5301 -2.3857 -2.2655 -2.1648 -2.0790
 -2.0066 -1.9434 -1.8769 -1.8011 -1.7185 -1.5206 -1.3648 -1.2498 -1.1655 -1.1037
 -1.0568 -1.0182 -0.9843 -0.9536 -0.9253 -0.8992 -0.8759 -0.8559 -0.8409 -0.8351
 -0.8397
 -3.7890 -3.4554 -3.1597 -2.9089 -2.7005 -2.5263 -2.3796 -2.2541 -2.1459 -2.0520
 -1.9687 -1.8941 -1.8277 -1.7644 -1.6967 -1.5160 -1.3619 -1.2468 -1.1635 -1.1042
 -1.0617 -1.0289 -1.0008 -0.9753 -0.9514 -0.9287 -0.9079 -0.8890 -0.8727 -0.8630
 -0.8634
 -3.7132 -3.4056 -3.1306 -2.8939 -2.6939 -2.5245 -2.3790 -2.2520 -2.1399 -2.0405
 -1.9515 -1.8710 -1.7973 -1.7299 -1.6662 -1.5061 -1.3578 -1.2426 -1.1592 -1.1007
 -1.0611 -1.0333 -1.0114 -0.9920 -0.9737 -0.9559 -0.9389 -0.9227 -0.9082 -0.8977
 -0.8914
 -3.6316 -3.3520 -3.0987 -2.8773 -2.6868 -2.5232 -2.3807 -2.2546 -2.1415 -2.0391
 -1.9463 -1.8619 -1.7846 -1.7132 -1.6467 -1.4942 -1.3550 -1.2403 -1.1556 -1.0963
 -1.0571 -1.0321 -1.0153 -1.0023 -0.9905 -0.9788 -0.9671 -0.9553 -0.9440 -0.9341
 -0.9251
 -3.5493 -3.2934 -3.0611 -2.8554 -2.6757 -2.5186 -2.3797 -2.2554 -2.1427 -2.0396
 -1.9449 -1.8580 -1.7782 -1.7047 -1.6364 -1.4836 -1.3505 -1.2384 -1.1525 -1.0916
 -1.0512 -1.0267 -1.0129 -1.0051 -0.9997 -0.9947 -0.9894 -0.9834 -0.9769 -0.9705
 -0.9650
 -3.4747 -3.2360 -3.0217 -2.8301 -2.6612 -2.5112 -2.3765 -2.2542 -2.1422 -2.0391
 -1.9438 -1.8556 -1.7712 -1.6960 -1.6353 -1.4743 -1.3443 -1.2369 -1.1499
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  Hp  
 -5.2407 -5.0109 -4.7887 -4.5633 -4.3270 -4.0540 -3.7182 -3.3273 -2.9760 -2.6879
 -2.4600 -2.2775 -2.1248 -1.9944 -1.8800 -1.6445 -1.4579 -1.3035 -1.1746
 -5.0092 -4.7516 -4.5018 -4.2537 -4.0029 -3.7390 -3.4368 -3.1139 -2.8210 -2.5727
 -2.3679 -2.1984 -2.0543 -1.9288 -1.8178 -1.5907 -1.4164 -1.2767 -1.1619 -1.0679
 -4.8256 -4.5538 -4.2855 -4.0200 -3.7589 -3.5028 -3.2379 -2.9642 -2.7123 -2.4933
 -2.3073 -2.1491 -2.0115 -1.8896 -1.7808 -1.5582 -1.3906 -1.2600 -1.1547 -1.0688
 -0.9987
 -4.5672 -4.2909 -4.0476 -3.8087 -3.5639 -3.3203 -3.0821 -2.8470 -2.6272 -2.4317
 -2.2622 -2.1154 -1.9852 -1.8675 -1.7608 -1.5406 -1.3761 -1.2506 -1.1519 -1.0724
 -1.0077 -0.9536
 -4.4072 -4.0546 -3.7534 -3.4986 -3.2859 -3.1056 -2.9290 -2.7408 -2.5535 -2.3800
 -2.2250 -2.0884 -1.9666 -1.8546 -1.7507 -1.5324 -1.3687 -1.2460 -1.1517 -1.0772
 -1.0175 -0.9678 -0.9251 -0.8878
 -4.3428 -3.9576 -3.6108 -3.3150 -3.0699 -2.8677 -2.7008 -2.5628 -2.4433 -2.3202
 -2.1911 -2.0658 -1.9507 -1.8451 -1.7456 -1.5297 -1.3657 -1.2440 -1.1524 -1.0819
 -1.0267 -0.9817 -0.9431 -0.9091 -0.8788 -0.8521 -0.8293 -0.8118 -0.8011 -0.7992
 -4.3304 -3.9278 -3.5571 -3.2375 -2.9731 -2.7566 -2.5778 -2.4283 -2.3031 -2.2015
 -2.1167 -2.0302 -1.9346 -1.8363 -1.7416 -1.5300 -1.3653 -1.2431 -1.1529 -1.0853
 -1.0340 -0.9938 -0.9601 -0.9302 -0.9032 -0.8788 -0.8574 -0.8396 -0.8264 -0.8212
 -0.8256
 -4.3288 -3.9286 -3.5504 -3.2180 -2.9402 -2.7135 -2.5277 -2.3733 -2.2427 -2.1315
 -2.0368 -1.9578 -1.8879 -1.8143 -1.7339 -1.5316 -1.3662 -1.2427 -1.1524 -1.0865
 -1.0382 -1.0024 -0.9739 -0.9492 -0.9266 -0.9057 -0.8869 -0.8703 -0.8568 -0.8482
 -0.8489
 -4.3096 -3.9238 -3.5526 -3.2199 -2.9371 -2.7041 -2.5127 -2.3534 -2.2189 -2.1034
 -2.0029 -1.9146 -1.8373 -1.7693 -1.7044 -1.5294 -1.3663 -1.2411 -1.1499 -1.0845
 -1.0382 -1.0060 -0.9827 -0.9637 -0.9466 -0.9305 -0.9156 -0.9016 -0.8896 -0.8812
 -0.8766
 -4.2768 -3.9121 -3.5561 -3.2335 -2.9530 -2.7166 -2.5214 -2.3582 -2.2196 -2.0998
 -1.9946 -1.9013 -1.8178 -1.7428 -1.6751 -1.5198 -1.3679 -1.2416 -1.1483 -1.0818
 -1.0359 -1.0056 -0.9862 -0.9728 -0.9618 -0.9515 -0.9418 -0.9321 -0.9231 -0.9156
 -0.9106
 -4.2319 -3.8856 -3.5501 -3.2429 -2.9704 -2.7372 -2.5406 -2.3744 -2.2324 -2.1089
 -1.9995 -1.9017 -1.8138 -1.7342 -1.6618 -1.5058 -1.3662 -1.2425 -1.1470 -1.0785
 -1.0315 -1.0016 -0.9844 -0.9754 -0.9702 -0.9662 -0.9625 -0.9584 -0.9541 -0.9500
 -0.9469
 -4.1817 -3.8509 -3.5363 -3.2466 -2.9875 -2.7610 -2.5655 -2.3973 -2.2521 -2.1250
 -2.0122 -1.9108 -1.8189 -1.7354 -1.6645 -1.4874 -1.3612 -1.2438 -1.1460
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  Hp  
 -5.5508 -5.3215 -5.1043 -4.8876 -4.6677 -4.3957 -4.0199 -3.5408 -3.0964 -2.7395
 -2.4704 -2.2678 -2.1076 -1.9740 -1.8586 -1.6259 -1.4445 -1.2958 -1.1695
 -5.2935 -5.0420 -4.8051 -4.5734 -4.3372 -4.0736 -3.7318 -3.3316 -2.9561 -2.6427
 -2.3948 -2.2019 -2.0473 -1.9179 -1.8056 -1.5788 -1.4064 -1.2692 -1.1570 -1.0634
 -5.1084 -4.8380 -4.5803 -4.3296 -4.0808 -3.8237 -3.5245 -3.1860 -2.8627 -2.5823
 -2.3514 -2.1655 -2.0141 -1.8865 -1.7756 -1.5513 -1.3836 -1.2539 -1.1493 -1.0633
 -0.9924
