 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.6099 -3.6904 -3.7420 -3.7317 -3.6665 -3.5845 -3.5072 -3.4490 -3.4328 -3.4825
 -3.5488 -3.6376 -3.7194 -3.7700 -3.8318 -4.0055
 -3.5321 -3.6061 -3.6669 -3.6966 -3.6962 -3.6787 -3.6524 -3.6247 -3.6081 -3.6150
 -3.6324 -3.6709 -3.7269 -3.7857 -3.8526 -4.0285 -4.2033 -4.3748 -4.5393
 -3.4761 -3.5435 -3.6082 -3.6626 -3.7042 -3.7308 -3.7423 -3.7408 -3.7312 -3.7182
 -3.7085 -3.7138 -3.7467 -3.8044 -3.8722 -4.0482 -4.2218 -4.3923 -4.5566 -4.7142
 -4.8658
 -3.4419 -3.5026 -3.5659 -3.6297 -3.6905 -3.7408 -3.7769 -3.7973 -3.8021 -3.7921
 -3.7771 -3.7663 -3.7788 -3.8261 -3.8906 -4.0646 -4.2370 -4.4064 -4.5703 -4.7271
 -4.8772 -5.0217 -5.1614
 -3.4295 -3.4834 -3.5400 -3.5979 -3.6551 -3.7087 -3.7562 -3.7942 -3.8208 -3.8367
 -3.8382 -3.8284 -3.8232 -3.8508 -3.9078 -4.0777 -4.2489 -4.4171 -4.5805 -4.7369
 -4.8863 -5.0296 -5.1676 -5.3011 -5.4308
 -3.4375 -3.4838 -3.5331 -3.5843 -3.6364 -3.6872 -3.7342 -3.7745 -3.8084 -3.8362
 -3.8593 -3.8747 -3.8753 -3.8857 -3.9282 -4.0890 -4.2582 -4.4248 -4.5879 -4.7443
 -4.8934 -5.0361 -5.1730 -5.3051 -5.4330 -5.5573
 -3.4668 -3.5041 -3.5446 -3.5879 -3.6332 -3.6796 -3.7252 -3.7674 -3.8039 -3.8349
 -3.8632 -3.8911 -3.9127 -3.9251 -3.9574 -4.1008 -4.2663 -4.4306 -4.5925 -4.7493
 -4.8987 -5.0412 -5.1776 -5.3088 -5.4354 -5.5580 -5.6773 -5.7934 -5.9064 -6.0161
 -3.5187 -3.5461 -3.5765 -3.6100 -3.6468 -3.6864 -3.7279 -3.7693 -3.8084 -3.8433
 -3.8745 -3.9049 -3.9370 -3.9592 -3.9886 -4.1174 -4.2747 -4.4355 -4.5950 -4.7516
 -4.9019 -5.0450 -5.1814 -5.3121 -5.4379 -5.5593 -5.6772 -5.7916 -5.9030 -6.0117
 -6.1177
 -3.5910 -3.6106 -3.6309 -3.6533 -3.6797 -3.7102 -3.7446 -3.7816 -3.8196 -3.8568
 -3.8914 -3.9241 -3.9575 -3.9897 -4.0181 -4.1389 -4.2860 -4.4413 -4.5970 -4.7517
 -4.9025 -5.0468 -5.1839 -5.3148 -5.4402 -5.5610 -5.6778 -5.7910 -5.9009 -6.0080
 -6.1128
 -3.6772 -3.6931 -3.7071 -3.7197 -3.7350 -3.7544 -3.7792 -3.8088 -3.8421 -3.8776
 -3.9132 -3.9481 -3.9825 -4.0173 -4.0482 -4.1621 -4.3015 -4.4507 -4.6020 -4.7533
 -4.9032 -5.0486 -5.1872 -5.3191 -5.4450 -5.5657 -5.6821 -5.7945 -5.9035 -6.0093
 -6.1126
 -3.7685 -3.7853 -3.7976 -3.8052 -3.8114 -3.8207 -3.8343 -3.8539 -3.8791 -3.9089
 -3.9418 -3.9761 -4.0108 -4.0457 -4.0797 -4.1849 -4.3161 -4.4591 -4.6059 -4.7531
 -4.9000 -5.0447 -5.1846 -5.3180 -5.4450 -5.5662 -5.6827 -5.7948 -5.9031 -6.0079
 -6.1119
 -3.8629 -3.8818 -3.8948 -3.9028 -3.9064 -3.9078 -3.9119 -3.9209 -3.9358 -3.9567
 -3.9829 -4.0130 -4.0454 -4.0791 -4.1133 -4.2109 -4.3330 -4.4687 -4.6108 -4.7543
 -4.8976 -5.0399 -5.1795 -5.3142 -5.4429 -5.5654 -5.6826 -5.7951 -5.9033 -6.0079
