 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  J   
  1.9918  1.9404  1.8898  1.8416  1.7970  1.7565  1.7200  1.6865  1.6549  1.6245
  1.5947  1.5656  1.5373  1.5100  1.4834  1.4192  1.3529  1.2804  1.2027  1.1196
  1.0317  0.9414  0.8518  0.7645  0.6801  0.5984  0.5187  0.4409  0.3644  0.2885
  0.2118
  2.0193  1.9733  1.9251  1.8770  1.8307  1.7872  1.7470  1.7099  1.6753  1.6424
  1.6106  1.5794  1.5491  1.5198  1.4915  1.4240  1.3567  1.2842  1.2062  1.1237
  1.0367  0.9466  0.8559  0.7664  0.6796  0.5956  0.5143  0.4354  0.3586  0.2831
  0.2086
  2.0384  1.9988  1.9561  1.9111  1.8660  1.8219  1.7796  1.7395  1.7017  1.6658
  1.6314  1.5979  1.5616  1.5311  1.5000  1.4287  1.3601  1.2890  1.2106
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  J   
  2.0061  1.9502  1.8922  1.8341  1.7775  1.7242  1.6762  1.6349  1.6020  1.5787
  1.5646  1.5568  1.5519  1.5457  1.5370  1.5018  1.4489  1.3804  1.2984
  2.0185  1.9650  1.9077  1.8490  1.7905  1.7344  1.6822  1.6358  1.5968  1.5667
  1.5461  1.5336  1.5254  1.5172  1.5071  1.4702  1.4176  1.3514  1.2731  1.1870
  2.0175  1.9731  1.9216  1.8658  1.8083  1.7514  1.6970  1.6471  1.6033  1.5671
  1.5397  1.5210  1.5088  1.4985  1.4870  1.4480  1.3948  1.3295  1.2536  1.1700
  1.0830
  1.9887  1.9587  1.9164  1.8691  1.8194  1.7668  1.7139  1.6634  1.6170  1.5765
  1.5430  1.5176  1.5000  1.4868  1.4739  1.4327  1.3785  1.3133  1.2386  1.1567
  1.0712  0.9850
  1.9444  1.9264  1.8986  1.8623  1.8181  1.7681  1.7179  1.6714  1.6281  1.5882
  1.5526  1.5224  1.4987  1.4812  1.4661  1.4227  1.3674  1.3017  1.2274  1.1464
  1.0617  0.9762  0.8912  0.8062
  1.9192  1.8910  1.8630  1.8339  1.8014  1.7648  1.7241  1.6792  1.6323  1.5918
  1.5586  1.5295  1.5035  1.4814  1.4630  1.4168  1.3602  1.2939  1.2195  1.1389
  1.0543  0.9689  0.8843  0.8004  0.7169  0.6332  0.5490  0.4631  0.3759  0.2910
  1.9121  1.8784  1.8461  1.8151  1.7843  1.7526  1.7189  1.6831  1.6455  1.6062
  1.5676  1.5348  1.5084  1.4855  1.4646  1.4143  1.3562  1.2893  1.2146  1.1340
  1.0493  0.9632  0.8781  0.7944  0.7118  0.6297  0.5477  0.4652  0.3814  0.2961
  0.2122
  1.9193  1.8803  1.8430  1.8079  1.7750  1.7435  1.7123  1.6805  1.6481  1.6152
  1.5826  1.5500  1.5189  1.4923  1.4691  1.4150  1.3551  1.2872  1.2124  1.1317
