 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -0.4719
 -1.3784 -1.3211 -1.2661 -1.2130 -1.1619 -1.1125 -1.0648 -1.0181 -0.9705 -0.9224
 -0.8753 -0.8313 -0.7910 -0.7538 -0.7184 -0.6341 -0.5594 -0.5012 -0.4613 -0.4388
 -0.4314 -0.4340 -0.4424 -0.4531 -0.4638 -0.4733 -0.4813 -0.4878 -0.4933 -0.4984
 -0.5042
 -1.3238 -1.2447 -1.1811 -1.1287 -1.0836 -1.0424 -1.0023 -0.9615 -0.9202 -0.8787
 -0.8375 -0.7972 -0.7592 -0.7244 -0.6921 -0.6174 -0.5484 -0.4922 -0.4530
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  w   
 -2.7086 -2.6754 -2.6011 -2.4312 -2.2300 -2.0348 -1.8693 -1.7318 -1.6066 -1.4871
 -1.3729 -1.2648 -1.1637 -1.0697 -0.9830 -0.7988 -0.6532 -0.5381 -0.4589
 -2.4732 -2.3450 -2.2803 -2.2479 -2.1326 -1.9626 -1.7953 -1.6535 -1.5303 -1.4149
 -1.3051 -1.2016 -1.1051 -1.0164 -0.9353 -0.7646 -0.6325 -0.5329 -0.4605 -0.4082
 -2.3364 -2.1899 -2.0619 -1.9665 -1.9234 -1.8663 -1.7412 -1.5996 -1.4750 -1.3636
 -1.2583 -1.1591 -1.0667 -0.9818 -0.9045 -0.7436 -0.6212 -0.5305 -0.4654 -0.4182
 -0.3829
 -2.2300 -2.0923 -1.9575 -1.8308 -1.7254 -1.6540 -1.6113 -1.5422 -1.4335 -1.3252
 -1.2241 -1.1292 -1.0405 -0.9590 -0.8847 -0.7307 -0.6148 -0.5303 -0.4710 -0.4285
 -0.3964 -0.3713
 -2.1339 -2.0121 -1.8860 -1.7625 -1.6473 -1.5431 -1.4574 -1.3948 -1.3480 -1.2811
 -1.1950 -1.1056 -1.0209 -0.9426 -0.8710 -0.7223 -0.6109 -0.5307 -0.4760 -0.4381
 -0.4097 -0.3872 -0.3692 -0.3556
 -2.0452 -1.9358 -1.8235 -1.7084 -1.5957 -1.4899 -1.3924 -1.3055 -1.2343 -1.1817
 -1.1330 -1.0721 -1.0008 -0.9279 -0.8595 -0.7157 -0.6076 -0.5301 -0.4787 -0.4455
 -0.4216 -0.4026 -0.3872 -0.3746 -0.3636 -0.3552 -0.3511 -0.3524 -0.3599 -0.3741
 -1.9550 -1.8585 -1.7601 -1.6574 -1.5529 -1.4509 -1.3546 -1.2654 -1.1844 -1.1140
 -1.0554 -1.0065 -0.9573 -0.9026 -0.8442 -0.7087 -0.6035 -0.5277 -0.4783 -0.4488
 -0.4300 -0.4158 -0.4041 -0.3943 -0.3860 -0.3781 -0.3723 -0.3710 -0.3758 -0.3878
 -0.4067
 -1.8710 -1.7795 -1.6944 -1.6032 -1.5097 -1.4151 -1.3232 -1.2362 -1.1555 -1.0818
 -1.0160 -0.9582 -0.9077 -0.8615 -0.8151 -0.6981 -0.5977 -0.5232 -0.4745 -0.4473
 -0.4333 -0.4246 -0.4179 -0.4121 -0.4071 -0.4010 -0.3955 -0.3931 -0.3956 -0.4045
 -0.4207
 -1.7999 -1.7070 -1.6260 -1.5446 -1.4607 -1.3756 -1.2907 -1.2079 -1.1296 -1.0570
 -0.9907 -0.9310 -0.8769 -0.8280 -0.7833 -0.6800 -0.5881 -0.5162 -0.4678 -0.4412
 -0.4304 -0.4272 -0.4264 -0.4260 -0.4255 -0.4247 -0.4241 -0.4251 -0.4279 -0.4323
 -0.4382
 -1.7499 -1.6494 -1.5644 -1.4856 -1.4098 -1.3329 -1.2559 -1.1795 -1.1054 -1.0351
 -0.9700 -0.9109 -0.8571 -0.8077 -0.7621 -0.6625 -0.5772 -0.5086 -0.4605 -0.4330
 -0.4228 -0.4231 -0.4279 -0.4336 -0.4388 -0.4431 -0.4468 -0.4499 -0.4530 -0.4571
 -0.4621
 -1.7304 -1.6084 -1.5122 -1.4308 -1.3589 -1.2873 -1.2169 -1.1469 -1.0785 -1.0121
 -0.9491 -0.8911 -0.8383 -0.7902 -0.7456 -0.6475 -0.5655 -0.5000 -0.4527 -0.4242
 -0.4129 -0.4142 -0.4225 -0.4337 -0.4451 -0.4555 -0.4647 -0.4726 -0.4795 -0.4860
 -0.4932
 -1.7384 -1.5840 -1.4694 -1.3811 -1.3082 -1.2411 -1.1757 -1.1111 -1.0476 -0.9859
 -0.9265 -0.8704 -0.8186 -0.7716 -0.7286 -0.6342 -0.5547 -0.4910 -0.4447
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  w   
 -2.9068 -2.7905 -2.5679 -2.3329 -2.1046 -1.9085 -1.7610 -1.6355 -1.5188 -1.4088
 -1.3044 -1.2056 -1.1127 -1.0259 -0.9453 -0.7716 -0.6336 -0.5263 -0.4466
 -2.5708 -2.5302 -2.4709 -2.2875 -2.0770 -1.8779 -1.7132 -1.5818 -1.4646 -1.3565
 -1.2545 -1.1583 -1.0682 -0.9845 -0.9074 -0.7438 -0.6169 -0.5200 -0.4480 -0.3953
 -2.4286 -2.2793 -2.2008 -2.1720 -2.0460 -1.8643 -1.6908 -1.5473 -1.4281 -1.3215
 -1.2220 -1.1284 -1.0408 -0.9596 -0.8849 -0.7278 -0.6077 -0.5174 -0.4511 -0.4031
 -0.3676
 -2.3494 -2.1834 -2.0380 -1.9315 -1.8817 -1.8201 -1.6818 -1.5321 -1.4045 -1.2971
 -1.1998 -1.1087 -1.0235 -0.9444 -0.8717 -0.7191 -0.6033 -0.5173 -0.4552 -0.4111
 -0.3788 -0.3539
 -2.2852 -2.1270 -1.9743 -1.8355 -1.7192 -1.6354 -1.5857 -1.5102 -1.3932 -1.2801
 -1.1833 -1.0946 -1.0115 -0.9344 -0.8635 -0.7143 -0.6015 -0.5183 -0.4591 -0.4184
 -0.3895 -0.3674 -0.3499 -0.3359
 -2.2262 -2.0792 -1.9333 -1.7928 -1.6622 -1.5468 -1.4515 -1.3805 -1.3283 -1.2582
 -1.1693 -1.0829 -1.0020 -0.9268 -0.8575 -0.7112 -0.6003 -0.5190 -0.4620 -0.4241
 -0.3988 -0.3802 -0.3654 -0.3538 -0.3443 -0.3377 -0.3354 -0.3383 -0.3469 -0.3614
 -2.1705 -2.0333 -1.8968 -1.7631 -1.6346 -1.5153 -1.4067 -1.3101 -1.2295 -1.1681
 -1.1166 -1.0584 -0.9901 -0.9191 -0.8517 -0.7081 -0.5988 -0.5186 -0.4630 -0.4271
 -0.4053 -0.3908 -0.3799 -0.3711 -0.3643 -0.3585 -0.3550 -0.3557 -0.3617 -0.3742
 -0.3937
 -2.1207 -1.9878 -1.8598 -1.7342 -1.6121 -1.4953 -1.3861 -1.2854 -1.1946 -1.1148
 -1.0481 -0.9950 -0.9474 -0.8964 -0.8404 -0.7042 -0.5962 -0.5167 -0.4616 -0.4269
 -0.4078 -0.3977 -0.3914 -0.3868 -0.3831 -0.3804 -0.3777 -0.3770 -0.3806 -0.3903
 -0.4073
 -2.0842 -1.9450 -1.8210 -1.7022 -1.5868 -1.4758 -1.3700 -1.2705 -1.1784 -1.0942
 -1.0191 -0.9543 -0.8997 -0.8525 -0.8080 -0.6942 -0.5910 -0.5121 -0.4572 -0.4230
 -0.4056 -0.3993 -0.3981 -0.3987 -0.3995 -0.4005 -0.4019 -0.4049 -0.4098 -0.4163
 -0.4242
 -2.0706 -1.9186 -1.7871 -1.6716 -1.5617 -1.4560 -1.3551 -1.2592 -1.1690 -1.0849
 -1.0078 -0.9386 -0.8779 -0.8248 -0.7780 -0.6764 -0.5834 -0.5069 -0.4518 -0.4169
 -0.3995 -0.3955 -0.3988 -0.4049 -0.4113 -0.4172 -0.4228 -0.4279 -0.4333 -0.4396
 -0.4483
 -2.0924 -1.9049 -1.7633 -1.6442 -1.5364 -1.4347 -1.3379 -1.2460 -1.1591 -1.0771
 -1.0007 -0.9305 -0.8673 -0.8113 -0.7614 -0.6581 -0.5723 -0.4996 -0.4451 -0.4094
 -0.3911 -0.3874 -0.3936 -0.4045 -0.4166 -0.4283 -0.4392 -0.4489 -0.4579 -0.4668
 -0.4761
 -2.1579 -1.9262 -1.7583 -1.6269 -1.5143 -1.4135 -1.3199 -1.2308 -1.1470 -1.0679
 -0.9934 -0.9241 -0.8604 -0.8029 -0.7514 -0.6448 -0.5606 -0.4912 -0.4376
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  w   
 -2.9615 -2.7698 -2.5159 -2.2778 -2.0538 -1.8601 -1.7133 -1.5924 -1.4824 -1.3754
 -1.2748 -1.1797 -1.0902 -1.0066 -0.9288 -0.7595 -0.6244 -0.5191 -0.4391
 -2.6586 -2.6384 -2.4791 -2.2531 -2.0362 -1.8359 -1.6760 -1.5480 -1.4359 -1.3304
 -1.2317 -1.1387 -1.0514 -0.9701 -0.8948 -0.7340 -0.6085 -0.5124 -0.4404 -0.3872
 -2.4638 -2.3447 -2.3229 -2.2227 -2.0285 -1.8346 -1.6602 -1.5209 -1.4053 -1.3008
 -1.2041 -1.1132 -1.0280 -0.9487 -0.8754 -0.7199 -0.6001 -0.5097 -0.4428 -0.3940
 -0.3581
 -2.3919 -2.2162 -2.0842 -2.0253 -1.9787 -1.8329 -1.6628 -1.5100 -1.3863 -1.2807
 -1.1855 -1.0967 -1.0135 -0.9360 -0.8644 -0.7125 -0.5964 -0.5096 -0.4463 -0.4008
 -0.3680 -0.3431
 -2.3446 -2.1669 -2.0036 -1.8687 -1.7744 -1.7253 -1.6483 -1.5133 -1.3794 -1.2676
 -1.1723 -1.0852 -1.0038 -0.9281 -0.8579 -0.7089 -0.5951 -0.5107 -0.4499 -0.4072
 -0.3774 -0.3552 -0.3379 -0.3243
 -2.3049 -2.1340 -1.9707 -1.8199 -1.6887 -1.5807 -1.5025 -1.4481 -1.3701 -1.2625
 -1.1627 -1.0762 -0.9964 -0.9222 -0.8534 -0.7069 -0.5947 -0.5118 -0.4528 -0.4122
 -0.3853 -0.3664 -0.3519 -0.3407 -0.3325 -0.3274 -0.3259 -0.3290 -0.3378 -0.3530
 -2.2694 -2.1056 -1.9480 -1.7985 -1.6601 -1.5362 -1.4280 -1.3372 -1.2682 -1.2129
 -1.1455 -1.0671 -0.9897 -0.9170 -0.8496 -0.7051 -0.5941 -0.5121 -0.4541 -0.4153
 -0.3909 -0.3755 -0.3647 -0.3564 -0.3502 -0.3462 -0.3447 -0.3463 -0.3522 -0.3653
 -0.3851
 -2.2407 -2.0790 -1.9273 -1.7828 -1.6464 -1.5200 -1.4049 -1.3020 -1.2115 -1.1350
 -1.0741 -1.0224 -0.9681 -0.9074 -0.8445 -0.7029 -0.5928 -0.5111 -0.4536 -0.4156
 -0.3932 -0.3812 -0.3747 -0.3704 -0.3675 -0.3658 -0.3645 -0.3653 -0.3702 -0.3808
 -0.3981
 -2.2262 -2.0558 -1.9057 -1.7658 -1.6336 -1.5097 -1.3946 -1.2888 -1.1929 -1.1068
 -1.0315 -0.9680 -0.9158 -0.8692 -0.8218 -0.6974 -0.5892 -0.5078 -0.4503 -0.4127
 -0.3915 -0.3825 -0.3804 -0.3810 -0.3826 -0.3845 -0.3872 -0.3905 -0.3952 -0.4032
 -0.4147
 -2.2344 -2.0470 -1.8906 -1.7515 -1.6227 -1.5020 -1.3894 -1.2846 -1.1879 -1.0992
 -1.0190 -0.9479 -0.8864 -0.8340 -0.7881 -0.6836 -0.5847 -0.5041 -0.4461 -0.4079
 -0.3867 -0.3792 -0.3808 -0.3865 -0.3933 -0.4001 -0.4067 -0.4132 -0.4199 -0.4277
 -0.4378
 -2.2769 -2.0573 -1.8867 -1.7418 -1.6126 -1.4941 -1.3838 -1.2812 -1.1859 -1.0973
 -1.0158 -0.9418 -0.8758 -0.8180 -0.7674 -0.6638 -0.5751 -0.4986 -0.4405 -0.4015
 -0.3795 -0.3722 -0.3759 -0.3858 -0.3980 -0.4103 -0.4221 -0.4330 -0.4433 -0.4535
 -0.4639
 -2.3683 -2.0980 -1.9011 -1.7429 -1.6074 -1.4874 -1.3782 -1.2770 -1.1834 -1.0963
 -1.0154 -0.9407 -0.8727 -0.8119 -0.7580 -0.6488 -0.5633 -0.4910 -0.4340
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  w   
 -2.9819 -2.7227 -2.4602 -2.2274 -2.0178 -1.8279 -1.6799 -1.5570 -1.4498 -1.3461
 -1.2487 -1.1566 -1.0700 -0.9891 -0.9136 -0.7484 -0.6156 -0.5110 -0.4307
 -2.7803 -2.6800 -2.4522 -2.2132 -1.9996 -1.8063 -1.6486 -1.5210 -1.4096 -1.3071
 -1.2111 -1.1209 -1.0360 -0.9569 -0.8833 -0.7250 -0.6003 -0.5043 -0.4320 -0.3783
 -2.5046 -2.4584 -2.4059 -2.2139 -1.9989 -1.8047 -1.6356 -1.4987 -1.3839 -1.2815
 -1.1872 -1.0988 -1.0158 -0.9383 -0.8663 -0.7123 -0.5925 -0.5015 -0.4339 -0.3839
 -0.3475
 -2.4211 -2.2496 -2.1655 -2.1398 -2.0018 -1.8137 -1.6396 -1.4901 -1.3683 -1.2645
 -1.1713 -1.0846 -1.0034 -0.9275 -0.8570 -0.7059 -0.5891 -0.5013 -0.4368 -0.3898
 -0.3561 -0.3311
 -2.3884 -2.1937 -2.0301 -1.9184 -1.8702 -1.8007 -1.6509 -1.4965 -1.3633 -1.2540
 -1.1601 -1.0748 -0.9952 -0.9208 -0.8517 -0.7031 -0.5882 -0.5024 -0.4400 -0.3954
 -0.3641 -0.3416 -0.3244 -0.3114
 -2.3687 -2.1735 -1.9953 -1.8409 -1.7190 -1.6353 -1.5823 -1.4967 -1.3707 -1.2515
 -1.1527 -1.0674 -0.9891 -0.9161 -0.8482 -0.7018 -0.5883 -0.5037 -0.4428 -0.4000
 -0.3710 -0.3511 -0.3366 -0.3257 -0.3176 -0.3131 -0.3130 -0.3179 -0.3280 -0.3431
 -2.3560 -2.1634 -1.9844 -1.8212 -1.6776 -1.5562 -1.4570 -1.3827 -1.3243 -1.2475
 -1.1501 -1.0619 -0.9840 -0.9121 -0.8453 -0.7009 -0.5884 -0.5045 -0.4443 -0.4029
 -0.3758 -0.3588 -0.3476 -0.3396 -0.3340 -0.3309 -0.3301 -0.3330 -0.3409 -0.3547
 -0.3743
 -2.3517 -2.1578 -1.9808 -1.8172 -1.6686 -1.5357 -1.4197 -1.3192 -1.2347 -1.1671
 -1.1099 -1.0464 -0.9771 -0.9078 -0.8424 -0.6999 -0.5880 -0.5043 -0.4444 -0.4036
 -0.3780 -0.3636 -0.3561 -0.3519 -0.3496 -0.3488 -0.3500 -0.3530 -0.3589 -0.3693
 -0.3871
 -2.3629 -2.1595 -1.9783 -1.8160 -1.6671 -1.5318 -1.4099 -1.3012 -1.2049 -1.1203
 -1.0482 -0.9884 -0.9368 -0.8859 -0.8318 -0.6967 -0.5858 -0.5020 -0.4420 -0.4015
 -0.3769 -0.3646 -0.3607 -0.3610 -0.3630 -0.3658 -0.3696 -0.3744 -0.3807 -0.3896
 -0.4031
 -2.3969 -2.1722 -1.9844 -1.8198 -1.6712 -1.5355 -1.4123 -1.3005 -1.1997 -1.1092
 -1.0285 -0.9577 -0.8971 -0.8461 -0.8006 -0.6892 -0.5836 -0.4998 -0.4390 -0.3979
 -0.3733 -0.3622 -0.3610 -0.3657 -0.3725 -0.3799 -0.3876 -0.3955 -0.4037 -0.4132
 -0.4249
 -2.4624 -2.2063 -2.0026 -1.8293 -1.6778 -1.5418 -1.4181 -1.3055 -1.2031 -1.1099
 -1.0255 -0.9499 -0.8828 -0.8246 -0.7743 -0.6704 -0.5771 -0.4962 -0.4349 -0.3928
 -0.3675 -0.3565 -0.3569 -0.3650 -0.3766 -0.3891 -0.4017 -0.4138 -0.4255 -0.4374
 -0.4490
 -2.5754 -2.2689 -2.0388 -1.8508 -1.6903 -1.5505 -1.4257 -1.3124 -1.2094 -1.1154
 -1.0294 -0.9512 -0.8808 -0.8181 -0.7632 -0.6531 -0.5660 -0.4903 -0.4298
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  w   
 -2.9621 -2.6739 -2.4109 -2.1859 -1.9848 -1.8022 -1.6560 -1.5287 -1.4205 -1.3211
 -1.2261 -1.1363 -1.0522 -0.9735 -0.9000 -0.7386 -0.6075 -0.5036 -0.4231
 -2.7698 -2.6762 -2.4173 -2.1765 -1.9658 -1.7793 -1.6261 -1.4976 -1.3868 -1.2867
 -1.1929 -1.1048 -1.0222 -0.9449 -0.8728 -0.7168 -0.5926 -0.4962 -0.4231 -0.3685
 -2.5886 -2.5786 -2.4194 -2.1887 -1.9700 -1.7754 -1.6131 -1.4781 -1.3647 -1.2642
 -1.1718 -1.0854 -1.0044 -0.9285 -0.8579 -0.7052 -0.5851 -0.4931 -0.4244 -0.3733
 -0.3359
 -2.4452 -2.3075 -2.2898 -2.1860 -1.9865 -1.7899 -1.6164 -1.4713 -1.3517 -1.2492
 -1.1577 -1.0728 -0.9934 -0.9191 -0.8497 -0.6996 -0.5819 -0.4926 -0.4267 -0.3783
 -0.3432 -0.3177
 -2.4170 -2.2132 -2.0679 -2.0115 -1.9627 -1.8066 -1.6330 -1.4777 -1.3481 -1.2404
 -1.1479 -1.0641 -0.9861 -0.9132 -0.8451 -0.6973 -0.5812 -0.4936 -0.4295 -0.3831
 -0.3500 -0.3267 -0.3095 -0.2966
 -2.4155 -2.1978 -2.0112 -1.8654 -1.7723 -1.7251 -1.6380 -1.4946 -1.3562 -1.2391
 -1.1416 -1.0577 -0.9807 -0.9090 -0.8421 -0.6965 -0.5816 -0.4950 -0.4321 -0.3872
 -0.3559 -0.3347 -0.3198 -0.3091 -0.3019 -0.2984 -0.2992 -0.3048 -0.3159 -0.3317
 -2.4263 -2.2037 -2.0060 -1.8350 -1.6939 -1.5852 -1.5088 -1.4503 -1.3628 -1.2475
 -1.1414 -1.0533 -0.9764 -0.9056 -0.8398 -0.6961 -0.5822 -0.4961 -0.4337 -0.3900
 -0.3602 -0.3411 -0.3290 -0.3210 -0.3159 -0.3135 -0.3142 -0.3186 -0.3275 -0.3422
 -0.3621
 -2.4511 -2.2200 -2.0174 -1.8378 -1.6810 -1.5475 -1.4366 -1.3456 -1.2740 -1.2125
 -1.1389 -1.0521 -0.9732 -0.9028 -0.8376 -0.6957 -0.5825 -0.4966 -0.4343 -0.3910
 -0.3624 -0.3453 -0.3361 -0.3315 -0.3294 -0.3293 -0.3316 -0.3358 -0.3432 -0.3557
 -0.3742
 -2.4904 -2.2446 -2.0351 -1.8507 -1.6873 -1.5439 -1.4194 -1.3121 -1.2195 -1.1404
 -1.0745 -1.0165 -0.9567 -0.8951 -0.8333 -0.6936 -0.5811 -0.4952 -0.4327 -0.3896
 -0.3619 -0.3464 -0.3400 -0.3392 -0.3411 -0.3444 -0.3493 -0.3552 -0.3630 -0.3741
 -0.3892
 -2.5538 -2.2863 -2.0642 -1.8734 -1.7052 -1.5563 -1.4250 -1.3094 -1.2080 -1.1184
 -1.0396 -0.9715 -0.9130 -0.8622 -0.8139 -0.6912 -0.5805 -0.4941 -0.4309 -0.3871
 -0.3594 -0.3449 -0.3406 -0.3432 -0.3494 -0.3570 -0.3655 -0.3746 -0.3845 -0.3951
 -0.4093
 -2.6474 -2.3478 -2.1068 -1.9040 -1.7294 -1.5761 -1.4400 -1.3194 -1.2125 -1.1174
 -1.0326 -0.9572 -0.8907 -0.8330 -0.7835 -0.6773 -0.5775 -0.4923 -0.4281 -0.3832
 -0.3549 -0.3404 -0.3373 -0.3426 -0.3528 -0.3651 -0.3781 -0.3912 -0.4044 -0.4180
 -0.4313
 -2.7832 -2.4353 -2.1675 -1.9474 -1.7611 -1.6010 -1.4608 -1.3362 -1.2253 -1.1262
 -1.0374 -0.9578 -0.8867 -0.8236 -0.7684 -0.6584 -0.5684 -0.4886 -0.4246
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  w   
 -2.8946 -2.6068 -2.3565 -2.1446 -1.9468 -1.7702 -1.6309 -1.5084 -1.3979 -1.2998
 -1.2071 -1.1192 -1.0369 -0.9600 -0.8882 -0.7299 -0.6007 -0.4970 -0.4152
 -2.8337 -2.6356 -2.3717 -2.1383 -1.9353 -1.7522 -1.6060 -1.4791 -1.3677 -1.2693
 -1.1773 -1.0909 -1.0100 -0.9344 -0.8637 -0.7096 -0.5856 -0.4884 -0.4141 -0.3581
 -2.7097 -2.6237 -2.3973 -2.1565 -1.9416 -1.7518 -1.5925 -1.4612 -1.3485 -1.2489
 -1.1582 -1.0734 -0.9940 -0.9197 -0.8503 -0.6989 -0.5782 -0.4849 -0.4146 -0.3623
 -0.3236
 -2.5421 -2.4155 -2.3712 -2.1792 -1.9628 -1.7672 -1.5964 -1.4546 -1.3370 -1.2354
 -1.1453 -1.0620 -0.9841 -0.9112 -0.8429 -0.6938 -0.5751 -0.4840 -0.4163 -0.3663
 -0.3298 -0.3034
 -2.4293 -2.2343 -2.1433 -2.1227 -1.9800 -1.7899 -1.6139 -1.4609 -1.3337 -1.2278
 -1.1364 -1.0539 -0.9773 -0.9057 -0.8387 -0.6919 -0.5745 -0.4847 -0.4186 -0.3703
 -0.3355 -0.3108 -0.2934 -0.2806
 -2.4397 -2.2093 -2.0267 -1.9100 -1.8673 -1.7919 -1.6357 -1.4789 -1.3414 -1.2268
 -1.1307 -1.0479 -0.9722 -0.9018 -0.8359 -0.6913 -0.5751 -0.4861 -0.4208 -0.3739
 -0.3406 -0.3176 -0.3020 -0.2913 -0.2844 -0.2814 -0.2830 -0.2899 -0.3019 -0.3186
 -2.4736 -2.2258 -2.0163 -1.8457 -1.7190 -1.6398 -1.5872 -1.4917 -1.3593 -1.2354
 -1.1312 -1.0440 -0.9682 -0.8985 -0.8336 -0.6911 -0.5760 -0.4875 -0.4227 -0.3765
 -0.3445 -0.3231 -0.3097 -0.3013 -0.2963 -0.2944 -0.2959 -0.3015 -0.3119 -0.3276
 -0.3483
 -2.5271 -2.2625 -2.0378 -1.8471 -1.6885 -1.5618 -1.4644 -1.3922 -1.3294 -1.2441
 -1.1399 -1.0451 -0.9657 -0.8961 -0.8317 -0.6909 -0.5768 -0.4885 -0.4237 -0.3779
 -0.3467 -0.3269 -0.3157 -0.3100 -0.3078 -0.3081 -0.3111 -0.3168 -0.3259 -0.3396
 -0.3592
 -2.5908 -2.3131 -2.0742 -1.8704 -1.6965 -1.5498 -1.4280 -1.3269 -1.2430 -1.1736
 -1.1105 -1.0406 -0.9634 -0.8929 -0.8287 -0.6893 -0.5760 -0.4879 -0.4229 -0.3771
 -0.3467 -0.3283 -0.3191 -0.3165 -0.3176 -0.3211 -0.3265 -0.3339 -0.3433 -0.3559
 -0.3730
 -2.6861 -2.3841 -2.1270 -1.9105 -1.7251 -1.5660 -1.4306 -1.3152 -1.2165 -1.1309
 -1.0567 -0.9927 -0.9349 -0.8783 -0.8225 -0.6888 -0.5762 -0.4878 -0.4221 -0.3757
 -0.3452 -0.3275 -0.3200 -0.3199 -0.3246 -0.3318 -0.3406 -0.3507 -0.3621 -0.3753
 -0.3909
 -2.8047 -2.4746 -2.1957 -1.9629 -1.7657 -1.5968 -1.4511 -1.3256 -1.2173 -1.1230
 -1.0399 -0.9666 -0.9021 -0.8455 -0.7956 -0.6822 -0.5756 -0.4872 -0.4205 -0.3730
 -0.3419 -0.3243 -0.3177 -0.3197 -0.3275 -0.3387 -0.3516 -0.3654 -0.3799 -0.3952
 -0.4106
 -2.9464 -2.5847 -2.2801 -2.0293 -1.8172 -1.6376 -1.4830 -1.3491 -1.2329 -1.1313
 -1.0420 -0.9629 -0.8926 -0.8301 -0.7480 -0.6695 -0.5742 -0.4861 -0.4181
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  w   
 -2.8418 -2.5547 -2.3137 -2.1143 -1.9178 -1.7477 -1.6073 -1.4880 -1.3785 -1.2825
 -1.1910 -1.1046 -1.0237 -0.9483 -0.8780 -0.7223 -0.5942 -0.4904 -0.4075
 -2.8767 -2.5930 -2.3313 -2.1053 -1.9101 -1.7321 -1.5848 -1.4621 -1.3510 -1.2546
 -1.1639 -1.0789 -0.9994 -0.9251 -0.8556 -0.7033 -0.5794 -0.4812 -0.4053 -0.3477
 -2.6899 -2.6239 -2.3605 -2.1262 -1.9178 -1.7325 -1.5750 -1.4462 -1.3341 -1.2360
 -1.1464 -1.0629 -0.9848 -0.9118 -0.8434 -0.6934 -0.5722 -0.4772 -0.4050 -0.3510
 -0.3110
