 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F460M
 -0.4837 -0.5536 -0.6241 -0.6950 -0.7662 -0.9441 -1.1199 -1.2882 -1.4455 -1.5924
 -1.7321 -1.8700 -2.0085 -2.1440 -2.2739 -2.3983 -2.5176 -2.6323 -2.7428 -2.8497
 -2.9529
 -0.0036 -0.0541 -0.0962 -0.1339 -0.1725 -0.2144 -0.2608 -0.3125 -0.3689 -0.4300
 -0.4947 -0.5614 -0.6291 -0.6974 -0.7660 -0.9378 -1.1087 -1.2763 -1.4359
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F460M
  0.1997  0.1415  0.0768  0.0079 -0.0587 -0.1253 -0.1962 -0.2667 -0.3288 -0.4013
 -0.4829 -0.5631 -0.6412 -0.7168 -0.7900 -0.9623 -1.1208 -1.2633 -1.3890
  0.2367  0.1470  0.0830  0.0120 -0.0639 -0.1377 -0.2128 -0.2871 -0.3535 -0.4312
 -0.5135 -0.5947 -0.6739 -0.7510 -0.8256 -1.0012 -1.1611 -1.3015 -1.4239 -1.5469
  0.2579  0.1867  0.0941  0.0193 -0.0554 -0.1359 -0.2154 -0.2934 -0.3666 -0.4409
 -0.5230 -0.6044 -0.6843 -0.7622 -0.8379 -1.0161 -1.1779 -1.3197 -1.4440 -1.5681
 -1.6986
  0.2529  0.1955  0.1272  0.0411 -0.0479 -0.1262 -0.2085 -0.2906 -0.3689 -0.4417
 -0.5221 -0.6033 -0.6834 -0.7617 -0.8381 -1.0184 -1.1827 -1.3279 -1.4568 -1.5829
 -1.7128 -1.8483
  0.2412  0.1870  0.1285  0.0595 -0.0214 -0.1128 -0.1997 -0.2817 -0.3639 -0.4406
 -0.5167 -0.5970 -0.6768 -0.7553 -0.8320 -1.0140 -1.1808 -1.3304 -1.4646 -1.5934
 -1.7232 -1.8572 -1.9931 -2.1258
  0.2255  0.1732  0.1177  0.0567 -0.0140 -0.0933 -0.1792 -0.2690 -0.3546 -0.4354
 -0.5108 -0.5885 -0.6676 -0.7459 -0.8227 -1.0059 -1.1751 -1.3290 -1.4687 -1.6004
 -1.7307 -1.8636 -1.9988 -2.1310 -2.2588 -2.3827 -2.5031 -2.6198 -2.7327 -2.8421
  0.2046  0.1560  0.1026  0.0449 -0.0191 -0.0910 -0.1690 -0.2509 -0.3359 -0.4219
 -0.5044 -0.5804 -0.6578 -0.7354 -0.8120 -0.9960 -1.1673 -1.3250 -1.4695 -1.6046
 -1.7360 -1.8683 -2.0028 -2.1348 -2.2623 -2.3855 -2.5049 -2.6207 -2.7329 -2.8414
 -2.9449
  0.1781  0.1338  0.0843  0.0295 -0.0308 -0.0972 -0.1692 -0.2456 -0.3248 -0.4053
 -0.4870 -0.5672 -0.6466 -0.7247 -0.8012 -0.9853 -1.1582 -1.3190 -1.4677 -1.6063
 -1.7392 -1.8714 -2.0054 -2.1374 -2.2650 -2.3879 -2.5068 -2.6219 -2.7333 -2.8412
 -2.9457
  0.1474  0.1055  0.0600  0.0096 -0.0471 -0.1095 -0.1770 -0.2487 -0.3235 -0.4002
 -0.4775 -0.5548 -0.6325 -0.7110 -0.7890 -0.9762 -1.1505 -1.3137 -1.4658 -1.6077
 -1.7426 -1.8754 -2.0093 -2.1417 -2.2696 -2.3928 -2.5117 -2.6265 -2.7375 -2.8450
 -2.9491
  0.1141  0.0718  0.0296 -0.0162 -0.0678 -0.1255 -0.1884 -0.2556 -0.3263 -0.3993
 -0.4734 -0.5480 -0.6225 -0.6977 -0.7735 -0.9612 -1.1395 -1.3049 -1.4596 -1.6042
 -1.7411 -1.8744 -2.0083 -2.1411 -2.2696 -2.3933 -2.5123 -2.6270 -2.7379 -2.8452
 -2.9489
  0.0795  0.0345 -0.0066 -0.0492 -0.0960 -0.1484 -0.2060 -0.2682 -0.3344 -0.4035
