 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -6.5727 -6.1651 -5.8189 -5.5486 -5.3513 -5.2164 -5.0273 -4.7419 -4.4524 -4.1944
 -3.9648 -3.7500 -3.5485 -3.3624 -3.1927 -2.8356 -2.5460 -2.3001 -2.0867 -1.8989
 -1.7360 -1.5989 -1.4833 -1.3833
 -6.5350 -6.1311 -5.7670 -5.4553 -5.1990 -4.9850 -4.8099 -4.6590 -4.4580 -4.2081
 -3.9699 -3.7529 -3.5482 -3.3573 -3.1819 -2.8131 -2.5202 -2.2785 -2.0738 -1.8968
 -1.7438 -1.6146 -1.5060 -1.4122 -1.3292 -1.2537 -1.1837 -1.1202 -1.0656 -1.0261
 -6.5150 -6.1221 -5.7547 -5.4254 -5.1419 -4.9005 -4.6881 -4.4956 -4.3270 -4.1677
 -3.9781 -3.7702 -3.5664 -3.3725 -3.1917 -2.8085 -2.5084 -2.2671 -2.0676 -1.8986
 -1.7539 -1.6317 -1.5296 -1.4423 -1.3652 -1.2954 -1.2324 -1.1742 -1.1199 -1.0737
 -1.0475
 -6.5003 -6.1266 -5.7640 -5.4276 -5.1273 -4.8676 -4.6419 -4.4374 -4.2457 -4.0673
 -3.9055 -3.7482 -3.5774 -3.3959 -3.2162 -2.8193 -2.5085 -2.2638 -2.0666 -1.9026
 -1.7643 -1.6481 -1.5520 -1.4711 -1.4004 -1.3367 -1.2776 -1.2234 -1.1751 -1.1333
 -1.0984
 -6.4886 -6.1302 -5.7804 -5.4450 -5.1358 -4.8608 -4.6212 -4.4098 -4.2157 -4.0306
 -3.8545 -3.6904 -3.5364 -3.3850 -3.2282 -2.8402 -2.5169 -2.2655 -2.0675 -1.9062
 -1.7724 -1.6612 -1.5702 -1.4954 -1.4314 -1.3744 -1.3225 -1.2747 -1.2309 -1.1919
 -1.1575
 -6.4801 -6.1342 -5.8024 -5.4769 -5.1661 -4.8807 -4.6269 -4.4038 -4.2053 -4.0216
 -3.8455 -3.6761 -3.5145 -3.3611 -3.2158 -2.8657 -2.5405 -2.2784 -2.0758 -1.9142
 -1.7821 -1.6737 -1.5862 -1.5161 -1.4584 -1.4084 -1.3635 -1.3220 -1.2837 -1.2487
 -1.2175
 -6.4777 -6.1293 -5.8139 -5.5059 -5.2047 -4.9172 -4.6528 -4.4166 -4.2075 -4.0200
 -3.8460 -3.6795 -3.5177 -3.3610 -3.2110 -2.8744 -2.5688 -2.3005 -2.0893 -1.9243
 -1.7918 -1.6844 -1.5985 -1.5315 -1.4788 -1.4354 -1.3977 -1.3634 -1.3317 -1.3023
 -1.2751
 -6.4899 -6.1215 -5.8098 -5.5199 -5.2361 -4.9581 -4.6927 -4.4471 -4.2258 -4.0284
