 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  I   
 -0.5355 -0.5682 -0.6039 -0.6422 -0.6831 -0.7267 -0.7736 -0.8250 -0.8806 -0.9363
 -0.9632 -0.8428 -0.7461 -0.6717 -0.6166 -0.5788 -0.5560 -0.5453 -0.5440 -0.5511
 -0.5651 -0.5801 -0.5898 -0.5920 -0.5864 -0.5460 -0.5118 -0.4958 -0.4973 -0.5140
 -0.5421 -0.5763 -0.6130 -0.6514 -0.6916 -0.7338 -0.7786 -0.8262 -0.8778 -0.9340
 -0.9915
 -0.9464 -0.8336 -0.7418 -0.6701 -0.6163 -0.5768 -0.5492 -0.5315 -0.5222 -0.5189
 -0.5199 -0.5253 -0.5349 -0.5454 -0.5525 -0.5388 -0.5100 -0.4961 -0.4984 -0.5155
 -0.5423 -0.5809 -0.6197 -0.6594 -0.7000 -0.7417 -0.7853 -0.8305 -0.8784 -0.9305
 -0.9877
 -0.9048 -0.8079 -0.7243 -0.6592 -0.6095 -0.5724 -0.5446 -0.5243 -0.5102 -0.5016
 -0.4968 -0.4945 -0.4944 -0.4977 -0.5042 -0.5141 -0.5028 -0.4922 -0.4956 -0.5131
 -0.5430 -0.5814 -0.6232 -0.6656 -0.7078 -0.7503 -0.7936 -0.8380 -0.8840 -0.9325
 -0.9848
 -0.8411 -0.7604 -0.6908 -0.6349 -0.5917 -0.5591 -0.5343 -0.5150 -0.4999 -0.4884
 -0.4803 -0.4748 -0.4709 -0.4686 -0.4685 -0.4770 -0.4836 -0.4836 -0.4890 -0.5064
 -0.5361 -0.5758 -0.6206 -0.6664 -0.7117 -0.7562 -0.8005 -0.8449 -0.8899 -0.9363
 -0.9850
 -0.7632 -0.6965 -0.6405 -0.5946 -0.5594 -0.5330 -0.5130 -0.4972 -0.4841 -0.4731
 -0.4642 -0.4573 -0.4521 -0.4482 -0.4456 -0.4462 -0.4553 -0.4666 -0.4784 -0.4968
 -0.5260 -0.5656 -0.6123 -0.6617 -0.7108 -0.7585 -0.8053 -0.8511 -0.8964 -0.9421
 -0.9887
 -0.6775 -0.6228 -0.5776 -0.5413 -0.5139 -0.4937 -0.4790 -0.4678 -0.4586 -0.4505
 -0.4433 -0.4373 -0.4325 -0.4289 -0.4355 -0.4217 -0.4179 -0.4412 -0.4638
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  I   
 -1.8557 -1.7713 -1.6932 -1.6128 -1.5246 -1.4136 -1.2645 -1.0847 -0.9406 -0.8446
 -0.7782 -0.7239 -0.6746 -0.6286 -0.5865 -0.5009 -0.4409 -0.4087 -0.4019
 -1.6440 -1.5517 -1.4734 -1.4011 -1.3268 -1.2411 -1.1312 -0.9990 -0.8915 -0.8165
 -0.7625 -0.7169 -0.6734 -0.6316 -0.5927 -0.5139 -0.4610 -0.4323 -0.4265 -0.4400
 -1.4850 -1.3806 -1.2964 -1.2262 -1.1629 -1.0988 -1.0223 -0.9275 -0.8460 -0.7868
 -0.7436 -0.7071 -0.6706 -0.6334 -0.5975 -0.5244 -0.4760 -0.4504 -0.4454 -0.4577
 -0.4829
 -1.3668 -1.2521 -1.1594 -1.0853 -1.0252 -0.9736 -0.9222 -0.8583 -0.7981 -0.7523
 -0.7190 -0.6915 -0.6634 -0.6323 -0.6002 -0.5322 -0.4874 -0.4642 -0.4602 -0.4719
 -0.4958 -0.5278
 -1.2424 -1.1300 -1.0422 -0.9706 -0.9119 -0.8651 -0.8269 -0.7874 -0.7460 -0.7126
 -0.6882 -0.6691 -0.6498 -0.6266 -0.5996 -0.5373 -0.4957 -0.4746 -0.4716 -0.4831
 -0.5064 -0.5378 -0.5741 -0.6143
 -1.1738 -1.0374 -0.9296 -0.8493 -0.7934 -0.7574 -0.7330 -0.7130 -0.6904 -0.6690
 -0.6524 -0.6401 -0.6287 -0.6142 -0.5944 -0.5394 -0.5010 -0.4818 -0.4797 -0.4917
 -0.5148 -0.5460 -0.5822 -0.6217 -0.6642 -0.7099 -0.7590 -0.8123 -0.8692 -0.9251
 -1.1495 -1.0040 -0.8840 -0.7886 -0.7167 -0.6658 -0.6333 -0.6174 -0.6125 -0.6120
 -0.6109 -0.6076 -0.6021 -0.5944 -0.5827 -0.5384 -0.5032 -0.4860 -0.4849 -0.4973
