 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  u   
 -5.6255 -5.4398 -5.2576 -5.0784 -4.9030 -4.4832 -4.0781 -3.6741 -3.3083 -2.9962
 -2.7369 -2.5350 -2.3910 -2.2973 -2.2427 -2.2156 -2.2077 -2.2125 -2.2259 -2.2448
 -2.2659
 -7.2662 -7.0712 -6.9030 -6.7586 -6.6316 -6.5097 -6.3803 -6.2339 -6.0684 -5.8876
 -5.6986 -5.5075 -5.3091 -5.1216 -4.9525 -4.4854 -4.1065 -3.7327 -3.3614
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =  u   
 -8.7484 -8.6091 -8.4720 -8.3270 -8.1686 -7.9774 -7.7334 -7.4418 -7.1717 -6.9380
 -6.7393 -6.5645 -6.3989 -6.2365 -6.0721 -5.6362 -5.1528 -4.6437 -4.1749
 -8.3440 -8.1865 -8.0426 -7.9005 -7.7515 -7.5867 -7.3870 -7.1634 -6.9473 -6.7468
 -6.5600 -6.3804 -6.2002 -6.0163 -5.8286 -5.3460 -4.8506 -4.3707 -3.9488 -3.6186
 -8.0708 -7.8682 -7.6957 -7.5421 -7.3957 -7.2471 -7.0839 -6.9042 -6.7240 -6.5474
 -6.3722 -6.1923 -6.0018 -5.8023 -5.5988 -5.0920 -4.6014 -4.1484 -3.7608 -3.4566
 -3.2415
 -7.8892 -7.6367 -7.4409 -7.2702 -7.1112 -6.9629 -6.8168 -6.6638 -6.5072 -6.3488
 -6.1863 -6.0140 -5.8247 -5.6198 -5.4084 -4.8918 -4.4105 -3.9771 -3.6114 -3.3237
 -3.1190 -2.9869
 -7.8787 -7.5361 -7.2558 -7.0319 -6.8588 -6.7256 -6.6012 -6.4670 -6.3241 -6.1762
 -6.0230 -5.8607 -5.6815 -5.4815 -5.2691 -4.7486 -4.2746 -3.8532 -3.4986 -3.2188
 -3.0167 -2.8861 -2.8082 -2.7644
 -7.9627 -7.5685 -7.2288 -6.9453 -6.7153 -6.5303 -6.3819 -6.2629 -6.1605 -6.0436
 -5.9028 -5.7459 -5.5760 -5.3876 -5.1806 -4.6588 -4.1872 -3.7719 -3.4201 -3.1405
 -2.9345 -2.7990 -2.7184 -2.6745 -2.6533 -2.6453 -2.6442 -2.6453 -2.6440 -2.6342
 -8.1032 -7.6684 -7.2867 -6.9617 -6.6909 -6.4669 -6.2810 -6.1245 -5.9913 -5.8792
 -5.7774 -5.6579 -5.5065 -5.3301 -5.1346 -4.6159 -4.1418 -3.7275 -3.3739 -3.0884
 -2.8731 -2.7267 -2.6382 -2.5895 -2.5664 -2.5590 -2.5605 -2.5661 -2.5718 -2.5742
 -2.5696
 -8.2568 -7.8045 -7.3951 -7.0392 -6.7371 -6.4830 -6.2678 -6.0838 -5.9231 -5.7804
 -5.6516 -5.5350 -5.4199 -5.2821 -5.1121 -4.6132 -4.1332 -3.7156 -3.3575 -3.0627
 -2.8339 -2.6714 -2.5692 -2.5114 -2.4829 -2.4728 -2.4743 -2.4819 -2.4918 -2.5011
 -2.5073
 -8.3455 -7.9151 -7.5073 -7.1405 -6.8206 -6.5453 -6.3073 -6.0996 -5.9160 -5.7510
