 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  o   
 -0.0071 -0.0026 -0.0055 -0.0120 -0.0198 -0.0281 -0.0370 -0.0465 -0.0572 -0.0700
 -0.0867
 -1.3150 -1.2269 -1.1415 -1.0545 -0.9653 -0.8755 -0.7881 -0.7056 -0.6302 -0.5622
 -0.5017 -0.4490 -0.4041 -0.3669 -0.3340 -0.2512 -0.1664 -0.0978 -0.0498 -0.0194
 -0.0038 -0.0003 -0.0058 -0.0164 -0.0288 -0.0415 -0.0542 -0.0668 -0.0796 -0.0932
 -0.1087
 -1.2773 -1.1855 -1.1024 -1.0214 -0.9406 -0.8593 -0.7784 -0.6998 -0.6254 -0.5562
 -0.4931 -0.4364 -0.3860 -0.3423 -0.3046 -0.2280 -0.1580 -0.0942 -0.0458 -0.0145
  0.0017  0.0051 -0.0018 -0.0156 -0.0325 -0.0501 -0.0675 -0.0842 -0.1004 -0.1165
 -0.1322
 -1.2533 -1.1517 -1.0663 -0.9873 -0.9112 -0.8366 -0.7628 -0.6900 -0.6196 -0.5524
 -0.4894 -0.4315 -0.3789 -0.3318 -0.2903 -0.2075 -0.1432 -0.0867 -0.0406
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  o   
 -2.0332 -1.8182 -1.6177 -1.4449 -1.2890 -1.1458 -1.0312 -0.9302 -0.8439 -0.7639
 -0.6871 -0.6142 -0.5457 -0.4813 -0.4209 -0.2868 -0.1772 -0.0907 -0.0250
 -1.8854 -1.8310 -1.6306 -1.4428 -1.2784 -1.1323 -1.0121 -0.9101 -0.8211 -0.7402
 -0.6642 -0.5927 -0.5253 -0.4620 -0.4026 -0.2727 -0.1686 -0.0882 -0.0289  0.0133
 -1.7379 -1.7528 -1.6361 -1.4553 -1.2833 -1.1304 -1.0032 -0.8964 -0.8057 -0.7240
 -0.6492 -0.5791 -0.5131 -0.4510 -0.3927 -0.2655 -0.1647 -0.0881 -0.0325  0.0067
  0.0337
 -1.6135 -1.5190 -1.5234 -1.4523 -1.2965 -1.1416 -1.0052 -0.8909 -0.7957 -0.7128
 -0.6387 -0.5700 -0.5053 -0.4445 -0.3874 -0.2625 -0.1636 -0.0894 -0.0363  0.0008
  0.0258  0.0425
 -1.5779 -1.4339 -1.3278 -1.2962 -1.2717 -1.1530 -1.0166 -0.8942 -0.7919 -0.7059
 -0.6309 -0.5631 -0.4997 -0.4403 -0.3843 -0.2616 -0.1641 -0.0913 -0.0399 -0.0045
  0.0187  0.0335  0.0433  0.0497
 -1.5530 -1.4095 -1.2740 -1.1648 -1.0994 -1.0747 -1.0156 -0.9049 -0.7961 -0.7034
 -0.6253 -0.5574 -0.4951 -0.4368 -0.3821 -0.2615 -0.1653 -0.0934 -0.0429 -0.0089
  0.0128  0.0257  0.0332  0.0374  0.0389  0.0373  0.0323  0.0233  0.0097 -0.0081
 -1.5246 -1.3926 -1.2587 -1.1331 -1.0263 -0.9458 -0.8939 -0.8581 -0.7963 -0.7073
 -0.6235 -0.5528 -0.4908 -0.4335 -0.3799 -0.2614 -0.1663 -0.0949 -0.0449 -0.0119
  0.0084  0.0194  0.0243  0.0259  0.0251  0.0221  0.0166  0.0083 -0.0037 -0.0209
 -0.0428
 -1.4932 -1.3717 -1.2475 -1.1245 -1.0092 -0.9078 -0.8243 -0.7580 -0.7087 -0.6682
 -0.6160 -0.5495 -0.4867 -0.4301 -0.3773 -0.2609 -0.1668 -0.0958 -0.0458 -0.0132
  0.0061  0.0153  0.0175  0.0158  0.0119  0.0067 -0.0005 -0.0091 -0.0205 -0.0361
 -0.0570
 -1.4583 -1.3443 -1.2302 -1.1153 -1.0030 -0.8979 -0.8039 -0.7228 -0.6538 -0.5962
 -0.5498 -0.5099 -0.4672 -0.4205 -0.3720 -0.2586 -0.1656 -0.0947 -0.0447 -0.0122
  0.0064  0.0140  0.0136  0.0083  0.0007 -0.0080 -0.0178 -0.0283 -0.0405 -0.0553
 -0.0735
 -1.4267 -1.3159 -1.2089 -1.1029 -0.9977 -0.8959 -0.8007 -0.7141 -0.6376 -0.5704
 -0.5119 -0.4620 -0.4200 -0.3837 -0.3488 -0.2550 -0.1646 -0.0937 -0.0431 -0.0099
  0.0087  0.0154  0.0130  0.0045 -0.0071 -0.0199 -0.0333 -0.0471 -0.0613 -0.0762
 -0.0939
 -1.4017 -1.2889 -1.1851 -1.0850 -0.9872 -0.8917 -0.7998 -0.7135 -0.6345 -0.5632
 -0.4996 -0.4432 -0.3937 -0.3511 -0.3147 -0.2371 -0.1606 -0.0917 -0.0404 -0.0063
  0.0129  0.0196  0.0161  0.0051 -0.0103 -0.0274 -0.0452 -0.0628 -0.0804 -0.0981
 -0.1153
 -1.3874 -1.2674 -1.1626 -1.0650 -0.9718 -0.8821 -0.7956 -0.7128 -0.6350 -0.5629
 -0.4970 -0.4376 -0.3845 -0.3373 -0.2959 -0.2142 -0.1478 -0.0870 -0.0368
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  o   
 -1.9742 -1.7595 -1.5697 -1.4078 -1.2546 -1.1169 -1.0084 -0.9118 -0.8234 -0.7447
 -0.6700 -0.5989 -0.5322 -0.4695 -0.4109 -0.2804 -0.1734 -0.0875 -0.0197
 -1.9379 -1.7930 -1.5884 -1.4071 -1.2495 -1.1065 -0.9926 -0.8923 -0.8027 -0.7234
 -0.6493 -0.5794 -0.5138 -0.4521 -0.3943 -0.2670 -0.1638 -0.0829 -0.0222  0.0220
 -1.8402 -1.7893 -1.6136 -1.4239 -1.2555 -1.1072 -0.9827 -0.8793 -0.7894 -0.7086
 -0.6355 -0.5670 -0.5027 -0.4422 -0.3854 -0.2603 -0.1597 -0.0820 -0.0248  0.0161
  0.0445
 -1.6974 -1.6113 -1.5924 -1.4433 -1.2724 -1.1187 -0.9849 -0.8738 -0.7805 -0.6984
 -0.6258 -0.5586 -0.4956 -0.4363 -0.3805 -0.2575 -0.1585 -0.0827 -0.0277  0.0111
  0.0377  0.0554
 -1.5916 -1.4522 -1.3923 -1.3921 -1.2850 -1.1353 -0.9969 -0.8770 -0.7769 -0.6925
 -0.6185 -0.5521 -0.4903 -0.4323 -0.3777 -0.2568 -0.1590 -0.0843 -0.0307  0.0066
  0.0317  0.0478  0.0579  0.0643
 -1.5785 -1.4219 -1.2875 -1.2025 -1.1816 -1.1327 -1.0118 -0.8886 -0.7807 -0.6904
 -0.6135 -0.5468 -0.4859 -0.4290 -0.3755 -0.2569 -0.1602 -0.0863 -0.0334  0.0027
  0.0265  0.0411  0.0494  0.0536  0.0549  0.0530  0.0472  0.0371  0.0227  0.0041
 -1.5692 -1.4158 -1.2698 -1.1426 -1.0474 -0.9928 -0.9625 -0.8945 -0.7919 -0.6946
 -0.6125 -0.5427 -0.4819 -0.4258 -0.3734 -0.2570 -0.1616 -0.0881 -0.0355  0.0000
  0.0226  0.0358  0.0420  0.0440  0.0432  0.0399  0.0339  0.0245  0.0109 -0.0073
 -0.0297
 -1.5572 -1.4119 -1.2689 -1.1346 -1.0160 -0.9198 -0.8480 -0.7987 -0.7579 -0.6967
 -0.6164 -0.5418 -0.4785 -0.4228 -0.3710 -0.2566 -0.1624 -0.0893 -0.0368 -0.0016
  0.0203  0.0320  0.0362  0.0356  0.0321  0.0265  0.0187  0.0087 -0.0042 -0.0209
 -0.0427
 -1.5442 -1.4034 -1.2674 -1.1359 -1.0131 -0.9038 -0.8112 -0.7353 -0.6741 -0.6257
 -0.5827 -0.5327 -0.4740 -0.4183 -0.3672 -0.2547 -0.1616 -0.0889 -0.0364 -0.0012
  0.0201  0.0306  0.0328  0.0293  0.0226  0.0139  0.0036 -0.0084 -0.0219 -0.0381
 -0.0581
 -1.5288 -1.3939 -1.2638 -1.1382 -1.0182 -0.9067 -0.8066 -0.7193 -0.6449 -0.5811
 -0.5270 -0.4815 -0.4409 -0.4002 -0.3583 -0.2532 -0.1614 -0.0888 -0.0357  0.0001
  0.0214  0.0312  0.0319  0.0260  0.0160  0.0037 -0.0099 -0.0245 -0.0402 -0.0572
 -0.0764
 -1.5142 -1.3831 -1.2574 -1.1368 -1.0216 -0.9127 -0.8117 -0.7202 -0.6392 -0.5681
 -0.5059 -0.4515 -0.4043 -0.3633 -0.3273 -0.2438 -0.1600 -0.0879 -0.0342  0.0026
  0.0246  0.0343  0.0341  0.0263  0.0133 -0.0027 -0.0202 -0.0384 -0.0571 -0.0765
 -0.0957
 -1.5003 -1.3709 -1.2483 -1.1327 -1.0212 -0.9163 -0.8178 -0.7263 -0.6431 -0.5681
 -0.5014 -0.4422 -0.3897 -0.3434 -0.2742 -0.2265 -0.1574 -0.0862 -0.0319
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  o   
 -1.9197 -1.7071 -1.5273 -1.3771 -1.2256 -1.0942 -0.9853 -0.8919 -0.8045 -0.7279
 -0.6545 -0.5848 -0.5194 -0.4583 -0.4012 -0.2739 -0.1687 -0.0831 -0.0144
 -1.9620 -1.7478 -1.5475 -1.3737 -1.2234 -1.0854 -0.9709 -0.8746 -0.7855 -0.7083
 -0.6355 -0.5670 -0.5027 -0.4425 -0.3860 -0.2612 -0.1589 -0.0776 -0.0155  0.0306
 -1.8159 -1.7815 -1.5752 -1.3925 -1.2306 -1.0865 -0.9640 -0.8631 -0.7740 -0.6946
 -0.6228 -0.5556 -0.4926 -0.4334 -0.3778 -0.2550 -0.1547 -0.0761 -0.0171  0.0257
  0.0557
 -1.6902 -1.7103 -1.6010 -1.4201 -1.2472 -1.0981 -0.9669 -0.8580 -0.7665 -0.6850
 -0.6136 -0.5476 -0.4858 -0.4279 -0.3733 -0.2524 -0.1534 -0.0763 -0.0192  0.0215
