 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  K   
  2.4282  2.4715  2.5022  2.5185  2.5231  2.5169  2.5023  2.4812  2.4555  2.4264
  2.3949  2.3611  2.3252  2.2873  2.2482  2.1513  2.0433  1.9094  1.7603  1.6130
  1.4709  1.3336  1.2004  1.0710  0.9460  0.8257  0.7098  0.5981  0.4901  0.3854
  0.2838
  2.2747  2.3303  2.3737  2.4052  2.4258  2.4359  2.4361  2.4276  2.4117  2.3899
  2.3637  2.3337  2.3003  2.2637  2.2364  2.1029  1.9982  1.8975  1.7579
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =  K   
  3.0426  3.0525  3.0615  3.0657  3.0609  3.0440  3.0126  2.9656  2.9060  2.8383
  2.7664  2.6930  2.6199  2.5478  2.4768  2.3027  2.1320  1.9643  1.8011
  2.9743  2.9808  2.9899  2.9975  2.9989  2.9901  2.9677  2.9305  2.8801  2.8195
  2.7518  2.6801  2.6071  2.5343  2.4625  2.2877  2.1185  1.9537  1.7934  1.6378
  2.9181  2.9169  2.9221  2.9293  2.9340  2.9314  2.9173  2.8897  2.8494  2.7977
  2.7369  2.6693  2.5978  2.5252  2.4530  2.2772  2.1082  1.9448  1.7866  1.6332
  1.4840
  2.8758  2.8645  2.8622  2.8654  2.8698  2.8701  2.8624  2.8433  2.8124  2.7704
  2.7183  2.6574  2.5899  2.5188  2.4468  2.2702  2.1009  1.9381  1.7811  1.6292
  1.4819  1.3391
  2.8605  2.8300  2.8011  2.7986  2.8061  2.8110  2.8074  2.7941  2.7707  2.7372
  2.6940  2.6416  2.5805  2.5130  2.4424  2.2658  2.0960  1.9333  1.7769  1.6260
  1.4799  1.3387  1.2021  1.0696
  2.8614  2.8157  2.7750  2.7449  2.7279  2.7232  2.7276  2.7319  2.7240  2.7008
  2.6654  2.6203  2.5670  2.5055  2.4381  2.2632  2.0931  1.9302  1.7740  1.6236
  1.4783  1.3381  1.2028  1.0719  0.9448  0.8210  0.7004  0.5828  0.4687  0.3596
  2.8606  2.8163  2.7716  2.7298  2.6944  2.6677  2.6489  2.6360  2.6290  2.6262
  2.6167  2.5903  2.5474  2.4936  2.4320  2.2614  2.0915  1.9285  1.7723  1.6222
  1.4774  1.3377  1.2031  1.0733  0.9477  0.8257  0.7068  0.5910  0.4782  0.3687
  0.2635
  2.8411  2.8065  2.7666  2.7245  2.6831  2.6451  2.6125  2.5852  2.5615  2.5406
  2.5242  2.5123  2.4958  2.4649  2.4179  2.2594  2.0907  1.9277  1.7716  1.6217
  1.4772  1.3378  1.2035  1.0742  0.9495  0.8287  0.7113  0.5971  0.4859  0.3775
  0.2720
  2.7901  2.7731  2.7457  2.7113  2.6729  2.6333  2.5949  2.5594  2.5269  2.4966
  2.4674  2.4396  2.4155  2.3941  2.3680  2.2510  2.0879  1.9254  1.7693  1.6195
  1.4754  1.3362  1.2019  1.0724  0.9478  0.8276  0.7111  0.5980  0.4881  0.3811
  0.2767
  2.7001  2.7050  2.6975  2.6777  2.6497  2.6163  2.5802  2.5432  2.5069  2.4715
  2.4369  2.4023  2.3676  2.3343  2.3036  2.2178  2.0848  1.9256  1.7701  1.6207
  1.4770  1.3383  1.2042  1.0746  0.9498  0.8296  0.7136  0.6013  0.4924  0.3866
  0.2835
  2.5774  2.6033  2.6155  2.6152  2.6029  2.5818  2.5543  2.5226  2.4884  2.4527
  2.4163  2.3789  2.3407  2.3016  2.2625  2.1699  2.0624  1.9234  1.7706  1.6220
  1.4789  1.3409  1.2073  1.0778  0.9526  0.8320  0.7157  0.6037  0.4953  0.3901
  0.2880
  2.4348  2.4770  2.5067  2.5240  2.5288  2.5232  2.5087  2.4872  2.4603  2.4294
  2.3955  2.3591  2.3207  2.2803  2.2447  2.1073  2.0207  1.9188  1.7708
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  K   
  3.0973  3.1068  3.1132  3.1131  3.1027  3.0791  3.0396  2.9837  2.9159  2.8423
  2.7668  2.6915  2.6174  2.5449  2.4740  2.3016  2.1334  1.9674  1.8044
  3.0257  3.0343  3.0431  3.0483  3.0454  3.0312  3.0019  2.9562  2.8968  2.8285
  2.7557  2.6812  2.6069  2.5335  2.4616  2.2876  2.1201  1.9566  1.7968  1.6417
  2.9628  2.9660  2.9732  2.9805  2.9832  2.9771  2.9577  2.9227  2.8733  2.8128
  2.7450  2.6731  2.5996  2.5262  2.4537  2.2781  2.1103  1.9480  1.7904  1.6375
  1.4884
  2.9123  2.9062  2.9081  2.9137  2.9185  2.9178  2.9069  2.8821  2.8433  2.7923
  2.7318  2.6647  2.5938  2.5213  2.4488  2.2722  2.1035  1.9416  1.7852  1.6338
  1.4867  1.3439
  2.8744  2.8533  2.8485  2.8512  2.8555  2.8570  2.8514  2.8351  2.8061  2.7650
  2.7135  2.6534  2.5872  2.5171  2.4456  2.2688  2.0993  1.9372  1.7814  1.6310
  1.4853  1.3440  1.2071  1.0743
  2.8710  2.8276  2.7958  2.7798  2.7787  2.7862  2.7907  2.7838  2.7636  2.7314
  2.6888  2.6370  2.5775  2.5119  2.4427  2.2670  2.0970  1.9346  1.7788  1.6289
  1.4841  1.3439  1.2085  1.0773  0.9498  0.8256  0.7046  0.5866  0.4724  0.3634
  2.8751  2.8278  2.7837  2.7469  2.7206  2.7049  2.6972  2.6945  2.6920  2.6812
  2.6551  2.6142  2.5626  2.5035  2.4386  2.2661  2.0961  1.9333  1.7775  1.6278
  1.4835  1.3440  1.2094  1.0793  0.9533  0.8308  0.7115  0.5953  0.4821  0.3725
  0.2675
  2.8724  2.8284  2.7834  2.7397  2.7001  2.6670  2.6409  2.6196  2.6008  2.5850
  2.5725  2.5574  2.5299  2.4863  2.4302  2.2654  2.0962  1.9332  1.7772  1.6276
  1.4836  1.3445  1.2103  1.0808  0.9557  0.8345  0.7166  0.6020  0.4903  0.3816
  0.2761
  2.8510  2.8175  2.7782  2.7361  2.6934  2.6523  2.6149  2.5818  2.5518  2.5232
  2.4959  2.4712  2.4501  2.4277  2.3957  2.2610  2.0946  1.9317  1.7755  1.6258
  1.4819  1.3430  1.2090  1.0795  0.9547  0.8340  0.7171  0.6035  0.4931  0.3856
  0.2810
  2.7980  2.7817  2.7563  2.7228  2.6846  2.6439  2.6030  2.5635  2.5262  2.4908
  2.4563  2.4220  2.3886  2.3576  2.3292  2.2388  2.0946  1.9332  1.7772  1.6276
  1.4839  1.3453  1.2114  1.0820  0.9571  0.8366  0.7202  0.6075  0.4981  0.3917
  0.2881
  2.7068  2.7122  2.7051  2.6876  2.6605  2.6271  2.5898  2.5507  2.5111  2.4720
  2.4334  2.3948  2.3559  2.3170  2.2791  2.1905  2.0802  1.9338  1.7791  1.6299
  1.4865  1.3483  1.2147  1.0853  0.9602  0.8395  0.7229  0.6104  0.5015  0.3958
  0.2932
  2.5850  2.6102  2.6228  2.6228  2.6120  2.5913  2.5635  2.5308  2.4946  2.4565
  2.4172  2.3769  2.3359  2.2939  2.2454  2.1161  2.0514  1.9335  1.7812
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  K   
  3.1513  3.1590  3.1620  3.1568  3.1400  3.1087  3.0607  2.9961  2.9216  2.8436
  2.7655  2.6885  2.6135  2.5404  2.4692  2.2982  2.1327  1.9691  1.8072
  3.0786  3.0878  3.0950  3.0966  3.0886  3.0677  3.0305  2.9760  2.9084  2.8342
  2.7575  2.6808  2.6053  2.5313  2.4590  2.2855  2.1198  1.9582  1.7995  1.6448
  3.0106  3.0169  3.0250  3.0309  3.0302  3.0190  2.9932  2.9501  2.8920  2.8238
  2.7505  2.6753  2.6001  2.5258  2.4529  2.2774  2.1106  1.9498  1.7932  1.6408
  1.4924
  2.9522  2.9516  2.9566  2.9630  2.9667  2.9632  2.9478  2.9165  2.8694  2.8097
  2.7420  2.6699  2.5962  2.5224  2.4494  2.2726  2.1046  1.9438  1.7882  1.6375
  1.4910  1.3482
  2.9060  2.8954  2.8936  2.8972  2.9017  2.9024  2.8951  2.8746  2.8389  2.7894
  2.7295  2.6627  2.5921  2.5198  2.4473  2.2701  2.1011  1.9398  1.7846  1.6349
  1.4898  1.3487  1.2119  1.0787
  2.8806  2.8469  2.8309  2.8302  2.8360  2.8402  2.8379  2.8256  2.8002  2.7613
  2.7109  2.6515  2.5859  2.5166  2.4457  2.2691  2.0994  1.9375  1.7823  1.6331
  1.4889  1.3491  1.2137  1.0824  0.9548  0.8305  0.7092  0.5909  0.4767  0.3678
  2.8828  2.8364  2.7975  2.7709  2.7580  2.7560  2.7597  2.7603  2.7497  2.7240
  2.6845  2.6340  2.5755  2.5112  2.4433  2.2689  2.0990  1.9366  1.7812  1.6321
  1.4885  1.3495  1.2151  1.0850  0.9588  0.8362  0.7166  0.6001  0.4867  0.3770
  0.2721
  2.8866  2.8388  2.7930  2.7521  2.7191  2.6955  2.6793  2.6671  2.6562  2.6448
  2.6281  2.5994  2.5559  2.5007  2.4383  2.2690  2.0996  1.9368  1.7812  1.6321
  1.4886  1.3502  1.2164  1.0870  0.9618  0.8404  0.7223  0.6074  0.4954  0.3863
  0.2807
  2.8832  2.8392  2.7940  2.7493  2.7071  2.6696  2.6380  2.6111  2.5860  2.5610
  2.5370  2.5148  2.4920  2.4616  2.4186  2.2666  2.0988  1.9359  1.7798  1.6304
  1.4870  1.3487  1.2152  1.0861  0.9614  0.8406  0.7234  0.6095  0.4988  0.3909
  0.2859
  2.8609  2.8276  2.7890  2.7472  2.7040  2.6612  2.6206  2.5832  2.5487  2.5155
  2.4822  2.4490  2.4172  2.3880  2.3590  2.2555  2.1002  1.9381  1.7821  1.6326
  1.4892  1.3510  1.2177  1.0888  0.9642  0.8438  0.7271  0.6141  0.5043  0.3975
  0.2935
  2.8068  2.7909  2.7657  2.7335  2.6957  2.6546  2.6123  2.5703  2.5295  2.4903
  2.4519  2.4134  2.3746  2.3364  2.2998  2.2118  2.0940  1.9403  1.7848  1.6355
  1.4921  1.3541  1.2209  1.0922  0.9675  0.8470  0.7304  0.6177  0.5084  0.4023
  0.2991
  2.7157  2.7208  2.7141  2.6967  2.6710  2.6379  2.6001  2.5596  2.5178  2.4758
  2.4341  2.3924  2.3505  2.3081  2.2410  2.1355  2.0802  1.9425  1.7879
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  K   
  3.2089  3.2148  3.2140  3.2033  3.1797  3.1397  3.0820  3.0082  2.9279  2.8465
  2.7661  2.6874  2.6110  2.5371  2.4654  2.2949  2.1320  1.9713  1.8112
  3.1362  3.1458  3.1511  3.1486  3.1348  3.1062  3.0596  2.9952  2.9201  2.8410
  2.7614  2.6827  2.6058  2.5309  2.4580  2.2845  2.1203  1.9609  1.8038  1.6497
  3.0642  3.0735  3.0820  3.0859  3.0811  3.0638  3.0298  2.9773  2.9102  2.8353
  2.7577  2.6797  2.6029  2.5276  2.4541  2.2782  2.1124  1.9532  1.7979  1.6462
  1.4983
  2.9987  3.0033  3.0110  3.0179  3.0198  3.0123  2.9908  2.9514  2.8951  2.8272
  2.7533  2.6772  2.6011  2.5260  2.4522  2.2749  2.1075  1.9478  1.7934  1.6434
  1.4974  1.3550
  2.9391  2.9396  2.9428  2.9490  2.9540  2.9532  2.9424  2.9161  2.8722  2.8139
  2.7462  2.6736  2.5994  2.5250  2.4515  2.2736  2.1049  1.9445  1.7903  1.6413
  1.4967  1.3560  1.2191  1.0858
  2.8990  2.8828  2.8796  2.8824  2.8872  2.8899  2.8860  2.8709  2.8399  2.7930
  2.7340  2.6672  2.5963  2.5238  2.4512  2.2735  2.1040  1.9428  1.7885  1.6399
  1.4963  1.3569  1.2216  1.0900  0.9620  0.8373  0.7155  0.5967  0.4822  0.3731
  2.8891  2.8478  2.8200  2.8088  2.8111  2.8185  2.8222  2.8164  2.7972  2.7626
  2.7144  2.6557  2.5903  2.5211  2.4504  2.2740  2.1042  1.9423  1.7877  1.6393
  1.4962  1.3578  1.2236  1.0933  0.9668  0.8437  0.7238  0.6067  0.4926  0.3826
  0.2775
  2.8930  2.8450  2.8021  2.7681  2.7460  2.7350  2.7314  2.7305  2.7253  2.7097
  2.6796  2.6346  2.5785  2.5152  2.4480  2.2748  2.1051  1.9428  1.7878  1.6394
  1.4966  1.3587  1.2253  1.0960  0.9706  0.8488  0.7301  0.6146  0.5021  0.3924
  0.2864
  2.8966  2.8484  2.8016  2.7581  2.7205  2.6908  2.6685  2.6508  2.6336  2.6153
  2.5954  2.5713  2.5389  2.4943  2.4382  2.2736  2.1048  1.9421  1.7866  1.6378
  1.4950  1.3573  1.2243  1.0955  0.9708  0.8498  0.7321  0.6177  0.5063  0.3978
  0.2922
  2.8930  2.8494  2.8039  2.7586  2.7149  2.6744  2.6386  2.6075  2.5789  2.5500
  2.5197  2.4890  2.4592  2.4291  2.3949  2.2700  2.1072  1.9449  1.7891  1.6401
  1.4972  1.3596  1.2269  1.0985  0.9742  0.8537  0.7367  0.6231  0.5127  0.4053
  0.3006
  2.8705  2.8372  2.7991  2.7572  2.7138  2.6700  2.6274  2.5871  2.5493  2.5131
  2.4767  2.4393  2.4014  2.3643  2.3290  2.2364  2.1063  1.9479  1.7925  1.6434
  1.5004  1.3628  1.2302  1.1019  0.9778  0.8574  0.7406  0.6275  0.5176  0.4109
  0.3070
  2.8163  2.8004  2.7753  2.7433  2.7060  2.6649  2.6218  2.5782  2.5351  2.4931
  2.4519  2.4108  2.3690  2.3268  2.2405  2.1728  2.1021  1.9511  1.7968
 [Fe/H] =  0.25 [alpha/Fe] = 0.00 BC value =  K   
  3.2625  3.2653  3.2597  3.2393  3.2036  3.1536  3.0905  3.0151  2.9307  2.8468
  2.7647  2.6846  2.6070  2.5320  2.4598  2.2892  2.1284  1.9709  1.8131
  3.1916  3.2000  3.2021  3.1946  3.1743  3.1372  3.0813  3.0081  2.9271  2.8446
  2.7629  2.6826  2.6045  2.5286  2.4551  2.2811  2.1182  1.9612  1.8063  1.6533
  3.1177  3.1283  3.1358  3.1364  3.1266  3.1023  3.0594  2.9972  2.9224  2.8426
  2.7620  2.6821  2.6039  2.5276  2.4533  2.2768  2.1117  1.9543  1.8008  1.6502
  1.5030
  3.0468  3.0552  3.0645  3.0705  3.0692  3.0565  3.0277  2.9793  2.9139  2.8391
  2.7609  2.6820  2.6041  2.5278  2.4532  2.2752  2.1081  1.9497  1.7968  1.6478
  1.5027  1.3608
  2.9838  2.9860  2.9928  3.0003  3.0045  3.0008  2.9848  2.9513  2.8986  2.8320
  2.7581  2.6814  2.6045  2.5285  2.4540  2.2751  2.1066  1.9471  1.7941  1.6460
  1.5023  1.3622  1.2257  1.0925
  2.9317  2.9240  2.9247  2.9302  2.9360  2.9379  2.9315  2.9118  2.8736  2.8183
  2.7516  2.6789  2.6041  2.5291  2.4550  2.2760  2.1065  1.9460  1.7927  1.6450
  1.5022  1.3634  1.2285  1.0971  0.9691  0.8443  0.7222  0.6031  0.4885  0.3793
  2.8978  2.8689  2.8578  2.8604  2.8666  2.8711  2.8706  2.8610  2.8370  2.7953
  2.7388  2.6727  2.6017  2.5288  2.4557  2.2773  2.1074  1.9460  1.7922  1.6446
  1.5024  1.3645  1.2308  1.1009  0.9745  0.8513  0.7311  0.6138  0.4993  0.3891
  0.2839
  2.8967  2.8514  2.8152  2.7929  2.7850  2.7877  2.7935  2.7944  2.7840  2.7582
