 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -0.3866 -0.4400 -0.4917 -0.5421 -0.5917 -0.6410 -0.6905 -0.7406 -0.7925 -0.8461
 -0.9014
 -0.0052 -0.0587 -0.1026 -0.1380 -0.1655 -0.1859 -0.1998 -0.2077 -0.2112 -0.2112
 -0.2094 -0.2070 -0.2047 -0.2029 -0.2020 -0.2054 -0.2185 -0.2408 -0.2736 -0.3197
 -0.3746 -0.4320 -0.4884 -0.5429 -0.5957 -0.6473 -0.6983 -0.7491 -0.8002 -0.8522
 -0.9065
  0.1115  0.0530  0.0030 -0.0392 -0.0745 -0.1034 -0.1265 -0.1444 -0.1577 -0.1665
 -0.1720 -0.1754 -0.1775 -0.1794 -0.1815 -0.1890 -0.2029 -0.2268 -0.2609 -0.3056
 -0.3599 -0.4188 -0.4787 -0.5375 -0.5943 -0.6492 -0.7027 -0.7551 -0.8071 -0.8591
 -0.9119
  0.2246  0.1697  0.1180  0.0702  0.0270 -0.0113 -0.0441 -0.0714 -0.0937 -0.1116
 -0.1258 -0.1367 -0.1451 -0.1519 -0.1578 -0.1726 -0.1894 -0.2137 -0.2484
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  z   
 -1.1306 -1.1510 -1.1372 -1.0510 -0.9414 -0.8352 -0.7473 -0.6760 -0.6113 -0.5499
 -0.4919 -0.4373 -0.3864 -0.3394 -0.2976 -0.2156 -0.1780 -0.1836 -0.2096
 -0.9852 -0.9370 -0.9311 -0.9480 -0.9046 -0.8206 -0.7353 -0.6639 -0.6024 -0.5453
 -0.4917 -0.4414 -0.3945 -0.3517 -0.3138 -0.2437 -0.2100 -0.2107 -0.2345 -0.2689
 -0.8962 -0.8376 -0.7866 -0.7576 -0.7669 -0.7674 -0.7187 -0.6531 -0.5938 -0.5409
 -0.4915 -0.4450 -0.4018 -0.3624 -0.3275 -0.2637 -0.2327 -0.2326 -0.2557 -0.2898
 -0.3288
 -0.8160 -0.7691 -0.7155 -0.6646 -0.6282 -0.6163 -0.6260 -0.6182 -0.5790 -0.5328
 -0.4882 -0.4457 -0.4058 -0.3695 -0.3374 -0.2787 -0.2502 -0.2497 -0.2719 -0.3062
 -0.3452 -0.3866
 -0.7296 -0.7024 -0.6602 -0.6133 -0.5702 -0.5341 -0.5103 -0.5032 -0.5087 -0.5005
 -0.4745 -0.4405 -0.4053 -0.3721 -0.3425 -0.2886 -0.2625 -0.2619 -0.2836 -0.3185
 -0.3583 -0.4003 -0.4439 -0.4897
 -0.6338 -0.6256 -0.6021 -0.5661 -0.5267 -0.4899 -0.4577 -0.4313 -0.4150 -0.4124
 -0.4142 -0.4084 -0.3918 -0.3678 -0.3423 -0.2931 -0.2694 -0.2692 -0.2906 -0.3266
 -0.3682 -0.4115 -0.4560 -0.5018 -0.5484 -0.5965 -0.6469 -0.7003 -0.7568 -0.8148
 -0.5250 -0.5360 -0.5320 -0.5130 -0.4840 -0.4521 -0.4219 -0.3946 -0.3708 -0.3527
 -0.3425 -0.3404 -0.3403 -0.3366 -0.3273 -0.2922 -0.2712 -0.2715 -0.2927 -0.3300
 -0.3742 -0.4198 -0.4658 -0.5126 -0.5602 -0.6084 -0.6580 -0.7098 -0.7646 -0.8227
 -0.8840
 -0.4095 -0.4344 -0.4479 -0.4468 -0.4335 -0.4116 -0.3871 -0.3632 -0.3412 -0.3214
 -0.3050 -0.2932 -0.2871 -0.2858 -0.2858 -0.2799 -0.2678 -0.2694 -0.2901 -0.3280
 -0.3751 -0.4242 -0.4727 -0.5212 -0.5699 -0.6183 -0.6673 -0.7182 -0.7720 -0.8292
 -0.8904
 -0.2906 -0.3256 -0.3516 -0.3662 -0.3690 -0.3616 -0.3470 -0.3293 -0.3115 -0.2947
 -0.2794 -0.2662 -0.2558 -0.2493 -0.2469 -0.2507 -0.2558 -0.2629 -0.2838 -0.3215
 -0.3708 -0.4238 -0.4762 -0.5276 -0.5782 -0.6287 -0.6796 -0.7318 -0.7852 -0.8398
 -0.8953
 -0.1718 -0.2146 -0.2494 -0.2745 -0.2911 -0.2981 -0.2968 -0.2891 -0.2781 -0.2661
 -0.2545 -0.2438 -0.2344 -0.2269 -0.2219 -0.2228 -0.2348 -0.2509 -0.2741 -0.3108
 -0.3603 -0.4161 -0.4727 -0.5279 -0.5816 -0.6342 -0.6865 -0.7385 -0.7909 -0.8443
 -0.8999
 -0.0578 -0.1025 -0.1429 -0.1760 -0.2033 -0.2217 -0.2329 -0.2373 -0.2364 -0.2317
 -0.2254 -0.2190 -0.2129 -0.2075 -0.2034 -0.2020 -0.2140 -0.2348 -0.2620 -0.2986
 -0.3469 -0.4036 -0.4631 -0.5222 -0.5797 -0.6355 -0.6902 -0.7438 -0.7970 -0.8503
 -0.9043
  0.0528  0.0109 -0.0320 -0.0716 -0.1064 -0.1350 -0.1569 -0.1723 -0.1824 -0.1876
 -0.1890 -0.1885 -0.1872 -0.1857 -0.1844 -0.1857 -0.1969 -0.2186 -0.2486
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  z   
 -1.2985 -1.2566 -1.1314 -0.9971 -0.8690 -0.7642 -0.6928 -0.6343 -0.5795 -0.5276
 -0.4794 -0.4343 -0.3920 -0.3523 -0.3154 -0.2402 -0.1946 -0.1817 -0.1983
 -1.0777 -1.0903 -1.0865 -0.9909 -0.8762 -0.7709 -0.6899 -0.6294 -0.5754 -0.5260
 -0.4806 -0.4384 -0.3990 -0.3621 -0.3280 -0.2595 -0.2193 -0.2084 -0.2241 -0.2558
 -0.9828 -0.9168 -0.8979 -0.9165 -0.8665 -0.7762 -0.6907 -0.6245 -0.5713 -0.5238
 -0.4808 -0.4412 -0.4043 -0.3700 -0.3383 -0.2751 -0.2387 -0.2292 -0.2439 -0.2750
 -0.3136
 -0.9192 -0.8487 -0.7819 -0.7420 -0.7457 -0.7442 -0.6890 -0.6218 -0.5660 -0.5198
 -0.4790 -0.4416 -0.4070 -0.3749 -0.3454 -0.2866 -0.2532 -0.2449 -0.2590 -0.2896
 -0.3284 -0.3704
 -0.8504 -0.7982 -0.7331 -0.6703 -0.6238 -0.6031 -0.6093 -0.5998 -0.5585 -0.5131
 -0.4741 -0.4391 -0.4067 -0.3766 -0.3491 -0.2943 -0.2635 -0.2563 -0.2701 -0.3003
 -0.3397 -0.3824 -0.4270 -0.4729
 -0.7682 -0.7394 -0.6909 -0.6329 -0.5776 -0.5322 -0.5019 -0.4908 -0.4949 -0.4876
 -0.4620 -0.4322 -0.4028 -0.3750 -0.3494 -0.2983 -0.2699 -0.2638 -0.2776 -0.3076
 -0.3478 -0.3919 -0.4374 -0.4844 -0.5324 -0.5819 -0.6341 -0.6894 -0.7474 -0.8050
 -0.6723 -0.6651 -0.6384 -0.5963 -0.5470 -0.4998 -0.4595 -0.4280 -0.4078 -0.4016
 -0.4036 -0.4007 -0.3879 -0.3679 -0.3458 -0.2989 -0.2727 -0.2677 -0.2816 -0.3115
 -0.3525 -0.3984 -0.4455 -0.4936 -0.5427 -0.5925 -0.6437 -0.6973 -0.7541 -0.8139
 -0.8744
 -0.5663 -0.5755 -0.5695 -0.5474 -0.5127 -0.4723 -0.4331 -0.3985 -0.3702 -0.3487
 -0.3356 -0.3319 -0.3332 -0.3330 -0.3274 -0.2957 -0.2721 -0.2681 -0.2820 -0.3117
 -0.3534 -0.4014 -0.4508 -0.5006 -0.5508 -0.6018 -0.6532 -0.7058 -0.7608 -0.8190
 -0.8809
 -0.4548 -0.4750 -0.4849 -0.4814 -0.4647 -0.4378 -0.4061 -0.3745 -0.3462 -0.3220
 -0.3024 -0.2885 -0.2808 -0.2788 -0.2801 -0.2797 -0.2674 -0.2652 -0.2794 -0.3086
 -0.3506 -0.4005 -0.4531 -0.5056 -0.5577 -0.6099 -0.6627 -0.7167 -0.7720 -0.8283
 -0.8855
 -0.3430 -0.3700 -0.3893 -0.4006 -0.4007 -0.3902 -0.3712 -0.3476 -0.3234 -0.3010
 -0.2814 -0.2652 -0.2528 -0.2446 -0.2407 -0.2454 -0.2532 -0.2584 -0.2732 -0.3017
 -0.3428 -0.3937 -0.4490 -0.5049 -0.5599 -0.6142 -0.6683 -0.7222 -0.7765 -0.8318
 -0.8888
 -0.2360 -0.2620 -0.2879 -0.3088 -0.3220 -0.3263 -0.3221 -0.3106 -0.2948 -0.2774
 -0.2609 -0.2462 -0.2339 -0.2243 -0.2175 -0.2151 -0.2280 -0.2447 -0.2640 -0.2924
 -0.3323 -0.3828 -0.4399 -0.4989 -0.5573 -0.6145 -0.6707 -0.7262 -0.7812 -0.8365
 -0.8922
 -0.1357 -0.1580 -0.1852 -0.2112 -0.2327 -0.2484 -0.2573 -0.2590 -0.2548 -0.2462
 -0.2355 -0.2248 -0.2151 -0.2070 -0.2006 -0.1947 -0.2047 -0.2253 -0.2509
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  z   
 -1.3442 -1.2426 -1.0944 -0.9586 -0.8349 -0.7336 -0.6640 -0.6102 -0.5620 -0.5133
 -0.4690 -0.4277 -0.3893 -0.3534 -0.3198 -0.2486 -0.2017 -0.1833 -0.1931
 -1.1453 -1.1727 -1.0932 -0.9645 -0.8452 -0.7405 -0.6644 -0.6075 -0.5586 -0.5121
 -0.4700 -0.4313 -0.3954 -0.3618 -0.3304 -0.2651 -0.2234 -0.2082 -0.2186 -0.2476
 -1.0124 -0.9660 -0.9885 -0.9541 -0.8520 -0.7515 -0.6665 -0.6045 -0.5550 -0.5100
 -0.4700 -0.4335 -0.3996 -0.3682 -0.3389 -0.2782 -0.2403 -0.2274 -0.2377 -0.2660
 -0.3039
 -0.9548 -0.8745 -0.8150 -0.8091 -0.8157 -0.7533 -0.6722 -0.6026 -0.5506 -0.5065
 -0.4681 -0.4334 -0.4016 -0.3721 -0.3446 -0.2879 -0.2530 -0.2418 -0.2522 -0.2798
 -0.3178 -0.3601
 -0.8974 -0.8305 -0.7548 -0.6927 -0.6614 -0.6664 -0.6553 -0.6025 -0.5463 -0.5015
 -0.4639 -0.4310 -0.4009 -0.3732 -0.3476 -0.2945 -0.2620 -0.2522 -0.2629 -0.2901
 -0.3283 -0.3712 -0.4162 -0.4627
 -0.8263 -0.7827 -0.7205 -0.6525 -0.5940 -0.5533 -0.5369 -0.5401 -0.5291 -0.4937
 -0.4571 -0.4258 -0.3975 -0.3715 -0.3476 -0.2982 -0.2680 -0.2594 -0.2704 -0.2973
 -0.3356 -0.3796 -0.4256 -0.4731 -0.5221 -0.5731 -0.6264 -0.6820 -0.7397 -0.7984
 -0.7398 -0.7191 -0.6787 -0.6240 -0.5653 -0.5133 -0.4726 -0.4461 -0.4364 -0.4380
 -0.4321 -0.4134 -0.3902 -0.3669 -0.3448 -0.2990 -0.2710 -0.2635 -0.2747 -0.3015
 -0.3399 -0.3851 -0.4326 -0.4813 -0.5311 -0.5823 -0.6350 -0.6897 -0.7469 -0.8073
 -0.8672
 -0.6410 -0.6387 -0.6201 -0.5853 -0.5393 -0.4903 -0.4453 -0.4087 -0.3813 -0.3638
 -0.3577 -0.3586 -0.3576 -0.3502 -0.3365 -0.2968 -0.2712 -0.2647 -0.2761 -0.3025
 -0.3410 -0.3873 -0.4368 -0.4872 -0.5383 -0.5902 -0.6428 -0.6967 -0.7529 -0.8120
 -0.8743
 -0.5358 -0.5452 -0.5439 -0.5289 -0.5008 -0.4639 -0.4241 -0.3867 -0.3553 -0.3302
 -0.3118 -0.3008 -0.2973 -0.2985 -0.2998 -0.2887 -0.2681 -0.2630 -0.2747 -0.3007
 -0.3391 -0.3864 -0.4382 -0.4912 -0.5442 -0.5974 -0.6514 -0.7059 -0.7615 -0.8191
 -0.8787
 -0.4300 -0.4449 -0.4552 -0.4562 -0.4459 -0.4253 -0.3973 -0.3661 -0.3363 -0.3102
 -0.2887 -0.2721 -0.2606 -0.2545 -0.2530 -0.2591 -0.2597 -0.2581 -0.2701 -0.2954
 -0.3329 -0.3804 -0.4341 -0.4900 -0.5457 -0.6009 -0.6560 -0.7112 -0.7667 -0.8232
 -0.8813
 -0.3286 -0.3434 -0.3594 -0.3709 -0.3748 -0.3698 -0.3566 -0.3369 -0.3141 -0.2912
 -0.2707 -0.2534 -0.2398 -0.2299 -0.2237 -0.2238 -0.2359 -0.2481 -0.2626 -0.2876
 -0.3241 -0.3709 -0.4256 -0.4839 -0.5426 -0.6005 -0.6577 -0.7142 -0.7705 -0.8269
 -0.8837
 -0.2362 -0.2453 -0.2618 -0.2788 -0.2920 -0.2993 -0.2996 -0.2932 -0.2815 -0.2664
 -0.2503 -0.2355 -0.2228 -0.2127 -0.2052 -0.1990 -0.2095 -0.2289 -0.2513
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  z   
 -1.3507 -1.2027 -1.0498 -0.9196 -0.8079 -0.7112 -0.6421 -0.5879 -0.5429 -0.4975
 -0.4563 -0.4182 -0.3830 -0.3504 -0.3201 -0.2544 -0.2080 -0.1866 -0.1882
 -1.2327 -1.2000 -1.0677 -0.9294 -0.8140 -0.7162 -0.6429 -0.5873 -0.5399 -0.4963
 -0.4571 -0.4212 -0.3882 -0.3576 -0.3290 -0.2681 -0.2265 -0.2080 -0.2134 -0.2386
 -1.0417 -1.0483 -1.0472 -0.9423 -0.8234 -0.7237 -0.6442 -0.5848 -0.5368 -0.4941
 -0.4566 -0.4226 -0.3916 -0.3628 -0.3360 -0.2790 -0.2408 -0.2250 -0.2315 -0.2562
 -0.2928
 -0.9781 -0.8974 -0.8716 -0.8902 -0.8291 -0.7328 -0.6485 -0.5827 -0.5328 -0.4907
 -0.4545 -0.4222 -0.3928 -0.3658 -0.3407 -0.2872 -0.2516 -0.2378 -0.2451 -0.2695
 -0.3059 -0.3481
 -0.9326 -0.8514 -0.7719 -0.7249 -0.7272 -0.7185 -0.6535 -0.5840 -0.5288 -0.4865
 -0.4506 -0.4196 -0.3918 -0.3664 -0.3429 -0.2929 -0.2596 -0.2473 -0.2552 -0.2795
 -0.3156 -0.3583 -0.4037 -0.4507
 -0.8747 -0.8147 -0.7392 -0.6656 -0.6118 -0.5885 -0.5913 -0.5744 -0.5273 -0.4813
 -0.4450 -0.4149 -0.3885 -0.3646 -0.3427 -0.2962 -0.2651 -0.2540 -0.2624 -0.2865
 -0.3224 -0.3656 -0.4119 -0.4600 -0.5096 -0.5613 -0.6156 -0.6730 -0.7326 -0.7907
 -0.8002 -0.7638 -0.7083 -0.6414 -0.5762 -0.5239 -0.4896 -0.4759 -0.4762 -0.4654
 -0.4366 -0.4078 -0.3828 -0.3604 -0.3400 -0.2969 -0.2682 -0.2582 -0.2668 -0.2908
 -0.3265 -0.3702 -0.4178 -0.4670 -0.5176 -0.5698 -0.6236 -0.6795 -0.7382 -0.7993
 -0.8597
 -0.7112 -0.6947 -0.6617 -0.6134 -0.5565 -0.5004 -0.4532 -0.4179 -0.3956 -0.3866
 -0.3863 -0.3821 -0.3694 -0.3523 -0.3345 -0.2952 -0.2688 -0.2599 -0.2687 -0.2923
 -0.3278 -0.3719 -0.4209 -0.4717 -0.5236 -0.5765 -0.6309 -0.6864 -0.7437 -0.8035
 -0.8663
 -0.6143 -0.6119 -0.5961 -0.5680 -0.5280 -0.4812 -0.4345 -0.3937 -0.3615 -0.3381
 -0.3234 -0.3177 -0.3178 -0.3181 -0.3150 -0.2899 -0.2666 -0.2590 -0.2681 -0.2914
 -0.3267 -0.3712 -0.4217 -0.4747 -0.5285 -0.5827 -0.6378 -0.6937 -0.7507 -0.8093
 -0.8703
 -0.5163 -0.5182 -0.5164 -0.5053 -0.4833 -0.4521 -0.4152 -0.3774 -0.3435 -0.3156
 -0.2940 -0.2788 -0.2697 -0.2667 -0.2678 -0.2713 -0.2614 -0.2555 -0.2647 -0.2874
 -0.3219 -0.3662 -0.4177 -0.4730 -0.5290 -0.5851 -0.6413 -0.6978 -0.7548 -0.8127
 -0.8721
 -0.4235 -0.4242 -0.4280 -0.4284 -0.4214 -0.4061 -0.3834 -0.3556 -0.3265 -0.2993
 -0.2762 -0.2579 -0.2443 -0.2353 -0.2307 -0.2342 -0.2438 -0.2485 -0.2588 -0.2811
 -0.3147 -0.3584 -0.4101 -0.4669 -0.5255 -0.5839 -0.6420 -0.6997 -0.7573 -0.8152
 -0.8732
 -0.3406 -0.3337 -0.3376 -0.3432 -0.3463 -0.3439 -0.3351 -0.3203 -0.3012 -0.2802
 -0.2596 -0.2417 -0.2272 -0.2162 -0.2088 -0.2042 -0.2155 -0.2324 -0.2497
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  z   
 -1.3118 -1.1484 -1.0006 -0.8800 -0.7771 -0.6883 -0.6226 -0.5667 -0.5220 -0.4806
 -0.4418 -0.4062 -0.3736 -0.3438 -0.3163 -0.2566 -0.2126 -0.1880 -0.1855
 -1.2073 -1.1807 -1.0275 -0.8912 -0.7807 -0.6901 -0.6217 -0.5664 -0.5204 -0.4791
 -0.4421 -0.4085 -0.3779 -0.3499 -0.3239 -0.2681 -0.2279 -0.2074 -0.2084 -0.2292
 -1.0945 -1.1285 -1.0462 -0.9117 -0.7916 -0.6941 -0.6211 -0.5639 -0.5175 -0.4766
 -0.4411 -0.4093 -0.3805 -0.3541 -0.3297 -0.2771 -0.2398 -0.2220 -0.2250 -0.2462
 -0.2805
 -0.9924 -0.9340 -0.9577 -0.9172 -0.8078 -0.7051 -0.6233 -0.5618 -0.5139 -0.4732
 -0.4388 -0.4085 -0.3812 -0.3564 -0.3335 -0.2842 -0.2490 -0.2331 -0.2375 -0.2588
 -0.2929 -0.3345
 -0.9545 -0.8636 -0.7944 -0.7876 -0.7895 -0.7158 -0.6311 -0.5618 -0.5103 -0.4695
 -0.4350 -0.4059 -0.3800 -0.3566 -0.3352 -0.2892 -0.2561 -0.2415 -0.2467 -0.2682
 -0.3020 -0.3437 -0.3894 -0.4369
 -0.9111 -0.8345 -0.7495 -0.6788 -0.6448 -0.6482 -0.6274 -0.5665 -0.5087 -0.4649
 -0.4301 -0.4014 -0.3767 -0.3547 -0.3347 -0.2921 -0.2612 -0.2477 -0.2534 -0.2749
 -0.3084 -0.3502 -0.3965 -0.4451 -0.4954 -0.5480 -0.6035 -0.6623 -0.7228 -0.7815
 -0.8499 -0.7971 -0.7268 -0.6507 -0.5841 -0.5395 -0.5215 -0.5204 -0.5018 -0.4614
 -0.4244 -0.3953 -0.3715 -0.3507 -0.3321 -0.2927 -0.2643 -0.2519 -0.2577 -0.2792
 -0.3123 -0.3541 -0.4012 -0.4509 -0.5022 -0.5552 -0.6102 -0.6676 -0.7277 -0.7898
 -0.8504
 -0.7746 -0.7416 -0.6928 -0.6314 -0.5655 -0.5059 -0.4608 -0.4321 -0.4200 -0.4176
 -0.4081 -0.3861 -0.3638 -0.3444 -0.3271 -0.2911 -0.2652 -0.2541 -0.2599 -0.2810
 -0.3139 -0.3557 -0.4035 -0.4545 -0.5070 -0.5608 -0.6163 -0.6733 -0.7322 -0.7933
 -0.8568
 -0.6884 -0.6691 -0.6397 -0.5976 -0.5458 -0.4905 -0.4394 -0.3981 -0.3682 -0.3493
 -0.3408 -0.3393 -0.3364 -0.3288 -0.3174 -0.2864 -0.2634 -0.2537 -0.2600 -0.2808
 -0.3135 -0.3554 -0.4040 -0.4565 -0.5106 -0.5656 -0.6219 -0.6791 -0.7376 -0.7979
 -0.8603
 -0.6008 -0.5871 -0.5709 -0.5464 -0.5121 -0.4703 -0.4255 -0.3829 -0.3470 -0.3193
 -0.2995 -0.2873 -0.2820 -0.2817 -0.2828 -0.2768 -0.2594 -0.2512 -0.2577 -0.2779
 -0.3099 -0.3515 -0.4005 -0.4544 -0.5103 -0.5669 -0.6241 -0.6819 -0.7404 -0.8008
 -0.8610
 -0.5186 -0.5023 -0.4920 -0.4796 -0.4607 -0.4344 -0.4023 -0.3672 -0.3331 -0.3032
 -0.2791 -0.2612 -0.2487 -0.2416 -0.2393 -0.2454 -0.2490 -0.2460 -0.2531 -0.2729
 -0.3041 -0.3451 -0.3940 -0.4487 -0.5064 -0.5650 -0.6238 -0.6826 -0.7416 -0.8010
 -0.8605
 -0.4473 -0.4219 -0.4103 -0.4031 -0.3948 -0.3818 -0.3633 -0.3401 -0.3143 -0.2882
 -0.2644 -0.2447 -0.2296 -0.2188 -0.2121 -0.2107 -0.2223 -0.2347 -0.2460
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  z   
 -1.2524 -1.0919 -0.9553 -0.8448 -0.7450 -0.6615 -0.6013 -0.5495 -0.5033 -0.4631
 -0.4264 -0.3925 -0.3619 -0.3341 -0.3088 -0.2547 -0.2167 -0.1937 -0.1834
 -1.2457 -1.1387 -0.9837 -0.8545 -0.7506 -0.6634 -0.6006 -0.5472 -0.5011 -0.4613
 -0.4260 -0.3941 -0.3653 -0.3392 -0.3153 -0.2644 -0.2269 -0.2058 -0.2036 -0.2198
 -1.1777 -1.1526 -1.0172 -0.8758 -0.7602 -0.6677 -0.5978 -0.5437 -0.4984 -0.4584
 -0.4245 -0.3943 -0.3672 -0.3427 -0.3202 -0.2721 -0.2368 -0.2181 -0.2182 -0.2359
 -0.2674
 -1.0619 -1.0081 -1.0103 -0.9000 -0.7775 -0.6772 -0.5991 -0.5407 -0.4945 -0.4549
 -0.4218 -0.3931 -0.3675 -0.3444 -0.3234 -0.2782 -0.2447 -0.2275 -0.2291 -0.2475
 -0.2790 -0.3194
 -0.9661 -0.8754 -0.8434 -0.8627 -0.7925 -0.6912 -0.6057 -0.5400 -0.4908 -0.4514
 -0.4180 -0.3903 -0.3661 -0.3444 -0.3248 -0.2828 -0.2511 -0.2349 -0.2373 -0.2561
 -0.2874 -0.3278 -0.3734 -0.4212
 -0.9351 -0.8446 -0.7571 -0.7045 -0.7071 -0.6898 -0.6159 -0.5441 -0.4885 -0.4471
 -0.4134 -0.3860 -0.3628 -0.3424 -0.3241 -0.2855 -0.2561 -0.2407 -0.2434 -0.2623
 -0.2934 -0.3336 -0.3795 -0.4286 -0.4797 -0.5330 -0.5895 -0.6497 -0.7112 -0.7707
 -0.8903 -0.8190 -0.7359 -0.6553 -0.5961 -0.5718 -0.5715 -0.5444 -0.4908 -0.4435
 -0.4085 -0.3804 -0.3578 -0.3385 -0.3214 -0.2860 -0.2592 -0.2450 -0.2477 -0.2664
 -0.2973 -0.3371 -0.3834 -0.4333 -0.4851 -0.5390 -0.5953 -0.6541 -0.7154 -0.7784
 -0.8397
 -0.8277 -0.7780 -0.7132 -0.6401 -0.5687 -0.5111 -0.4744 -0.4592 -0.4546 -0.4365
 -0.4033 -0.3741 -0.3511 -0.3327 -0.3166 -0.2843 -0.2603 -0.2475 -0.2503 -0.2685
 -0.2990 -0.3388 -0.3851 -0.4358 -0.4887 -0.5432 -0.5996 -0.6577 -0.7181 -0.7811
 -0.8455
 -0.7525 -0.7190 -0.6735 -0.6173 -0.5550 -0.4938 -0.4418 -0.4034 -0.3794 -0.3682
 -0.3638 -0.3557 -0.3400 -0.3236 -0.3091 -0.2799 -0.2586 -0.2477 -0.2511 -0.2690
 -0.2993 -0.3390 -0.3856 -0.4371 -0.4912 -0.5467 -0.6038 -0.6624 -0.7224 -0.7842
 -0.8483
 -0.6732 -0.6493 -0.6174 -0.5784 -0.5317 -0.4805 -0.4297 -0.3846 -0.3491 -0.3237
 -0.3076 -0.2998 -0.2973 -0.2954 -0.2916 -0.2732 -0.2551 -0.2459 -0.2497 -0.2671
 -0.2968 -0.3361 -0.3828 -0.4349 -0.4900 -0.5468 -0.6046 -0.6635 -0.7235 -0.7848
 -0.8474
 -0.5994 -0.5754 -0.5499 -0.5232 -0.4916 -0.4544 -0.4137 -0.3727 -0.3354 -0.3044
 -0.2809 -0.2646 -0.2545 -0.2499 -0.2494 -0.2533 -0.2483 -0.2417 -0.2462 -0.2633
 -0.2921 -0.3309 -0.3773 -0.4297 -0.4858 -0.5440 -0.6031 -0.6628 -0.7232 -0.7842
 -0.8456
 -0.5311 -0.4972 -0.4766 -0.4569 -0.4362 -0.4119 -0.3838 -0.3529 -0.3214 -0.2916
 -0.2660 -0.2459 -0.2311 -0.2213 -0.1825 -0.2202 -0.2382 -0.2351 -0.2406
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  z   
 -1.1867 -1.0341 -0.9097 -0.8107 -0.7138 -0.6367 -0.5772 -0.5286 -0.4836 -0.4453
 -0.4098 -0.3773 -0.3480 -0.3219 -0.2985 -0.2492 -0.2142 -0.1921 -0.1811
 -1.2482 -1.0844 -0.9371 -0.8169 -0.7204 -0.6383 -0.5760 -0.5264 -0.4809 -0.4429
 -0.4088 -0.3782 -0.3507 -0.3262 -0.3039 -0.2574 -0.2232 -0.2028 -0.1984 -0.2105
 -1.1437 -1.1309 -0.9707 -0.8381 -0.7298 -0.6420 -0.5745 -0.5228 -0.4787 -0.4396
 -0.4069 -0.3779 -0.3521 -0.3290 -0.3080 -0.2641 -0.2315 -0.2129 -0.2108 -0.2252
 -0.2535
