 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -3.5126 -3.3812 -3.2628 -3.1569 -3.0623 -2.8665 -2.7119 -2.5872 -2.4875 -2.4097
 -2.3484
 -5.2894 -5.0006 -4.7668 -4.5943 -4.4941 -4.3761 -4.1669 -3.9552 -3.7754 -3.6210
 -3.4806 -3.3520 -3.2358 -3.1316 -3.0384 -2.8461 -2.6967 -2.5788 -2.4867 -2.4158
 -2.3599 -2.3137
 -5.2475 -4.9503 -4.6948 -4.4790 -4.3014 -4.1650 -4.0686 -3.9379 -3.7629 -3.6014
 -3.4629 -3.3369 -3.2225 -3.1196 -3.0272 -2.8361 -2.6889 -2.5748 -2.4877 -2.4221
 -2.3712 -2.3290 -2.2929 -2.2608
 -5.2400 -4.9346 -4.6676 -4.4370 -4.2373 -4.0661 -3.9219 -3.8052 -3.7092 -3.5903
 -3.4557 -3.3303 -3.2169 -3.1152 -3.0235 -2.8326 -2.6854 -2.5729 -2.4888 -2.4271
 -2.3810 -2.3435 -2.3110 -2.2826 -2.2565 -2.2345 -2.2185 -2.2104 -2.2104 -2.2166
 -5.2640 -4.9486 -4.6693 -4.4269 -4.2179 -4.0377 -3.8785 -3.7361 -3.6126 -3.5114
 -3.4212 -3.3230 -3.2170 -3.1153 -3.0236 -2.8327 -2.6843 -2.5716 -2.4888 -2.4298
 -2.3879 -2.3555 -2.3277 -2.3029 -2.2806 -2.2594 -2.2416 -2.2296 -2.2256 -2.2305
 -2.2426
 -5.3113 -4.9897 -4.6979 -4.4413 -4.2199 -4.0294 -3.8644 -3.7176 -3.5852 -3.4666
 -3.3639 -3.2775 -3.1967 -3.1126 -3.0263 -2.8348 -2.6848 -2.5705 -2.4873 -2.4295
 -2.3907 -2.3633 -2.3409 -2.3211 -2.3026 -2.2857 -2.2690 -2.2549 -2.2467 -2.2468
 -2.2567
 -5.3827 -5.0496 -4.7494 -4.4789 -4.2417 -4.0382 -3.8638 -3.7121 -3.5773 -3.4552
 -3.3452 -3.2482 -3.1635 -3.0878 -3.0152 -2.8361 -2.6848 -2.5682 -2.4837 -2.4256
 -2.3885 -2.3652 -2.3487 -2.3347 -2.3216 -2.3089 -2.2971 -2.2877 -2.2807 -2.2761
 -2.2735
 -5.4799 -5.1356 -4.8253 -4.5454 -4.2933 -4.0726 -3.8838 -3.7221 -3.5817 -3.4570
 -3.3448 -3.2438 -3.1536 -3.0731 -3.0004 -2.8364 -2.6876 -2.5684 -2.4810 -2.4210
 -2.3833 -2.3620 -2.3503 -2.3425 -2.3355 -2.3285 -2.3215 -2.3143 -2.3077 -2.3026
 -2.3006
 -5.5989 -5.2318 -4.9160 -4.6309 -4.3703 -4.1342 -3.9272 -3.7499 -3.5984 -3.4670
 -3.3511 -3.2475 -3.1544 -3.0707 -2.9949 -2.8320 -2.6905 -2.5700 -2.4792 -2.4163
 -2.3765 -2.3550 -2.3458 -2.3431 -2.3424 -2.3419 -2.3408 -2.3389 -2.3363 -2.3339
 -2.3323
 -5.7403 -5.3478 -5.0185 -4.7287 -4.4625 -4.2185 -3.9978 -3.8020 -3.6338 -3.4899
 -3.3658 -3.2571 -3.1606 -3.0741 -2.9959 -2.8294 -2.6909 -2.5727 -2.4791
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  V   
 -6.0857 -5.7721 -5.3878 -5.0490 -4.7434 -4.4780 -4.2651 -4.0811 -3.9129 -3.7545
 -3.6075 -3.4722 -3.3496 -3.2395 -3.1403 -2.9310 -2.7603 -2.6153 -2.4927
 -5.6638 -5.5774 -5.3118 -4.9805 -4.6792 -4.4077 -4.1846 -3.9967 -3.8287 -3.6730
 -3.5287 -3.3965 -3.2770 -3.1701 -3.0746 -2.8771 -2.7203 -2.5904 -2.4828 -2.3964
 -5.4004 -5.1893 -5.1140 -4.9363 -4.6507 -4.3815 -4.1438 -3.9476 -3.7787 -3.6253
 -3.4840 -3.3542 -3.2368 -3.1318 -3.0381 -2.8461 -2.6967 -2.5758 -2.4778 -2.3997
 -2.3382
 -5.3238 -5.0291 -4.8157 -4.7010 -4.5994 -4.3755 -4.1361 -3.9259 -3.7514 -3.5986
 -3.4599 -3.3324 -3.2166 -3.1127 -3.0199 -2.8300 -2.6840 -2.5683 -2.4765 -2.4046
 -2.3482 -2.3021
 -5.3045 -4.9866 -4.7226 -4.5145 -4.3624 -4.2647 -4.1295 -3.9303 -3.7429 -3.5854
 -3.4482 -3.3228 -3.2084 -3.1053 -3.0129 -2.8232 -2.6782 -2.5651 -2.4772 -2.4098
 -2.3579 -2.3158 -2.2800 -2.2485
 -5.3246 -4.9886 -4.7034 -4.4640 -4.2667 -4.1036 -3.9762 -3.8758 -3.7454 -3.5862
 -3.4443 -3.3202 -3.2070 -3.1046 -3.0125 -2.8222 -2.6764 -2.5640 -2.4784 -2.4142
 -2.3663 -2.3285 -2.2965 -2.2685 -2.2443 -2.2243 -2.2092 -2.2008 -2.2005 -2.2081
 -5.3812 -5.0260 -4.7201 -4.4613 -4.2435 -4.0592 -3.9005 -3.7631 -3.6510 -3.5536
 -3.4418 -3.3228 -3.2100 -3.1078 -3.0159 -2.8247 -2.6771 -2.5639 -2.4790 -2.4169
 -2.3723 -2.3389 -2.3114 -2.2872 -2.2657 -2.2470 -2.2315 -2.2205 -2.2159 -2.2214
 -2.2345
 -5.4639 -5.0969 -4.7697 -4.4894 -4.2530 -4.0539 -3.8836 -3.7340 -3.6009 -3.4844
 -3.3862 -3.2987 -3.2080 -3.1131 -3.0216 -2.8293 -2.6796 -2.5642 -2.4787 -2.4173
 -2.3749 -2.3455 -2.3231 -2.3037 -2.2862 -2.2704 -2.2551 -2.2427 -2.2359 -2.2370
 -2.2474
 -5.5698 -5.1894 -4.8477 -4.5456 -4.2876 -4.0708 -3.8877 -3.7302 -3.5910 -3.4660
 -3.3545 -3.2576 -3.1743 -3.0971 -3.0197 -2.8331 -2.6817 -2.5637 -2.4764 -2.4147
 -2.3734 -2.3472 -2.3297 -2.3160 -2.3037 -2.2921 -2.2816 -2.2722 -2.2649 -2.2620
 -2.2637
 -5.6974 -5.3047 -4.9544 -4.6371 -4.3566 -4.1174 -3.9164 -3.7463 -3.5997 -3.4701
 -3.3539 -3.2500 -3.1584 -3.0777 -3.0052 -2.8378 -2.6864 -2.5657 -2.4754 -2.4116
 -2.3697 -2.3447 -2.3311 -2.3230 -2.3166 -2.3105 -2.3047 -2.2988 -2.2937 -2.2902
 -2.2896
 -5.8447 -5.4335 -5.0761 -4.7514 -4.4569 -4.1956 -3.9718 -3.7833 -3.6236 -3.4858
 -3.3646 -3.2567 -3.1603 -3.0746 -2.9979 -2.8353 -2.6918 -2.5689 -2.4751 -2.4083
 -2.3644 -2.3390 -2.3272 -2.3235 -2.3229 -2.3230 -2.3229 -2.3221 -2.3210 -2.3200
 -2.3195
 -6.0137 -5.5747 -5.2069 -4.8783 -4.5776 -4.3031 -4.0586 -3.8474 -3.6686 -3.5167
 -3.3861 -3.2720 -3.1711 -3.0812 -3.0007 -2.8328 -2.6943 -2.5737 -2.4765
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  V   
 -6.0939 -5.6759 -5.2903 -4.9667 -4.6832 -4.4251 -4.2118 -4.0253 -3.8603 -3.7065
 -3.5632 -3.4308 -3.3102 -3.2016 -3.1040 -2.8999 -2.7367 -2.5992 -2.4822
 -5.8057 -5.6053 -5.2536 -4.9152 -4.6245 -4.3645 -4.1450 -3.9576 -3.7902 -3.6383
 -3.4970 -3.3669 -3.2486 -3.1425 -3.0478 -2.8533 -2.7013 -2.5767 -2.4726 -2.3869
 -5.4374 -5.3233 -5.2019 -4.9074 -4.6054 -4.3416 -4.1120 -3.9189 -3.7507 -3.5997
 -3.4607 -3.3325 -3.2159 -3.1111 -3.0176 -2.8272 -2.6810 -2.5635 -2.4672 -2.3890
 -2.3267
 -5.3443 -5.0624 -4.9108 -4.8335 -4.6124 -4.3451 -4.1072 -3.9028 -3.7303 -3.5794
 -3.4424 -3.3161 -3.2007 -3.0967 -3.0037 -2.8142 -2.6704 -2.5568 -2.4656 -2.3927
 -2.3353 -2.2890
 -5.3420 -5.0091 -4.7504 -4.5721 -4.4735 -4.3443 -4.1228 -3.9088 -3.7256 -3.5709
 -3.4348 -3.3102 -3.1960 -3.0926 -2.9997 -2.8097 -2.6661 -2.5541 -2.4660 -2.3970
 -2.3435 -2.3010 -2.2654 -2.2348
 -5.3876 -5.0234 -4.7252 -4.4863 -4.3015 -4.1654 -4.0645 -3.9220 -3.7393 -3.5734
 -3.4340 -3.3106 -3.1975 -3.0946 -3.0018 -2.8106 -2.6656 -2.5537 -2.4673 -2.4009
 -2.3507 -2.3120 -2.2800 -2.2524 -2.2281 -2.2084 -2.1951 -2.1893 -2.1910 -2.1980
 -5.4773 -5.0820 -4.7522 -4.4817 -4.2615 -4.0819 -3.9325 -3.8121 -3.7089 -3.5835
 -3.4406 -3.3149 -3.2026 -3.1002 -3.0074 -2.8149 -2.6678 -2.5545 -2.4683 -2.4036
 -2.3559 -2.3208 -2.2930 -2.2692 -2.2485 -2.2308 -2.2161 -2.2065 -2.2043 -2.2105
 -2.2229
 -5.5981 -5.1820 -4.8206 -4.5194 -4.2724 -4.0692 -3.8994 -3.7522 -3.6243 -3.5162
 -3.4193 -3.3158 -3.2099 -3.1080 -3.0152 -2.8216 -2.6719 -2.5563 -2.4690 -2.4046
 -2.3587 -2.3266 -2.3031 -2.2839 -2.2671 -2.2523 -2.2400 -2.2302 -2.2245 -2.2252
 -2.2361
 -5.7432 -5.3074 -4.9246 -4.5926 -4.3164 -4.0895 -3.9017 -3.7424 -3.6028 -3.4785
 -3.3692 -3.2745 -3.1901 -3.1062 -3.0208 -2.8277 -2.6761 -2.5576 -2.4682 -2.4032
 -2.3580 -2.3282 -2.3088 -2.2947 -2.2829 -2.2723 -2.2630 -2.2552 -2.2496 -2.2475
 -2.2517
 -5.9064 -5.4604 -5.0628 -4.7081 -4.4016 -4.1459 -3.9354 -3.7599 -3.6105 -3.4791
 -3.3618 -3.2572 -3.1656 -3.0855 -3.0118 -2.8359 -2.6831 -2.5616 -2.4689 -2.4018
