 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  g   
 -6.9193 -6.3671 -5.8789 -5.5241 -5.2024 -4.8848 -4.5676 -4.2553 -3.9587 -3.6933
 -3.4639 -3.2675 -3.0970 -2.9456 -2.8092 -2.5284 -2.3224 -2.1707 -2.0534 -1.9587
 -1.8811 -1.8159 -1.7596 -1.7101
 -6.6597 -6.0129 -5.5249 -5.1277 -4.8017 -4.5294 -4.2977 -4.0797 -3.8567 -3.6355
 -3.4308 -3.2486 -3.0875 -2.9427 -2.8098 -2.5292 -2.3198 -2.1672 -2.0524 -1.9621
 -1.8896 -1.8296 -1.7781 -1.7324 -1.6916 -1.6549 -1.6235 -1.5985 -1.5813 -1.5742
 -6.5417 -5.9074 -5.3711 -4.9324 -4.5787 -4.2902 -4.0494 -3.8435 -3.6686 -3.5188
 -3.3752 -3.2264 -3.0790 -2.9413 -2.8135 -2.5354 -2.3222 -2.1666 -2.0523 -1.9648
 -1.8964 -1.8414 -1.7951 -1.7542 -1.7171 -1.6835 -1.6537 -1.6280 -1.6079 -1.5966
 -1.5958
 -6.5687 -5.9083 -5.3368 -4.8643 -4.4835 -4.1786 -3.9308 -3.7241 -3.5476 -3.3962
 -3.2681 -3.1581 -3.0507 -2.9355 -2.8170 -2.5446 -2.3281 -2.1683 -2.0524 -1.9662
 -1.9008 -1.8500 -1.8090 -1.7737 -1.7416 -1.7119 -1.6848 -1.6607 -1.6402 -1.6252
 -1.6198
 -6.6083 -5.9457 -5.3595 -4.8641 -4.4609 -4.1387 -3.8802 -3.6688 -3.4917 -3.3401
 -3.2079 -3.0922 -2.9906 -2.8976 -2.8031 -2.5529 -2.3349 -2.1705 -2.0514 -1.9650
 -1.9013 -1.8540 -1.8180 -1.7885 -1.7623 -1.7378 -1.7150 -1.6938 -1.6749 -1.6594
 -1.6493
 -6.6342 -6.0000 -5.4161 -4.9122 -4.4932 -4.1541 -3.8823 -3.6609 -3.4778 -3.3224
 -3.1875 -3.0682 -2.9610 -2.8638 -2.7746 -2.5579 -2.3464 -2.1771 -2.0533 -1.9643
 -1.9005 -1.8549 -1.8226 -1.7985 -1.7785 -1.7602 -1.7429 -1.7262 -1.7106 -1.6968
 -1.6858
 -6.6315 -6.0342 -5.4792 -4.9812 -4.5570 -4.2055 -3.9192 -3.6853 -3.4920 -3.3290
 -3.1882 -3.0644 -2.9534 -2.8523 -2.7590 -2.5519 -2.3575 -2.1863 -2.0570 -1.9640
 -1.8983 -1.8528 -1.8224 -1.8023 -1.7880 -1.7761 -1.7652 -1.7544 -1.7436 -1.7335
 -1.7246
 -6.6130 -6.0577 -5.5356 -5.0593 -4.6416 -4.2844 -3.9855 -3.7372 -3.5305 -3.3563
 -3.2067 -3.0759 -2.9595 -2.8543 -2.7563 -2.5349 -2.3682 -2.1981 -2.0625
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  g   
 -8.6178 -8.2162 -7.8472 -7.4989 -7.1618 -6.7404 -6.1348 -5.3472 -4.6465 -4.1205
 -3.7484 -3.4760 -3.2653 -3.0926 -2.9457 -2.6539 -2.4333 -2.2527 -2.0967
 -8.2330 -7.7829 -7.3766 -7.0041 -6.6455 -6.2461 -5.7072 -5.0620 -4.4709 -4.0028
 -3.6537 -3.3926 -3.1881 -3.0198 -2.8755 -2.5900 -2.3788 -2.2125 -2.0732 -1.9541
 -7.9685 -7.4752 -7.0282 -6.6228 -6.2463 -5.8654 -5.4058 -4.8697 -4.3628 -3.9389
 -3.6073 -3.3516 -3.1495 -2.9824 -2.8389 -2.5542 -2.3465 -2.1879 -2.0587 -1.9497
 -1.8579
 -7.7238 -7.2250 -6.7594 -6.3298 -5.9332 -5.5577 -5.1634 -4.7156 -4.2786 -3.8968
 -3.5840 -3.3346 -3.1338 -2.9672 -2.8238 -2.5375 -2.3292 -2.1739 -2.0509 -1.9491
 -1.8640 -1.7923
 -7.2573 -6.8181 -6.4261 -6.0480 -5.6738 -5.3074 -4.9499 -4.5744 -4.1992 -3.8586
 -3.5681 -3.3282 -3.1308 -2.9650 -2.8218 -2.5335 -2.3219 -2.1668 -2.0475 -1.9508
 -1.8712 -1.8046 -1.7475 -1.6977
 -6.9124 -6.3831 -5.9465 -5.5865 -5.2795 -5.0002 -4.7189 -4.4179 -4.1076 -3.8123
 -3.5490 -3.3233 -3.1322 -2.9693 -2.8270 -2.5374 -2.3217 -2.1643 -2.0465 -1.9535
 -1.8783 -1.8164 -1.7638 -1.7179 -1.6773 -1.6417 -1.6113 -1.5868 -1.5705 -1.5641
 -6.7889 -6.1900 -5.6822 -5.2633 -4.9192 -4.6285 -4.3745 -4.1448 -3.9292 -3.7186
 -3.5094 -3.3107 -3.1323 -2.9749 -2.8355 -2.5462 -2.3264 -2.1651 -2.0468 -1.9560
 -1.8843 -1.8266 -1.7788 -1.7375 -1.7007 -1.6678 -1.6390 -1.6146 -1.5957 -1.5853
 -1.5849
 -6.8004 -6.1550 -5.5929 -5.1218 -4.7370 -4.4220 -4.1575 -3.9274 -3.7228 -3.5446
 -3.3924 -3.2542 -3.1158 -2.9765 -2.8440 -2.5581 -2.3348 -2.1687 -2.0477 -1.9576
 -1.8884 -1.8344 -1.7912 -1.7550 -1.7230 -1.6941 -1.6682 -1.6453 -1.6259 -1.6127
 -1.6081
 -6.8677 -6.1978 -5.6012 -5.0902 -4.6681 -4.3255 -4.0466 -3.8140 -3.6147 -3.4407
 -3.2895 -3.1602 -3.0489 -2.9449 -2.8376 -2.5692 -2.3440 -2.1730 -2.0483 -1.9572
 -1.8894 -1.8382 -1.7993 -1.7683 -1.7419 -1.7180 -1.6963 -1.6765 -1.6591 -1.6452
 -1.6367
 -6.9358 -6.2797 -5.6681 -5.1329 -4.6812 -4.3119 -4.0136 -3.7706 -3.5686 -3.3966
 -3.2472 -3.1162 -3.0012 -2.8996 -2.8072 -2.5786 -2.3580 -2.1821 -2.0521 -1.9580
 -1.8896 -1.8399 -1.8040 -1.7776 -1.7567 -1.7386 -1.7222 -1.7069 -1.6928 -1.6807
 -1.6715
 -6.9733 -6.3437 -5.7521 -5.2090 -4.7419 -4.3519 -4.0333 -3.7749 -3.5631 -3.3858
 -3.2340 -3.1015 -2.9840 -2.8787 -2.7833 -2.5733 -2.3718 -2.1936 -2.0580 -1.9594
 -1.8888 -1.8390 -1.8046 -1.7816 -1.7657 -1.7535 -1.7431 -1.7333 -1.7240 -1.7155
 -1.7085
 -6.9844 -6.3879 -5.8218 -5.2995 -4.8309 -4.4301 -4.0950 -3.8195 -3.5927 -3.4042
 -3.2444 -3.1064 -2.9848 -2.8760 -2.7659 -2.5533 -2.3854 -2.2075 -2.0660
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  g   
 -8.8284 -8.4656 -8.1384 -7.8391 -7.5680 -7.1923 -6.5695 -5.6843 -4.8584 -4.2347
 -3.7999 -3.4926 -3.2639 -3.0829 -2.9315 -2.6374 -2.4190 -2.2430 -2.0921
 -8.4531 -8.0446 -7.6830 -7.3608 -7.0557 -6.7002 -6.1554 -5.4214 -4.7072 -4.1376
 -3.7238 -3.4249 -3.2004 -3.0222 -2.8731 -2.5828 -2.3707 -2.2057 -2.0687 -1.9504
 -8.1988 -7.7450 -7.3405 -6.9817 -6.6550 -6.3138 -5.8509 -5.2412 -4.6231 -4.0987
 -3.6974 -3.3995 -3.1737 -2.9946 -2.8451 -2.5536 -2.3427 -2.1834 -2.0545 -1.9454
 -1.8527
 -8.0039 -7.5213 -7.0814 -6.6856 -6.3278 -5.9862 -5.5945 -5.0891 -4.5582 -4.0812
 -3.6954 -3.3982 -3.1693 -2.9875 -2.8365 -2.5418 -2.3284 -2.1708 -2.0469 -1.9442
 -1.8576 -1.7844
 -7.6946 -7.2605 -6.8408 -6.4421 -6.0666 -5.7118 -5.3579 -4.9420 -4.4895 -4.0636
 -3.7004 -3.4084 -3.1777 -2.9930 -2.8398 -2.5414 -2.3238 -2.1649 -2.0437 -1.9454
 -1.8638 -1.7953 -1.7368 -1.6857
 -7.2165 -6.7690 -6.4018 -6.0837 -5.7780 -5.4626 -5.1337 -4.7850 -4.4056 -4.0329
 -3.6997 -3.4197 -3.1913 -3.0052 -2.8503 -2.5484 -2.3259 -2.1637 -2.0430 -1.9478
 -1.8701 -1.8059 -1.7515 -1.7046 -1.6633 -1.6276 -1.5976 -1.5736 -1.5577 -1.5518
 -6.9909 -6.4507 -6.0003 -5.6330 -5.3274 -5.0600 -4.8102 -4.5514 -4.2669 -3.9682
 -3.6806 -3.4235 -3.2039 -3.0199 -2.8643 -2.5598 -2.3332 -2.1661 -2.0439 -1.9504
