 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1000W
 -2.0333 -2.0871 -2.1462 -2.2148 -2.2880 -2.4724 -2.6518 -2.8244 -2.9918 -3.1525
 -3.3056
 -1.1271 -1.2382 -1.3486 -1.4577 -1.5650 -1.6692 -1.7661 -1.8537 -1.9324 -2.0034
 -2.0654 -2.1182 -2.1700 -2.2328 -2.3043 -2.4898 -2.6701 -2.8422 -3.0082 -3.1685
 -3.3217 -3.4678
 -1.1177 -1.2252 -1.3310 -1.4354 -1.5383 -1.6394 -1.7384 -1.8344 -1.9259 -2.0088
 -2.0806 -2.1416 -2.1933 -2.2488 -2.3162 -2.5009 -2.6819 -2.8540 -3.0192 -3.1789
 -3.3322 -3.4786 -3.6181 -3.7518
 -1.1141 -1.2194 -1.3221 -1.4227 -1.5217 -1.6189 -1.7135 -1.8049 -1.8936 -1.9810
 -2.0651 -2.1403 -2.2048 -2.2634 -2.3270 -2.5080 -2.6893 -2.8618 -3.0266 -3.1857
 -3.3391 -3.4857 -3.6255 -3.7592 -3.8874 -4.0112 -4.1310 -4.2470 -4.3594 -4.4688
 -1.1142 -1.2177 -1.3183 -1.4163 -1.5120 -1.6059 -1.6977 -1.7867 -1.8723 -1.9546
 -2.0354 -2.1151 -2.1894 -2.2597 -2.3310 -2.5128 -2.6938 -2.8666 -3.0313 -3.1901
 -3.3434 -3.4905 -3.6306 -3.7645 -3.8926 -4.0158 -4.1347 -4.2500 -4.3617 -4.4697
 -4.5758
 -1.1194 -1.2195 -1.3177 -1.4135 -1.5069 -1.5980 -1.6874 -1.7745 -1.8591 -1.9404
 -2.0185 -2.0946 -2.1684 -2.2405 -2.3164 -2.5140 -2.6962 -2.8693 -3.0342 -3.1926
 -3.3459 -3.4933 -3.6340 -3.7683 -3.8966 -4.0196 -4.1381 -4.2527 -4.3636 -4.4710
 -4.5752
 -1.1350 -1.2286 -1.3226 -1.4153 -1.5062 -1.5951 -1.6822 -1.7676 -1.8512 -1.9325
 -2.0108 -2.0862 -2.1588 -2.2291 -2.3023 -2.5034 -2.6984 -2.8727 -3.0380 -3.1963
 -3.3495 -3.4974 -3.6387 -3.7737 -3.9025 -4.0258 -4.1444 -4.2585 -4.3690 -4.4760
 -4.5795
 -1.1612 -1.2468 -1.3340 -1.4214 -1.5083 -1.5943 -1.6789 -1.7623 -1.8445 -1.9252
 -2.0038 -2.0800 -2.1534 -2.2242 -2.2947 -2.4873 -2.6869 -2.8703 -3.0369 -3.1954
 -3.3485 -3.4965 -3.6385 -3.7741 -3.9035 -4.0273 -4.1462 -4.2604 -4.3706 -4.4771
 -4.5824
 -1.1996 -1.2774 -1.3569 -1.4370 -1.5180 -1.5993 -1.6806 -1.7614 -1.8415 -1.9209
 -1.9991 -2.0756 -2.1501 -2.2220 -2.2931 -2.4770 -2.6716 -2.8607 -3.0331 -3.1928
 -3.3461 -3.4943 -3.6369 -3.7732 -3.9034 -4.0280 -4.1475 -4.2621 -4.3725 -4.4790
 -4.5819
 -1.2474 -1.3194 -1.3917 -1.4645 -1.5384 -1.6133 -1.6895 -1.7665 -1.8438 -1.9210
 -1.9977 -2.0738 -2.1525 -2.2251 -2.2975 -2.4725 -2.6525 -2.8439 -3.0266
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1264 -1.2194 -1.3041 -1.3812 -1.4537 -1.5271 -1.6063 -1.6924 -1.7765 -1.8567
 -1.9331 -2.0079 -2.0818 -2.1555 -2.2281 -2.4051 -2.5782 -2.7523 -2.9226
 -1.1660 -1.2672 -1.3601 -1.4446 -1.5219 -1.5957 -1.6736 -1.7549 -1.8351 -1.9115
 -1.9834 -2.0535 -2.1247 -2.1973 -2.2700 -2.4480 -2.6231 -2.7954 -2.9624 -3.1234
 -1.1753 -1.2853 -1.3866 -1.4790 -1.5628 -1.6398 -1.7161 -1.7949 -1.8732 -1.9480
 -2.0179 -2.0841 -2.1513 -2.2218 -2.2942 -2.4738 -2.6514 -2.8232 -2.9884 -3.1480
 -3.3010
 -1.1497 -1.2668 -1.3800 -1.4857 -1.5817 -1.6673 -1.7455 -1.8233 -1.9006 -1.9750
 -2.0445 -2.1087 -2.1715 -2.2384 -2.3092 -2.4903 -2.6693 -2.8412 -3.0057 -3.1641
 -3.3169 -3.4630
 -1.1279 -1.2407 -1.3506 -1.4579 -1.5625 -1.6634 -1.7556 -1.8389 -1.9182 -1.9942
 -2.0654 -2.1303 -2.1903 -2.2523 -2.3200 -2.5008 -2.6807 -2.8528 -3.0171 -3.1748
 -3.3271 -3.4734 -3.6131 -3.7471
 -1.1182 -1.2247 -1.3294 -1.4331 -1.5351 -1.6347 -1.7312 -1.8240 -1.9126 -1.9959
 -2.0735 -2.1442 -2.2077 -2.2669 -2.3299 -2.5076 -2.6879 -2.8603 -3.0246 -3.1820
 -3.3338 -3.4801 -3.6200 -3.7540 -3.8825 -4.0067 -4.1271 -4.2441 -4.3575 -4.4667
 -1.1159 -1.2198 -1.3211 -1.4208 -1.5195 -1.6167 -1.7113 -1.8021 -1.8889 -1.9733
 -2.0561 -2.1358 -2.2097 -2.2767 -2.3402 -2.5124 -2.6924 -2.8652 -3.0297 -3.1869
 -3.3383 -3.4844 -3.6246 -3.7587 -3.8872 -4.0108 -4.1303 -4.2464 -4.3591 -4.4677
 -4.5731
 -1.1162 -1.2193 -1.3188 -1.4159 -1.5114 -1.6055 -1.6979 -1.7876 -1.8736 -1.9555
 -2.0342 -2.1117 -2.1889 -2.2646 -2.3383 -2.5164 -2.6952 -2.8682 -3.0329 -3.1902
 -3.3412 -3.4871 -3.6274 -3.7618 -3.8905 -4.0140 -4.1332 -4.2484 -4.3602 -4.4685
 -4.5728
 -1.1190 -1.2210 -1.3197 -1.4156 -1.5091 -1.6008 -1.6909 -1.7789 -1.8644 -1.9463
 -2.0243 -2.0989 -2.1718 -2.2452 -2.3209 -2.5164 -2.6992 -2.8725 -3.0375 -3.1949
 -3.3457 -3.4913 -3.6318 -3.7667 -3.8958 -4.0196 -4.1388 -4.2536 -4.3649 -4.4727
 -4.5770
 -1.1237 -1.2231 -1.3199 -1.4148 -1.5072 -1.5972 -1.6852 -1.7713 -1.8556 -1.9375
 -2.0162 -2.0915 -2.1636 -2.2340 -2.3056 -2.4997 -2.6968 -2.8726 -3.0379 -3.1953
 -3.3458 -3.4910 -3.6315 -3.7667 -3.8964 -4.0206 -4.1401 -4.2549 -4.3659 -4.4733
 -4.5772
 -1.1359 -1.2299 -1.3232 -1.4157 -1.5064 -1.5952 -1.6819 -1.7665 -1.8494 -1.9305
 -2.0094 -2.0858 -2.1592 -2.2300 -2.2998 -2.4843 -2.6820 -2.8701 -3.0374 -3.1949
 -3.3453 -3.4901 -3.6303 -3.7658 -3.8961 -4.0210 -4.1410 -4.2562 -4.3672 -4.4745
 -4.5782
 -1.1589 -1.2451 -1.3330 -1.4212 -1.5090 -1.5956 -1.6807 -1.7639 -1.8455 -1.9255
 -2.0039 -2.0807 -2.1553 -2.2278 -2.3035 -2.4702 -2.6548 -2.8650 -3.0360
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1137 -1.2047 -1.2875 -1.3635 -1.4361 -1.5102 -1.5902 -1.6772 -1.7639 -1.8487
 -1.9304 -2.0093 -2.0856 -2.1595 -2.2316 -2.4061 -2.5762 -2.7485 -2.9170
 -1.1592 -1.2583 -1.3491 -1.4315 -1.5072 -1.5796 -1.6566 -1.7378 -1.8197 -1.9001
 -1.9778 -2.0533 -2.1276 -2.2011 -2.2735 -2.4492 -2.6213 -2.7923 -2.9593 -3.1199
 -1.1783 -1.2842 -1.3816 -1.4705 -1.5508 -1.6244 -1.6985 -1.7766 -1.8556 -1.9335
 -2.0086 -2.0812 -2.1529 -2.2251 -2.2974 -2.4745 -2.6498 -2.8215 -2.9865 -3.1452
 -3.2982
 -1.1672 -1.2834 -1.3909 -1.4889 -1.5769 -1.6554 -1.7288 -1.8047 -1.8818 -1.9580
 -2.0316 -2.1020 -2.1708 -2.2407 -2.3121 -2.4906 -2.6677 -2.8396 -3.0042 -3.1619
 -3.3142 -3.4604
 -1.1464 -1.2572 -1.3646 -1.4742 -1.5771 -1.6695 -1.7496 -1.8257 -1.9021 -1.9776
 -2.0507 -2.1200 -2.1864 -2.2530 -2.3222 -2.5010 -2.6791 -2.8512 -3.0157 -3.1730
 -3.3247 -3.4707 -3.6105 -3.7444
 -1.1270 -1.2295 -1.3365 -1.4425 -1.5464 -1.6465 -1.7409 -1.8281 -1.9104 -1.9890
 -2.0643 -2.1354 -2.2016 -2.2653 -2.3311 -2.5078 -2.6865 -2.8588 -3.0234 -3.1806
 -3.3316 -3.4773 -3.6171 -3.7510 -3.8797 -4.0041 -4.1248 -4.2421 -4.3560 -4.4658
 -1.1160 -1.2208 -1.3231 -1.4242 -1.5243 -1.6225 -1.7169 -1.8064 -1.8926 -1.9772
 -2.0596 -2.1377 -2.2103 -2.2771 -2.3410 -2.5125 -2.6912 -2.8638 -3.0285 -3.1857
 -3.3364 -3.4816 -3.6214 -3.7554 -3.8840 -4.0078 -4.1278 -4.2441 -4.3572 -4.4666
 -4.5720
 -1.1166 -1.2197 -1.3192 -1.4166 -1.5129 -1.6081 -1.7013 -1.7909 -1.8763 -1.9580
 -2.0379 -2.1179 -2.1972 -2.2735 -2.3453 -2.5167 -2.6942 -2.8670 -3.0318 -3.1891
 -3.3396 -3.4844 -3.6240 -3.7582 -3.8869 -4.0107 -4.1302 -4.2458 -4.3580 -4.4669
 -4.5716
 -1.1194 -1.2221 -1.3206 -1.4161 -1.5097 -1.6021 -1.6930 -1.7818 -1.8675 -1.9492
 -2.0270 -2.1024 -2.1776 -2.2542 -2.3316 -2.5209 -2.6985 -2.8716 -3.0367 -3.1940
 -3.3443 -3.4888 -3.6283 -3.7628 -3.8919 -4.0158 -4.1353 -4.2506 -4.3623 -4.4707
 -4.5754
 -1.1202 -1.2228 -1.3207 -1.4155 -1.5078 -1.5982 -1.6871 -1.7740 -1.8590 -1.9412
 -2.0197 -2.0946 -2.1670 -2.2389 -2.3127 -2.5075 -2.6987 -2.8720 -3.0373 -3.1946
 -3.3447 -3.4889 -3.6281 -3.7627 -3.8922 -4.0166 -4.1363 -4.2515 -4.3628 -4.4707
 -4.5751
 -1.1236 -1.2238 -1.3210 -1.4151 -1.5067 -1.5962 -1.6836 -1.7690 -1.8527 -1.9344
 -2.0135 -2.0897 -2.1626 -2.2334 -2.3038 -2.4900 -2.6873 -2.8715 -3.0372 -3.1946
 -3.3446 -3.4885 -3.6273 -3.7619 -3.8919 -4.0169 -4.1370 -4.2525 -4.3639 -4.4715
 -4.5757
 -1.1343 -1.2292 -1.3233 -1.4156 -1.5063 -1.5948 -1.6814 -1.7657 -1.8483 -1.9290
 -2.0080 -2.0848 -2.1591 -2.2310 -2.3049 -2.4684 -2.6643 -2.8701 -3.0364
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =F1000W
 -1.1002 -1.1889 -1.2700 -1.3454 -1.4186 -1.4938 -1.5748 -1.6626 -1.7520 -1.8406
