 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -0.5649 -0.5098 -0.4646 -0.4242 -0.3825 -0.2692 -0.1668 -0.0890 -0.0336  0.0031
  0.0245  0.0342  0.0371  0.0368  0.0353  0.0333  0.0305  0.0271  0.0225  0.0148
  0.0039
 -1.4460 -1.3431 -1.2470 -1.1518 -1.0561 -0.9608 -0.8681 -0.7795 -0.6966 -0.6200
 -0.5504 -0.4882 -0.4341 -0.3878 -0.3473 -0.2544 -0.1630 -0.0861 -0.0302  0.0071
  0.0284  0.0368  0.0364  0.0315  0.0250  0.0183  0.0115  0.0048 -0.0021 -0.0101
 -0.0200
 -1.4213 -1.3081 -1.2114 -1.1200 -1.0305 -0.9420 -0.8550 -0.7708 -0.6905 -0.6147
 -0.5443 -0.4800 -0.4220 -0.3708 -0.3257 -0.2331 -0.1529 -0.0814 -0.0256  0.0125
  0.0346  0.0429  0.0406  0.0319  0.0205  0.0086 -0.0032 -0.0143 -0.0249 -0.0354
 -0.0462
 -1.4186 -1.2871 -1.1827 -1.0907 -1.0039 -0.9200 -0.8383 -0.7588 -0.6823 -0.6093
 -0.5403 -0.4760 -0.4168 -0.3633 -0.3155 -0.2173 -0.1401 -0.0739 -0.0200
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  G   
 -2.2724 -2.0568 -1.8334 -1.6336 -1.4521 -1.2858 -1.1557 -1.0470 -0.9516 -0.8585
 -0.7708 -0.6876 -0.6090 -0.5353 -0.4664 -0.3143 -0.1909 -0.0929 -0.0167
 -2.0996 -2.0248 -1.8308 -1.6241 -1.4388 -1.2696 -1.1308 -1.0177 -0.9180 -0.8257
 -0.7391 -0.6572 -0.5800 -0.5077 -0.4401 -0.2938 -0.1774 -0.0870 -0.0182  0.0336
 -1.8525 -1.8252 -1.7902 -1.6260 -1.4389 -1.2691 -1.1203 -0.9991 -0.8964 -0.8039
 -0.7186 -0.6383 -0.5626 -0.4916 -0.4254 -0.2825 -0.1702 -0.0843 -0.0197  0.0286
  0.0646
 -1.7740 -1.6336 -1.5684 -1.5563 -1.4405 -1.2766 -1.1236 -0.9914 -0.8829 -0.7893
 -0.7049 -0.6261 -0.5519 -0.4822 -0.4172 -0.2768 -0.1670 -0.0838 -0.0221  0.0234
  0.0568  0.0820
 -1.7357 -1.5791 -1.4420 -1.3496 -1.3154 -1.2617 -1.1323 -0.9963 -0.8780 -0.7802
 -0.6952 -0.6175 -0.5448 -0.4765 -0.4127 -0.2743 -0.1661 -0.0846 -0.0248  0.0184
  0.0494  0.0722  0.0897  0.1032
 -1.7024 -1.5527 -1.4064 -1.2756 -1.1723 -1.1039 -1.0642 -0.9936 -0.8834 -0.7774
 -0.6884 -0.6110 -0.5395 -0.4725 -0.4097 -0.2733 -0.1662 -0.0857 -0.0273  0.0143
  0.0431  0.0632  0.0780  0.0893  0.0978  0.1030  0.1043  0.1013  0.0936  0.0806
 -1.6683 -1.5294 -1.3889 -1.2536 -1.1311 -1.0271 -0.9433 -0.8822 -0.8357 -0.7711
 -0.6853 -0.6058 -0.5350 -0.4691 -0.4074 -0.2728 -0.1665 -0.0865 -0.0287  0.0116
  0.0386  0.0559  0.0675  0.0758  0.0816  0.0850  0.0863  0.0845  0.0781  0.0663
  0.0486
 -1.6325 -1.5034 -1.3725 -1.2425 -1.1186 -1.0050 -0.9053 -0.8191 -0.7473 -0.6908
 -0.6435 -0.5892 -0.5278 -0.4650 -0.4049 -0.2722 -0.1665 -0.0866 -0.0290  0.0108
  0.0363  0.0512  0.0593  0.0639  0.0664  0.0673  0.0664  0.0637  0.0585  0.0493
  0.0332
 -1.5995 -1.4748 -1.3513 -1.2292 -1.1100 -0.9970 -0.8927 -0.7991 -0.7160 -0.6432
 -0.5813 -0.5302 -0.4863 -0.4421 -0.3940 -0.2696 -0.1648 -0.0848 -0.0271  0.0124
  0.0370  0.0499  0.0547  0.0550  0.0534  0.0507  0.0469  0.0422  0.0361  0.0277
  0.0150
 -1.5741 -1.4482 -1.3299 -1.2146 -1.1018 -0.9929 -0.8901 -0.7946 -0.7078 -0.6295
 -0.5595 -0.4980 -0.4452 -0.4009 -0.3611 -0.2618 -0.1634 -0.0833 -0.0249  0.0152
  0.0398  0.0518  0.0540  0.0504  0.0442  0.0371  0.0294  0.0216  0.0132  0.0038
 -0.0077
