 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = UX   
 -1.7077 -1.5956 -1.5231 -1.4749 -1.4427 -1.4212 -1.4059 -1.3949 -1.3871 -1.3815
 -1.3775
 -8.8361 -8.3215 -7.8360 -7.3772 -6.9437 -6.5335 -6.1464 -5.7844 -5.4476 -5.1352
 -4.8461 -4.5799 -4.3353 -4.1071 -3.8901 -3.3867 -2.9189 -2.5101 -2.1631 -1.8908
 -1.6977 -1.5700 -1.4892 -1.4387 -1.4072 -1.3882 -1.3777 -1.3714 -1.3682 -1.3678
 -1.3699
 -8.9374 -8.4196 -7.9451 -7.4860 -7.0522 -6.6418 -6.2517 -5.8821 -5.5342 -5.2089
 -4.9054 -4.6235 -4.3625 -4.1210 -3.8945 -3.3878 -2.9353 -2.5325 -2.1914 -1.9154
 -1.7073 -1.5609 -1.4645 -1.4047 -1.3692 -1.3495 -1.3403 -1.3381 -1.3392 -1.3431
 -1.3497
 -9.0809 -8.5547 -8.0998 -7.6189 -7.1870 -6.7748 -6.3841 -6.0112 -5.6562 -5.3201
 -5.0035 -4.7069 -4.4300 -4.1727 -3.9329 -3.4063 -2.9575 -2.5607 -2.2216 -1.9434
 -1.7268 -1.5659 -1.4526 -1.3781 -1.3330 -1.3083 -1.2975 -1.2956 -1.2999 -1.3080
 -1.3183
 -9.2666 -8.7268 -8.3001 -7.7705 -7.3365 -6.9222 -6.5295 -6.1556 -5.7973 -5.4544
 -5.1277 -4.8183 -4.5268 -4.2539 -4.0053 -3.4422 -2.9855 -2.5947 -2.2537
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value = UX   
 -9.0115 -8.6981 -8.4789 -8.3285 -8.2165 -8.1173 -8.0372 -7.9120 -7.7526 -7.5416
 -7.2693 -6.8980 -6.5607 -6.2255 -5.8977 -5.0505 -4.1619 -3.4824 -2.8593
 -8.6333 -8.3453 -8.1356 -7.9511 -7.7803 -7.6243 -7.4785 -7.3324 -7.1670 -6.9629
 -6.7067 -6.3951 -6.0527 -5.7129 -5.3840 -4.5853 -3.8066 -3.1468 -2.6689 -2.3261
 -8.4254 -8.0282 -7.7044 -7.4531 -7.2749 -7.1333 -6.9844 -6.8166 -6.6322 -6.4300
 -6.1931 -5.9094 -5.5853 -5.2561 -4.9420 -4.2093 -3.5254 -2.9379 -2.5065 -2.2081
 -1.9976
 -8.3697 -7.9139 -7.5187 -7.1808 -6.8985 -6.6680 -6.4909 -6.3461 -6.1822 -5.9777
 -5.7486 -5.4942 -5.2022 -4.8901 -4.5914 -3.9144 -3.3066 -2.7787 -2.3813 -2.1089
 -1.9206 -1.7858
 -8.4126 -7.9125 -7.4693 -7.0780 -6.7354 -6.4380 -6.1812 -5.9600 -5.7750 -5.6045
 -5.4033 -5.1698 -4.9101 -4.6255 -4.3400 -3.7049 -3.1526 -2.6687 -2.2916 -2.0329
 -1.8580 -1.7357 -1.6470 -1.5803
 -8.5393 -8.0018 -7.5170 -7.0823 -6.6957 -6.3526 -6.0484 -5.7784 -5.5361 -5.3193
 -5.1244 -4.9277 -4.7063 -4.4526 -4.1857 -3.5755 -3.0590 -2.6058 -2.2375 -1.9785
 -1.8077 -1.6920 -1.6104 -1.5511 -1.5067 -1.4718 -1.4424 -1.4151 -1.3881 -1.3619
 -8.7320 -8.1661 -7.6469 -7.1736 -6.7468 -6.3649 -6.0237 -5.7184 -5.4427 -5.1911
 -4.9604 -4.7489 -4.5497 -4.3368 -4.1022 -3.5139 -3.0155 -2.5822 -2.2175 -1.9476
 -1.7693 -1.6533 -1.5749 -1.5199 -1.4808 -1.4522 -1.4306 -1.4123 -1.3953 -1.3799
 -1.3646
 -8.9710 -8.3852 -7.8413 -7.3371 -6.8745 -6.4559 -6.0803 -5.7429 -5.4387 -5.1618
 -4.9069 -4.6719 -4.4559 -4.2494 -4.0417 -3.5026 -3.0089 -2.5874 -2.2252 -1.9415
 -1.7462 -1.6207 -1.5400 -1.4865 -1.4503 -1.4258 -1.4095 -1.3978 -1.3880 -1.3803
 -1.3752
 -9.2363 -8.6350 -8.0725 -7.5475 -7.0582 -6.6080 -6.1991 -5.8304 -5.4981 -5.1968
 -4.9211 -4.6668 -4.4317 -4.2115 -4.0017 -3.5004 -3.0220 -2.6052 -2.2472 -1.9533
 -1.7389 -1.5965 -1.5066 -1.4502 -1.4147 -1.3928 -1.3802 -1.3736 -1.3702 -1.3682
 -1.3678
 -9.5291 -8.9196 -8.3426 -7.8013 -7.2931 -6.8195 -6.3820 -5.9826 -5.6209 -5.2938
 -4.9958 -4.7221 -4.4688 -4.2326 -4.0107 -3.5101 -3.0515 -2.6364 -2.2809 -1.9828
 -1.7523 -1.5899 -1.4832 -1.4169 -1.3771 -1.3544 -1.3431 -1.3393 -1.3403 -1.3438
 -1.3478
 -9.8149 -9.2097 -8.6266 -8.0750 -7.5546 -7.0657 -6.6085 -6.1843 -5.7949 -5.4400
 -5.1170 -4.8215 -4.5492 -4.2961 -4.0595 -3.5356 -3.0840 -2.6746 -2.3172 -2.0170
 -1.7768 -1.5980 -1.4732 -1.3914 -1.3415 -1.3136 -1.3005 -1.2971 -1.3002 -1.3074
 -1.3167
-10.0776 -9.4837 -8.9096 -8.3558 -7.8283 -7.3297 -6.8607 -6.4201 -6.0097 -5.6300
 -5.2810 -4.9609 -4.6538 -4.3800 -4.1481 -3.5769 -3.1195 -2.7198 -2.3561
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = UX   
 -8.2858 -8.1561 -8.0702 -8.0118 -7.9649 -7.9138 -7.8455 -7.7483 -7.6091 -7.4145
 -7.1564 -6.8433 -6.5023 -6.1692 -5.8483 -5.0728 -4.2985 -3.6035 -2.9989
 -7.9578 -7.7611 -7.6124 -7.5052 -7.4248 -7.3529 -7.2717 -7.1670 -7.0269 -6.8406
 -6.5982 -6.3004 -5.9706 -5.6437 -5.3319 -4.6041 -3.9169 -3.2893 -2.7858 -2.4221
 -7.7052 -7.4516 -7.2723 -7.1250 -6.9931 -6.8774 -6.7689 -6.6508 -6.5081 -6.3315
 -6.1119 -5.8426 -5.5331 -5.2173 -4.9163 -4.2339 -3.6189 -3.0686 -2.6199 -2.2926
 -2.0619
 -7.6883 -7.3336 -7.0446 -6.8171 -6.6475 -6.5221 -6.3961 -6.2528 -6.0954 -5.9183
 -5.7143 -5.4757 -5.1962 -4.8964 -4.6062 -3.9605 -3.3990 -2.9039 -2.4951 -2.1923
 -1.9814 -1.8319
 -7.8103 -7.3907 -7.0300 -6.7233 -6.4651 -6.2540 -6.0862 -5.9455 -5.8075 -5.6335
 -5.4300 -5.2059 -4.9568 -4.6789 -4.3984 -3.7757 -3.2495 -2.7903 -2.4071 -2.1179
 -1.9173 -1.7787 -1.6796 -1.6054
 -8.0453 -7.5596 -7.1384 -6.7713 -6.4521 -6.1769 -5.9390 -5.7320 -5.5524 -5.3974
 -5.2343 -5.0337 -4.8019 -4.5482 -4.2808 -3.6679 -3.1601 -2.7223 -2.3527 -2.0668
 -1.8677 -1.7334 -1.6406 -1.5739 -1.5237 -1.4839 -1.4502 -1.4191 -1.3886 -1.3594
 -8.3999 -7.8405 -7.3506 -6.9219 -6.5457 -6.2153 -5.9255 -5.6703 -5.4425 -5.2364
 -5.0513 -4.8808 -4.6959 -4.4756 -4.2291 -3.6240 -3.1201 -2.6927 -2.3285 -2.0387
 -1.8322 -1.6951 -1.6039 -1.5411 -1.4962 -1.4629 -1.4371 -1.4154 -1.3958 -1.3776
 -1.3596
 -8.8549 -8.2275 -7.6670 -7.1699 -6.7309 -6.3445 -6.0044 -5.7038 -5.4363 -5.1950
 -4.9737 -4.7705 -4.5852 -4.4013 -4.1969 -3.6300 -3.1196 -2.6937 -2.3304 -2.0333
 -1.8127 -1.6649 -1.5695 -1.5070 -1.4648 -1.4357 -1.4154 -1.4005 -1.3884 -1.3786
 -1.3712
 -9.3564 -8.6790 -8.0611 -7.5007 -6.9978 -6.5511 -6.1568 -5.8092 -5.5013 -5.2257
 -4.9755 -4.7456 -4.5335 -4.3362 -4.1453 -3.6471 -3.1456 -2.7143 -2.3491 -2.0448
 -1.8089 -1.6442 -1.5380 -1.4712 -1.4289 -1.4021 -1.3857 -1.3760 -1.3702 -1.3666
 -1.3647
 -9.8866 -9.1762 -8.5162 -7.9048 -7.3461 -6.8408 -6.3895 -5.9905 -5.6383 -5.3256
 -5.0449 -4.7893 -4.5538 -4.3349 -4.1294 -3.6560 -3.1903 -2.7572 -2.3875 -2.0766
 -1.8266 -1.6421 -1.5179 -1.4397 -1.3921 -1.3640 -1.3488 -1.3420 -1.3406 -1.3425
 -1.3453
-10.3959 -9.6721 -8.9881 -8.3452 -7.7454 -7.1924 -6.6894 -6.2386 -5.8383 -5.4842
 -5.1688 -4.8848 -4.6255 -4.3852 -4.1619 -3.6665 -3.2273 -2.8081 -2.4344 -2.1180
 -1.8576 -1.6559 -1.5121 -1.4168 -1.3580 -1.3240 -1.3067 -1.3002 -1.3010 -1.3066
 -1.3146
-10.8527-10.1345 -9.4475 -8.7908 -8.1681 -7.5826 -7.0401 -6.5450 -6.0984 -5.6996
 -5.3448 -5.0282 -4.7345 -4.4719 -4.2428 -3.6786 -3.2566 -2.8670 -2.4898
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = UX   
 -7.8973 -7.8725 -7.8589 -7.8468 -7.8286 -7.7943 -7.7351 -7.6431 -7.5101 -7.3295
 -7.0998 -6.8250 -6.5190 -6.2094 -5.9060 -5.1788 -4.4759 -3.8022 -3.2072
 -7.4336 -7.3720 -7.3349 -7.3088 -7.2817 -7.2433 -7.1845 -7.0965 -6.9714 -6.8018
 -6.5818 -6.3135 -6.0145 -5.7095 -5.4124 -4.7188 -4.0782 -3.4913 -2.9809 -2.5771
 -7.1576 -7.0186 -6.9236 -6.8601 -6.8114 -6.7615 -6.6978 -6.6112 -6.4942 -6.3400
 -6.1418 -5.8965 -5.6143 -5.3201 -5.0329 -4.3732 -3.7840 -3.2577 -2.8051 -2.4419
 -2.1744
 -7.0729 -6.8514 -6.6943 -6.5713 -6.4699 -6.3875 -6.3090 -6.2176 -6.1045 -5.9631
 -5.7871 -5.5706 -5.3141 -5.0357 -4.7585 -4.1257 -3.5739 -3.0879 -2.6733 -2.3379
 -2.0891 -1.9123
 -7.2057 -6.8780 -6.6153 -6.4110 -6.2596 -6.1502 -6.0531 -5.9484 -5.8276 -5.6869
 -5.5224 -5.3290 -5.1007 -4.8423 -4.5751 -3.9592 -3.4313 -2.9711 -2.5793 -2.2612
 -2.0225 -1.8548 -1.7366 -1.6490
 -7.4586 -7.0599 -6.7202 -6.4345 -6.2005 -6.0114 -5.8601 -5.7404 -5.6382 -5.5137
 -5.3539 -5.1678 -4.9587 -4.7227 -4.4673 -3.8595 -3.3431 -2.8982 -2.5182 -2.2087
 -1.9732 -1.8078 -1.6943 -1.6140 -1.5539 -1.5060 -1.4657 -1.4291 -1.3934 -1.3583
 -7.8325 -7.3467 -6.9332 -6.5797 -6.2776 -6.0212 -5.8050 -5.6221 -5.4661 -5.3329
 -5.2086 -5.0601 -4.8724 -4.6555 -4.4177 -3.8153 -3.2995 -2.8614 -2.4865 -2.1784
 -1.9404 -1.7711 -1.6569 -1.5792 -1.5242 -1.4832 -1.4510 -1.4242 -1.4000 -1.3767
 -1.3532
 -8.3638 -7.7681 -7.2610 -6.8290 -6.4583 -6.1387 -5.8630 -5.6253 -5.4177 -5.2339
 -5.0684 -4.9189 -4.7722 -4.6007 -4.3953 -3.8175 -3.2942 -2.8554 -2.4810 -2.1695
 -1.9243 -1.7454 -1.6245 -1.5450 -1.4917 -1.4548 -1.4283 -1.4083 -1.3921 -1.3782
 -1.3661
 -9.0328 -8.3298 -7.7169 -7.1898 -6.7366 -6.3462 -6.0072 -5.7129 -5.4556 -5.2283
 -5.0239 -4.8372 -4.6656 -4.5044 -4.3389 -3.8427 -3.3183 -2.8720 -2.4947 -2.1775
 -1.9223 -1.7302 -1.5975 -1.5112 -1.4561 -1.4207 -1.3980 -1.3831 -1.3732 -1.3660
 -1.3610
 -9.7891 -9.0057 -8.2988 -7.6771 -7.1319 -6.6578 -6.2460 -5.8886 -5.5769 -5.3031
 -5.0596 -4.8399 -4.6386 -4.4521 -4.2772 -3.8499 -3.3741 -2.9191 -2.5345 -2.2097
 -1.9426 -1.7341 -1.5838 -1.4842 -1.4216 -1.3835 -1.3614 -1.3493 -1.3438 -1.3423
 -1.3429
-10.5488 -9.7155 -8.9450 -8.2504 -7.6242 -7.0679 -6.5773 -6.1484 -5.7750 -5.4491
 -5.1622 -4.9065 -4.6754 -4.4635 -4.2670 -3.8310 -3.4157 -2.9841 -2.5911 -2.2574
 -1.9785 -1.7541 -1.5846 -1.4669 -1.3912 -1.3457 -1.3204 -1.3083 -1.3049 -1.3071
 -1.3124
-11.2626-10.4024 -9.6000 -8.8570 -8.1747 -7.5527 -6.9919 -6.4916 -6.0517 -5.6669
 -5.3304 -5.0337 -4.7689 -4.5296 -4.3083 -3.7860 -3.4431 -3.0670 -2.6645
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = UX   
 -7.8295 -7.8276 -7.8273 -7.8212 -7.8037 -7.7661 -7.7005 -7.6004 -7.4617 -7.2857
 -7.0747 -6.8295 -6.5555 -6.2657 -5.9750 -5.2632 -4.5799 -3.9306 -3.3371
 -7.3291 -7.3068 -7.2944 -7.2822 -7.2619 -7.2263 -7.1682 -7.0795 -6.9547 -6.7911
 -6.5867 -6.3435 -6.0700 -5.7832 -5.4969 -4.8161 -4.1842 -3.6064 -3.1018 -2.6827
 -6.9691 -6.8965 -6.8519 -6.8215 -6.7920 -6.7535 -6.6977 -6.6175 -6.5063 -6.3595
 -6.1734 -5.9471 -5.6872 -5.4106 -5.1337 -4.4837 -3.8962 -3.3717 -2.9181 -2.5425
 -2.2533
 -6.8422 -6.6860 -6.5676 -6.4838 -6.4242 -6.3723 -6.3126 -6.2356 -6.1346 -6.0041
 -5.8392 -5.6367 -5.3983 -5.1369 -4.8705 -4.2452 -3.6906 -3.2006 -2.7805 -2.4339
 -2.1649 -1.9697
 -6.9161 -6.6751 -6.4586 -6.3134 -6.2065 -6.1166 -6.0367 -5.9523 -5.8524 -5.7310
 -5.5828 -5.4032 -5.1891 -4.9462 -4.6907 -4.0825 -3.5493 -3.0820 -2.6819 -2.3529
 -2.0959 -1.9095 -1.7776 -1.6806
 -7.1542 -6.8227 -6.5265 -6.2854 -6.0953 -5.9515 -5.8481 -5.7645 -5.6694 -5.5493
 -5.4055 -5.2383 -5.0448 -4.8223 -4.5793 -3.9817 -3.4594 -3.0062 -2.6171 -2.2967
 -2.0453 -1.8613 -1.7332 -1.6431 -1.5761 -1.5229 -1.4780 -1.4375 -1.3984 -1.3597
 -7.5286 -7.0920 -6.7205 -6.4055 -6.1419 -5.9247 -5.7483 -5.6068 -5.4942 -5.3959
 -5.2826 -5.1337 -4.9532 -4.7488 -4.5215 -3.9325 -3.4123 -2.9659 -2.5823 -2.2637
 -2.0120 -1.8249 -1.6951 -1.6066 -1.5445 -1.4982 -1.4619 -1.4314 -1.4042 -1.3779
 -1.3507
 -8.0309 -7.4843 -7.0226 -6.6318 -6.2992 -6.0168 -5.7783 -5.5773 -5.4064 -5.2582
 -5.1271 -5.0045 -4.8679 -4.6975 -4.4952 -3.9267 -3.4022 -2.9563 -2.5740 -2.2528
 -1.9957 -1.8010 -1.6640 -1.5722 -1.5109 -1.4685 -1.4378 -1.4145 -1.3955 -1.3792
 -1.3640
 -8.7098 -8.0337 -7.4576 -6.9695 -6.5559 -6.2034 -5.9013 -5.6419 -5.4183 -5.2228
 -5.0481 -4.8887 -4.7416 -4.5993 -4.4433 -3.9487 -3.4215 -2.9700 -2.5852 -2.2592
 -1.9933 -1.7876 -1.6392 -1.5396 -1.4753 -1.4338 -1.4068 -1.3887 -1.3760 -1.3667
 -1.3593
 -9.5343 -8.7506 -8.0523 -7.4531 -6.9390 -6.5001 -6.1236 -5.8000 -5.5194 -5.2745
 -5.0579 -4.8627 -4.6834 -4.5170 -4.3607 -3.9566 -3.4751 -3.0146 -2.6238 -2.2907
 -2.0135 -1.7933 -1.6288 -1.5153 -1.4421 -1.3969 -1.3701 -1.3546 -1.3464 -1.3426
 -1.3413
-10.3955 -9.5381 -8.7580 -8.0579 -7.4449 -6.9106 -6.4481 -6.0489 -5.7037 -5.4036
 -5.1405 -4.9067 -4.6957 -4.5025 -4.3231 -3.9234 -3.5191 -3.0804 -2.6805 -2.3388
 -2.0502 -1.8149 -1.6327 -1.5015 -1.4144 -1.3605 -1.3298 -1.3139 -1.3076 -1.3075
 -1.3110
-11.2242-10.3229 -9.4881 -8.7229 -8.0344 -7.4181 -6.8723 -6.3926 -5.9743 -5.6112
 -5.2951 -5.0172 -4.7701 -4.5473 -4.3305 -3.8491 -3.5535 -3.1674 -2.7553
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value = UX   
 -7.8305 -7.8400 -7.8447 -7.8382 -7.8160 -7.7697 -7.6916 -7.5769 -7.4291 -7.2571
 -7.0684 -6.8558 -6.6165 -6.3549 -6.0812 -5.3861 -4.7111 -4.0723 -3.4891
 -7.3093 -7.3082 -7.3076 -7.3003 -7.2802 -7.2416 -7.1785 -7.0838 -6.9553 -6.7962
 -6.6098 -6.3961 -6.1545 -5.8929 -5.6221 -4.9543 -4.3218 -3.7457 -3.2393 -2.8087
 -6.8945 -6.8656 -6.8488 -6.8338 -6.8122 -6.7775 -6.7235 -6.6439 -6.5342 -6.3927
 -6.2201 -6.0173 -5.7858 -5.5333 -5.2718 -4.6338 -4.0415 -3.5094 -3.0491 -2.6625
 -2.3523
 -6.6724 -6.5715 -6.5078 -6.4662 -6.4323 -6.3944 -6.3439 -6.2740 -6.1792 -6.0557
 -5.9016 -5.7165 -5.5014 -5.2630 -5.0127 -4.4004 -3.8396 -3.3384 -2.9071 -2.5486
 -2.2606 -2.0436
 -6.6925 -6.4972 -6.3573 -6.2507 -6.1701 -6.1090 -6.0515 -5.9831 -5.8969 -5.7874
 -5.6508 -5.4849 -5.2891 -5.0669 -4.8285 -4.2356 -3.6968 -3.2177 -2.8046 -2.4627
 -2.1887 -1.9811 -1.8314 -1.7217
 -6.9124 -6.6072 -6.3614 -6.1724 -6.0344 -5.9355 -5.8570 -5.7821 -5.6946 -5.5897
 -5.4638 -5.3136 -5.1363 -4.9316 -4.7059 -4.1278 -3.6018 -3.1378 -2.7358 -2.4024
 -2.1354 -1.9315 -1.7849 -1.6812 -1.6049 -1.5447 -1.4942 -1.4489 -1.4057 -1.3630
 -7.2412 -6.8524 -6.5232 -6.2488 -6.0259 -5.8490 -5.7134 -5.6149 -5.5369 -5.4507
 -5.3377 -5.1971 -5.0325 -4.8444 -4.6330 -4.0685 -3.5477 -3.0924 -2.6972 -2.3659
 -2.0998 -1.8946 -1.7461 -1.6431 -1.5710 -1.5179 -1.4761 -1.4413 -1.4105 -1.3808
 -1.3497
 -7.6941 -7.2056 -6.7918 -6.4413 -6.1466 -5.9012 -5.6994 -5.5354 -5.4026 -5.2924
 -5.1934 -5.0876 -4.9542 -4.7882 -4.5959 -4.0504 -3.5299 -3.0774 -2.6849 -2.3520
 -2.0815 -1.8707 -1.7157 -1.6084 -1.5362 -1.4865 -1.4507 -1.4232 -1.4009 -1.3815
 -1.3633
 -8.3288 -7.7063 -7.1825 -6.7412 -6.3691 -6.0547 -5.7895 -5.5665 -5.3786 -5.2176
 -5.0753 -4.9461 -4.8244 -4.6979 -4.5484 -4.0619 -3.5409 -3.0858 -2.6927 -2.3559
 -2.0774 -1.8573 -1.6924 -1.5769 -1.5005 -1.4509 -1.4184 -1.3962 -1.3803 -1.3682
 -1.3584
 -9.1695 -8.4103 -7.7489 -7.1897 -6.7183 -6.3204 -5.9834 -5.6964 -5.4509 -5.2393
 -5.0535 -4.8861 -4.7319 -4.5886 -4.4522 -4.0706 -3.5863 -3.1254 -2.7284 -2.3858
 -2.0967 -1.8632 -1.6841 -1.5552 -1.4691 -1.4146 -1.3816 -1.3618 -1.3503 -1.3438
 -1.3402
-10.1122 -9.2520 -8.4796 -7.7948 -7.2095 -6.7098 -6.2848 -5.9224 -5.6118 -5.3439
 -5.1101 -4.9030 -4.7159 -4.5440 -4.3845 -4.0245 -3.6314 -3.1863 -2.7826 -2.4330
 -2.1334 -1.8857 -1.6904 -1.5449 -1.4444 -1.3801 -1.3422 -1.3214 -1.3115 -1.3087
 -1.3099
-11.0320-10.1171 -9.2724 -8.5064 -7.8203 -7.2215 -6.7012 -6.2523 -5.8656 -5.5326
 -5.2437 -4.9909 -4.7664 -4.5641 -4.3453 -3.9236 -3.6762 -3.2685 -2.8553
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value = UX   
 -7.8638 -7.8781 -7.8823 -7.8704 -7.8388 -7.7790 -7.6826 -7.5476 -7.3902 -7.2240
 -7.0527 -6.8695 -6.6646 -6.4347 -6.1823 -5.5111 -4.8402 -4.2082 -3.6374
 -7.3291 -7.3387 -7.3423 -7.3340 -7.3090 -7.2623 -7.1885 -7.0815 -6.9461 -6.7911
 -6.6216 -6.4353 -6.2265 -5.9943 -5.7441 -5.0954 -4.4618 -3.8806 -3.3744 -2.9379
 -6.8826 -6.8775 -6.8740 -6.8650 -6.8444 -6.8072 -6.7487 -6.6633 -6.5497 -6.4112
 -6.2517 -6.0722 -5.8701 -5.6456 -5.4045 -4.7852 -4.1888 -3.6466 -3.1789 -2.7845
 -2.4599
 -6.5751 -6.5296 -6.5026 -6.4821 -6.4588 -6.4253 -6.3763 -6.3062 -6.2113 -6.0906
 -5.9457 -5.7783 -5.5881 -5.3756 -5.1460 -4.5543 -3.9898 -3.4768 -3.0340 -2.6649
 -2.3635 -2.1269
 -6.5107 -6.3737 -6.2761 -6.2112 -6.1657 -6.1250 -6.0775 -6.0156 -5.9338 -5.8290
 -5.6998 -5.5469 -5.3705 -5.1715 -4.9539 -4.3850 -3.8448 -3.3548 -2.9289 -2.5747
 -2.2876 -2.0618 -1.8933 -1.7679
 -6.6620 -6.4147 -6.2314 -6.1004 -6.0018 -5.9234 -5.8599 -5.7956 -5.7189 -5.6245
 -5.5088 -5.3703 -5.2082 -5.0231 -4.8178 -4.2680 -3.7430 -3.2707 -2.8570 -2.5106
 -2.2305 -2.0099 -1.8446 -1.7253 -1.6376 -1.5698 -1.5135 -1.4633 -1.4153 -1.3682
 -6.9667 -6.6244 -6.3401 -6.1118 -5.9345 -5.8018 -5.7062 -5.6350 -5.5645 -5.4770
 -5.3695 -5.2416 -5.0925 -4.9213 -4.7285 -4.1966 -3.6805 -3.2190 -2.8141 -2.4707
 -2.1914 -1.9709 -1.8044 -1.6849 -1.6009 -1.5398 -1.4924 -1.4533 -1.4186 -1.3851
 -1.3502
 -7.3738 -6.9411 -6.5739 -6.2642 -6.0079 -5.7995 -5.6332 -5.5048 -5.4089 -5.3299
 -5.2474 -5.1436 -5.0118 -4.8553 -4.6769 -4.1654 -3.6541 -3.1975 -2.7973 -2.4536
 -2.1703 -1.9449 -1.7732 -1.6494 -1.5642 -1.5058 -1.4645 -1.4327 -1.4070 -1.3848
 -1.3633
 -7.9320 -7.3813 -6.9158 -6.5222 -6.1902 -5.9123 -5.6820 -5.4931 -5.3390 -5.2118
 -5.1019 -5.0012 -4.8993 -4.7807 -4.6341 -4.1630 -3.6557 -3.1994 -2.8001 -2.4538
 -2.1633 -1.9297 -1.7496 -1.6181 -1.5279 -1.4688 -1.4302 -1.4039 -1.3847 -1.3699
 -1.3577
 -8.7251 -8.0211 -7.4222 -6.9181 -6.4943 -6.1385 -5.8393 -5.5880 -5.3773 -5.1990
 -5.0444 -4.9059 -4.7783 -4.6587 -4.5399 -4.1724 -3.6906 -3.2327 -2.8315 -2.4808
 -2.1809 -1.9348 -1.7420 -1.5982 -1.4979 -1.4327 -1.3926 -1.3682 -1.3534 -1.3442
 -1.3384
 -9.7054 -8.8655 -8.1255 -7.4854 -6.9446 -6.4893 -6.1063 -5.7831 -5.5088 -5.2748
 -5.0726 -4.8941 -4.7326 -4.5837 -4.4455 -4.1232 -3.7356 -3.2865 -2.8815 -2.5259
 -2.2169 -1.9574 -1.7495 -1.5906 -1.4762 -1.4003 -1.3538 -1.3274 -1.3138 -1.3082
 -1.3074
-10.7160 -9.8017 -8.9632 -8.2112 -7.5487 -6.9809 -6.4973 -6.0867 -5.7375 -5.4390
 -5.1816 -4.9572 -4.7582 -4.5784 -4.3509 -4.0154 -3.7907 -3.3608 -2.9501
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value = UX   
 -8.0061 -8.0195 -8.0182 -7.9958 -7.9470 -7.8648 -7.7432 -7.5859 -7.4225 -7.2627
 -7.1110 -6.9597 -6.7964 -6.6073 -6.3928 -5.7623 -5.0851 -4.4356 -3.8501
 -7.4578 -7.4707 -7.4728 -7.4589 -7.4243 -7.3644 -7.2736 -7.1487 -7.0049 -6.8553
 -6.7047 -6.5493 -6.3803 -6.1890 -5.9729 -5.3616 -4.7177 -4.1091 -3.5808 -3.1251
 -6.9834 -6.9896 -6.9908 -6.9817 -6.9570 -6.9127 -6.8444 -6.7473 -6.6263 -6.4909
 -6.3469 -6.1945 -6.0285 -5.8426 -5.6346 -5.0538 -4.4489 -3.8782 -3.3837 -2.9669
 -2.6194
