 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -0.9026 -0.8934 -0.8868 -0.8822 -0.8786 -0.8757 -0.8739 -0.8727 -0.8741 -0.8808
 -0.8942
 -2.2804 -2.1700 -2.0527 -1.9374 -1.8274 -1.7270 -1.6378 -1.5596 -1.4921 -1.4346
 -1.3853 -1.3428 -1.3060 -1.2746 -1.2469 -1.1698 -1.0821 -1.0090 -0.9569 -0.9231
 -0.9041 -0.8959 -0.8936 -0.8937 -0.8945 -0.8954 -0.8967 -0.8984 -0.9011 -0.9060
 -0.9150
 -2.2208 -2.1277 -2.0263 -1.9224 -1.8204 -1.7247 -1.6378 -1.5597 -1.4904 -1.4293
 -1.3757 -1.3287 -1.2872 -1.2501 -1.2173 -1.1458 -1.0725 -1.0047 -0.9531 -0.9190
 -0.9002 -0.8936 -0.8948 -0.8996 -0.9054 -0.9110 -0.9165 -0.9217 -0.9269 -0.9330
 -0.9396
 -2.1426 -2.0651 -1.9800 -1.8895 -1.7991 -1.7121 -1.6311 -1.5570 -1.4896 -1.4284
 -1.3729 -1.3229 -1.2780 -1.2377 -1.2012 -1.1244 -1.0575 -0.9968 -0.9478 -0.9135
 -0.8941 -0.8876 -0.8906 -0.8992 -0.9099 -0.9207 -0.9313 -0.9410 -0.9501 -0.9590
 -0.9684
 -2.0505 -1.9865 -1.9160 -1.8403 -1.7625 -1.6860 -1.6133 -1.5456 -1.4828 -1.4245
 -1.3703 -1.3200 -1.2735 -1.2308 -1.1986 -1.1056 -1.0371 -0.9853 -0.9410
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F350LP
 -3.0509 -2.9942 -2.9393 -2.8797 -2.8172 -2.7265 -2.5794 -2.3700 -2.1508 -1.9532
 -1.7887 -1.6558 -1.5486 -1.4592 -1.3819 -1.2244 -1.1017 -1.0053 -0.9303
 -2.8705 -2.8054 -2.7476 -2.6908 -2.6284 -2.5500 -2.4324 -2.2576 -2.0728 -1.9001
 -1.7499 -1.6245 -1.5209 -1.4343 -1.3595 -1.2076 -1.0911 -1.0012 -0.9326 -0.8809
 -2.7330 -2.6558 -2.5902 -2.5306 -2.4712 -2.4040 -2.3100 -2.1681 -2.0116 -1.8603
 -1.7238 -1.6056 -1.5054 -1.4205 -1.3471 -1.1987 -1.0861 -1.0004 -0.9358 -0.8871
 -0.8507
 -2.6318 -2.5426 -2.4666 -2.3996 -2.3371 -2.2735 -2.1983 -2.0865 -1.9554 -1.8237
 -1.7009 -1.5914 -1.4957 -1.4129 -1.3407 -1.1947 -1.0845 -1.0015 -0.9397 -0.8936
 -0.8595 -0.8341
 -2.5333 -2.4376 -2.3599 -2.2911 -2.2255 -2.1608 -2.0924 -2.0064 -1.8987 -1.7854
 -1.6764 -1.5764 -1.4869 -1.4076 -1.3372 -1.1934 -1.0848 -1.0036 -0.9438 -0.8999
 -0.8681 -0.8451 -0.8278 -0.8145
 -2.4844 -2.3591 -2.2540 -2.1691 -2.1014 -2.0445 -1.9875 -1.9209 -1.8372 -1.7430
 -1.6479 -1.5580 -1.4757 -1.4014 -1.3341 -1.1931 -1.0858 -1.0058 -0.9474 -0.9055
 -0.8759 -0.8554 -0.8407 -0.8298 -0.8215 -0.8158 -0.8131 -0.8139 -0.8196 -0.8303
 -2.4712 -2.3333 -2.2086 -2.0992 -2.0062 -1.9274 -1.8592 -1.7985 -1.7386 -1.6752
 -1.6060 -1.5329 -1.4603 -1.3922 -1.3292 -1.1929 -1.0867 -1.0075 -0.9501 -0.9096
 -0.8820 -0.8641 -0.8525 -0.8446 -0.8388 -0.8348 -0.8328 -0.8334 -0.8375 -0.8471
 -0.8621
 -2.4713 -2.3296 -2.1966 -2.0741 -1.9639 -1.8676 -1.7838 -1.7093 -1.6407 -1.5771
 -1.5214 -1.4727 -1.4247 -1.3734 -1.3196 -1.1917 -1.0870 -1.0082 -0.9513 -0.9116
 -0.8857 -0.8702 -0.8619 -0.8576 -0.8551 -0.8538 -0.8539 -0.8554 -0.8596 -0.8665
 -0.8795
 -2.4717 -2.3318 -2.1980 -2.0701 -1.9508 -1.8428 -1.7473 -1.6633 -1.5888 -1.5213
 -1.4603 -1.4069 -1.3625 -1.3249 -1.2884 -1.1862 -1.0851 -1.0069 -0.9502 -0.9112
 -0.8864 -0.8728 -0.8676 -0.8672 -0.8689 -0.8713 -0.8744 -0.8780 -0.8829 -0.8898
 -0.9004
 -2.4600 -2.3309 -2.2019 -2.0756 -1.9539 -1.8401 -1.7372 -1.6460 -1.5657 -1.4949
 -1.4319 -1.3757 -1.3262 -1.2835 -1.2473 -1.1681 -1.0823 -1.0053 -0.9486 -0.9094
 -0.8848 -0.8723 -0.8693 -0.8724 -0.8784 -0.8852 -0.8923 -0.8992 -0.9065 -0.9148
 -0.9248
 -2.4266 -2.3118 -2.1945 -2.0755 -1.9574 -1.8440 -1.7388 -1.6438 -1.5595 -1.4852
 -1.4195 -1.3613 -1.3095 -1.2635 -1.2227 -1.1417 -1.0706 -1.0018 -0.9456 -0.9060
 -0.8811 -0.8688 -0.8669 -0.8726 -0.8824 -0.8938 -0.9056 -0.9169 -0.9278 -0.9388
 -0.9503
 -2.3720 -2.2714 -2.1676 -2.0610 -1.9514 -1.8436 -1.7411 -1.6463 -1.5610 -1.4850
 -1.4173 -1.3570 -1.3030 -1.2547 -1.2146 -1.1070 -1.0500 -0.9964 -0.9412
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =F350LP
 -3.2747 -3.2288 -3.1800 -3.1207 -3.0327 -2.9049 -2.7300 -2.5023 -2.2366 -2.0022
 -1.8128 -1.6643 -1.5476 -1.4539 -1.3750 -1.2178 -1.0967 -1.0016 -0.9267
 -3.0705 -3.0158 -2.9646 -2.9100 -2.8436 -2.7533 -2.6139 -2.4011 -2.1730 -1.9622
 -1.7838 -1.6398 -1.5252 -1.4328 -1.3555 -1.2028 -1.0869 -0.9974 -0.9285 -0.8759
 -2.9056 -2.8380 -2.7797 -2.7247 -2.6663 -2.5944 -2.4877 -2.3179 -2.1246 -1.9364
 -1.7693 -1.6293 -1.5153 -1.4227 -1.3457 -1.1952 -1.0823 -0.9964 -0.9312 -0.8816
 -0.8441
 -2.7812 -2.6985 -2.6287 -2.5674 -2.5092 -2.4470 -2.3675 -2.2378 -2.0771 -1.9121
 -1.7586 -1.6247 -1.5121 -1.4191 -1.3417 -1.1921 -1.0810 -0.9972 -0.9345 -0.8873
 -0.8520 -0.8257
 -2.6796 -2.5895 -2.5102 -2.4404 -2.3767 -2.3149 -2.2483 -2.1538 -2.0244 -1.8830
 -1.7453 -1.6202 -1.5112 -1.4188 -1.3410 -1.1915 -1.0815 -0.9991 -0.9381 -0.8929
 -0.8595 -0.8352 -0.8174 -0.8039
 -2.5791 -2.4714 -2.3866 -2.3186 -2.2584 -2.1988 -2.1358 -2.0633 -1.9636 -1.8460
 -1.7256 -1.6116 -1.5088 -1.4189 -1.3417 -1.1922 -1.0828 -1.0012 -0.9414 -0.8978
 -0.8663 -0.8441 -0.8287 -0.8177 -0.8099 -0.8050 -0.8032 -0.8050 -0.8114 -0.8224
 -2.5422 -2.4105 -2.2963 -2.2018 -2.1248 -2.0612 -2.0056 -1.9495 -1.8806 -1.7931
 -1.6948 -1.5956 -1.5019 -1.4169 -1.3418 -1.1931 -1.0842 -1.0031 -0.9440 -0.9016
 -0.8717 -0.8517 -0.8389 -0.8308 -0.8255 -0.8223 -0.8215 -0.8231 -0.8282 -0.8384
 -0.8536
 -2.5337 -2.3921 -2.2625 -2.1469 -2.0472 -1.9623 -1.8887 -1.8219 -1.7563 -1.6887
 -1.6214 -1.5526 -1.4809 -1.4084 -1.3391 -1.1939 -1.0853 -1.0044 -0.9455 -0.9038
 -0.8753 -0.8572 -0.8471 -0.8421 -0.8400 -0.8396 -0.8407 -0.8434 -0.8481 -0.8568
 -0.8709
 -2.5348 -2.3913 -2.2556 -2.1291 -2.0142 -1.9124 -1.8234 -1.7444 -1.6713 -1.6002
 -1.5319 -1.4706 -1.4175 -1.3687 -1.3191 -1.1919 -1.0845 -1.0039 -0.9451 -0.9037
 -0.8764 -0.8600 -0.8524 -0.8508 -0.8524 -0.8555 -0.8596 -0.8645 -0.8706 -0.8789
 -0.8907
 -2.5389 -2.3984 -2.2626 -2.1327 -2.0101 -1.8973 -1.7961 -1.7063 -1.6262 -1.5529
 -1.4845 -1.4211 -1.3644 -1.3161 -1.2750 -1.1811 -1.0839 -1.0034 -0.9444 -0.9028
