 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  V   
 -2.5446 -2.3743 -2.2101 -2.0570 -1.9035 -1.6114 -1.3774 -1.1911 -1.0517
 -5.1586 -4.6392 -4.1925 -3.8181 -3.5081 -3.2505 -3.0313 -2.8339 -2.6579 -2.5012
 -2.3559 -2.2131 -2.0690 -1.9293 -1.8010 -1.5346 -1.3290 -1.1684 -1.0466 -0.9552
 -4.7479 -4.2321 -3.8112 -3.5164 -3.2348 -2.9973 -2.7972 -2.6247 -2.4738 -2.3407
 -2.2187 -2.0998 -1.9761 -1.8489 -1.7286 -1.4805 -1.2948 -1.1531 -1.0454 -0.9633
 -0.8979
 -4.4418 -3.9293 -3.5272 -3.2211 -2.9857 -2.7969 -2.6346 -2.4850 -2.3480 -2.2256
 -2.1162 -2.0142 -1.9110 -1.7990 -1.6863 -1.4491 -1.2748 -1.1452 -1.0481 -0.9737
 -0.9143 -0.8649
 -4.3188 -3.8034 -3.3892 -3.0694 -2.8251 -2.6368 -2.4884 -2.3662 -2.2588 -2.1558
 -2.0505 -1.9520 -1.8593 -1.7644 -1.6618 -1.4328 -1.2641 -1.1416 -1.0521 -0.9845
 -0.9303 -0.8846 -0.8451 -0.8104
 -4.2596 -3.7471 -3.3329 -3.0048 -2.7469 -2.5443 -2.3851 -2.2591 -2.1581 -2.0763
 -1.9986 -1.9124 -1.8237 -1.7359 -1.6447 -1.4251 -1.2588 -1.1396 -1.0550 -0.9935
 -0.9450 -0.9038 -0.8677 -0.8354 -0.8062 -0.7804 -0.7585 -0.7442 -0.7401 -0.7439
 -4.2057 -3.7141 -3.3090 -2.9846 -2.7267 -2.5212 -2.3561 -2.2222 -2.1121 -2.0186
 -1.9370 -1.8629 -1.7883 -1.7108 -1.6289 -1.4218 -1.2563 -1.1378 -1.0555 -0.9985
 -0.9559 -0.9203 -0.8888 -0.8600 -0.8335 -0.8091 -0.7875 -0.7692 -0.7588 -0.7598
 -0.7698
 -4.1389 -3.6756 -3.2894 -2.9753 -2.7218 -2.5170 -2.3495 -2.2106 -2.0939 -1.9941
 -1.9056 -1.8249 -1.7496 -1.6783 -1.6073 -1.4184 -1.2554 -1.1358 -1.0535 -0.9986
 -0.9611 -0.9317 -0.9059 -0.8821 -0.8597 -0.8382 -0.8183 -0.8007 -0.7867 -0.7795
 -0.7855
 -4.0495 -3.6182 -3.2575 -2.9589 -2.7149 -2.5144 -2.3478 -2.2070 -2.0863 -1.9816
 -1.8887 -1.8043 -1.7256 -1.6512 -1.5816 -1.4090 -1.2535 -1.1330 -1.0491 -0.9942
 -0.9595 -0.9357 -0.9165 -0.8990 -0.8819 -0.8650 -0.8485 -0.8329 -0.8191 -0.8087
 -0.8054
 -3.9497 -3.5629 -3.2276 -2.9444 -2.7090 -2.5134 -2.3486 -2.2075 -2.0848 -1.9770
 -1.8809 -1.7939 -1.7135 -1.6378 -1.5663 -1.3997 -1.2518 -1.1324 -1.0461 -0.9889
 -0.9539 -0.9332 -0.9197 -0.9089 -0.8984 -0.8875 -0.8762 -0.8646 -0.8532 -0.8432
 -0.8339
 -3.8544 -3.5078 -3.1986 -2.9306 -2.7030 -2.5109 -2.3474 -2.2063 -2.0826 -1.9729
 -1.8746 -1.7859 -1.7045 -1.6286 -1.5568 -1.3920 -1.2484 -1.1314 -1.0438 -0.9838
 -0.9468 -0.9263 -0.9159 -0.9107 -0.9070 -0.9029 -0.8980 -0.8919 -0.8850 -0.8781
 -0.8720
 -3.7665 -3.4554 -3.1756 -2.9247 -2.7029 -2.5108 -2.3469 -2.2045 -2.0791 -1.9677
 -1.8676 -1.7772 -1.6950 -1.6192 -1.5531 -1.3859 -1.2433 -1.1300 -1.0422
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  V   
 -6.4439 -5.9832 -5.5572 -5.1556 -4.7760 -4.3873 -3.9560 -3.4885 -3.0904 -2.7733
 -2.5203 -2.3124 -2.1355 -1.9817 -1.8462 -1.5688 -1.3526 -1.1797 -1.0446
 -6.0905 -5.5757 -5.1075 -4.6828 -4.2942 -3.9294 -3.5593 -3.1808 -2.8569 -2.5921
 -2.3750 -2.1911 -2.0298 -1.8863 -1.7586 -1.4996 -1.3050 -1.1539 -1.0358 -0.9447
 -5.8164 -5.2864 -4.7973 -4.3566 -3.9656 -3.6179 -3.2961 -2.9795 -2.7018 -2.4706
 -2.2784 -2.1140 -1.9668 -1.8319 -1.7096 -1.4608 -1.2778 -1.1397 -1.0334 -0.9512
 -0.8863
 -5.4335 -4.9081 -4.4884 -4.0949 -3.7287 -3.3974 -3.1038 -2.8330 -2.5895 -2.3823
 -2.2084 -2.0598 -1.9267 -1.8018 -1.6847 -1.4420 -1.2645 -1.1336 -1.0351 -0.9596
 -0.9000 -0.8508
 -5.0932 -4.5586 -4.1152 -3.7461 -3.4359 -3.1713 -2.9373 -2.7127 -2.5022 -2.3154
 -2.1548 -2.0173 -1.8962 -1.7830 -1.6730 -1.4352 -1.2596 -1.1323 -1.0387 -0.9685
 -0.9138 -0.8686 -0.8296 -0.7958
 -4.9679 -4.3931 -3.9112 -3.5152 -3.1926 -2.9290 -2.7148 -2.5405 -2.3910 -2.2516
 -2.1142 -1.9859 -1.8708 -1.7666 -1.6661 -1.4351 -1.2594 -1.1331 -1.0424 -0.9762
 -0.9262 -0.8855 -0.8502 -0.8189 -0.7910 -0.7665 -0.7461 -0.7332 -0.7298 -0.7331
 -4.9472 -4.3465 -3.8369 -3.4194 -3.0823 -2.8110 -2.5918 -2.4128 -2.2651 -2.1441
 -2.0433 -1.9482 -1.8502 -1.7526 -1.6587 -1.4380 -1.2618 -1.1345 -1.0448 -0.9813
 -0.9356 -0.8999 -0.8693 -0.8417 -0.8164 -0.7934 -0.7735 -0.7574 -0.7478 -0.7489
 -0.7582
 -4.9598 -4.3551 -3.8316 -3.3969 -3.0457 -2.7648 -2.5394 -2.3567 -2.2070 -2.0820
 -1.9761 -1.8860 -1.8065 -1.7283 -1.6471 -1.4411 -1.2655 -1.1361 -1.0454 -0.9832
 -0.9377 -0.9099 -0.8847 -0.8621 -0.8409 -0.8209 -0.8027 -0.7855 -0.7728 -0.7682
 -0.7743
 -4.9475 -4.3634 -3.8426 -3.4045 -3.0451 -2.7560 -2.5243 -2.3365 -2.1824 -2.0542
 -1.9451 -1.8500 -1.7655 -1.6896 -1.6186 -1.4376 -1.2678 -1.1364 -1.0437 -0.9811
 -0.9402 -0.9136 -0.8942 -0.8775 -0.8617 -0.8462 -0.8313 -0.8174 -0.8053 -0.7966
 -0.7942
 -4.9022 -4.3538 -3.8593 -3.4281 -3.0681 -2.7742 -2.5367 -2.3430 -2.1835 -2.0500
 -1.9363 -1.8374 -1.7493 -1.6691 -1.5955 -1.4278 -1.2701 -1.1389 -1.0430 -0.9780
 -0.9366 -0.9120 -0.8972 -0.8867 -0.8772 -0.8675 -0.8577 -0.8476 -0.8380 -0.8298
 -0.8220
 -4.8302 -4.3278 -3.8681 -3.4529 -3.0993 -2.8044 -2.5622 -2.3632 -2.1981 -2.0591
 -1.9400 -1.8364 -1.7446 -1.6616 -1.5852 -1.4165 -1.2683 -1.1410 -1.0430 -0.9747
 -0.9312 -0.9063 -0.8940 -0.8884 -0.8853 -0.8822 -0.8785 -0.8738 -0.8685 -0.8632
 -0.8588
 -4.7369 -4.2886 -3.8695 -3.4813 -3.1386 -2.8453 -2.5990 -2.3937 -2.2219 -2.0766
 -1.9518 -1.8432 -1.7472 -1.6610 -1.5877 -1.4037 -1.2624 -1.1427 -1.0437
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  V   
 -7.0601 -6.6929 -6.3624 -6.0569 -5.7819 -5.4322 -4.8935 -4.1553 -3.4767 -2.9522
 -2.5747 -2.3029 -2.0992 -1.9364 -1.7992 -1.5280 -1.3243 -1.1618 -1.0308
 -6.7251 -6.3069 -5.9338 -5.5964 -5.2743 -4.9219 -4.4498 -3.8372 -3.2750 -2.8210
 -2.4768 -2.2203 -2.0245 -1.8679 -1.7360 -1.4757 -1.2838 -1.1371 -1.0216 -0.9302
 -6.5089 -6.0430 -5.6229 -5.2445 -4.8962 -4.5500 -4.1429 -3.6336 -3.1517 -2.7470
 -2.4268 -2.1799 -1.9881 -1.8340 -1.7045 -1.4495 -1.2638 -1.1253 -1.0187 -0.9349
 -0.8688
 -6.3191 -5.8403 -5.3936 -4.9825 -4.6057 -4.2543 -3.8994 -3.4783 -3.0612 -2.6976
 -2.3993 -2.1617 -1.9731 -1.8205 -1.6922 -1.4395 -1.2558 -1.1212 -1.0199 -0.9416
 -0.8801 -0.8305
 -5.9250 -5.5112 -5.1259 -4.7494 -4.3775 -4.0223 -3.6865 -3.3398 -2.9814 -2.6558
 -2.3792 -2.1524 -1.9684 -1.8177 -1.6906 -1.4392 -1.2551 -1.1216 -1.0234 -0.9489
 -0.8914 -0.8455 -0.8072 -0.7744
 -5.5812 -5.1022 -4.7005 -4.3575 -4.0511 -3.7630 -3.4765 -3.1872 -2.8914 -2.6084
 -2.3572 -2.1440 -1.9665 -1.8191 -1.6940 -1.4443 -1.2589 -1.1244 -1.0274 -0.9557
 -0.9016 -0.8595 -0.8247 -0.7947 -0.7684 -0.7459 -0.7281 -0.7171 -0.7150 -0.7186
 -5.4571 -4.9110 -4.4435 -4.0512 -3.7212 -3.4349 -3.1787 -2.9448 -2.7224 -2.5111
 -2.3109 -2.1261 -1.9619 -1.8205 -1.6983 -1.4519 -1.2653 -1.1287 -1.0312 -0.9610
 -0.9097 -0.8713 -0.8407 -0.8145 -0.7910 -0.7701 -0.7524 -0.7388 -0.7314 -0.7337
 -0.7424
 -5.4725 -4.8792 -4.3582 -3.9152 -3.5451 -3.2367 -2.9743 -2.7449 -2.5385 -2.3534
 -2.1944 -2.0580 -1.9329 -1.8131 -1.7000 -1.4601 -1.2732 -1.1337 -1.0343 -0.9642
 -0.9148 -0.8797 -0.8535 -0.8320 -0.8127 -0.7948 -0.7790 -0.7655 -0.7564 -0.7519
 -0.7570
 -5.5405 -4.9256 -4.3705 -3.8871 -3.4793 -3.1423 -2.8640 -2.6308 -2.4308 -2.2563
 -2.1037 -1.9732 -1.8639 -1.7697 -1.6805 -1.4648 -1.2796 -1.1380 -1.0358 -0.9647
 -0.9162 -0.8836 -0.8616 -0.8452 -0.8310 -0.8176 -0.8052 -0.7937 -0.7842 -0.7780
 -0.7777
 -5.6050 -5.0004 -4.4337 -3.9277 -3.4920 -3.1278 -2.8288 -2.5838 -2.3804 -2.2087
 -2.0615 -1.9340 -1.8238 -1.7286 -1.6458 -1.4617 -1.2877 -1.1446 -1.0389 -0.9650
 -0.9156 -0.8840 -0.8650 -0.8534 -0.8448 -0.8369 -0.8293 -0.8215 -0.8144 -0.8089
 -0.8061
 -5.6259 -5.0445 -4.4981 -3.9900 -3.5417 -3.1592 -2.8420 -2.5822 -2.3692 -2.1930
 -2.0445 -1.9175 -1.8074 -1.7108 -1.6251 -1.4472 -1.2903 -1.1512 -1.0427 -0.9651
 -0.9134 -0.8814 -0.8637 -0.8556 -0.8522 -0.8502 -0.8483 -0.8458 -0.8428 -0.8401
 -0.8383
 -5.6056 -5.0663 -4.5431 -4.0540 -3.6069 -3.2174 -2.8880 -2.6143 -2.3894 -2.2040
 -2.0494 -1.9182 -1.8053 -1.7066 -1.6184 -1.4213 -1.2874 -1.1578 -1.0472
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  V   
 -7.2269 -6.9025 -6.6194 -6.3709 -6.0964 -5.7329 -5.2295 -4.5453 -3.7339 -3.0921
 -2.6406 -2.3267 -2.1006 -1.9276 -1.7862 -1.5132 -1.3101 -1.1514 -1.0231
 -6.8994 -6.5273 -6.2061 -5.9286 -5.6722 -5.3794 -4.9285 -4.2413 -3.5553 -2.9870
 -2.5645 -2.2610 -2.0398 -1.8705 -1.7329 -1.4684 -1.2754 -1.1290 -1.0138 -0.9218
 -6.6916 -6.2700 -5.9003 -5.5795 -5.2938 -5.0023 -4.6138 -4.0427 -3.4541 -2.9415
 -2.5391 -2.2388 -2.0160 -1.8457 -1.7086 -1.4471 -1.2583 -1.1183 -1.0107 -0.9258
 -0.8584
 -6.5454 -6.0904 -5.6789 -5.3131 -4.9879 -4.6834 -4.3499 -3.8842 -3.3783 -2.9172
 -2.5365 -2.2401 -2.0142 -1.8406 -1.7019 -1.4404 -1.2523 -1.1149 -1.0118 -0.9317
 -0.8687 -0.8182
 -6.3016 -5.8845 -5.4832 -5.1043 -4.7511 -4.4225 -4.1059 -3.7337 -3.3044 -2.8939
 -2.5394 -2.2512 -2.0244 -1.8471 -1.7057 -1.4425 -1.2533 -1.1159 -1.0151 -0.9384
 -0.8788 -0.8317 -0.7931 -0.7598
 -5.8561 -5.4559 -5.1185 -4.8126 -4.5112 -4.2018 -3.8878 -3.5726 -3.2180 -2.8599
 -2.5362 -2.2620 -2.0384 -1.8595 -1.7155 -1.4497 -1.2587 -1.1196 -1.0192 -0.9447
 -0.8880 -0.8441 -0.8089 -0.7792 -0.7537 -0.7323 -0.7160 -0.7065 -0.7052 -0.7095
 -5.6259 -5.1417 -4.7372 -4.4042 -4.1196 -3.8603 -3.6095 -3.3516 -3.0775 -2.7901
 -2.5121 -2.2628 -2.0497 -1.8730 -1.7279 -1.4595 -1.2667 -1.1251 -1.0235 -0.9500
 -0.8956 -0.8547 -0.8231 -0.7970 -0.7745 -0.7548 -0.7387 -0.7264 -0.7207 -0.7238
 -0.7330
 -5.5897 -5.0430 -4.5687 -4.1690 -3.8364 -3.5538 -3.3020 -3.0670 -2.8373 -2.6133
 -2.4068 -2.2163 -2.0396 -1.8796 -1.7394 -1.4705 -1.2764 -1.1319 -1.0277 -0.9538
 -0.9008 -0.8626 -0.8346 -0.8127 -0.7942 -0.7777 -0.7633 -0.7514 -0.7429 -0.7410
 -0.7483
 -5.6570 -5.0724 -4.5466 -4.0901 -3.7045 -3.3820 -3.1092 -2.8708 -2.6535 -2.4498
 -2.2632 -2.1016 -1.9651 -1.8445 -1.7310 -1.4792 -1.2847 -1.1380 -1.0309 -0.9554
 -0.9030 -0.8668 -0.8422 -0.8248 -0.8110 -0.7987 -0.7877 -0.7779 -0.7700 -0.7655
 -0.7668
 -5.7648 -5.1679 -4.6136 -4.1177 -3.6879 -3.3248 -3.0223 -2.7683 -2.5501 -2.3577
 -2.1849 -2.0315 -1.8992 -1.7877 -1.6924 -1.4828 -1.2953 -1.1467 -1.0361 -0.9575
 -0.9039 -0.8685 -0.8462 -0.8326 -0.8237 -0.8166 -0.8101 -0.8040 -0.7985 -0.7950
 -0.7936
 -5.8403 -5.2596 -4.7068 -4.1916 -3.7348 -3.3402 -3.0085 -2.7329 -2.5034 -2.3093
 -2.1421 -1.9961 -1.8682 -1.7572 -1.6613 -1.4692 -1.3020 -1.1555 -1.0420 -0.9597
 -0.9035 -0.8675 -0.8462 -0.8354 -0.8309 -0.8290 -0.8280 -0.8267 -0.8253 -0.8241
 -0.8287
 -5.8835 -5.3186 -4.7829 -4.2773 -3.8105 -3.3986 -3.0451 -2.7486 -2.5031 -2.2992
 -2.1281 -1.9822 -1.8560 -1.7460 -1.6377 -1.4384 -1.3048 -1.1644 -1.0486
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  V   
 -7.3153 -7.0312 -6.8000 -6.6067 -6.3948 -6.0839 -5.6030 -4.8944 -4.0052 -3.2611
 -2.7345 -2.3723 -2.1183 -1.9300 -1.7812 -1.5024 -1.2997 -1.1425 -1.0135
 -6.9947 -6.6684 -6.3984 -6.1796 -5.9859 -5.7538 -5.3474 -4.6302 -3.8557 -3.1800
 -2.6777 -2.3223 -2.0701 -1.8833 -1.7366 -1.4643 -1.2688 -1.1216 -1.0061 -0.9131
 -6.7899 -6.4123 -6.0927 -5.8295 -5.6077 -5.3792 -5.0365 -4.4476 -3.7785 -3.1628
 -2.6758 -2.3179 -2.0591 -1.8677 -1.7191 -1.4472 -1.2543 -1.1118 -1.0028 -0.9165
 -0.8475
 -6.6631 -6.2418 -5.8714 -5.5563 -5.2911 -5.0490 -4.7622 -4.2923 -3.7217 -3.1656
 -2.6992 -2.3391 -2.0711 -1.8717 -1.7183 -1.4434 -1.2500 -1.1089 -1.0036 -0.9217
 -0.8567 -0.8049
 -6.5229 -6.0961 -5.7036 -5.3513 -5.0410 -4.7659 -4.4967 -4.1332 -3.6565 -3.1651
 -2.7271 -2.3715 -2.0968 -1.8886 -1.7284 -1.4477 -1.2524 -1.1105 -1.0066 -0.9277
 -0.8659 -0.8170 -0.7776 -0.7446
 -6.1454 -5.7972 -5.4682 -5.1480 -4.8367 -4.5382 -4.2535 -3.9548 -3.5694 -3.1454
 -2.7459 -2.4038 -2.1281 -1.9130 -1.7459 -1.4570 -1.2592 -1.1150 -1.0108 -0.9336
 -0.8743 -0.8281 -0.7916 -0.7618 -0.7369 -0.7166 -0.7017 -0.6938 -0.6936 -0.6986
 -5.7767 -5.3630 -5.0312 -4.7593 -4.5172 -4.2790 -4.0250 -3.7507 -3.4462 -3.0960
 -2.7442 -2.4264 -2.1578 -1.9405 -1.7676 -1.4693 -1.2688 -1.1218 -1.0157 -0.9388
 -0.8814 -0.8377 -0.8042 -0.7776 -0.7556 -0.7371 -0.7223 -0.7117 -0.7078 -0.7118
 -0.7217
 -5.6568 -5.1659 -4.7504 -4.4113 -4.1349 -3.8985 -3.6789 -3.4588 -3.2182 -2.9552
 -2.6821 -2.4165 -2.1739 -1.9647 -1.7909 -1.4837 -1.2799 -1.1301 -1.0211 -0.9432
 -0.8868 -0.8453 -0.8147 -0.7917 -0.7733 -0.7577 -0.7448 -0.7344 -0.7281 -0.7278
 -0.7362
 -5.6900 -5.1466 -4.6663 -4.2566 -3.9157 -3.6328 -3.3896 -3.1673 -2.9496 -2.7254
 -2.5045 -2.3018 -2.1192 -1.9525 -1.8001 -1.4971 -1.2902 -1.1380 -1.0259 -0.9459
 -0.8896 -0.8497 -0.8218 -0.8025 -0.7882 -0.7767 -0.7670 -0.7599 -0.7554 -0.7533
 -0.7534
 -5.8125 -5.2379 -4.7137 -4.2493 -3.8506 -3.5145 -3.2325 -2.9901 -2.7723 -2.5666
 -2.3681 -2.1838 -2.0223 -1.8853 -1.7664 -1.5097 -1.3032 -1.1486 -1.0332 -0.9498
 -0.8918 -0.8525 -0.8265 -0.8101 -0.7999 -0.7928 -0.7875 -0.7829 -0.7792 -0.7776
 -0.7783
 -5.9322 -5.3620 -4.8184 -4.3225 -3.8810 -3.5002 -3.1773 -2.9056 -2.6734 -2.4696
 -2.2851 -2.1161 -1.9643 -1.8323 -1.7201 -1.5003 -1.3145 -1.1595 -1.0412 -0.9541
 -0.8934 -0.8531 -0.8279 -0.8137 -0.8069 -0.8043 -0.8038 -0.8038 -0.8040 -0.8048
 -0.8109
 -6.0120 -5.4619 -4.9294 -4.4250 -3.9604 -3.5501 -3.1944 -2.8929 -2.6394 -2.4248
 -2.2401 -2.0781 -1.9346 -1.8078 -1.6612 -1.4689 -1.3241 -1.1707 -1.0499
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  V   
 -7.3409 -7.1066 -7.0566 -7.0499 -6.9492 -6.6434 -6.0431 -5.1589 -4.2602 -3.4576
 -2.8575 -2.4434 -2.1552 -1.9462 -1.7858 -1.4971 -1.2915 -1.1346 -1.0063
 -7.0271 -6.7501 -6.5343 -6.3728 -6.2409 -6.0596 -5.6937 -4.9590 -4.1402 -3.3932
 -2.8166 -2.4069 -2.1183 -1.9090 -1.7491 -1.4642 -1.2645 -1.1153 -0.9988 -0.9046
 -6.8218 -6.4911 -6.2241 -6.0192 -5.8573 -5.6858 -5.3901 -4.8052 -4.0910 -3.3988
 -2.8353 -2.4189 -2.1198 -1.9025 -1.7383 -1.4509 -1.2521 -1.1063 -0.9953 -0.9073
 -0.8364
 -6.7000 -6.3181 -5.9941 -5.7329 -5.5274 -5.3459 -5.1096 -4.6610 -4.0556 -3.4278
 -2.8821 -2.4587 -2.1459 -1.9164 -1.7440 -1.4497 -1.2494 -1.1039 -0.9958 -0.9118
 -0.8447 -0.7910
 -6.6105 -6.1999 -5.8337 -5.5195 -5.2599 -5.0438 -4.8299 -4.4979 -4.0035 -3.4500
 -2.9348 -2.5120 -2.1875 -1.9445 -1.7616 -1.4563 -1.2530 -1.1060 -0.9986 -0.9171
 -0.8531 -0.8020 -0.7612 -0.7275
 -6.3141 -6.0253 -5.6734 -5.3478 -5.0547 -4.7960 -4.5635 -4.3034 -3.9172 -3.4467
 -2.9765 -2.5661 -2.2365 -1.9819 -1.7879 -1.4681 -1.2611 -1.1113 -1.0028 -0.9226
 -0.8608 -0.8122 -0.7738 -0.7431 -0.7178 -0.6982 -0.6851 -0.6791 -0.6799 -0.6861
 -5.9421 -5.6039 -5.3270 -5.0771 -4.8325 -4.5853 -4.3358 -4.0874 -3.7897 -3.4065
 -2.9942 -2.6102 -2.2849 -2.0240 -1.8203 -1.4837 -1.2722 -1.1192 -1.0082 -0.9278
 -0.8675 -0.8211 -0.7852 -0.7572 -0.7348 -0.7169 -0.7030 -0.6945 -0.6926 -0.6978
 -0.7087
 -5.7080 -5.2773 -4.9274 -4.6535 -4.4340 -4.2422 -4.0535 -3.8455 -3.6015 -3.3080
 -2.9710 -2.6315 -2.3245 -2.0654 -1.8557 -1.5024 -1.2850 -1.1290 -1.0149 -0.9326
 -0.8729 -0.8283 -0.7948 -0.7697 -0.7505 -0.7353 -0.7235 -0.7147 -0.7104 -0.7122
 -0.7218
 -5.6769 -5.1813 -4.7543 -4.4001 -4.1152 -3.8847 -3.6867 -3.5011 -3.3031 -3.0750
 -2.8228 -2.5652 -2.3159 -2.0858 -1.8846 -1.5215 -1.2972 -1.1386 -1.0213 -0.9365
 -0.8762 -0.8329 -0.8016 -0.7794 -0.7636 -0.7520 -0.7432 -0.7362 -0.7320 -0.7322
 -0.7376
 -5.7766 -5.2354 -4.7559 -4.3356 -3.9816 -3.6891 -3.4461 -3.2350 -3.0373 -2.8359
 -2.6221 -2.4084 -2.2111 -2.0342 -1.8750 -1.5442 -1.3130 -1.1510 -1.0305 -0.9421
 -0.8798 -0.8365 -0.8067 -0.7868 -0.7742 -0.7664 -0.7615 -0.7582 -0.7564 -0.7556
 -0.7600
 -5.9222 -5.3704 -4.8535 -4.3870 -3.9783 -3.6292 -3.3353 -3.0867 -2.8701 -2.6712
 -2.4782 -2.2888 -2.1107 -1.9525 -1.8162 -1.5451 -1.3290 -1.1639 -1.0405 -0.9486
 -0.8831 -0.8385 -0.8092 -0.7911 -0.7812 -0.7770 -0.7762 -0.7771 -0.7788 -0.7816
 -0.7891
 -6.0447 -5.5058 -4.9854 -4.4949 -4.0516 -3.6602 -3.3221 -3.0344 -2.7896 -2.5778
 -2.3880 -2.2131 -2.0507 -1.9031 -1.7082 -1.5242 -1.3452 -1.1773 -1.0513
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  V   
 -7.3168 -7.1382 -7.1564 -7.2005 -7.1217 -6.8178 -6.2127 -5.3136 -4.4808 -3.6709
 -3.0088 -2.5391 -2.2124 -1.9779 -1.8023 -1.4975 -1.2875 -1.1290 -0.9998
 -7.0084 -6.7867 -6.6293 -6.5241 -6.4400 -6.3117 -5.9752 -5.2121 -4.3943 -3.6163
 -2.9788 -2.5143 -2.1858 -1.9495 -1.7727 -1.4695 -1.2636 -1.1110 -0.9926 -0.8968
 -6.7999 -6.5222 -6.3128 -6.1670 -6.0608 -5.9400 -5.6863 -5.1134 -4.3696 -3.6368
 -3.0132 -2.5411 -2.1993 -1.9524 -1.7686 -1.4595 -1.2531 -1.1029 -0.9891 -0.8988
 -0.8258
