 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F277W
 -0.7255 -0.8687 -1.0057 -1.1371 -1.2633 -1.3853 -1.5035 -1.6181 -1.7295 -1.8380
 -1.9437
  0.6508  0.6742  0.6882  0.6889  0.6750  0.6480  0.6110  0.5669  0.5176  0.4647
  0.4099  0.3549  0.3014  0.2499  0.1988  0.0573 -0.1066 -0.2704 -0.4272 -0.5787
 -0.7263 -0.8698 -1.0077 -1.1398 -1.2662 -1.3880 -1.5057 -1.6197 -1.7303 -1.8377
 -1.9421
  0.5573  0.5832  0.6014  0.6113  0.6086  0.5931  0.5660  0.5297  0.4867  0.4388
  0.3874  0.3335  0.2785  0.2237  0.1695  0.0351 -0.1111 -0.2693 -0.4256 -0.5764
 -0.7229 -0.8659 -1.0044 -1.1375 -1.2647 -1.3867 -1.5043 -1.6177 -1.7274 -1.8340
 -1.9375
  0.4644  0.4858  0.5068  0.5221  0.5284  0.5236  0.5074  0.4811  0.4462  0.4051
  0.3593  0.3098  0.2577  0.2039  0.1491  0.0123 -0.1260 -0.2727 -0.4248 -0.5744
 -0.7195 -0.8612 -0.9994 -1.1332 -1.2615 -1.3845 -1.5025 -1.6160 -1.7255 -1.8316
 -1.9344
  0.3750  0.3902  0.4091  0.4261  0.4373  0.4406  0.4346  0.4185  0.3932  0.3603
  0.3215  0.2781  0.2312  0.1815  0.1295 -0.0058 -0.1425 -0.2822 -0.4270
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F277W
  1.0146  1.0073  0.9845  0.9519  0.9174  0.8746  0.8175  0.7527  0.6852  0.6164
  0.5468  0.4770  0.4070  0.3368  0.2667  0.0947 -0.0692 -0.2246 -0.3761
  1.0361  1.0201  0.9998  0.9600  0.9113  0.8609  0.8026  0.7379  0.6702  0.6011
  0.5312  0.4608  0.3899  0.3188  0.2478  0.0744 -0.0892 -0.2427 -0.3922 -0.5453
  1.0318  1.0128  0.9895  0.9655  0.9158  0.8560  0.7945  0.7296  0.6619  0.5932
  0.5235  0.4530  0.3819  0.3104  0.2388  0.0637 -0.1013 -0.2553 -0.4042 -0.5555
 -0.7051
  1.0099  0.9900  0.9613  0.9323  0.9060  0.8578  0.7930  0.7255  0.6574  0.5889
  0.5197  0.4497  0.3789  0.3075  0.2358  0.0592 -0.1079 -0.2636 -0.4131 -0.5631
 -0.7115 -0.8552
  0.9769  0.9629  0.9328  0.8949  0.8572  0.8231  0.7853  0.7250  0.6555  0.5864
  0.5177  0.4484  0.3783  0.3074  0.2360  0.0587 -0.1103 -0.2684 -0.4191 -0.5686
 -0.7162 -0.8590 -0.9966 -1.1298
  0.9318  0.9266  0.9035  0.8664  0.8220  0.7759  0.7322  0.6928  0.6470  0.5841
  0.5160  0.4477  0.3785  0.3086  0.2378  0.0607 -0.1100 -0.2703 -0.4228 -0.5722
