 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  z   
 -0.4538 -0.4738 -0.4957 -0.5187 -0.5400 -0.5688 -0.5698 -0.5788 -0.5992 -0.6299
 -0.6696 -0.7166 -0.7687 -0.8231 -0.8778 -0.9323 -0.9869 -1.0414 -1.0965 -1.1528
 -1.2110
 -0.6178 -0.5561 -0.5049 -0.4668 -0.4404 -0.4240 -0.4157 -0.4134 -0.4166 -0.4244
 -0.4358 -0.4496 -0.4642 -0.4796 -0.4962 -0.5378 -0.5614 -0.5740 -0.5957 -0.6267
 -0.6664 -0.7137 -0.7670 -0.8236 -0.8808 -0.9376 -0.9938 -1.0496 -1.1053 -1.1615
 -1.2187
 -0.5659 -0.5183 -0.4790 -0.4478 -0.4265 -0.4143 -0.4090 -0.4084 -0.4111 -0.4165
 -0.4242 -0.4339 -0.4449 -0.4563 -0.4679 -0.5011 -0.5371 -0.5649 -0.5892 -0.6207
 -0.6603 -0.7076 -0.7615 -0.8197 -0.8794 -0.9388 -0.9975 -1.0551 -1.1121 -1.1689
 -1.2258
 -0.4846 -0.4553 -0.4303 -0.4110 -0.3979 -0.3919 -0.3915 -0.3947 -0.4000 -0.4062
 -0.4132 -0.4210 -0.4296 -0.4389 -0.4551 -0.4587 -0.4969 -0.5515 -0.5797
 [Fe/H] = -0.75 [alpha/Fe] = 0.40 BC value =  z   
 -1.3015 -1.2862 -1.2678 -1.2393 -1.1789 -1.0909 -0.9853 -0.8708 -0.7656 -0.7095
 -0.6792 -0.6559 -0.6323 -0.6081 -0.5845 -0.5367 -0.5078 -0.4976 -0.5064
 -1.1245 -1.1056 -1.0901 -1.0709 -1.0409 -0.9927 -0.9181 -0.8187 -0.7410 -0.6976
 -0.6745 -0.6569 -0.6378 -0.6167 -0.5954 -0.5525 -0.5281 -0.5217 -0.5328 -0.5592
 -0.9790 -0.9513 -0.9336 -0.9195 -0.9027 -0.8763 -0.8326 -0.7678 -0.7122 -0.6794
 -0.6629 -0.6515 -0.6379 -0.6208 -0.6022 -0.5635 -0.5427 -0.5393 -0.5522 -0.5786
 -0.6150
 -0.8697 -0.8293 -0.8036 -0.7881 -0.7776 -0.7661 -0.7471 -0.7120 -0.6762 -0.6541
 -0.6444 -0.6394 -0.6324 -0.6206 -0.6054 -0.5710 -0.5531 -0.5522 -0.5666 -0.5934
 -0.6296 -0.6719
 -0.7888 -0.7392 -0.7039 -0.6817 -0.6699 -0.6646 -0.6607 -0.6498 -0.6328 -0.6217
 -0.6191 -0.6207 -0.6207 -0.6154 -0.6050 -0.5757 -0.5604 -0.5615 -0.5772 -0.6045
 -0.6408 -0.6834 -0.7295 -0.7770
 -0.7246 -0.6592 -0.6157 -0.5906 -0.5783 -0.5747 -0.5778 -0.5827 -0.5827 -0.5829
 -0.5875 -0.5953 -0.6023 -0.6044 -0.6002 -0.5778 -0.5651 -0.5679 -0.5847 -0.6126
 -0.6491 -0.6922 -0.7393 -0.7883 -0.8386 -0.8900 -0.9431 -0.9987 -1.0566 -1.1128
 -0.7086 -0.6305 -0.5690 -0.5250 -0.4981 -0.4871 -0.4906 -0.5058 -0.5237 -0.5383
 -0.5516 -0.5650 -0.5776 -0.5867 -0.5898 -0.5772 -0.5674 -0.5718 -0.5895 -0.6180
 -0.6550 -0.6985 -0.7466 -0.7971 -0.8487 -0.9010 -0.9544 -1.0090 -1.0659 -1.1251
 -1.1831
 -0.7021 -0.6218 -0.5562 -0.5050 -0.4683 -0.4456 -0.4361 -0.4388 -0.4530 -0.4748
 -0.5004 -0.5258 -0.5471 -0.5628 -0.5727 -0.5733 -0.5672 -0.5733 -0.5918 -0.6208
 -0.6582 -0.7023 -0.7515 -0.8035 -0.8567 -0.9104 -0.9646 -1.0196 -1.0757 -1.1337
 -1.1940
 -0.6932 -0.6140 -0.5488 -0.4974 -0.4589 -0.4327 -0.4178 -0.4136 -0.4190 -0.4321
 -0.4508 -0.4736 -0.4986 -0.5228 -0.5429 -0.5644 -0.5640 -0.5722 -0.5919 -0.6214
 -0.6594 -0.7043 -0.7546 -0.8084 -0.8635 -0.9189 -0.9746 -1.0304 -1.0867 -1.1441
 -1.2033
 -0.6808 -0.6044 -0.5407 -0.4907 -0.4535 -0.4278 -0.4119 -0.4047 -0.4054 -0.4129
 -0.4257 -0.4418 -0.4596 -0.4784 -0.4979 -0.5406 -0.5573 -0.5682 -0.5891 -0.6190
 -0.6572 -0.7025 -0.7536 -0.8088 -0.8660 -0.9233 -0.9806 -1.0375 -1.0945 -1.1521
 -1.2103
 -0.6512 -0.5839 -0.5263 -0.4791 -0.4446 -0.4210 -0.4068 -0.3998 -0.3989 -0.4031
 -0.4116 -0.4233 -0.4368 -0.4508 -0.4650 -0.5030 -0.5386 -0.5609 -0.5836 -0.6142
 -0.6524 -0.6979 -0.7494 -0.8056 -0.8646 -0.9241 -0.9835 -1.0421 -1.1002 -1.1583
 -1.2150
 -0.6044 -0.5417 -0.4953 -0.4568 -0.4269 -0.4071 -0.3959 -0.3912 -0.3914 -0.3951
 -0.4014 -0.4101 -0.4206 -0.4320 -0.4442 -0.4516 -0.5079 -0.5503 -0.5754
 [Fe/H] = -0.50 [alpha/Fe] = 0.40 BC value =  z   
 -1.5037 -1.5034 -1.4945 -1.4680 -1.3902 -1.2673 -1.1148 -0.9456 -0.7874 -0.7019
 -0.6623 -0.6392 -0.6194 -0.5992 -0.5790 -0.5356 -0.5089 -0.4988 -0.5070
 -1.3087 -1.3036 -1.2969 -1.2796 -1.2415 -1.1719 -1.0594 -0.9031 -0.7717 -0.6956
 -0.6595 -0.6399 -0.6237 -0.6064 -0.5882 -0.5491 -0.5262 -0.5198 -0.5292 -0.5529
 -1.1376 -1.1232 -1.1144 -1.1033 -1.0814 -1.0394 -0.9674 -0.8576 -0.7526 -0.6852
 -0.6516 -0.6350 -0.6226 -0.6089 -0.5934 -0.5581 -0.5384 -0.5349 -0.5467 -0.5714
 -0.6059
 -1.0000 -0.9714 -0.9548 -0.9439 -0.9317 -0.9101 -0.8709 -0.8030 -0.7256 -0.6689
 -0.6388 -0.6251 -0.6167 -0.6072 -0.5951 -0.5643 -0.5471 -0.5458 -0.5595 -0.5851
 -0.6196 -0.6608
 -0.8996 -0.8553 -0.8260 -0.8083 -0.7973 -0.7869 -0.7700 -0.7366 -0.6875 -0.6451
 -0.6205 -0.6102 -0.6059 -0.6012 -0.5933 -0.5680 -0.5532 -0.5539 -0.5688 -0.5952
 -0.6301 -0.6714 -0.7171 -0.7647
 -0.8094 -0.7619 -0.7269 -0.7015 -0.6852 -0.6761 -0.6702 -0.6601 -0.6378 -0.6123
 -0.5958 -0.5901 -0.5901 -0.5905 -0.5876 -0.5695 -0.5573 -0.5595 -0.5754 -0.6025
 -0.6378 -0.6794 -0.7257 -0.7748 -0.8256 -0.8779 -0.9321 -0.9893 -1.0484 -1.1055
 -0.7605 -0.6888 -0.6363 -0.6021 -0.5831 -0.5749 -0.5737 -0.5773 -0.5771 -0.5700
 -0.5641 -0.5643 -0.5691 -0.5746 -0.5771 -0.5684 -0.5592 -0.5631 -0.5798 -0.6073
 -0.6431 -0.6851 -0.7321 -0.7824 -0.8345 -0.8878 -0.9423 -0.9982 -1.0567 -1.1172
 -1.1761
 -0.7460 -0.6656 -0.5997 -0.5491 -0.5135 -0.4917 -0.4820 -0.4841 -0.4963 -0.5097
 -0.5211 -0.5318 -0.5426 -0.5531 -0.5613 -0.5640 -0.5589 -0.5645 -0.5821 -0.6100
 -0.6463 -0.6888 -0.7365 -0.7879 -0.8414 -0.8959 -0.9513 -1.0074 -1.0650 -1.1248
 -1.1866
 -0.7361 -0.6536 -0.5846 -0.5288 -0.4860 -0.4558 -0.4375 -0.4297 -0.4321 -0.4433
 -0.4598 -0.4803 -0.5022 -0.5223 -0.5382 -0.5555 -0.5560 -0.5637 -0.5826 -0.6110
 -0.6478 -0.6911 -0.7395 -0.7921 -0.8472 -0.9032 -0.9600 -1.0177 -1.0761 -1.1352
 -1.1947
 -0.7281 -0.6444 -0.5748 -0.5182 -0.4739 -0.4413 -0.4194 -0.4073 -0.4044 -0.4096
 -0.4210 -0.4369 -0.4559 -0.4767 -0.4978 -0.5379 -0.5501 -0.5603 -0.5804 -0.6094
 -0.6463 -0.6901 -0.7392 -0.7927 -0.8491 -0.9067 -0.9648 -1.0230 -1.0814 -1.1405
 -1.2003
 -0.7132 -0.6333 -0.5642 -0.5082 -0.4645 -0.4323 -0.4103 -0.3971 -0.3918 -0.3934
 -0.4010 -0.4130 -0.4278 -0.4438 -0.4604 -0.5030 -0.5365 -0.5540 -0.5756 -0.6054
 -0.6426 -0.6866 -0.7362 -0.7903 -0.8478 -0.9070 -0.9669 -1.0265 -1.0860 -1.1455
 -1.2034
 -0.6801 -0.6096 -0.5470 -0.4944 -0.4522 -0.4216 -0.4011 -0.3889 -0.3836 -0.3839
 -0.3889 -0.3978 -0.4095 -0.4227 -0.4260 -0.4508 -0.5152 -0.5448 -0.5682
 [Fe/H] = -0.25 [alpha/Fe] = 0.40 BC value =  z   
 -1.6861 -1.7063 -1.7225 -1.7108 -1.6478 -1.5146 -1.2963 -1.0186 -0.8132 -0.6966
 -0.6433 -0.6183 -0.6016 -0.5856 -0.5691 -0.5315 -0.5067 -0.4976 -0.5046
 -1.4839 -1.5015 -1.5076 -1.4994 -1.4599 -1.3724 -1.2193 -0.9992 -0.8097 -0.6964
 -0.6429 -0.6191 -0.6048 -0.5915 -0.5769 -0.5427 -0.5216 -0.5156 -0.5241 -0.5457
 -1.2955 -1.2999 -1.3058 -1.3034 -1.2814 -1.2271 -1.1263 -0.9668 -0.8047 -0.6952
 -0.6395 -0.6151 -0.6028 -0.5924 -0.5805 -0.5502 -0.5316 -0.5282 -0.5393 -0.5626
 -0.5955
 -1.1340 -1.1231 -1.1207 -1.1192 -1.1091 -1.0803 -1.0215 -0.9180 -0.7909 -0.6906
 -0.6336 -0.6078 -0.5967 -0.5893 -0.5806 -0.5552 -0.5388 -0.5374 -0.5502 -0.5749
 -0.6083 -0.6483
 -1.0078 -0.9782 -0.9623 -0.9547 -0.9485 -0.9354 -0.9063 -0.8491 -0.7620 -0.6786
 -0.6241 -0.5976 -0.5872 -0.5825 -0.5774 -0.5580 -0.5441 -0.5442 -0.5582 -0.5838
 -0.6179 -0.6582 -0.7031 -0.7505
 -0.8973 -0.8700 -0.8391 -0.8195 -0.8082 -0.8000 -0.7879 -0.7628 -0.7148 -0.6553
 -0.6090 -0.5839 -0.5744 -0.5721 -0.5706 -0.5586 -0.5476 -0.5492 -0.5641 -0.5902
 -0.6249 -0.6656 -0.7110 -0.7599 -0.8109 -0.8640 -0.9196 -0.9780 -1.0380 -1.0959
 -0.8181 -0.7650 -0.7313 -0.7094 -0.6935 -0.6823 -0.6752 -0.6677 -0.6500 -0.6179
 -0.5856 -0.5654 -0.5580 -0.5581 -0.5600 -0.5567 -0.5494 -0.5526 -0.5681 -0.5946
 -0.6297 -0.6709 -0.7168 -0.7665 -0.8187 -0.8725 -0.9279 -0.9854 -1.0455 -1.1069
 -1.1664
 -0.7852 -0.7106 -0.6526 -0.6115 -0.5854 -0.5711 -0.5652 -0.5649 -0.5679 -0.5629
 -0.5504 -0.5401 -0.5370 -0.5401 -0.5454 -0.5515 -0.5490 -0.5540 -0.5706 -0.5973
 -0.6326 -0.6743 -0.7208 -0.7712 -0.8245 -0.8795 -0.9358 -0.9932 -1.0523 -1.1136
 -1.1763
 -0.7709 -0.6901 -0.6222 -0.5678 -0.5270 -0.4989 -0.4814 -0.4731 -0.4739 -0.4819
 -0.4898 -0.4976 -0.5064 -0.5161 -0.5260 -0.5426 -0.5460 -0.5535 -0.5714 -0.5987
 -0.6344 -0.6766 -0.7237 -0.7749 -0.8293 -0.8855 -0.9430 -1.0013 -1.0606 -1.1213
 -1.1837
 -0.7617 -0.6782 -0.6075 -0.5487 -0.5019 -0.4666 -0.4421 -0.4271 -0.4206 -0.4222
 -0.4301 -0.4421 -0.4577 -0.4757 -0.4940 -0.5281 -0.5402 -0.5505 -0.5697 -0.5977
 -0.6336 -0.6761 -0.7238 -0.7756 -0.8306 -0.8880 -0.9466 -1.0059 -1.0658 -1.1271
 -1.1874
 -0.7537 -0.6690 -0.5963 -0.5361 -0.4876 -0.4502 -0.4230 -0.4050 -0.3955 -0.3935
 -0.3980 -0.4076 -0.4209 -0.4369 -0.4544 -0.4991 -0.5294 -0.5449 -0.5657 -0.5946
 -0.6308 -0.6735 -0.7215 -0.7738 -0.8296 -0.8879 -0.9478 -1.0082 -1.0690 -1.1300
 -1.1875
 -0.7361 -0.6563 -0.5851 -0.5242 -0.4756 -0.4380 -0.4107 -0.3923 -0.3817 -0.3780
 -0.3803 -0.3877 -0.3988 -0.4122 -0.4072 -0.4556 -0.5136 -0.5367 -0.5594
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  z   
 -1.8376 -1.8800 -1.8952 -1.8653 -1.7843 -1.6315 -1.3969 -1.0681 -0.8415 -0.6964
 -0.6250 -0.5947 -0.5793 -0.5670 -0.5545 -0.5232 -0.5015 -0.4936 -0.5006
 -1.6350 -1.6731 -1.7030 -1.7112 -1.6789 -1.5799 -1.3824 -1.0917 -0.8538 -0.7028
 -0.6276 -0.5960 -0.5817 -0.5717 -0.5612 -0.5331 -0.5140 -0.5087 -0.5168 -0.5370
 -1.4376 -1.4650 -1.4908 -1.5032 -1.4881 -1.4274 -1.2989 -1.0872 -0.8661 -0.7119
