 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.6001 -1.4656 -1.3704 -1.2980 -1.2399 -1.1336 -1.0610 -1.0133 -0.9876 -0.9811
 -3.2887 -3.2126 -3.1501 -3.0890 -3.0123 -2.8958 -2.7053 -2.4064 -2.0818 -1.8079
 -1.6083 -1.4707 -1.3735 -1.3005 -1.2425 -1.1386 -1.0696 -1.0253 -1.0021 -0.9966
 -1.0054
 -3.1061 -3.0037 -2.9208 -2.8492 -2.7767 -2.6864 -2.5532 -2.3372 -2.0691 -1.8181
 -1.6213 -1.4802 -1.3797 -1.3049 -1.2463 -1.1432 -1.0769 -1.0350 -1.0135 -1.0087
 -1.0168 -1.0356
 -2.9603 -2.8340 -2.7298 -2.6428 -2.5655 -2.4872 -2.3911 -2.2444 -2.0381 -1.8199
 -1.6326 -1.4906 -1.3871 -1.3101 -1.2503 -1.1471 -1.0827 -1.0427 -1.0224 -1.0181
 -1.0260 -1.0435 -1.0694 -1.1013
 -2.7843 -2.6897 -2.5742 -2.4738 -2.3866 -2.3074 -2.2277 -2.1283 -1.9820 -1.8051
 -1.6363 -1.4983 -1.3937 -1.3149 -1.2539 -1.1498 -1.0870 -1.0487 -1.0292 -1.0253
 -1.0332 -1.0501 -1.0748 -1.1059 -1.1419 -1.1827 -1.2284 -1.2789 -1.3327 -1.3847
 -2.6221 -2.4957 -2.3970 -2.3117 -2.2309 -2.1526 -2.0764 -1.9990 -1.9002 -1.7684
 -1.6265 -1.4994 -1.3972 -1.3181 -1.2564 -1.1512 -1.0893 -1.0525 -1.0339 -1.0303
 -1.0384 -1.0553 -1.0795 -1.1099 -1.1449 -1.1837 -1.2260 -1.2725 -1.3237 -1.3776
 -1.4301
 -2.5343 -2.3687 -2.2336 -2.1277 -2.0448 -1.9766 -1.9158 -1.8552 -1.7885 -1.7017
 -1.5959 -1.4887 -1.3946 -1.3180 -1.2567 -1.1509 -1.0894 -1.0541 -1.0366 -1.0332
 -1.0416 -1.0589 -1.0832 -1.1136 -1.1484 -1.1866 -1.2276 -1.2712 -1.3183 -1.3694
 -1.4237
 -2.5109 -2.3256 -2.1648 -2.0298 -1.9200 -1.8318 -1.7590 -1.6965 -1.6384 -1.5783
 -1.5104 -1.4394 -1.3703 -1.3068 -1.2512 -1.1481 -1.0866 -1.0527 -1.0366 -1.0340
 -1.0428 -1.0608 -1.0857 -1.1166 -1.1520 -1.1905 -1.2313 -1.2738 -1.3185 -1.3663
 -1.4175
 -2.5247 -2.3265 -2.1513 -1.9978 -1.8670 -1.7583 -1.6689 -1.5943 -1.5295 -1.4698
 -1.4109 -1.3539 -1.3035 -1.2607 -1.2235 -1.1425 -1.0824 -1.0490 -1.0341 -1.0324
 -1.0416 -1.0600 -1.0857 -1.1172 -1.1534 -1.1929 -1.2344 -1.2771 -1.3211 -1.3667
 -1.4140
 -2.5615 -2.3535 -2.1664 -2.0005 -1.8555 -1.7312 -1.6267 -1.5397 -1.4669 -1.4042
 -1.3474 -1.2946 -1.2470 -1.2068 -1.1744 -1.1182 -1.0746 -1.0426 -1.0288 -1.0280
 -1.0378 -1.0567 -1.0831 -1.1154 -1.1526 -1.1933 -1.2362 -1.2800 -1.3245 -1.3696
 -1.4133
 -2.6147 -2.3969 -2.2003 -2.0233 -1.8677 -1.7318 -1.6153 -1.5171 -1.4352 -1.3669
 -1.3087 -1.2580 -1.2129 -1.1735 -1.1039 -1.0752 -1.0632 -1.0335 -1.0207
 [Fe/H] =  0.00 [alpha/Fe] = 0.40 BC value =  i   
 -3.8841 -3.8851 -3.8929 -3.8571 -3.7460 -3.5164 -3.1485 -2.6076 -2.1947 -1.8644
 -1.6302 -1.4763 -1.3712 -1.2931 -1.2316 -1.1194 -1.0417 -0.9887 -0.9588
 -3.6376 -3.6223 -3.6139 -3.5955 -3.5393 -3.3966 -3.0954 -2.6203 -2.1973 -1.8659
 -1.6321 -1.4768 -1.3709 -1.2933 -1.2325 -1.1234 -1.0501 -1.0013 -0.9744 -0.9665
 -3.4195 -3.3794 -3.3524 -3.3247 -3.2751 -3.1704 -2.9610 -2.6051 -2.2130 -1.8875
