 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  B   
 -6.7227 -6.3979 -6.1089 -5.8482 -5.6096 -5.3894 -5.1853 -4.9958 -4.8210 -4.6591
 -4.5076 -4.3631 -4.2215 -4.0831 -3.9389 -3.5982 -3.3322 -3.1192 -2.9430 -2.8028
 -2.6911 -2.5968 -2.5129 -2.4357 -2.3636 -2.2957 -2.2325 -2.1738 -2.1201 -2.0749
 -2.0493
 -6.6238 -6.3280 -6.0626 -5.8197 -5.5927 -5.3786 -5.1754 -4.9831 -4.8017 -4.6321
 -4.4733 -4.3237 -4.1819 -4.0461 -3.9134 -3.5926 -3.3263 -3.1178 -2.9475 -2.8108
 -2.7042 -2.6171 -2.5410 -2.4715 -2.4063 -2.3444 -2.2859 -2.2312 -2.1807 -2.1360
 -2.1019
 -6.5134 -6.2450 -6.0019 -5.7785 -5.5669 -5.3636 -5.1670 -4.9772 -4.7952 -4.6221
 -4.4585 -4.3046 -4.1598 -4.0230 -3.8925 -3.5883 -3.3288 -3.1206 -2.9532 -2.8178
 -2.7129 -2.6305 -2.5617 -2.5003 -2.4430 -2.3883 -2.3360 -2.2863 -2.2396 -2.1970
 -2.1611
 -6.4061 -6.1631 -5.9370 -5.7292 -5.5332 -5.3432 -5.1575 -4.9748 -4.7965 -4.6242
 -4.4592 -4.3026 -4.1549 -4.0163 -3.8852 -3.5874 -3.3357 -3.1285 -2.9622 -2.8275
 -2.7217 -2.6406 -2.5764 -2.5221 -2.4730 -2.4265 -2.3818 -2.3388 -2.2975 -2.2587
 -2.2228
 -6.3057 -6.0790 -5.8684 -5.6715 -5.4862 -5.3093 -5.1359 -4.9639 -4.7936 -4.6263
 -4.4635 -4.3070 -4.1580 -4.0174 -3.8848 -3.5877 -3.3408 -3.1360 -2.9703 -2.8363
 -2.7300 -2.6482 -2.5854 -2.5357 -2.4937 -2.4554 -2.4192 -2.3840 -2.3497 -2.3168
 -2.2860
 -6.2123 -5.9927 -5.7943 -5.6063 -5.4294 -5.2612 -5.0985 -4.9383 -4.7785 -4.6200
 -4.4635 -4.3107 -4.1631 -4.0223 -3.8913 -3.5892 -3.3441 -3.1431 -2.9775
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  B   
 -8.2077 -7.9407 -7.7273 -7.5558 -7.3726 -7.1875 -6.9886 -6.7748 -6.5445 -6.3051
 -6.0527 -5.7930 -5.5388 -5.2951 -5.0291 -4.4901
 -7.7235 -7.4218 -7.1709 -6.9589 -6.7747 -6.6036 -6.4321 -6.2506 -6.0581 -5.8557
 -5.6382 -5.4055 -5.1665 -4.9365 -4.7103 -4.2284 -3.7975 -3.4156 -3.1031
 -7.3408 -7.0013 -6.7206 -6.4914 -6.3004 -6.1331 -5.9765 -5.8173 -5.6526 -5.4797
 -5.2930 -5.0886 -4.8698 -4.6538 -4.4530 -4.0164 -3.6429 -3.3156 -3.0417 -2.8233
 -2.6467
 -7.0596 -6.6792 -6.3764 -6.1533 -5.9497 -5.7759 -5.6218 -5.4749 -5.3280 -5.1771
 -5.0171 -4.8423 -4.6487 -4.4470 -4.2572 -3.8541 -3.5236 -3.2392 -2.9975 -2.8018
 -2.6406 -2.5078 -2.3898
 -6.9081 -6.4969 -6.1705 -5.9174 -5.7162 -5.5465 -5.3912 -5.2391 -5.0913 -4.9474
 -4.8026 -4.6515 -4.4862 -4.3033 -4.1229 -3.7415 -3.4396 -3.1864 -2.9705 -2.7931
 -2.6476 -2.5239 -2.4152 -2.3183 -2.2298
 -6.8916 -6.4679 -6.1137 -5.8310 -5.6047 -5.4179 -5.2564 -5.1083 -4.9637 -4.8151
