 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =Btycho
 -3.9566 -3.8398 -3.7503 -3.6825 -3.6288 -3.5832 -3.5425 -3.5045 -3.4689 -3.4354
 -3.4044
 -9.2128 -8.8009 -8.4268 -8.0860 -7.7709 -7.4743 -7.1928 -6.9243 -6.6690 -6.4279
 -6.2023 -5.9921 -5.7933 -5.6098 -5.4446 -5.0548 -4.7632 -4.5103 -4.2901
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =Btycho
 -9.5706 -9.3592 -9.1632 -8.9724 -8.7767 -8.5608 -8.3103 -8.0272 -7.7520 -7.4844
 -7.2174 -6.9507 -6.6915 -6.4517 -6.2317 -5.7470 -5.3135 -4.9071 -4.5341
 -9.1202 -8.8704 -8.6489 -8.4464 -8.2526 -8.0549 -7.8373 -7.6039 -7.3726 -7.1417
 -6.9036 -6.6568 -6.4113 -6.1800 -5.9679 -5.5097 -5.1163 -4.7616 -4.4385 -4.1570
 -8.8177 -8.5212 -8.2635 -8.0395 -7.8400 -7.6532 -7.4640 -7.2664 -7.0687 -6.8696
 -6.6621 -6.4412 -6.2117 -5.9889 -5.7829 -5.3434 -4.9782 -4.6582 -4.3709 -4.1172
 -3.9056
 -8.5872 -8.2541 -7.9884 -7.7553 -7.5425 -7.3524 -7.1764 -7.0021 -6.8284 -6.6539
 -6.4734 -6.2802 -6.0719 -5.8598 -5.6589 -5.2312 -4.8846 -4.5878 -4.3259 -4.0942
 -3.8982 -3.7369
 -8.5473 -8.1345 -7.7950 -7.5216 -7.3080 -7.1411 -6.9851 -6.8229 -6.6579 -6.4937
 -6.3283 -6.1568 -5.9720 -5.7750 -5.5798 -5.1583 -4.8234 -4.5423 -4.2981 -4.0836
 -3.9003 -3.7490 -3.6226 -3.5131
 -8.6233 -8.1610 -7.7735 -7.4540 -7.1952 -6.9859 -6.8153 -6.6745 -6.5483 -6.4037
 -6.2399 -6.0710 -5.8996 -5.7197 -5.5331 -5.1144 -4.7850 -4.5146 -4.2827 -4.0813
 -3.9087 -3.7657 -3.6470 -3.5451 -3.4543 -3.3723 -3.2972 -3.2256 -3.1600 -3.1173
 -8.7824 -8.2731 -7.8470 -7.4936 -7.2006 -6.9570 -6.7532 -6.5803 -6.4306 -6.2995
 -6.1736 -6.0278 -5.8603 -5.6858 -5.5090 -5.0928 -4.7634 -4.4993 -4.2762 -4.0844
 -3.9206 -3.7846 -3.6728 -3.5777 -3.4938 -3.4177 -3.3487 -3.2850 -3.2250 -3.1717
 -3.1397
 -9.0141 -8.4554 -7.9872 -7.5992 -7.2759 -7.0036 -6.7713 -6.5711 -6.3953 -6.2376
 -6.0927 -5.9581 -5.8231 -5.6705 -5.5023 -5.0897 -4.7554 -4.4933 -4.2759 -4.0908
 -3.9338 -3.8034 -3.6972 -3.6089 -3.5319 -3.4623 -3.3990 -3.3408 -3.2876 -3.2386
 -3.1975
 -9.2800 -8.6846 -8.1774 -7.7536 -7.3987 -7.0982 -6.8385 -6.6116 -6.4108 -6.2308
 -6.0660 -5.9125 -5.7683 -5.6301 -5.4875 -5.0996 -4.7567 -4.4920 -4.2779 -4.0974
 -3.9451 -3.8190 -3.7174 -3.6350 -3.5650 -3.5026 -3.4459 -3.3936 -3.3456 -3.3023
 -3.2634
 -9.5479 -8.9411 -8.4084 -7.9555 -7.5698 -7.2395 -6.9523 -6.6991 -6.4733 -6.2702
 -6.0854 -5.9151 -5.7561 -5.6064 -5.4640 -5.1156 -4.7766 -4.5022 -4.2873 -4.1091
 -3.9592 -3.8351 -3.7359 -3.6575 -3.5936 -3.5384 -3.4890 -3.4435 -3.4015 -3.3630
 -3.3283
 -9.7741 -9.1781 -8.6429 -8.1767 -7.7699 -7.4146 -7.1012 -6.8222 -6.5718 -6.3458
 -6.1403 -5.9521 -5.7780 -5.6158 -5.4633 -5.1191 -4.8032 -4.5227 -4.3012 -4.1227
 -3.9737 -3.8501 -3.7512 -3.6746 -3.6151 -3.5664 -3.5245 -3.4865 -3.4515 -3.4192
 -3.3896
 -9.9422 -9.3707 -8.8529 -8.3892 -7.9758 -7.6063 -7.2738 -6.9729 -6.7000 -6.4519
 -6.2260 -6.0195 -5.8295 -5.6537 -5.4854 -5.1101 -4.8365 -4.5535 -4.3196
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =Btycho
 -9.7209 -9.5490 -9.3799 -9.2022 -9.0042 -8.7629 -8.4562 -8.0912 -7.7500 -7.4464
 -7.1671 -6.9028 -6.6525 -6.4188 -6.2043 -5.7341 -5.3215 -4.9371 -4.5764
 -9.2381 -9.0371 -8.8479 -8.6614 -8.4667 -8.2484 -7.9844 -7.6881 -7.4032 -7.1393
 -6.8869 -6.6399 -6.3998 -6.1737 -5.9651 -5.5157 -5.1332 -4.7892 -4.4778 -4.1973
