 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -3.6226 -3.2396 -2.8978 -2.5934 -2.3209 -2.0820 -1.8780 -1.7062 -1.5611 -1.4357
 -1.3245 -1.2243 -1.1340 -1.0526 -0.9783 -0.8019 -0.6372 -0.5002 -0.3913 -0.3060
 -0.2404 -0.1911 -0.1553 -0.1304 -0.1136 -0.1025 -0.0952 -0.0903 -0.0871 -0.0856
 -0.0848
 -3.7643 -3.3659 -3.0108 -2.7010 -2.4209 -2.1704 -1.9489 -1.7578 -1.5954 -1.4565
 -1.3360 -1.2292 -1.1329 -1.0458 -0.9447 -0.8077 -0.6497 -0.5093 -0.3966
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  Hp  
 -3.5196 -3.1654 -2.8677 -2.6210 -2.3796 -2.1681 -1.9886 -1.8314 -1.6865 -1.5609
 -1.4416 -1.3294 -1.2250 -1.1283 -1.0388 -0.8435 -0.6794 -0.5409 -0.4244
 -3.5602 -3.2069 -2.8839 -2.6050 -2.3630 -2.1416 -1.9545 -1.7936 -1.6468 -1.5198
 -1.4005 -1.2888 -1.1848 -1.0883 -0.9991 -0.8067 -0.6504 -0.5198 -0.4074 -0.3077
 -3.3503 -3.2467 -2.9207 -2.6301 -2.3709 -2.1395 -1.9406 -1.7736 -1.6252 -1.4959
