 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  z   
 -0.5956 -0.5974 -0.6006 -0.6052 -0.6112 -0.6356 -0.6676 -0.6943 -0.7191 -0.7523
 -0.7947 -0.8457 -0.9036 -0.9656 -1.0286 -1.0908 -1.1520 -1.2120 -1.2711 -1.3297
 -1.3882
 -0.5706 -0.5646 -0.5620 -0.5624 -0.5662 -0.5713 -0.5762 -0.5797 -0.5816 -0.5824
 -0.5829 -0.5840 -0.5861 -0.5895 -0.6021 -0.5962 -0.6291 -0.6816 -0.7101
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =  z   
 -1.2676 -1.2361 -1.2079 -1.1765 -1.1343 -1.0770 -1.0019 -0.9177 -0.8613 -0.8275
 -0.8014 -0.7749 -0.7476 -0.7213 -0.6978 -0.6538 -0.6303 -0.6239 -0.6352
 -1.1259 -1.0915 -1.0671 -1.0460 -1.0221 -0.9887 -0.9398 -0.8862 -0.8482 -0.8246
 -0.8049 -0.7833 -0.7590 -0.7347 -0.7127 -0.6725 -0.6519 -0.6485 -0.6622 -0.6920
 -1.0198 -0.9771 -0.9501 -0.9331 -0.9201 -0.9048 -0.8804 -0.8503 -0.8277 -0.8135
 -0.8012 -0.7854 -0.7653 -0.7434 -0.7227 -0.6852 -0.6673 -0.6664 -0.6818 -0.7117
 -0.7518
 -0.9443 -0.8929 -0.8591 -0.8396 -0.8303 -0.8258 -0.8197 -0.8083 -0.7993 -0.7944
 -0.7899 -0.7813 -0.7668 -0.7482 -0.7293 -0.6941 -0.6784 -0.6795 -0.6963 -0.7265
 -0.7667 -0.8123
 -0.8609 -0.8111 -0.7830 -0.7656 -0.7561 -0.7550 -0.7590 -0.7617 -0.7641 -0.7680
 -0.7713 -0.7704 -0.7627 -0.7491 -0.7328 -0.7001 -0.6863 -0.6890 -0.7070 -0.7376
 -0.7779 -0.8241 -0.8727 -0.9219
 -0.8346 -0.7613 -0.7111 -0.6831 -0.6753 -0.6833 -0.6985 -0.7139 -0.7262 -0.7371
 -0.7466 -0.7526 -0.7524 -0.7452 -0.7330 -0.7036 -0.6915 -0.6957 -0.7144 -0.7455
 -0.7860 -0.8329 -0.8829 -0.9337 -0.9851 -1.0370 -1.0904 -1.1463 -1.2046 -1.2612
 -0.8354 -0.7572 -0.6978 -0.6561 -0.6313 -0.6218 -0.6264 -0.6443 -0.6708 -0.6974
 -0.7176 -0.7301 -0.7359 -0.7355 -0.7289 -0.7048 -0.6944 -0.6999 -0.7192 -0.7506
 -0.7913 -0.8388 -0.8902 -0.9431 -0.9962 -1.0497 -1.1036 -1.1587 -1.2161 -1.2758
 -1.3345
 -0.8381 -0.7609 -0.7007 -0.6560 -0.6256 -0.6079 -0.6014 -0.6049 -0.6170 -0.6367
 -0.6617 -0.6874 -0.7071 -0.7173 -0.7186 -0.7034 -0.6948 -0.7016 -0.7215 -0.7529
 -0.7939 -0.8419 -0.8947 -0.9496 -1.0049 -1.0602 -1.1158 -1.1716 -1.2283 -1.2869
 -1.3482
 -0.8324 -0.7593 -0.7022 -0.6594 -0.6289 -0.6089 -0.5978 -0.5944 -0.5979 -0.6067
 -0.6195 -0.6354 -0.6541 -0.6733 -0.6887 -0.6979 -0.6927 -0.7009 -0.7216 -0.7532
 -0.7944 -0.8430 -0.8971 -0.9542 -1.0119 -1.0694 -1.1268 -1.1841 -1.2416 -1.2999
 -1.3601
 -0.8088 -0.7466 -0.6951 -0.6566 -0.6292 -0.6107 -0.5990 -0.5926 -0.5910 -0.5936
 -0.5995 -0.6077 -0.6174 -0.6290 -0.6427 -0.6757 -0.6875 -0.6974 -0.7188 -0.7503
 -0.7912 -0.8401 -0.8950 -0.9539 -1.0141 -1.0740 -1.1335 -1.1924 -1.2511 -1.3099
 -1.3695
 -0.7584 -0.7111 -0.6719 -0.6405 -0.6190 -0.6047 -0.5956 -0.5899 -0.5868 -0.5862
 -0.5879 -0.5918 -0.5972 -0.6037 -0.6114 -0.6394 -0.6701 -0.6907 -0.7134 -0.7452
 -0.7857 -0.8343 -0.8896 -0.9497 -1.0120 -1.0745 -1.1364 -1.1975 -1.2578 -1.3177
 -1.3777
 -0.6810 -0.6504 -0.6253 -0.6061 -0.5925 -0.5849 -0.5810 -0.5790 -0.5779 -0.5774
 -0.5778 -0.5794 -0.5825 -0.5868 -0.5948 -0.5890 -0.6405 -0.6808 -0.7054
 [Fe/H] = -0.25 [alpha/Fe] = 0.00 BC value =  z   
 -1.4639 -1.4361 -1.4064 -1.3657 -1.3031 -1.2128 -1.0909 -0.9526 -0.8611 -0.8141
 -0.7866 -0.7635 -0.7404 -0.7176 -0.6962 -0.6553 -0.6331 -0.6268 -0.6350
 -1.2967 -1.2660 -1.2406 -1.2122 -1.1726 -1.1131 -1.0258 -0.9260 -0.8534 -0.8136
 -0.7905 -0.7712 -0.7508 -0.7299 -0.7100 -0.6723 -0.6529 -0.6491 -0.6603 -0.6857
 -1.1635 -1.1241 -1.0971 -1.0752 -1.0509 -1.0159 -0.9620 -0.8943 -0.8394 -0.8068
 -0.7880 -0.7728 -0.7560 -0.7374 -0.7189 -0.6837 -0.6665 -0.6652 -0.6786 -0.7052
 -0.7425
 -1.0658 -1.0144 -0.9799 -0.9573 -0.9404 -0.9222 -0.8947 -0.8544 -0.8172 -0.7931
 -0.7793 -0.7688 -0.7563 -0.7410 -0.7244 -0.6915 -0.6763 -0.6768 -0.6920 -0.7196
 -0.7572 -0.8012
 -0.9815 -0.9304 -0.8904 -0.8628 -0.8455 -0.8347 -0.8243 -0.8065 -0.7862 -0.7721
 -0.7646 -0.7593 -0.7519 -0.7407 -0.7270 -0.6968 -0.6833 -0.6853 -0.7017 -0.7303
 -0.7682 -0.8128 -0.8607 -0.9094
 -0.8985 -0.8323 -0.7923 -0.7724 -0.7626 -0.7570 -0.7551 -0.7530 -0.7478 -0.7440
 -0.7435 -0.7441 -0.7424 -0.7363 -0.7263 -0.6999 -0.6879 -0.6914 -0.7086 -0.7378
 -0.7762 -0.8212 -0.8703 -0.9210 -0.9724 -1.0248 -1.0788 -1.1359 -1.1948 -1.2520
 -0.8808 -0.7985 -0.7370 -0.6956 -0.6725 -0.6655 -0.6723 -0.6870 -0.7006 -0.7099
 -0.7171 -0.7234 -0.7273 -0.7269 -0.7216 -0.7006 -0.6904 -0.6953 -0.7132 -0.7428
 -0.7815 -0.8270 -0.8771 -0.9295 -0.9828 -1.0365 -1.0910 -1.1472 -1.2057 -1.2663
 -1.3253
 -0.8795 -0.7936 -0.7259 -0.6750 -0.6400 -0.6193 -0.6113 -0.6149 -0.6291 -0.6505
 -0.6739 -0.6934 -0.7060 -0.7118 -0.7122 -0.6991 -0.6907 -0.6969 -0.7156 -0.7453
 -0.7844 -0.8303 -0.8813 -0.9353 -0.9905 -1.0462 -1.1023 -1.1588 -1.2167 -1.2767
 -1.3388
 -0.8781 -0.7930 -0.7247 -0.6720 -0.6335 -0.6076 -0.5929 -0.5880 -0.5917 -0.6025
 -0.6188 -0.6393 -0.6611 -0.6798 -0.6919 -0.6940 -0.6886 -0.6961 -0.7159 -0.7460
 -0.7853 -0.8319 -0.8839 -0.9394 -0.9966 -1.0543 -1.1124 -1.1705 -1.2291 -1.2886
 -1.3500
 -0.8707 -0.7895 -0.7231 -0.6715 -0.6333 -0.6066 -0.5895 -0.5804 -0.5785 -0.5826
 -0.5911 -0.6027 -0.6163 -0.6319 -0.6483 -0.6788 -0.6839 -0.6928 -0.7134 -0.7438
 -0.7830 -0.8299 -0.8825 -0.9392 -0.9983 -1.0580 -1.1179 -1.1777 -1.2374 -1.2975
 -1.3583
 -0.8425 -0.7721 -0.7125 -0.6645 -0.6291 -0.6044 -0.5881 -0.5782 -0.5736 -0.5734
 -0.5771 -0.5835 -0.5917 -0.6009 -0.6114 -0.6437 -0.6716 -0.6869 -0.7085 -0.7393
 -0.7784 -0.8252 -0.8781 -0.9357 -0.9962 -1.0580 -1.1200 -1.1817 -1.2430 -1.3041
 -1.3654
 -0.7865 -0.7310 -0.6833 -0.6444 -0.6141 -0.5936 -0.5803 -0.5724 -0.5682 -0.5668
 -0.5677 -0.5708 -0.5758 -0.5820 -0.5812 -0.5887 -0.6517 -0.6784 -0.7012
 [Fe/H] =  0.00 [alpha/Fe] = 0.00 BC value =  z   
 -1.6617 -1.6444 -1.6192 -1.5741 -1.4946 -1.3599 -1.1777 -0.9818 -0.8538 -0.7896
 -0.7587 -0.7382 -0.7192 -0.6997 -0.6814 -0.6447 -0.6254 -0.6213 -0.6291
 -1.4763 -1.4551 -1.4338 -1.4016 -1.3469 -1.2575 -1.1226 -0.9673 -0.8533 -0.7928
 -0.7638 -0.7457 -0.7291 -0.7117 -0.6945 -0.6604 -0.6432 -0.6408 -0.6515 -0.6743
 -1.3188 -1.2883 -1.2658 -1.2420 -1.2070 -1.1502 -1.0605 -0.9456 -0.8490 -0.7917
 -0.7635 -0.7475 -0.7337 -0.7187 -0.7030 -0.6708 -0.6551 -0.6545 -0.6674 -0.6922
 -0.7274
