 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  J   
  1.0074  1.0262  1.0652  1.1005  1.1382  1.1712  1.1894  1.2011  1.2121  1.2264
  1.2374  1.2435  1.2436  1.2381  1.2281  1.1887  1.1325  1.0627  0.9812
  1.1046  1.0407  1.0547  1.0896  1.1199  1.1495  1.1692  1.1820  1.1933  1.2065
  1.2160  1.2202  1.2185  1.2113  1.2000  1.1582  1.1024  1.0350  0.9568  0.8704
  1.1785  1.1547  1.0956  1.0858  1.1128  1.1365  1.1566  1.1698  1.1803  1.1918
  1.2002  1.2036  1.2010  1.1929  1.1807  1.1370  1.0807  1.0142  0.9382  0.8542
  0.7665
  1.2134  1.2080  1.1958  1.1580  1.1217  1.1330  1.1502  1.1633  1.1722  1.1813
  1.1888  1.1917  1.1889  1.1805  1.1677  1.1225  1.0653  0.9990  0.9240  0.8417
  0.7554  0.6684
  1.2505  1.2385  1.2336  1.2258  1.2066  1.1710  1.1537  1.1613  1.1691  1.1750
  1.1809  1.1833  1.1806  1.1723  1.1592  1.1130  1.0548  0.9882  0.9136  0.8322
  0.7467  0.6604  0.5746  0.4891
  1.2949  1.2723  1.2605  1.2538  1.2463  1.2344  1.2136  1.1861  1.1732  1.1739
  1.1764  1.1779  1.1752  1.1671  1.1542  1.1071  1.0481  0.9809  0.9063  0.8253
  0.7401  0.6538  0.5685  0.4838  0.3995  0.3149  0.2294  0.1429  0.0558 -0.0306
  1.3463  1.3134  1.2918  1.2785  1.2689  1.2595  1.2487  1.2348  1.2151  1.1935
  1.1806  1.1762  1.1723  1.1644  1.1517  1.1042  1.0443  0.9766  0.9019  0.8210
  0.7357  0.6490  0.5631  0.4787  0.3952  0.3122  0.2293  0.1458  0.0611 -0.0251
 -0.1090
  1.4029  1.3614  1.3302  1.3081  1.2924  1.2795  1.2675  1.2552  1.2420  1.2269
  1.2085  1.1903  1.1768  1.1650  1.1515  1.1037  1.0430  0.9748  0.8999  0.8192
  0.7339  0.6463  0.5593  0.4741  0.3905  0.3082  0.2269  0.1457  0.0638 -0.0194
 -0.1043
  1.4615  1.4142  1.3750  1.3443  1.3209  1.3024  1.2863  1.2713  1.2565  1.2420
  1.2267  1.2098  1.1920  1.1739  1.1559  1.1052  1.0435  0.9745  0.8994  0.8187
  0.7334  0.6450  0.5564  0.4695  0.3848  0.3020  0.2205  0.1401  0.0603 -0.0201
 -0.1011
  1.5189  1.4690  1.4244  1.3867  1.3557  1.3304  1.3090  1.2899  1.2718  1.2543
  1.2373  1.2200  1.2022  1.1835  1.1631  1.1086  1.0467  0.9771  0.9019  0.8215
  0.7365  0.6479  0.5581  0.4692  0.3827  0.2987  0.2166  0.1363  0.0573 -0.0211
 -0.0994
  1.5727  1.5222  1.4752  1.4330  1.3960  1.3642  1.3368  1.3128  1.2906  1.2696
  1.2493  1.2293  1.2095  1.1895  1.1687  1.1116  1.0502  0.9812  0.9058  0.8257
  0.7412  0.6530  0.5625  0.4719  0.3833  0.2973  0.2137  0.1326  0.0533 -0.0246
 -0.1014
  1.6229  1.5728  1.5249  1.4802  1.4395  1.4028  1.3700  1.3407  1.3139  1.2890
  1.2652  1.2419  1.2190  1.1965  1.1740  1.1147  1.0522  0.9850  0.9106
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  J   
  1.0041  1.0420  1.0804  1.1132  1.1448  1.1760  1.1947  1.2069  1.2150  1.2269
