 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F150W2
 -2.1522 -2.1667 -2.1829 -2.2019 -2.2245 -2.2986 -2.3901 -2.4930 -2.6015 -2.7113
 -2.8215 -2.9321 -3.0422 -3.1505 -3.2556 -3.3572 -3.4555 -3.5507 -3.6434 -3.7339
 -3.8243
 -2.2831 -2.2604 -2.2391 -2.2194 -2.2014 -2.1864 -2.1759 -2.1709 -2.1715 -2.1774
 -2.1874 -2.2003 -2.2152 -2.2321 -2.2517 -2.3187 -2.4066 -2.5045 -2.6094 -2.7170
 -2.8253 -2.9337 -3.0420 -3.1495 -3.2549 -3.3572 -3.4562 -3.5518 -3.6444 -3.7344
 -3.8225
 -2.3748 -2.3485 -2.3238 -2.3020 -2.2807 -2.2616 -2.2458 -2.2340 -2.2275 -2.2266
 -2.2310 -2.2398 -2.2519 -2.2665 -2.2799 -2.3359 -2.4222 -2.5156 -2.6167
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F150W2
 -1.7519 -1.7405 -1.7228 -1.6961 -1.6833 -1.6778 -1.6800 -1.6914 -1.7115 -1.7405
 -1.7761 -1.8173 -1.8604 -1.9067 -1.9588 -2.0844
 -1.8054 -1.7899 -1.7728 -1.7560 -1.7421 -1.7331 -1.7307 -1.7360 -1.7494 -1.7711
 -1.8014 -1.8400 -1.8842 -1.9316 -1.9818 -2.1080 -2.2388 -2.3718 -2.5049
 -1.8427 -1.8351 -1.8233 -1.8097 -1.7967 -1.7866 -1.7814 -1.7822 -1.7900 -1.8052
 -1.8294 -1.8633 -1.9057 -1.9529 -2.0021 -2.1286 -2.2575 -2.3878 -2.5182 -2.6466
 -2.7722
 -1.8638 -1.8761 -1.8743 -1.8572 -1.8472 -1.8383 -1.8321 -1.8300 -1.8333 -1.8428
 -1.8601 -1.8872 -1.9249 -1.9706 -2.0197 -2.1462 -2.2738 -2.4019 -2.5300 -2.6561
 -2.7793 -2.8995 -3.0175
 -1.8703 -1.8962 -1.9074 -1.9062 -1.8976 -1.8864 -1.8768 -1.8720 -1.8740 -1.8813
 -1.8942 -1.9145 -1.9449 -1.9866 -2.0346 -2.1608 -2.2877 -2.4141 -2.5403 -2.6646
 -2.7858 -2.9039 -3.0191 -3.1317 -3.2424
 -1.8679 -1.8890 -1.9114 -1.9256 -1.9316 -1.9319 -1.9287 -1.9237 -1.9184 -1.9164
 -1.9263 -1.9440 -1.9688 -2.0033 -2.0481 -2.1731 -2.2996 -2.4247 -2.5491 -2.6720
 -2.7920 -2.9086 -3.0220 -3.1327 -3.2410 -3.3472
 -1.8735 -1.8906 -1.9115 -1.9340 -1.9555 -1.9730 -1.9845 -1.9893 -1.9877 -1.9796
 -1.9734 -1.9797 -1.9971 -2.0246 -2.0628 -2.1839 -2.3099 -2.4340 -2.5568 -2.6783
 -2.7975 -2.9133 -3.0255 -3.1348 -3.2413 -3.3454 -3.4476 -3.5489 -3.6492 -3.7460
 -1.8929 -1.9027 -1.9183 -1.9376 -1.9587 -1.9795 -1.9981 -2.0126 -2.0229 -2.0302
 -2.0346 -2.0372 -2.0443 -2.0603 -2.0870 -2.1944 -2.3189 -2.4424 -2.5637 -2.6837
 -2.8020 -2.9174 -3.0292 -3.1375 -3.2428 -3.3455 -3.4460 -3.5445 -3.6422 -3.7394
 -3.8339
 -1.9271 -1.9295 -1.9377 -1.9506 -1.9671 -1.9859 -2.0055 -2.0243 -2.0411 -2.0557
 -2.0690 -2.0823 -2.0953 -2.1093 -2.1278 -2.2112 -2.3278 -2.4499 -2.5701 -2.6884
 -2.8054 -2.9204 -3.0322 -3.1404 -3.2451 -3.3468 -3.4461 -3.5430 -3.6383 -3.7328
 -3.8273
 -1.9758 -1.9700 -1.9711 -1.9770 -1.9869 -2.0005 -2.0168 -2.0351 -2.0540 -2.0725
 -2.0903 -2.1084 -2.1277 -2.1482 -2.1691 -2.2399 -2.3419 -2.4591 -2.5777 -2.6946
 -2.8100 -2.9241 -3.0360 -3.1446 -3.2496 -3.3512 -3.4499 -3.5459 -3.6399 -3.7322
 -3.8239
 -2.0352 -2.0237 -2.0182 -2.0171 -2.0201 -2.0270 -2.0377 -2.0519 -2.0690 -2.0878
 -2.1074 -2.1277 -2.1491 -2.1724 -2.1972 -2.2685 -2.3601 -2.4685 -2.5837 -2.6987
 -2.8122 -2.9248 -3.0359 -3.1447 -3.2502 -3.3522 -3.4510 -3.5467 -3.6398 -3.7308
 -3.8216
 -2.1013 -2.0866 -2.0761 -2.0694 -2.0662 -2.0665 -2.0709 -2.0793 -2.0919 -2.1079
 -2.1264 -2.1468 -2.1686 -2.1920 -2.2175 -2.2913 -2.3790 -2.4802 -2.5903 -2.7028
 -2.8147 -2.9254 -3.0351 -3.1434 -3.2493 -3.3520 -3.4514 -3.5474 -3.6405 -3.7311
 -3.8195
 -2.1732 -2.1562 -2.1422 -2.1311 -2.1230 -2.1180 -2.1164 -2.1187 -2.1255 -2.1367
 -2.1518 -2.1700 -2.1905 -2.2129 -2.2300 -2.3083 -2.3986 -2.4942 -2.5975
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F150W2
 -1.6918 -1.6738 -1.6570 -1.6422 -1.6338 -1.6330 -1.6428 -1.6644 -1.6958 -1.7347
 -1.7780 -1.8233 -1.8686 -1.9153 -1.9631 -2.0876
 -1.7371 -1.7205 -1.7038 -1.6886 -1.6780 -1.6748 -1.6816 -1.6993 -1.7256 -1.7590
 -1.7985 -1.8428 -1.8896 -1.9376 -1.9864 -2.1114 -2.2392 -2.3694 -2.5010
 -1.7771 -1.7640 -1.7493 -1.7351 -1.7239 -1.7190 -1.7227 -1.7362 -1.7574 -1.7853
 -1.8200 -1.8612 -1.9072 -1.9555 -2.0049 -2.1306 -2.2576 -2.3855 -2.5140 -2.6418
 -2.7673
 -1.8118 -1.8043 -1.7935 -1.7817 -1.7716 -1.7655 -1.7661 -1.7751 -1.7912 -1.8136
 -1.8425 -1.8785 -1.9214 -1.9690 -2.0186 -2.1452 -2.2722 -2.3988 -2.5252 -2.6506
 -2.7737 -2.8941 -3.0121
 -1.8345 -1.8409 -1.8377 -1.8267 -1.8174 -1.8114 -1.8104 -1.8157 -1.8275 -1.8449
 -1.8680 -1.8978 -1.9353 -1.9801 -2.0291 -2.1562 -2.2835 -2.4095 -2.5345 -2.6582
 -2.7795 -2.8979 -3.0135 -3.1267 -3.2379
 -1.8425 -1.8616 -1.8728 -1.8768 -1.8745 -1.8664 -1.8562 -1.8553 -1.8630 -1.8771
 -1.8963 -1.9209 -1.9519 -1.9913 -2.0379 -2.1644 -2.2921 -2.4179 -2.5421 -2.6647
 -2.7848 -2.9019 -3.0157 -3.1269 -3.2357 -3.3426
 -1.8385 -1.8598 -1.8819 -1.9021 -1.9175 -1.9273 -1.9292 -1.9230 -1.9156 -1.9146
 -1.9250 -1.9452 -1.9722 -2.0055 -2.0470 -2.1709 -2.2987 -2.4245 -2.5481 -2.6699
 -2.7894 -2.9057 -3.0185 -3.1283 -3.2353 -3.3401 -3.4430 -3.5447 -3.6451 -3.7417
 -1.8376 -1.8573 -1.8800 -1.9042 -1.9277 -1.9483 -1.9646 -1.9762 -1.9837 -1.9859
 -1.9835 -1.9857 -1.9995 -2.0248 -2.0595 -2.1764 -2.3038 -2.4296 -2.5529 -2.6740
 -2.7929 -2.9089 -3.0213 -3.1303 -3.2362 -3.3395 -3.4407 -3.5400 -3.6380 -3.7351
 -3.8293
 -1.8454 -1.8602 -1.8799 -1.9032 -1.9283 -1.9536 -1.9771 -1.9975 -2.0146 -2.0288
 -2.0407 -2.0491 -2.0551 -2.0659 -2.0865 -2.1829 -2.3081 -2.4337 -2.5566 -2.6771
 -2.7940 -2.9111 -3.0235 -3.1324 -3.2377 -3.3402 -3.4401 -3.5377 -3.6336 -3.7285
 -3.8229
 -1.8677 -1.8746 -1.8881 -1.9074 -1.9302 -1.9551 -1.9805 -2.0052 -2.0282 -2.0491
 -2.0682 -2.0865 -2.1037 -2.1190 -2.1343 -2.2022 -2.3143 -2.4388 -2.5614 -2.6812
 -2.7987 -2.9141 -3.0267 -3.1360 -3.2416 -3.3439 -3.4433 -3.5401 -3.6347 -3.7276
 -3.8196
 -1.9039 -1.9034 -1.9089 -1.9220 -1.9399 -1.9611 -1.9845 -2.0090 -2.0339 -2.0584
 -2.0821 -2.1052 -2.1283 -2.1515 -2.1741 -2.2346 -2.3262 -2.4425 -2.5638 -2.6828
 -2.7992 -2.9137 -3.0259 -3.1355 -3.2417 -3.3443 -3.4438 -3.5402 -3.6340 -3.7257
 -3.8171
 -1.9513 -1.9447 -1.9444 -1.9500 -1.9614 -1.9770 -1.9960 -2.0173 -2.0405 -2.0651
 -2.0904 -2.1162 -2.1423 -2.1691 -2.1965 -2.2661 -2.3475 -2.4507 -2.5667 -2.6843
 -2.7997 -2.9130 -3.0243 -3.1337 -3.2403 -3.3436 -3.4437 -3.5404 -3.6342 -3.7254
 -3.8145
 -2.0076 -1.9961 -1.9905 -1.9903 -1.9954 -2.0050 -2.0183 -2.0347 -2.0541 -2.0759
 -2.0998 -2.1255 -2.1525 -2.1808 -2.2015 -2.2967 -2.3782 -2.4634 -2.5701
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F150W2
 -1.6145 -1.5986 -1.5849 -1.5755 -1.5703 -1.5764 -1.5966 -1.6306 -1.6735 -1.7282
 -1.7800 -1.8306 -1.8796 -1.9275 -1.9753 -2.0956
 -1.6566 -1.6393 -1.6237 -1.6116 -1.6051 -1.6079 -1.6235 -1.6536 -1.6951 -1.7433
 -1.7943 -1.8457 -1.8961 -1.9455 -1.9945 -2.1172 -2.2413 -2.3677 -2.4963
 -1.6975 -1.6811 -1.6653 -1.6518 -1.6436 -1.6430 -1.6538 -1.6790 -1.7151 -1.7590
 -1.8075 -1.8581 -1.9089 -1.9592 -2.0091 -2.1338 -2.2585 -2.3835 -2.5092 -2.6352
 -2.7604
 -1.7372 -1.7240 -1.7097 -1.6961 -1.6858 -1.6817 -1.6875 -1.7068 -1.7369 -1.7753
 -1.8196 -1.8678 -1.9180 -1.9686 -2.0191 -2.1454 -2.2710 -2.3956 -2.5197 -2.6434
 -2.7659 -2.8863 -3.0047
 -1.7728 -1.7643 -1.7532 -1.7413 -1.7309 -1.7245 -1.7255 -1.7384 -1.7623 -1.7947
 -1.8337 -1.8778 -1.9255 -1.9753 -2.0260 -2.1533 -2.2799 -2.4048 -2.5281 -2.6502
 -2.7709 -2.8894 -3.0054 -3.1189 -3.2307
 -1.8065 -1.8062 -1.7978 -1.7867 -1.7764 -1.7692 -1.7674 -1.7743 -1.7920 -1.8183
 -1.8514 -1.8903 -1.9339 -1.9812 -2.0310 -2.1586 -2.2860 -2.4113 -2.5345 -2.6557
