 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -0.5834 -0.6124 -0.6436 -0.6758 -0.7087 -0.7429 -0.7781 -0.8158 -0.8575 -0.9045
 -0.9576
 -1.4486 -1.3537 -1.2770 -1.2082 -1.1422 -1.0776 -1.0139 -0.9529 -0.8962 -0.8450
 -0.8000 -0.7625 -0.7328 -0.7103 -0.6916 -0.6439 -0.5943 -0.5624 -0.5510 -0.5577
 -0.5797 -0.6113 -0.6463 -0.6817 -0.7169 -0.7522 -0.7883 -0.8265 -0.8667 -0.9089
 -0.9527
 -1.4174 -1.3069 -1.2193 -1.1503 -1.0897 -1.0329 -0.9778 -0.9235 -0.8711 -0.8217
 -0.7765 -0.7362 -0.7013 -0.6723 -0.6489 -0.6090 -0.5783 -0.5538 -0.5435 -0.5496
 -0.5710 -0.6041 -0.6428 -0.6823 -0.7211 -0.7590 -0.7967 -0.8343 -0.8724 -0.9119
 -0.9539
 -1.4218 -1.2782 -1.1757 -1.0977 -1.0350 -0.9817 -0.9330 -0.8864 -0.8408 -0.7964
 -0.7541 -0.7151 -0.6800 -0.6493 -0.6230 -0.5777 -0.5533 -0.5386 -0.5326 -0.5388
 -0.5592 -0.5923 -0.6333 -0.6770 -0.7202 -0.7621 -0.8028 -0.8424 -0.8815 -0.9207
 -0.9606
 -1.4690 -1.2857 -1.1560 -1.0608 -0.9880 -0.9307 -0.8832 -0.8413 -0.8024 -0.7645
 -0.7275 -0.6922 -0.6594 -0.6298 -0.6037 -0.5555 -0.5297 -0.5188 -0.5180
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  i   
 -2.3499 -2.1986 -1.9968 -1.8105 -1.6376 -1.4889 -1.3782 -1.2884 -1.2065 -1.1249
 -1.0493 -0.9781 -0.9109 -0.8475 -0.7877 -0.6561 -0.5575 -0.4982 -0.4766
 -2.0814 -2.0850 -1.9676 -1.7930 -1.6277 -1.4769 -1.3580 -1.2638 -1.1813 -1.1029
 -1.0308 -0.9631 -0.8992 -0.8388 -0.7819 -0.6586 -0.5690 -0.5161 -0.4969 -0.5014
 -1.9064 -1.8245 -1.8265 -1.7627 -1.6191 -1.4756 -1.3475 -1.2462 -1.1626 -1.0863
 -1.0172 -0.9528 -0.8921 -0.8347 -0.7806 -0.6638 -0.5801 -0.5313 -0.5129 -0.5169
 -0.5341
 -1.8331 -1.7049 -1.6119 -1.5822 -1.5656 -1.4667 -1.3450 -1.2354 -1.1476 -1.0721
 -1.0052 -0.9436 -0.8859 -0.8314 -0.7799 -0.6688 -0.5895 -0.5436 -0.5259 -0.5293
 -0.5460 -0.5696
 -1.7760 -1.6491 -1.5320 -1.4371 -1.3776 -1.3586 -1.3190 -1.2294 -1.1368 -1.0593
 -0.9930 -0.9338 -0.8787 -0.8268 -0.7780 -0.6722 -0.5966 -0.5529 -0.5359 -0.5390
 -0.5557 -0.5791 -0.6067 -0.6380
 -1.7208 -1.6025 -1.4889 -1.3831 -1.2921 -1.2210 -1.1766 -1.1543 -1.1143 -1.0467
 -0.9802 -0.9225 -0.8696 -0.8202 -0.7738 -0.6731 -0.6010 -0.5592 -0.5429 -0.5460
 -0.5629 -0.5872 -0.6149 -0.6456 -0.6794 -0.7171 -0.7591 -0.8057 -0.8564 -0.9093
