 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -0.4426 -0.3584 -0.2652 -0.1715 -0.0888 -0.0244  0.0143  0.0317  0.0666  0.1283
  0.1887  0.2403  0.2873  0.3309  0.3717  0.4586  0.5196  0.5542  0.5658  0.5595
  0.5402  0.5143  0.4856  0.4547  0.4213  0.3848  0.3447  0.3006  0.2526  0.2023
 -0.3712 -0.3031 -0.2255 -0.1414 -0.0571  0.0199  0.0853  0.1357  0.1673  0.1862
  0.2140  0.2547  0.2975  0.3387  0.3774  0.4598  0.5179  0.5509  0.5621  0.5555
  0.5356  0.5081  0.4776  0.4457  0.4121  0.3766  0.3388  0.2978  0.2527  0.2023
  0.1510
 -0.2958 -0.2382 -0.1756 -0.1060 -0.0315  0.0431  0.1130  0.1745  0.2258  0.2656
  0.2920  0.3104  0.3304  0.3566  0.3878  0.4641  0.5192  0.5507  0.5614  0.5549
  0.5346  0.5053  0.4722  0.4381  0.4033  0.3674  0.3308  0.2921  0.2500  0.2033
  0.1513
 -0.2226 -0.1679 -0.1146 -0.0582  0.0030  0.0676  0.1328  0.1950  0.2509  0.2995
  0.3397  0.3706  0.3923  0.4083  0.4241  0.4743  0.5244  0.5540  0.5641  0.5576
  0.5370  0.5061  0.4700  0.4326  0.3953  0.3578  0.3196  0.2808  0.2406  0.1974
  0.1512
 -0.1575 -0.1004 -0.0501 -0.0016  0.0480  0.1007  0.1560  0.2122  0.2664  0.3164
  0.3608  0.3985  0.4292  0.4527  0.4703  0.5023  0.5343  0.5604  0.5699  0.5638
  0.5438  0.5122  0.4734  0.4323  0.3914  0.3511  0.3111  0.2713  0.2311  0.1899
  0.1466
 -0.1062 -0.0401  0.0122  0.0586  0.1024  0.1456  0.1902  0.2368  0.2842  0.3308
  0.3747  0.4141  0.4483  0.4766  0.4993  0.5358  0.5567  0.5718  0.5788  0.5728
  0.5535  0.5222  0.4819  0.4374  0.3924  0.3483  0.3052  0.2631  0.2216  0.1801
  0.1382
 -0.0730  0.0075  0.0672  0.1161  0.1592  0.1983  0.2354  0.2728  0.3112  0.3506
  0.3899  0.4274  0.4617  0.4916  0.5167  0.5598  0.5812  0.5903  0.5913
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.0406 -0.8630 -0.6774 -0.5124 -0.3638 -0.2296 -0.1293 -0.0494  0.0183  0.0859
  0.1486  0.2076  0.2636  0.3164  0.3664  0.4771  0.5615  0.6147  0.6395
 -0.8900 -0.8397 -0.6816 -0.5117 -0.3611 -0.2258 -0.1187 -0.0356  0.0354  0.1009
  0.1612  0.2178  0.2712  0.3218  0.3697  0.4740  0.5517  0.5998  0.6195  0.6163
 -0.6681 -0.6601 -0.6452 -0.5152 -0.3647 -0.2300 -0.1150 -0.0251  0.0480  0.1128
  0.1710  0.2252  0.2761  0.3243  0.3699  0.4692  0.5423  0.5865  0.6043  0.6012
  0.5840
 -0.5932 -0.4860 -0.4433 -0.4489 -0.3642 -0.2367 -0.1188 -0.0199  0.0579  0.1231
  0.1800  0.2321  0.2808  0.3266  0.3700  0.4646  0.5342  0.5758  0.5922  0.5891
  0.5722  0.5478
