 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -2.7484 -2.6388 -2.5490 -2.4761 -2.4165 -2.3659 -2.3214 -2.2810 -2.2441 -2.2107
 -2.1810
 -7.6423 -7.2487 -6.8868 -6.5364 -6.2001 -5.8883 -5.6086 -5.3640 -5.1514 -4.9635
 -4.7912 -4.6279 -4.4717 -4.3226 -4.1802 -3.8509 -3.5408 -3.2704 -3.0580 -2.8912
 -2.7574 -2.6487 -2.5609 -2.4912 -2.4362 -2.3916 -2.3539 -2.3203 -2.2898 -2.2619
 -2.2355
 -7.6835 -7.2730 -6.9194 -6.5868 -6.2640 -5.9548 -5.6671 -5.4076 -5.1786 -4.9778
 -4.7990 -4.6351 -4.4800 -4.3306 -4.1860 -3.8547 -3.5644 -3.3005 -3.0785
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  B   
 -8.4607 -7.8977 -7.3856 -6.9552 -6.5839 -6.2529 -5.9725 -5.7126 -5.4803 -5.2757
 -5.0813 -4.8989 -4.7294 -4.5729 -4.4285 -4.1092 -3.8222 -3.5452 -3.2730
 -8.0895 -7.8611 -7.3755 -6.9173 -6.5166 -6.1667 -5.8700 -5.6055 -5.3677 -5.1567
 -4.9587 -4.7734 -4.6012 -4.4424 -4.2968 -3.9808 -3.7048 -3.4460 -3.1995 -2.9697
 -7.7669 -7.6672 -7.3579 -6.9337 -6.5189 -6.1444 -5.8259 -5.5497 -5.3058 -5.0888
 -4.8877 -4.6995 -4.5240 -4.3619 -4.2133 -3.8942 -3.6231 -3.3760 -3.1464 -2.9356
 -2.7469
 -7.5339 -7.2324 -7.1351 -6.9185 -6.5522 -6.1770 -5.8342 -5.5381 -5.2829 -5.0577
 -4.8534 -4.6622 -4.4833 -4.3172 -4.1643 -3.8379 -3.5674 -3.3272 -3.1094 -2.9127
 -2.7373 -2.5846
 -7.5064 -7.0825 -6.7865 -6.6433 -6.5120 -6.2162 -5.8813 -5.5667 -5.2929 -5.0558
 -4.8460 -4.6517 -4.4693 -4.2991 -4.1414 -3.8044 -3.5306 -3.2943 -3.0845 -2.8986
 -2.7343 -2.5906 -2.4672 -2.3618
 -7.5386 -7.0778 -6.6962 -6.4109 -6.2218 -6.0983 -5.9058 -5.6208 -5.3352 -5.0806
 -4.8593 -4.6612 -4.4756 -4.3014 -4.1389 -3.7892 -3.5088 -3.2731 -3.0688 -2.8909
 -2.7357 -2.6002 -2.4834 -2.3835 -2.2972 -2.2205 -2.1498 -2.0835 -2.0274 -1.9915
 -7.6035 -7.1263 -6.7089 -6.3621 -6.0906 -5.8827 -5.7216 -5.5770 -5.3767 -5.1298
 -4.8938 -4.6864 -4.4976 -4.3199 -4.1531 -3.7895 -3.4994 -3.2615 -3.0602 -2.8879
 -2.7399 -2.6116 -2.5013 -2.4071 -2.3259 -2.2544 -2.1912 -2.1333 -2.0791 -2.0343
 -2.0081
 -7.6860 -7.2049 -6.7686 -6.3884 -6.0719 -5.8143 -5.6050 -5.4251 -5.2669 -5.1132
 -4.9306 -4.7252 -4.5321 -4.3516 -4.1809 -3.8041 -3.5017 -3.2584 -3.0573 -2.8886
 -2.7455 -2.6234 -2.5190 -2.4305 -2.3552 -2.2894 -2.2315 -2.1785 -2.1308 -2.0895
 -2.0552
 -7.7665 -7.2931 -6.8510 -6.4509 -6.1027 -5.8103 -5.5696 -5.3665 -5.1851 -5.0184
 -4.8646 -4.7145 -4.5531 -4.3844 -4.2158 -3.8285 -3.5125 -3.2608 -3.0575 -2.8900
 -2.7504 -2.6329 -2.5338 -2.4508 -2.3813 -2.3217 -2.2697 -2.2230 -2.1811 -2.1439
 -2.1113
 -7.8458 -7.3851 -6.9496 -6.5427 -6.1746 -5.8544 -5.5835 -5.3566 -5.1619 -4.9856
 -4.8207 -4.6661 -4.5213 -4.3806 -4.2365 -3.8670 -3.5382 -3.2754 -3.0663 -2.8974
 -2.7586 -2.6436 -2.5483 -2.4697 -2.4054 -2.3518 -2.3059 -2.2654 -2.2289 -2.1957
 -2.1676
 -7.9182 -7.4654 -7.0437 -6.6430 -6.2682 -5.9297 -5.6338 -5.3810 -5.1664 -4.9800
 -4.8108 -4.6517 -4.5010 -4.3589 -4.2228 -3.8940 -3.5738 -3.2991 -3.0814 -2.9081
 -2.7681 -2.6537 -2.5604 -2.4850 -2.4248 -2.3766 -2.3369 -2.3027 -2.2725 -2.2454
 -2.2198
 -7.9936 -7.5292 -7.1203 -6.7348 -6.3672 -6.0233 -5.7114 -5.4366 -5.1994 -4.9953
 -4.8166 -4.6545 -4.5024 -4.3574 -4.2186 -3.8976 -3.6034 -3.3317 -3.1035
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  B   
 -8.3030 -7.7335 -7.2429 -6.8391 -6.4812 -6.1661 -5.9006 -5.6528 -5.4225 -5.2240
 -5.0371 -4.8614 -4.6981 -4.5467 -4.4070 -4.0986 -3.8171 -3.5527 -3.3036
 -8.1576 -7.7682 -7.2642 -6.8158 -6.4327 -6.0961 -5.8159 -5.5596 -5.3257 -5.1221
 -4.9315 -4.7533 -4.5874 -4.4340 -4.2925 -3.9852 -3.7189 -3.4699 -3.2310 -3.0044
 -7.9346 -7.7245 -7.3074 -6.8562 -6.4446 -6.0832 -5.7771 -5.5123 -5.2742 -5.0639
 -4.8706 -4.6898 -4.5211 -4.3646 -4.2202 -3.9087 -3.6450 -3.4043 -3.1784 -2.9687
 -2.7786
 -7.6648 -7.3839 -7.2501 -6.9009 -6.4985 -6.1212 -5.7875 -5.5033 -5.2564 -5.0377
 -4.8412 -4.6576 -4.4858 -4.3257 -4.1774 -3.8583 -3.5935 -3.3579 -3.1413 -2.9436
 -2.7659 -2.6088
 -7.5026 -7.1013 -6.8936 -6.8031 -6.5358 -6.1824 -5.8391 -5.5315 -5.2674 -5.0377
