 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = UX   
 -8.8890 -8.5625 -8.3008 -8.0974 -7.9468 -7.8381 -7.7418 -7.6381 -7.5186 -7.3793
 -7.2164 -7.0247 -6.7981 -6.5418 -6.2767 -5.6659 -5.1423 -4.6848 -4.2939 -3.9756
 -3.7360 -3.5665 -3.4455 -3.3547
 -9.1440 -8.7464 -8.4079 -8.1233 -7.8902 -7.7020 -7.5515 -7.4328 -7.3317 -7.2086
 -7.0506 -6.8664 -6.6591 -6.4250 -6.1714 -5.5685 -5.0563 -4.6144 -4.2358 -3.9265
 -3.6907 -3.5241 -3.4085 -3.3255 -3.2622 -3.2111 -3.1677 -3.1282 -3.0900 -3.0532
 -9.5199 -9.0354 -8.6231 -8.2706 -7.9696 -7.7142 -7.4989 -7.3168 -7.1617 -7.0296
 -6.9066 -6.7600 -6.5746 -6.3599 -6.1240 -5.5259 -5.0143 -4.5794 -4.2064 -3.8990
 -3.6613 -3.4914 -3.3759 -3.2960 -3.2385 -3.1947 -3.1597 -3.1301 -3.1035 -3.0782
 -3.0535
-10.0529 -9.4588 -8.9530 -8.5222 -8.1524 -7.8338 -7.5590 -7.3222 -7.1154 -6.9324
 -6.7680 -6.6196 -6.4745 -6.3053 -6.1024 -5.5294 -5.0101 -4.5746 -4.2025 -3.8923
 -3.6478 -3.4692 -3.3477 -3.2668 -3.2116 -3.1723 -3.1435 -3.1210 -3.1026 -3.0867
 -3.0731
-10.7225-10.0220 -9.4108 -8.8851 -8.4329 -8.0435 -7.7054 -7.4119 -7.1553 -6.9288
 -6.7252 -6.5394 -6.3689 -6.2092 -6.0456 -5.5552 -5.0350 -4.5921 -4.2172 -3.9017
 -3.6477 -3.4565 -3.3240 -3.2372 -3.1809 -3.1439 -3.1192 -3.1023 -3.0904 -3.0814
 -3.0748
-11.4775-10.6980 -9.9938 -9.3741 -8.8303 -8.3573 -7.9465 -7.5898 -7.2788 -7.0057
 -6.7629 -6.5439 -6.3434 -6.1579 -5.9843 -5.5616 -5.0910 -4.6396 -4.2577 -3.9348
 -3.6692 -3.4620 -3.3128 -3.2134 -3.1504 -3.1113 -3.0880 -3.0744 -3.0674 -3.0643
 -3.0635
-12.2342-11.4061-10.6397 -9.9481 -9.3241 -8.7693 -8.2799 -7.8518 -7.4792 -7.1539
 -6.8676 -6.6125 -6.3820 -6.1709 -5.9752 -5.5425 -5.1319 -4.7047 -4.3146 -3.9831
 -3.7060 -3.4831 -3.3150 -3.1983 -3.1229 -3.0772 -3.0514 -3.0384 -3.0339 -3.0350
 -3.0393
-12.9440-12.0901-11.2930-10.5541 -9.8750 -9.2553 -8.6961 -8.1970 -7.7580 -7.3739
 -7.0380 -6.7418 -6.4776 -6.2388 -6.0183 -5.4979 -5.1577 -4.7874 -4.3879
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value = UX   
 -9.5060 -9.5042 -9.5041 -9.4981 -9.4808 -9.4437 -9.3787 -9.2793 -9.1414 -8.9664
 -8.7564 -8.5126 -8.2404 -7.9526 -7.6641 -6.9580 -6.2790 -5.6318 -5.0380
 -9.0071 -8.9851 -8.9730 -8.9611 -8.9411 -8.9060 -8.8485 -8.7606 -8.6367 -8.4742
 -8.2711 -8.0295 -7.7580 -7.4734 -7.1894 -6.5143 -5.8867 -5.3110 -4.8064 -4.3855
 -8.6488 -8.5768 -8.5326 -8.5026 -8.4736 -8.4357 -8.3806 -8.3012 -8.1910 -8.0454
 -7.8608 -7.6362 -7.3783 -7.1039 -6.8294 -6.1849 -5.6019 -5.0798 -4.6264 -4.2495
 -3.9581
 -8.5240 -8.3683 -8.2506 -8.1674 -8.1084 -8.0572 -7.9983 -7.9222 -7.8223 -7.6931
 -7.5297 -7.3290 -7.0925 -6.8332 -6.5691 -5.9492 -5.3990 -4.9116 -4.4922 -4.1448
 -3.8740 -3.6764
 -8.6000 -8.3596 -8.1441 -7.9996 -7.8935 -7.8043 -7.7253 -7.6419 -7.5431 -7.4231
 -7.2764 -7.0984 -6.8861 -6.6452 -6.3918 -5.7888 -5.2600 -4.7956 -4.3966 -4.0674
 -3.8092 -3.6209 -3.4864 -3.3862
 -8.8401 -8.5094 -8.2141 -7.9739 -7.7847 -7.6418 -7.5392 -7.4565 -7.3626 -7.2440
 -7.1017 -6.9363 -6.7445 -6.5238 -6.2827 -5.6899 -5.1720 -4.7220 -4.3345 -4.0144
 -3.7623 -3.5770 -3.4470 -3.3542 -3.2842 -3.2279 -3.1800 -3.1366 -3.0950 -3.0546
 -9.2164 -8.7807 -8.4101 -8.0961 -7.8334 -7.6171 -7.4416 -7.3010 -7.1893 -7.0922
 -6.9803 -6.8334 -6.6550 -6.4524 -6.2269 -5.6423 -5.1263 -4.6834 -4.3018 -3.9841
 -3.7323 -3.5446 -3.4135 -3.3230 -3.2584 -3.2094 -3.1703 -3.1372 -3.1077 -3.0794
 -3.0509
 -9.7204 -9.1749 -8.7142 -8.3243 -7.9927 -7.7112 -7.4736 -7.2735 -7.1035 -6.9563
 -6.8262 -6.7049 -6.5701 -6.4019 -6.2019 -5.6378 -5.1174 -4.6750 -4.2951 -3.9753
