 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  w   
 -0.6453 -0.5899 -0.5403 -0.4950 -0.4534 -0.3592 -0.2736 -0.2030 -0.1517 -0.1204
 -0.1061 -0.1028 -0.1045 -0.1075 -0.1100 -0.1115 -0.1122 -0.1122 -0.1122 -0.1131
 -0.1147
 -1.5802 -1.4447 -1.3169 -1.1980 -1.0909 -0.9963 -0.9121 -0.8357 -0.7648 -0.6984
 -0.6363 -0.5793 -0.5276 -0.4808 -0.4380 -0.3435 -0.2610 -0.1940 -0.1444 -0.1125
 -0.0973 -0.0949 -0.0999 -0.1083 -0.1171 -0.1248 -0.1313 -0.1364 -0.1404 -0.1441
 -0.1483
 -1.4722 -1.3508 -1.2379 -1.1331 -1.0373 -0.9515 -0.8755 -0.8064 -0.7421 -0.6811
 -0.6226 -0.5670 -0.5149 -0.4672 -0.4286 -0.3312 -0.2478 -0.1834 -0.1364
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  w   
 -2.7864 -2.6510 -2.5241 -2.3973 -2.2700 -2.1216 -1.9300 -1.6949 -1.4731 -1.2821
 -1.1213 -0.9852 -0.8677 -0.7648 -0.6732 -0.4828 -0.3335 -0.2174 -0.1309
 -2.6024 -2.4509 -2.3095 -2.1719 -2.0331 -1.8874 -1.7189 -1.5232 -1.3402 -1.1801
 -1.0422 -0.9220 -0.8150 -0.7189 -0.6324 -0.4530 -0.3156 -0.2109 -0.1326 -0.0749
 -2.4692 -2.3053 -2.1513 -2.0024 -1.8568 -1.7130 -1.5642 -1.3999 -1.2434 -1.1046
 -0.9839 -0.8775 -0.7805 -0.6906 -0.6080 -0.4363 -0.3064 -0.2090 -0.1369 -0.0840
 -0.0444
 -2.3499 -2.1616 -2.0077 -1.8645 -1.7214 -1.5797 -1.4418 -1.3018 -1.1658 -1.0430
 -0.9353 -0.8407 -0.7544 -0.6721 -0.5938 -0.4280 -0.3029 -0.2103 -0.1427 -0.0937
 -0.0575 -0.0292
 -2.2677 -2.0511 -1.8640 -1.7023 -1.5623 -1.4408 -1.3310 -1.2165 -1.1005 -0.9911
 -0.8930 -0.8066 -0.7295 -0.6565 -0.5841 -0.4240 -0.3023 -0.2129 -0.1487 -0.1032
 -0.0703 -0.0449 -0.0242 -0.0072
 -2.2457 -2.0099 -1.7929 -1.6005 -1.4356 -1.2966 -1.1825 -1.0905 -1.0110 -0.9344
 -0.8549 -0.7769 -0.7047 -0.6388 -0.5744 -0.4215 -0.3024 -0.2153 -0.1536 -0.1111
 -0.0819 -0.0600 -0.0421 -0.0271 -0.0145 -0.0044  0.0027  0.0049  0.0009 -0.0098
 -2.2447 -2.0028 -1.7733 -1.5658 -1.3851 -1.2323 -1.1049 -0.9991 -0.9115 -0.8411
 -0.7850 -0.7330 -0.6773 -0.6192 -0.5613 -0.4187 -0.3019 -0.2162 -0.1563 -0.1163
 -0.0905 -0.0728 -0.0588 -0.0469 -0.0364 -0.0275 -0.0208 -0.0169 -0.0173 -0.0250
 -0.0407
 -2.2414 -2.0052 -1.7749 -1.5611 -1.3722 -1.2107 -1.0750 -0.9618 -0.8677 -0.7894
