 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  g   
 -2.8905 -2.7633 -2.6383 -2.5161 -2.3886 -2.0862 -1.8545 -1.6801 -1.5440 -1.4378
 -1.3519 -1.2780 -1.2115 -1.1496 -1.0914 -1.0362 -0.9849 -0.9374 -0.8961 -0.8647
 -0.8498
 -4.7356 -4.4756 -4.2424 -4.0295 -3.8313 -3.6454 -3.4697 -3.3036 -3.1469 -3.0001
 -2.8618 -2.7309 -2.6058 -2.4855 -2.3678 -2.0841 -1.8521 -1.6779 -1.5447 -1.4420
 -1.3619 -1.2953 -1.2361 -1.1811 -1.1289 -1.0788 -1.0311 -0.9865 -0.9458 -0.9112
 -0.8886
 -4.5981 -4.3683 -4.1604 -3.9698 -3.7901 -3.6178 -3.4512 -3.2902 -3.1354 -2.9876
 -2.8470 -2.7137 -2.5872 -2.4666 -2.3510 -2.0809 -1.8550 -1.6794 -1.5458 -1.4437
 -1.3662 -1.3052 -1.2533 -1.2059 -1.1609 -1.1172 -1.0750 -1.0343 -0.9961 -0.9618
 -0.9343
 -4.4649 -4.2605 -4.0713 -3.8982 -3.7359 -3.5790 -3.4256 -3.2741 -3.1255 -2.9809
 -2.8414 -2.7080 -2.5808 -2.4602 -2.3451 -2.0809 -1.8604 -1.6851 -1.5504 -1.4471
 -1.3691 -1.3102 -1.2637 -1.2236 -1.1864 -1.1503 -1.1150 -1.0803 -1.0466 -1.0148
 -0.9851
 -4.3405 -4.1524 -3.9786 -3.8172 -3.6665 -3.5237 -3.3839 -3.2448 -3.1062 -2.9689
 -2.8341 -2.7034 -2.5777 -2.4576 -2.3431 -2.0821 -1.8645 -1.6900 -1.5547 -1.4505
 -1.3712 -1.3121 -1.2678 -1.2329 -1.2029 -1.1748 -1.1474 -1.1199 -1.0925 -1.0657
 -1.0406
 -4.2248 -4.0440 -3.8823 -3.7294 -3.5872 -3.4533 -3.3245 -3.1979 -3.0710 -2.9442
 -2.8179 -2.6933 -2.5718 -2.4544 -2.3450 -2.0845 -1.8673 -1.6941 -1.5587
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  g   
 -6.5379 -6.2134 -5.9580 -5.7638 -5.5598 -5.3556 -5.1390 -4.9107 -4.6717 -4.4306
 -4.1821 -3.9324 -3.6917 -3.4654 -3.2122 -2.7455
 -6.1070 -5.7538 -5.4608 -5.2154 -5.0057 -4.8154 -4.6295 -4.4376 -4.2399 -4.0383
 -3.8270 -3.6055 -3.3813 -3.1688 -2.9600 -2.5419 -2.1839 -1.8771 -1.6309
 -5.7434 -5.3634 -5.0476 -4.7891 -4.5751 -4.3912 -4.2233 -4.0569 -3.8895 -3.7189
 -3.5393 -3.3462 -3.1422 -2.9431 -2.7609 -2.3798 -2.0695 -1.8073 -1.5927 -1.4228
 -1.2850
