 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F350LP
 -1.4997 -1.4967 -1.5025 -1.5137 -1.5270 -1.5406 -1.5543 -1.5678 -1.5815 -1.5961
 -1.6123
 -2.8661 -2.7506 -2.6353 -2.5209 -2.4121 -2.3109 -2.2197 -2.1385 -2.0668 -2.0031
 -1.9462 -1.8952 -1.8496 -1.8090 -1.7731 -1.7032 -1.6435 -1.5861 -1.5400 -1.5100
 -1.4945 -1.4916 -1.4987 -1.5126 -1.5300 -1.5481 -1.5662 -1.5837 -1.6006 -1.6175
 -1.6348
 -2.8050 -2.7030 -2.5992 -2.4950 -2.3949 -2.3006 -2.2138 -2.1351 -2.0645 -2.0010
 -1.9436 -1.8913 -1.8438 -1.8007 -1.7674 -1.6691 -1.6205 -1.5794 -1.5344
 [Fe/H] = -0.50 [alpha/Fe] = 0.00 BC value =F350LP
 -3.7072 -3.6240 -3.5444 -3.4603 -3.3669 -3.2430 -3.0666 -2.8380 -2.6156 -2.4252
 -2.2733 -2.1525 -2.0553 -1.9743 -1.9045 -1.7633 -1.6558 -1.5731 -1.5111
 -3.5228 -3.4305 -3.3494 -3.2715 -3.1887 -3.0876 -2.9433 -2.7568 -2.5662 -2.3948
 -2.2509 -2.1342 -2.0390 -1.9598 -1.8915 -1.7543 -1.6510 -1.5736 -1.5173 -1.4777
 -3.3855 -3.2809 -3.1927 -3.1143 -3.0385 -2.9545 -2.8403 -2.6895 -2.5281 -2.3747
 -2.2397 -2.1261 -2.0320 -1.9532 -1.8855 -1.7503 -1.6498 -1.5757 -1.5226 -1.4854
 -1.4604
 -3.2791 -3.1664 -3.0702 -2.9868 -2.9108 -2.8350 -2.7449 -2.6246 -2.4896 -2.3552
 -2.2312 -2.1225 -2.0298 -1.9513 -1.8839 -1.7498 -1.6508 -1.5786 -1.5277 -1.4924
 -1.4689 -1.4537
 -3.1388 -3.0338 -2.9514 -2.8763 -2.8031 -2.7302 -2.6530 -2.5575 -2.4463 -2.3309
 -2.2199 -2.1185 -2.0290 -1.9514 -1.8844 -1.7510 -1.6530 -1.5819 -1.5323 -1.4985
 -1.4765 -1.4629 -1.4548 -1.4507
 -3.0650 -2.9246 -2.8123 -2.7257 -2.6604 -2.6077 -2.5526 -2.4823 -2.3951 -2.2991
 -2.2024 -2.1106 -2.0265 -1.9515 -1.8853 -1.7529 -1.6555 -1.5849 -1.5362 -1.5036
 -1.4829 -1.4711 -1.4650 -1.4626 -1.4633 -1.4667 -1.4733 -1.4838 -1.4989 -1.5173
 -3.0440 -2.8882 -2.7533 -2.6397 -2.5466 -2.4701 -2.4061 -2.3503 -2.2970 -2.2386
 -2.1699 -2.0946 -2.0196 -1.9493 -1.8853 -1.7545 -1.6576 -1.5873 -1.5389 -1.5071
