 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -2.3597 -2.2542 -2.2085 -2.2062 -2.1230 -1.9916 -1.8647 -1.7601 -1.6733 -1.5952
 -1.5237 -1.4566 -1.3931 -1.3331 -1.2770 -1.1595 -1.0801 -1.0367 -1.0234 -1.0305
 -1.0485
 -2.2800 -2.1630 -2.0610 -1.9917 -1.9719 -1.9445 -1.8526 -1.7472 -1.6567 -1.5799
 -1.5112 -1.4474 -1.3872 -1.3304 -1.2773 -1.1660 -1.0912 -1.0501 -1.0369 -1.0436
 -1.0613 -1.0849
 -2.2086 -2.1006 -1.9949 -1.8993 -1.8220 -1.7732 -1.7548 -1.7169 -1.6421 -1.5652
 -1.4982 -1.4373 -1.3801 -1.3263 -1.2759 -1.1703 -1.0993 -1.0601 -1.0471 -1.0539
 -1.0720 -1.0954 -1.1227 -1.1534
 -2.1371 -2.0408 -1.9442 -1.8497 -1.7614 -1.6851 -1.6258 -1.5880 -1.5677 -1.5340
 -1.4803 -1.4243 -1.3705 -1.3196 -1.2719 -1.1716 -1.1040 -1.0666 -1.0541 -1.0610
 -1.0801 -1.1047 -1.1321 -1.1623 -1.1950 -1.2313 -1.2723 -1.3189 -1.3703 -1.4221
 -2.0646 -1.9778 -1.8919 -1.8066 -1.7230 -1.6446 -1.5742 -1.5135 -1.4662 -1.4358
 -1.4148 -1.3882 -1.3512 -1.3081 -1.2642 -1.1695 -1.1052 -1.0695 -1.0574 -1.0646
 -1.0851 -1.1117 -1.1405 -1.1711 -1.2036 -1.2378 -1.2750 -1.3166 -1.3636 -1.4158
 -1.4693
 -1.9971 -1.9116 -1.8341 -1.7587 -1.6843 -1.6112 -1.5419 -1.4784 -1.4223 -1.3747
 -1.3377 -1.3117 -1.2916 -1.2698 -1.2427 -1.1634 -1.1028 -1.0688 -1.0570 -1.0642
 -1.0859 -1.1151 -1.1467 -1.1791 -1.2122 -1.2467 -1.2822 -1.3202 -1.3621 -1.4094
 -1.4627
 -1.9430 -1.8482 -1.7717 -1.7031 -1.6376 -1.5735 -1.5105 -1.4501 -1.3941 -1.3435
 -1.2991 -1.2620 -1.2326 -1.2104 -1.1920 -1.1448 -1.0955 -1.0640 -1.0529 -1.0599
 -1.0822 -1.1141 -1.1493 -1.1849 -1.2204 -1.2560 -1.2924 -1.3308 -1.3714 -1.4137
 -1.4577
 -1.9119 -1.8017 -1.7143 -1.6455 -1.5852 -1.5288 -1.4742 -1.4204 -1.3686 -1.3199
 -1.2753 -1.2355 -1.2010 -1.1723 -1.1492 -1.1098 -1.0796 -1.0554 -1.0454 -1.0518
 -1.0735 -1.1069 -1.1458 -1.1856 -1.2246 -1.2627 -1.3007 -1.3385 -1.3769 -1.4165
 -1.4588
 -1.9161 -1.7735 -1.6713 -1.5933 -1.5307 -1.4776 -1.4293 -1.3831 -1.3381 -1.2942
 -1.2526 -1.2142 -1.1795 -1.1492 -1.1232 -1.0784 -1.0545 -1.0402 -1.0345 -1.0411
 -1.0617 -1.0950 -1.1363 -1.1802 -1.2237 -1.2657 -1.3067 -1.3465 -1.3858 -1.4252
 -1.4654
 -1.9625 -1.7811 -1.6521 -1.5570 -1.4842 -1.4268 -1.3795 -1.3380 -1.2995 -1.2621
 -1.2256 -1.1910 -1.1587 -1.1295 -1.1038 -1.0562 -1.0308 -1.0204 -1.0199
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  i   
 -2.8423 -2.6917 -2.4907 -2.3053 -2.1334 -1.9858 -1.8759 -1.7865 -1.7049 -1.6235
 -1.5482 -1.4773 -1.4104 -1.3472 -1.2876 -1.1566 -1.0585 -0.9994 -0.9783
 -2.5744 -2.5783 -2.4615 -2.2878 -2.1235 -1.9737 -1.8557 -1.7621 -1.6800 -1.6018
 -1.5299 -1.4625 -1.3988 -1.3387 -1.2820 -1.1594 -1.0701 -1.0174 -0.9986 -1.0035
 -2.3997 -2.3183 -2.3207 -2.2575 -2.1147 -1.9722 -1.8451 -1.7446 -1.6614 -1.5853
 -1.5165 -1.4523 -1.3918 -1.3347 -1.2809 -1.1646 -1.0813 -1.0328 -1.0147 -1.0190
 -1.0366
 -2.3264 -2.1988 -2.1065 -2.0773 -2.0613 -1.9630 -1.8422 -1.7335 -1.6464 -1.5712
 -1.5046 -1.4432 -1.3858 -1.3315 -1.2803 -1.1696 -1.0908 -1.0451 -1.0277 -1.0314
 -1.0485 -1.0725
 -2.2693 -2.1430 -2.0266 -1.9324 -1.8735 -1.8551 -1.8160 -1.7272 -1.6353 -1.5584
 -1.4924 -1.4335 -1.3786 -1.3270 -1.2784 -1.1731 -1.0979 -1.0544 -1.0377 -1.0412
 -1.0582 -1.0820 -1.1099 -1.1414
 -2.2142 -2.0964 -1.9834 -1.8783 -1.7880 -1.7175 -1.6737 -1.6520 -1.6126 -1.5456
 -1.4796 -1.4221 -1.3695 -1.3204 -1.2742 -1.1740 -1.1023 -1.0608 -1.0447 -1.0481
 -1.0654 -1.0900 -1.1180 -1.1490 -1.1832 -1.2212 -1.2635 -1.3103 -1.3612 -1.4144
 -2.1587 -2.0487 -1.9436 -1.8434 -1.7497 -1.6662 -1.5956 -1.5404 -1.5045 -1.4819
 -1.4504 -1.4052 -1.3573 -1.3111 -1.2673 -1.1722 -1.1038 -1.0641 -1.0486 -1.0521
 -1.0698 -1.0958 -1.1252 -1.1565 -1.1901 -1.2262 -1.2652 -1.3079 -1.3552 -1.4079
 -1.4615
 -2.1094 -1.9983 -1.9002 -1.8077 -1.7198 -1.6371 -1.5616 -1.4956 -1.4401 -1.3965
 -1.3666 -1.3448 -1.3210 -1.2908 -1.2552 -1.1671 -1.1021 -1.0642 -1.0493 -1.0527
 -1.0707 -1.0983 -1.1300 -1.1631 -1.1974 -1.2331 -1.2701 -1.3095 -1.3528 -1.4011
 -1.4549
 -2.0753 -1.9516 -1.8520 -1.7654 -1.6848 -1.6085 -1.5362 -1.4692 -1.4095 -1.3575
 -1.3139 -1.2796 -1.2543 -1.2347 -1.2153 -1.1557 -1.0963 -1.0606 -1.0464 -1.0498
 -1.0680 -1.0971 -1.1317 -1.1679 -1.2044 -1.2412 -1.2789 -1.3177 -1.3583 -1.4022
 -1.4495
 -2.0652 -1.9220 -1.8104 -1.7211 -1.6449 -1.5751 -1.5093 -1.4468 -1.3884 -1.3352
 -1.2881 -1.2474 -1.2134 -1.1862 -1.1650 -1.1248 -1.0856 -1.0538 -1.0403 -1.0434
 -1.0611 -1.0908 -1.1280 -1.1678 -1.2076 -1.2469 -1.2861 -1.3252 -1.3650 -1.4061
 -1.4497
 -2.0898 -1.9153 -1.7851 -1.6837 -1.6025 -1.5354 -1.4752 -1.4189 -1.3655 -1.3151
 -1.2687 -1.2269 -1.1902 -1.1589 -1.1327 -1.0883 -1.0614 -1.0417 -1.0310 -1.0341
 -1.0510 -1.0804 -1.1191 -1.1623 -1.2062 -1.2491 -1.2911 -1.3321 -1.3728 -1.4136
 -1.4550
 -2.1611 -1.9420 -1.7840 -1.6631 -1.5687 -1.4951 -1.4356 -1.3836 -1.3359 -1.2907
 -1.2479 -1.2081 -1.1719 -1.1399 -1.1122 -1.0618 -1.0348 -1.0218 -1.0177
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  i   
 -2.8668 -2.6593 -2.4502 -2.2696 -2.1106 -1.9672 -1.8572 -1.7671 -1.6890 -1.6109
 -1.5385 -1.4706 -1.4067 -1.3466 -1.2900 -1.1641 -1.0654 -1.0018 -0.9706
 -2.6894 -2.6227 -2.4446 -2.2587 -2.0977 -1.9546 -1.8393 -1.7470 -1.6661 -1.5907
 -1.5212 -1.4565 -1.3956 -1.3382 -1.2840 -1.1650 -1.0738 -1.0156 -0.9906 -0.9919
 -2.4428 -2.4234 -2.3990 -2.2552 -2.0932 -1.9507 -1.8288 -1.7310 -1.6490 -1.5748
 -1.5082 -1.4463 -1.3884 -1.3338 -1.2821 -1.1685 -1.0826 -1.0290 -1.0059 -1.0066
 -1.0231
 -2.3600 -2.2336 -2.1811 -2.1805 -2.0867 -1.9503 -1.8256 -1.7201 -1.6348 -1.5613
 -1.4964 -1.4371 -1.3819 -1.3299 -1.2808 -1.1723 -1.0904 -1.0399 -1.0182 -1.0185
 -1.0340 -1.0582
 -2.3160 -2.1733 -2.0543 -1.9786 -1.9591 -1.9249 -1.8235 -1.7160 -1.6242 -1.5494
 -1.4846 -1.4273 -1.3745 -1.3250 -1.2783 -1.1749 -1.0965 -1.0484 -1.0277 -1.0279
 -1.0428 -1.0666 -1.0951 -1.1276
